childid	caid	who	timecare	paycare
PE101006	1	3	1	1
PE101009	1	1	1	1
PE101011	1	1	3	2
PE101015	1	1	3	2
PE101017	1	1	2	2
PE101023	1	3	2	1
PE101027	1	1	1	2
PE101031	1	2	3	1
PE101040	1	1	1	2
PE101051	1	2	1	2
PE101061	1	1	1	2
PE101063	1	3	1	1
PE101072	1	1	1	2
PE101075	1	1	1	2
PE101080	1	3	1	1
PE101085	1	3	2	1
PE101093	1	1	1	2
PE101103	1	3	1	1
PE101105	1	1	2	1
PE111002	1	1	1	2
PE111004	1	2	2	1
PE111009	1	1	1	2
PE111019	1	1	2	1
PE111025	1	1	1	2
PE111040	1	1	2	2
PE111059	1	1	1	2
PE111069	1	1	1	2
PE111081	1	1	1	2
PE111088	1	3	1	1
PE111098	1	2	1	1
PE121002	1	1	1	2
PE121006	1	1	2	2
PE121011	1	1	1	2
PE121012	1	1	1	2
PE121026	1	1	2	1
PE121030	1	1	4	2
PE121033	1	1	1	2
PE121033	2	1	1	2
PE121037	1	1	1	2
PE121038	1	1	1	2
PE121043	1	1	2	1
PE121043	2	1	1	2
PE121045	1	1	1	2
PE121056	1	1	2	2
PE121056	2	1	1	2
PE121060	1	1	1	2
PE121061	1	1	1	2
PE121068	1	1	1	2
PE121069	1	1	4	2
PE121072	1	1	1	1
PE121074	1	1	1	2
PE121075	1	1	1	2
PE121079	1	1	4	1
PE121082	1	1	 	2
PE121085	1	1	1	2
PE121085	2	2	1	2
PE121090	1	1	1	2
PE121091	1	1	2	2
PE121091	2	1	2	2
PE121101	1	1	1	2
PE131004	1	1	1	2
PE131010	1	1	1	1
PE131012	1	1	2	1
PE131014	1	1	1	2
PE131019	1	1	1	1
PE131021	1	1	1	2
PE131025	1	1	1	2
PE131037	1	1	2	2
PE131043	1	2	1	2
PE131045	1	2	1	1
PE131048	1	1	1	2
PE131057	1	1	1	2
PE131064	1	2	1	2
PE131071	1	2	1	2
PE131079	1	1	1	2
PE131085	1	1	1	2
PE131091	1	1	1	2
PE141002	1	1	2	2
PE141013	1	1	1	2
PE141022	1	1	1	2
PE141022	2	1	1	2
PE141023	1	1	1	2
PE141027	1	1	4	2
PE141031	1	1	1	2
PE141031	2	3	1	2
PE141036	1	1	1	1
PE141037	1	1	2	1
PE141039	1	1	1	2
PE141040	1	1	1	2
PE141040	2	1	1	2
PE141043	1	1	1	2
PE141048	1	1	1	2
PE141050	1	1	1	1
PE141052	1	1	1	2
PE141055	1	1	1	2
PE141060	1	1	1	1
PE141067	1	1	1	2
PE141072	1	1	2	1
PE141072	2	1	1	1
PE141073	1	1	1	1
PE141078	1	1	3	2
PE141078	2	1	2	2
PE141078	3	1	1	2
PE141079	1	1	1	2
PE141080	1	1	1	2
PE141085	1	1	1	2
PE141085	2	1	1	1
PE141085	3	1	2	2
PE141090	1	1	1	2
