childid	plot	larea	lown	luse	luse1
PE011007	1	20000	4	1	88
PE011026	1	260	4	4	7
PE011030	1	50000	1	8	88
PE011051	1	80000	4	1	7
PE011058	1	60000	4	1	88
PE011073	1	160	4	7	88
PE011076	1	10000	4	1	88
PE011078	1	20000	4	1	88
PE011097	1	80000	4	6	88
PE021003	1	250	4	1	88
PE021004	1	5000	4	1	88
PE021004	2	23000	2	1	88
PE021007	1	2500	4	1	88
PE021009	1	50	4	1	88
PE021010	1	5000	4	1	88
PE021016	1	2750	4	1	88
PE021018	1	2500	4	1	88
PE021019	1	2500	4	1	88
PE021021	1	1875	4	1	88
PE021027	1	100	4	1	88
PE021028	1	1000	4	1	88
PE021033	1	5000	2	1	88
PE021035	1	10000	4	1	88
PE021038	1	2500	2	1	88
PE021040	1	30000	4	1	88
PE021043	1	7500	4	1	88
PE021045	1	10000	4	1	88
PE021045	2	625	2	1	88
PE021047	1	625	4	1	88
PE021049	1	1250	4	1	88
PE021052	1	10000	4	1	88
PE021053	1	5000	4	1	88
PE021053	2	5000	4	7	88
PE021053	3	625	2	1	88
PE021055	1	1250	4	1	88
PE021056	1	10000	4	1	88
PE021058	1	2500	2	1	88
PE021059	1	7500	4	1	7
PE021060	1	5000	4	1	88
PE021062	1	25000	4	1	88
PE021062	2	7500	4	1	88
PE021062	3	5000	4	7	88
PE021063	1	2500	2	1	88
PE021064	1	2250	4	1	88
PE021065	1	25000	4	1	88
PE021065	2	35000	1	1	88
PE021067	1	108000	4	1	88
PE021070	1	15000	4	1	88
PE021075	1	5000	4	6	88
PE021075	2	30000	4	1	88
PE021075	3	10000	4	1	88
PE021076	1	2500	4	8	88
PE021078	1	17500	4	1	88
PE021079	1	20000	1	1	88
PE021081	1	1875	4	1	88
PE021084	1	10000	4	1	88
PE021087	1	17500	4	1	88
PE021089	1	4375	4	1	88
PE021090	1	2500	2	1	88
PE021091	1	90	4	1	88
PE021092	1	1875	4	1	88
PE021093	1	2500	4	1	88
PE021095	1	2500	4	1	88
PE021098	1	34375	4	6	88
PE021098	2	625	4	1	88
PE021099	1	15000	4	1	88
PE031001	1	1400	3	1	88
PE031002	1	200	4	1	2
PE031003	1	250	4	1	88
PE031004	1	100	4	1	2
PE031005	1	800	4	1	88
PE031006	1	200	4	1	88
PE031006	2	400	3	1	88
PE031007	1	400	4	1	88
PE031008	1	1200	4	1	88
PE031009	1	200	4	1	88
PE031009	2	400	3	1	88
PE031010	1	800	4	1	88
PE031011	1	400	4	1	2
PE031012	1	175	4	1	88
PE031012	2	50	1	1	88
PE031013	1	800	4	1	2
PE031014	1	800	4	1	2
PE031014	2	400	1	1	2
PE031015	1	500	1	1	88
PE031016	1	400	4	1	88
PE031016	2	200	4	2	88
PE031017	1	200	2	1	88
PE031017	2	800	2	1	88
PE031020	1	800	4	1	88
PE031020	2	400	4	1	88
PE031021	1	1200	4	1	2
PE031022	1	2800	4	1	88
PE031024	1	200	3	1	88
PE031027	1	20000	1	1	88
PE031030	1	400	2	1	88
PE031030	2	100	1	1	88
PE031032	1	2000	4	1	88
PE031033	1	10000	4	1	88
PE031034	1	200	4	7	88
PE031035	1	400	1	4	2
PE031036	1	10000	4	1	88
PE031039	1	1200	4	1	2
PE031040	1	200	1	1	88
PE031042	1	500	4	1	88
PE031043	1	400	4	2	88
PE031044	1	150	4	1	88
PE031045	1	1200	4	1	88
PE031045	2	4000	3	1	88
PE031046	1	600	4	1	2
PE031046	2	200	3	4	88
PE031047	1	3800	2	1	2
PE031048	1	800	3	1	88
PE031049	1	1200	3	1	88
PE031050	1	400	4	1	2
PE031051	1	1200	4	1	2
PE031052	1	400	2	1	88
PE031054	1	150	4	1	88
PE031055	1	1200	3	1	2
PE031056	1	100	4	1	2
PE031057	1	800	4	1	88
PE031058	1	5000	4	1	88
PE031059	1	5000	4	1	88
PE031060	1	2500	4	1	2
PE031060	2	2500	2	1	88
PE031061	1	150	4	1	88
PE031061	2	400	1	2	88
PE031062	1	1200	4	1	2
PE031063	1	1200	3	1	2
PE031064	1	700	4	1	88
PE031065	1	3000	4	1	2
PE031066	1	400	4	1	2
PE031066	2	100	1	1	2
PE031067	1	1050	4	1	2
PE031068	1	800	4	1	2
PE031069	1	1650	4	1	88
PE031070	1	100	2	1	88
PE031070	2	400	4	1	88
PE031071	1	400	4	1	2
PE031072	1	1000	4	1	88
PE031073	1	16600	1	1	88
PE031074	1	400	4	1	88
PE031075	1	1000	3	1	88
PE031075	2	3000	4	1	2
PE031076	1	1200	4	1	2
PE031077	1	500	4	1	88
PE031078	1	1200	4	1	2
PE031079	1	1200	4	1	2
PE031080	1	300	1	1	88
PE031080	2	400	2	1	88
PE031081	1	400	2	1	2
PE031082	1	7500	4	1	2
PE031083	1	300	4	1	88
PE031084	1	2500	4	1	88
PE031085	1	1750	1	1	2
PE031085	2	1750	4	1	2
PE031086	1	200	4	1	2
PE031086	2	400	2	1	88
PE031087	1	1500	4	1	88
PE031088	1	400	4	1	88
PE031089	1	3200	4	1	2
PE031090	1	100	3	1	88
PE031091	1	1500	2	1	88
PE031092	1	100	4	1	88
PE031093	1	600	4	1	2
PE031094	1	200	1	1	88
PE031095	1	200	1	1	88
PE031096	1	400	3	1	88
PE031097	1	250	4	1	88
PE031098	1	400	4	1	2
PE031099	1	400	4	1	2
PE031100	1	10000	4	1	2
PE041001	1	30000	4	1	88
PE041002	1	20000	4	1	88
PE041003	1	10000	2	1	88
PE041004	1	60000	4	1	2
PE041005	1	50000	4	1	2
PE041006	1	10000	1	1	88
PE041007	1	20000	4	1	88
PE041008	1	40	4	1	88
PE041008	2	30000	2	1	2
PE041009	1	20000	4	1	2
PE041009	2	20000	1	1	88
PE041010	1	10000	2	1	2
PE041012	1	230000	4	1	2
PE041013	1	10000	4	1	88
PE041013	2	15	4	1	88
PE041015	1	5000	4	1	2
PE041016	1	20000	4	1	88
PE041017	1	20000	4	2	88
PE041018	1	100000	4	1	2
PE041019	1	15000	4	1	88
PE041019	2	250	2	1	88
PE041020	1	10000	4	1	2
PE041020	2	5000	1	1	2
PE041021	1	5000	2	1	2
PE041022	1	50000	4	1	2
PE041023	1	100000	4	1	2
PE041024	1	10000	4	1	2
PE041025	1	100000	4	1	2
PE041025	2	60000	4	2	88
PE041026	1	2500	3	1	88
PE041029	1	100000	4	1	2
PE041029	2	10000	4	1	2
PE041030	1	40000	4	1	88
PE041031	1	2500	4	1	88
PE041032	1	12500	4	1	2
PE041032	2	10000	4	1	88
PE041033	1	40000	4	1	2
PE041033	2	20000	4	1	88
PE041033	3	20000	4	1	88
PE041034	1	300000	4	1	2
PE041035	1	20	4	1	2
PE041036	1	20000	4	1	2
PE041036	2	20000	4	1	2
PE041036	3	10000	4	1	2
PE041037	1	50000	4	1	2
PE041037	2	30000	4	1	2
PE041038	1	10000	4	1	2
PE041039	1	1200	4	1	2
PE041040	1	30000	4	1	2
PE041041	1	30000	4	4	2
PE041042	1	40000	4	1	2
PE041043	1	50000	4	1	88
PE041044	1	30000	4	1	2
PE041044	2	300000	4	2	88
PE041045	1	15000	4	1	2
PE041045	2	8000	4	1	2
PE041045	3	8000	4	1	2
PE041046	1	30000	4	1	2
PE041047	1	30000	4	1	4
PE041048	1	20000	4	1	3
PE041048	2	5000	4	1	2
PE041049	1	90000	4	1	88
PE041050	1	30000	4	1	88
PE041051	1	50000	4	1	2
PE041051	2	10000	4	1	2
PE041052	1	50000	4	1	2
PE041053	1	20000	4	1	2
PE041054	1	30000	4	1	3
PE041054	2	20000	4	1	3
PE041054	3	20000	4	1	2
PE041054	4	10000	4	1	2
PE041055	1	50000	4	1	2
PE041056	1	70000	4	1	2
PE041057	1	20000	4	1	2
PE041057	2	20000	4	1	3
PE041059	1	40000	4	1	1
PE041060	1	300000	4	2	1
PE041060	2	20000	4	1	4
PE041060	3	20000	4	3	2
PE041061	1	30000	4	1	2
PE041062	1	60000	4	1	2
PE041063	1	60000	4	1	2
PE041063	2	30000	4	1	3
PE041063	3	20000	4	1	88
PE041063	4	2500	4	2	88
PE041064	1	5000	4	1	2
PE041064	2	2500	4	1	2
PE041065	1	20000	4	1	2
PE041066	1	5000	4	1	88
PE041067	1	400000	4	1	2
PE041068	1	20000	4	4	2
PE041069	1	30000	4	1	2
PE041070	1	50000	4	1	2
PE041071	1	5000	4	1	2
PE041071	2	10000	4	1	2
PE041072	1	20000	4	1	2
PE041073	1	10000	4	1	88
PE041074	1	130000	4	1	2
PE041075	1	160000	4	1	2
PE041076	1	40000	4	1	2
PE041077	1	10000	1	1	2
PE041078	1	40000	4	1	2
PE041079	1	30000	4	4	2
PE041080	1	50000	4	1	2
PE041081	1	40000	4	1	2
PE041082	1	20000	4	1	2
PE041083	1	20000	4	4	2
PE041084	1	20000	4	4	88
PE041084	2	10000	4	4	2
PE041084	3	30000	4	4	3
PE041085	1	80000	4	1	2
PE041086	1	50000	4	1	2
PE041086	2	2500	1	2	88
PE041087	1	40000	4	1	88
PE041087	2	15000	4	1	88
PE041087	3	15000	4	1	3
PE041088	1	80000	4	1	2
PE041088	2	50000	4	1	2
PE041088	3	1000	4	4	88
PE041088	4	500	4	4	88
PE041089	1	40000	4	1	88
PE041090	1	80000	4	2	3
PE041090	2	40000	4	1	2
PE041090	3	10000	4	2	88
PE041091	1	150000	4	1	2
PE041092	1	10000	4	1	88
PE041093	1	60000	4	1	2
PE041093	2	15000	4	1	2
PE041093	3	120000	4	1	2
PE041093	4	30000	4	1	2
PE041094	1	10000	4	1	2
PE041095	1	50000	4	1	88
PE041096	1	20000	4	1	2
PE041096	2	15000	4	1	2
PE041097	1	20000	4	1	2
PE041098	1	10000	1	1	88
PE041099	1	320000	4	1	88
PE041099	2	30000	4	2	88
PE041099	3	5000	4	1	88
PE041100	1	2500	2	1	88
PE041100	2	50000	4	1	2
PE041101	1	400000	4	2	88
PE041101	2	90000	4	1	88
PE051001	1	450	2	1	88
PE051002	1	10000	4	1	88
PE051003	1	10000	1	1	88
PE051003	2	5000	1	1	88
PE051004	1	40000	4	1	2
