childid	id	age	sex	relate	still	yrschool	disabled	care	support	edinicial	grado	anhos
PE011001	1	30	1	1	2	33	2	2	1	 	6	88
PE011001	2	21	2	1	2	34	2	1	2	 	88	5
PE011001	3	5	1	5	1	0	2	2	2	 	88	88
PE011001	4	7	1	5	1	33	2	1	2	 	2	88
PE011002	1	53	1	1	2	34	2	1	1	 	88	2
PE011002	2	37	2	1	2	36	2	1	1	 	88	1
PE011002	15	4	2	5	88	88	2	88	88	1	88	88
PE011003	1	24	1	1	2	34	2	1	1	 	88	5
PE011003	2	23	2	1	2	34	2	1	2	 	88	5
PE011004	1	36	1	1	2	35	2	2	1	 	88	3
PE011004	2	35	2	1	2	37	2	1	1	 	88	5
PE011005	1	36	1	1	2	33	2	2	1	 	88	5
PE011005	2	19	2	5	2	34	2	1	2	 	88	4
PE011005	3	38	2	1	2	34	2	2	2	 	88	1
PE011005	4	17	1	5	1	34	2	2	2	 	88	4
PE011005	5	13	2	5	1	34	2	2	2	 	88	1
PE011005	6	11	1	5	1	33	2	2	2	 	6	88
PE011005	7	10	2	5	1	33	2	2	2	 	4	88
PE011006	1	25	1	1	2	33	2	2	1	 	4	88
PE011006	2	22	2	1	2	33	2	1	2	 	4	88
PE011006	3	59	2	3	2	33	2	1	2	 	88	3
PE011006	4	18	1	4	2	33	2	2	1	 	4	88
PE011007	1	36	1	1	2	38	2	2	1	 	88	5
PE011007	2	36	2	1	2	36	2	1	2	 	88	3
PE011007	3	6	1	5	1	32	1	2	2	 	88	88
PE011007	4	79	2	3	2	33	1	1	2	 	88	4
PE011007	5	28	2	4	1	34	2	2	2	 	88	4
PE011007	15	4	1	5	88	88	2	88	88	1	88	88
PE011008	1	28	1	1	2	36	2	1	1	 	88	3
PE011008	2	31	2	1	2	36	2	1	2	 	88	5
PE011008	15	3	2	5	88	88	2	88	88	5	88	88
PE011009	1	25	1	1	2	34	2	2	1	 	88	5
PE011009	2	22	2	1	2	34	2	1	2	 	88	5
PE011009	3	5	2	5	2	0	2	2	2	 	88	88
PE011009	4	45	2	3	2	33	1	1	2	 	88	5
PE011009	5	17	1	4	1	34	2	2	2	 	88	5
PE011010	1	42	1	13	2	33	2	2	1	 	2	88
PE011010	2	18	2	1	2	33	2	1	2	 	6	88
PE011010	3	39	2	3	2	34	2	2	2	 	88	3
