childid	remid	remrel	remqnt	remtype
PE011015	1	6	3	3
PE011015	2	6	3	3
PE011016	1	3	12	1
PE011021	1	3	4	1
PE011024	1	3	12	3
PE011024	2	6	4	2
PE011027	1	2	12	2
PE011027	2	3	12	2
PE011028	1	1	1	1
PE011029	1	3	1	1
PE011034	1	3	12	3
PE011036	1	6	6	2
PE011037	1	3	30	1
PE011041	1	7	5	1
PE011043	1	3	6	2
PE011053	1	6	6	2
PE011055	1	3	80	3
PE011057	1	2	1	2
PE011058	1	2	3	1
PE011061	1	3	12	1
PE011066	1	2	11	3
PE011067	1	3	12	1
PE011082	1	2	3	3
PE011085	1	6	1	1
PE011093	1	2	1	3
PE021001	1	3	8	3
PE021002	1	2	1	3
PE021002	2	2	13	1
PE021007	1	2	40	3
PE021007	2	3	50	3
PE021009	1	3	3	1
PE021018	1	3	12	2
PE021026	1	2	1	2
PE021026	2	5	1	2
PE021026	3	3	1	1
PE021026	4	3	1	2
PE021028	1	3	6	2
PE021032	1	2	5	1
PE021037	1	2	6	2
PE021039	1	3	12	2
PE021039	2	2	2	2
PE021048	1	3	2	2
PE021053	1	3	12	2
PE021054	1	3	25	3
PE021058	1	3	12	2
PE021063	1	2	1	1
PE021063	2	3	12	1
PE021064	1	3	20	2
PE021066	1	3	1	2
PE021074	1	3	12	2
PE021074	2	3	12	2
PE021081	1	2	3	2
PE021088	1	3	12	2
PE021088	2	3	12	2
PE021092	1	2	3	2
PE021100	1	2	2	2
PE031013	1	3	3	2
PE031014	1	2	2	3
PE031021	1	2	3	3
PE031022	1	1	2	1
PE031024	1	3	3	1
PE031025	1	2	2	2
PE031027	1	3	10	3
PE031027	2	3	10	3
PE031028	1	3	12	2
PE031028	2	3	12	2
PE031030	1	3	7	2
PE031033	1	3	6	2
PE031033	2	3	2	2
PE031040	1	3	4	2
PE031041	1	6	12	1
PE031042	1	2	2	3
PE031045	1	5	2	2
PE031056	1	3	12	2
PE031058	1	4	1	2
PE031059	1	2	2	1
PE031064	1	2	1	3
PE031065	1	2	5	2
PE031065	2	5	1	2
PE031071	1	2	6	1
PE031072	1	2	3	1
PE031074	1	1	3	3
PE031075	1	3	6	2
PE031076	1	3	15	2
PE031077	1	4	4	1
PE031078	1	2	11	3
PE031081	1	2	2	1
PE031086	1	3	20	2
PE031087	1	1	3	1
PE031088	1	3	2	2
PE031089	1	2	2	2
PE031091	1	2	1	3
PE031094	1	2	4	1
PE031097	1	5	4	2
PE031101	1	2	12	1
PE041003	1	2	2	2
PE041004	1	2	3	2
PE041007	1	2	2	2
PE041011	1	3	3	2
PE041033	1	1	1	1
PE041087	1	2	4	3
PE051016	1	2	1	2
PE051017	1	3	1	1
PE051023	1	2	5	2
PE051028	1	2	1	2
PE051051	1	3	2	1
PE051056	1	2	4	2
PE051061	1	3	5	2
PE051068	1	4	1	3
PE051072	1	2	1	2
PE051072	2	4	1	2
PE051072	3	2	1	2
PE051078	1	2	1	2
PE051094	1	2	1	1
PE051098	1	5	12	3
