childid	linecode	id	paymt	months	days	importa	actcode
PE011001	1	1	1	12	1	1	93
PE011002	1	1	2	12	1	1	52
PE011003	1	1	1	12	1	2	92
PE011003	2	1	2	1	3	1	22
PE011004	1	1	1	12	1	1	52
PE011004	2	2	1	12	2	1	80
PE011005	1	1	2	12	1	1	1
PE011006	1	1	1	5	2	1	5
PE011006	2	4	2	4	2	1	52
PE011007	1	1	1	10	2	2	80
PE011007	2	1	1	12	1	1	 
PE011007	3	5	1	12	1	1	95
PE011008	1	1	1	9	1	1	75
PE011008	2	1	2	12	2	2	52
PE011009	1	1	1	12	1	1	 
PE011009	2	4	2	5	1	1	52
PE011010	1	1	2	12	1	1	5
PE011010	2	1	2	2	2	2	5
PE011010	3	4	1	3	2	1	95
PE011011	1	1	2	12	1	1	5
PE011012	1	1	1	12	2	1	75
PE011012	2	1	2	1	3	2	93
PE011012	3	2	1	12	2	1	80
PE011013	1	1	1	4	1	1	74
PE011013	2	1	1	4	1	2	 
PE011013	3	3	1	12	1	1	 
PE011014	1	2	1	12	1	1	1
PE011014	2	3	1	12	1	1	75
PE011014	3	3	2	12	2	2	95
PE011014	4	3	2	1	1	3	95
PE011015	1	1	2	12	2	1	52
PE011015	2	3	1	12	1	1	60
PE011016	1	1	2	12	1	1	75
PE011016	2	1	2	1	1	2	75
PE011016	3	3	2	8	3	1	52
PE011016	4	3	2	7	1	2	15
PE011016	5	4	1	7	2	1	15
PE011016	6	4	1	1	3	2	52
PE011016	7	9	2	12	1	1	74
PE011016	8	10	2	1	1	1	52
PE011017	1	1	1	12	1	1	1
PE011018	1	1	2	12	1	1	52
PE011019	1	1	2	12	1	1	52
PE011019	2	1	2	12	3	2	71
PE011019	3	1	2	2	2	3	1
PE011020	1	1	1	12	1	1	41
PE011021	1	1	2	12	2	1	5
PE011021	2	1	1	1	1	2	1
PE011022	1	1	1	12	1	1	5
PE011023	1	1	1	12	1	1	52
PE011023	2	2	1	1	1	1	95
PE011024	1	1	1	6	1	1	5
PE011024	2	1	1	6	2	2	52
PE011024	3	3	2	12	1	2	18
PE011024	4	3	2	12	1	1	85
PE011024	5	4	2	12	2	1	 
PE011025	1	1	1	12	1	1	75
PE011025	2	3	1	12	1	1	5
PE011025	3	4	2	9	4	1	55
PE011026	1	1	1	12	2	1	85
PE011027	1	1	2	12	2	1	5
PE011028	1	1	2	1	1	1	52
PE011028	2	1	2	2	1	2	52
PE011029	1	1	1	12	2	1	80
PE011029	2	2	1	12	2	1	80
PE011030	1	1	2	2	3	1	60
PE011030	2	3	2	12	1	1	5
PE011031	1	1	1	3	1	1	1
PE011031	2	1	1	8	1	2	5
PE011031	3	1	1	1	1	3	45
PE011032	1	1	2	1	1	1	52
PE011032	2	2	2	2	3	2	5
PE011032	3	2	2	12	1	1	5
PE011032	4	3	2	12	1	1	52
PE011033	1	1	2	10	1	1	5
PE011033	2	1	2	1	1	2	36
PE011033	3	4	1	12	1	1	15
PE011034	1	2	1	12	1	1	5
PE011034	2	3	1	2	1	1	74
PE011034	3	3	1	1	1	2	55
PE011035	1	1	2	12	1	1	52
PE011036	1	1	2	12	2	1	5
PE011037	1	1	1	12	1	1	55
PE011038	1	1	1	12	1	1	75
PE011038	2	1	1	1	1	2	91
PE011038	3	2	1	1	1	1	52
PE011038	4	2	2	3	1	2	52
PE011038	5	5	2	12	1	1	5
PE011039	1	1	1	12	1	1	1
PE011039	2	3	2	12	1	1	93
PE011039	3	4	2	2	1	1	93
PE011039	4	7	2	5	1	1	93
PE011040	1	1	2	12	1	1	52
PE011041	1	1	2	1	2	3	20
PE011041	2	1	1	5	1	1	45
PE011041	3	1	1	1	1	2	55
PE011041	4	2	1	4	1	2	55
PE011041	5	2	1	2	1	1	95
PE011042	1	1	1	12	2	1	5
PE011042	2	1	1	1	2	2	45
PE011043	1	1	2	1	2	1	52
PE011043	2	1	2	3	1	3	1
PE011043	3	1	2	3	2	2	45
PE011044	1	1	2	5	1	2	45
PE011044	2	1	1	7	1	1	75
PE011044	3	2	2	4	2	1	52
PE011044	4	2	2	6	1	2	52
PE011045	1	1	2	5	2	1	52
PE011045	2	1	1	3	2	2	5
PE011045	3	1	2	3	3	3	 
PE011046	1	1	2	9	1	1	75
PE011046	2	2	1	10	2	1	75
PE011047	1	1	1	12	2	1	64
PE011047	2	2	1	12	2	1	80
PE011047	3	1	2	6	3	2	72
PE011047	4	3	1	1	2	1	95
PE011048	1	4	2	12	1	1	5
PE011049	1	1	2	12	1	1	60
PE011049	2	2	1	12	2	1	80
PE011050	1	1	1	12	1	1	52
PE011050	2	2	2	2	2	1	52
PE011051	1	1	1	5	2	1	1
PE011051	2	1	2	5	3	2	 
PE011051	3	3	1	2	2	1	45
PE011052	1	1	2	12	1	1	 
PE011052	2	2	2	5	1	1	52
PE011053	1	2	1	6	3	1	52
PE011053	2	3	1	12	1	1	60
PE011053	3	3	1	1	1	2	60
PE011053	4	5	1	12	3	1	52
PE011054	1	1	2	12	1	1	 
PE011055	1	1	1	12	1	1	45
PE011056	1	1	2	12	1	1	15
PE011056	2	2	1	4	1	1	52
PE011057	1	1	2	6	1	1	45
PE011057	2	1	2	3	2	2	5
PE011057	3	1	2	3	1	3	5
PE011058	1	1	1	1	1	1	52
PE011058	2	3	2	12	1	1	1
PE011058	3	3	2	12	1	2	93
PE011058	4	4	1	12	2	1	45
PE011058	5	5	1	12	2	1	75
PE011058	6	6	2	12	2	1	1
PE011058	7	7	2	12	2	1	1
PE011059	1	1	1	12	2	1	75
PE011059	2	2	1	7	2	1	75
PE011060	1	1	1	11	1	1	5
PE011060	2	1	2	1	1	2	66
PE011061	1	2	2	12	1	1	52
PE011061	2	6	2	12	1	1	5
PE011062	1	3	1	9	2	1	80
PE011063	1	1	1	12	2	2	52
PE011063	2	1	1	3	2	1	52
PE011064	1	1	1	12	1	1	64
PE011064	2	2	2	5	1	1	52
PE011064	3	2	2	2	1	3	52
PE011065	1	1	2	12	1	1	5
PE011066	1	2	2	3	2	1	95
PE011066	2	4	2	7	2	1	45
PE011066	3	5	2	5	2	1	5
PE011067	1	1	1	12	1	1	60
PE011067	2	1	2	12	2	2	 
PE011068	1	1	1	2	2	1	95
PE011068	2	2	2	12	1	1	52
PE011068	3	3	2	12	1	1	52
PE011068	4	4	2	9	2	1	80
PE011068	5	5	2	6	1	1	80
PE011068	6	5	2	12	3	2	72
PE011068	7	7	1	1	1	1	93
PE011069	1	1	1	12	1	1	5
PE011070	1	1	1	12	1	1	75
PE011070	2	1	2	1	3	2	60
PE011070	3	2	1	10	2	1	80
PE011070	4	2	2	1	2	2	80
PE011071	1	1	1	12	1	1	80
PE011071	2	1	1	2	3	2	93
PE011071	3	3	2	12	1	1	93
PE011071	4	4	1	12	1	1	95
PE011071	5	5	1	12	1	1	93
PE011072	1	1	2	12	1	1	60
PE011073	1	1	1	10	1	1	50
PE011074	1	1	1	12	2	1	75
PE011074	2	2	1	12	1	1	85
PE011074	3	3	1	8	1	1	95
PE011074	4	3	1	1	1	2	95
PE011075	1	1	2	12	1	1	5
PE011076	1	1	2	12	3	1	1
PE011076	2	3	2	12	1	1	1
PE011076	3	5	2	12	3	1	1
PE011076	4	6	2	12	3	1	1
PE011076	5	3	2	2	2	2	15
PE011077	1	1	1	12	1	1	45
PE011077	2	1	2	12	3	2	52
PE011077	3	1	2	4	1	3	1
PE011077	4	2	1	12	1	1	95
PE011078	1	1	2	12	1	1	1
PE011078	2	4	1	3	3	2	1
PE011078	3	5	1	12	2	2	1
PE011078	4	4	1	1	2	1	45
PE011078	5	5	1	1	1	1	45
PE011079	1	1	1	12	1	1	15
PE011079	2	2	1	6	2	1	52
PE011079	3	3	2	12	1	1	80
PE011079	4	4	1	12	1	1	85
PE011079	5	4	1	12	2	2	95
PE011079	6	5	1	4	2	1	75
PE011079	7	5	2	12	3	2	93
PE011080	1	1	1	6	1	1	80
PE011080	2	1	1	7	1	2	60
PE011080	3	2	1	12	2	1	80
PE011081	1	1	2	12	1	1	5
PE011082	1	1	2	12	3	1	52
PE011082	2	1	2	1	1	2	52
PE011082	3	2	2	12	3	1	95
PE011082	4	2	2	12	3	2	52
PE011083	1	1	2	10	1	3	60
PE011083	2	1	1	1	2	2	93
PE011083	3	1	2	4	1	1	93
PE011083	4	2	2	5	1	1	55
PE011083	5	2	2	2	3	2	95
PE011084	1	1	2	12	1	1	60
PE011084	2	3	1	12	2	1	75
PE011085	1	1	2	12	3	1	5
PE011085	2	2	2	12	3	1	52
PE011086	1	1	1	12	1	1	75
PE011086	2	2	1	12	2	1	75
PE011087	1	1	2	10	1	2	60
PE011087	2	1	1	2	1	1	13
PE011087	3	2	2	10	1	1	52
PE011087	4	2	2	2	1	2	52
PE011087	5	3	2	12	1	1	52
PE011087	6	4	2	12	1	1	52
PE011088	1	1	1	6	2	1	95
PE011088	2	1	2	2	1	3	5
PE011088	3	1	1	3	1	2	45
PE011088	4	2	2	12	3	1	52
PE011088	5	2	2	3	1	2	1
PE011089	1	1	1	12	1	1	75
PE011090	1	1	1	12	1	1	72
PE011091	1	1	2	12	1	1	5
PE011092	1	1	1	12	1	1	50
PE011092	2	2	1	12	1	1	85
PE011092	3	3	2	12	1	1	45
PE011092	4	4	1	12	1	1	85
PE011093	1	1	2	12	1	1	1
PE011093	2	1	1	1	2	2	45
PE011093	3	2	2	4	2	1	52
PE011094	1	1	1	1	1	1	5
PE011094	2	1	1	12	3	2	95
PE011095	1	1	2	12	1	1	52
PE011095	2	2	2	5	1	1	52
PE011096	1	1	1	12	2	1	55
PE011096	2	1	2	3	2	2	93
PE011097	1	1	1	12	1	1	52
PE011097	2	2	1	12	2	1	 
PE011098	1	1	1	12	1	1	74
PE011099	1	1	1	12	1	1	40
PE011099	2	7	1	12	1	1	55
PE011099	3	6	1	10	1	1	5
PE011099	4	10	1	6	1	1	55
PE011100	1	2	2	12	1	1	15
PE011100	2	3	2	12	1	1	52
PE011100	3	4	1	12	1	1	52
PE011100	4	5	1	12	1	1	22
PE021001	1	1	2	12	1	1	52
PE021002	1	1	1	5	2	1	1
PE021002	2	1	1	3	1	2	18
PE021002	3	1	2	3	3	3	52
PE021002	4	3	2	12	1	1	1
PE021003	1	1	2	12	2	1	1
PE021003	2	1	1	12	2	2	1
PE021003	3	1	2	10	3	3	60
PE021004	1	1	2	12	1	1	1
PE021005	1	1	2	12	2	1	1
PE021006	1	1	1	9	2	1	15
PE021006	2	1	2	12	3	2	1
PE021006	3	2	2	3	1	1	52
PE021007	1	1	2	12	1	1	1
PE021008	1	1	1	12	1	1	1
PE021008	2	1	1	1	1	2	1
PE021009	1	1	2	12	1	1	1
PE021010	1	4	2	12	1	1	1
PE021010	2	5	2	12	2	1	52
PE021010	3	7	1	1	2	1	15
PE021010	4	8	1	1	2	1	15
PE021011	1	1	1	12	2	1	1
PE021011	2	1	2	12	2	2	1
PE021011	3	2	2	2	3	1	52
PE021011	4	4	2	12	1	1	52
PE021012	1	1	1	12	2	1	15
PE021012	2	1	1	12	2	2	1
PE021013	1	1	1	12	2	1	15
PE021013	2	1	2	12	3	2	1
PE021014	1	1	1	3	2	1	51
PE021014	2	1	1	4	1	2	1
PE021014	3	4	1	4	1	2	1
PE021014	4	5	1	9	2	1	51
PE021014	5	4	2	3	2	1	45
PE021015	1	1	2	12	2	1	1
PE021016	1	1	2	5	1	1	15
PE021016	2	1	1	7	2	2	15
PE021016	3	2	2	12	1	1	52
PE021017	1	1	1	12	2	1	1
PE021018	1	1	1	11	2	1	15
PE021018	2	1	2	1	3	2	1
PE021018	3	2	2	12	3	1	 
PE021018	4	2	2	1	2	2	52
PE021019	1	1	2	12	2	1	26
PE021019	2	1	2	12	3	2	1
PE021019	3	2	2	1	3	1	52
PE021020	1	1	1	11	2	1	99
PE021020	2	1	1	12	2	2	1
PE021021	1	1	2	8	1	1	52
PE021021	2	1	2	4	2	2	1
PE021021	3	2	2	12	1	1	1
PE021021	4	4	2	12	1	1	1
PE021021	5	5	1	12	2	1	15
PE021021	6	5	2	12	3	1	26
PE021022	1	1	1	5	1	1	60
PE021022	2	1	1	7	2	2	1
PE021023	1	1	1	12	1	1	1
PE021024	1	1	1	3	2	1	15
PE021024	2	1	2	7	2	2	1
PE021025	1	1	1	3	1	1	1
PE021025	2	1	2	12	1	2	52
PE021026	1	1	1	12	2	2	1
PE021026	2	1	1	1	1	1	1
PE021027	1	2	2	12	1	1	1
PE021027	2	5	1	5	2	1	15
PE021027	3	6	1	12	1	1	95
PE021028	1	1	1	12	1	1	1
PE021028	2	1	2	12	2	2	1
PE021029	1	1	1	1	1	1	1
PE021029	2	1	1	11	2	2	1
PE021029	3	2	1	12	3	1	93
PE021030	1	1	1	12	1	1	60
PE021030	2	2	2	12	1	1	52
PE021031	1	1	1	12	2	1	92
PE021031	2	1	2	5	3	2	52
PE021032	1	1	1	12	2	1	45
PE021032	2	1	1	12	2	2	1
PE021032	3	6	2	4	3	1	52
PE021033	1	1	2	12	2	1	1
PE021033	2	1	1	12	3	2	45
PE021034	1	1	1	12	1	1	1
PE021034	2	2	2	12	1	1	52
PE021035	1	1	1	6	1	2	74
PE021035	2	1	2	6	1	1	1
PE021036	1	1	1	12	1	1	1
PE021036	2	4	1	12	2	1	1
PE021037	1	1	1	12	1	1	1
PE021038	1	1	2	12	2	1	1
PE021038	2	1	2	12	3	2	52
PE021038	3	2	2	12	2	1	17
PE021039	1	1	1	11	2	1	1
PE021039	2	1	1	1	1	2	1
PE021040	1	2	2	12	1	1	1
PE021041	1	1	1	2	1	1	1
PE021041	2	1	2	3	1	2	52
PE021041	3	1	2	3	1	3	52
PE021042	1	1	1	12	1	1	1
PE021042	2	1	2	12	2	2	93
PE021042	3	3	1	12	2	1	1
PE021043	1	2	2	12	1	1	1
PE021044	1	1	1	7	1	1	1
PE021044	2	1	2	5	1	2	10
PE021045	1	1	2	12	1	1	1
PE021045	2	1	1	5	2	2	1
PE021045	3	4	1	4	3	1	15
PE021045	4	4	2	1	1	2	1
PE021046	1	1	1	11	1	1	45
PE021046	2	1	1	12	1	2	1
PE021046	3	3	1	11	1	1	45
PE021046	4	3	2	12	1	2	52
PE021046	5	6	2	12	1	1	52
PE021047	1	1	1	6	2	1	1
PE021047	2	1	2	5	2	2	1
PE021048	1	1	1	12	1	1	1
PE021048	2	2	2	12	1	1	52
PE021049	1	1	2	12	2	1	1
PE021049	2	2	2	12	3	2	1
PE021050	1	1	1	1	1	1	1
PE021050	2	1	1	11	2	2	1
PE021050	3	2	2	5	1	1	52
PE021051	1	1	1	7	2	1	1
PE021051	2	1	2	4	3	2	1
PE021051	3	2	2	1	3	1	95
PE021052	1	1	1	6	2	2	1
PE021052	2	1	2	4	3	1	1
PE021052	3	3	2	4	1	2	1
PE021052	4	3	1	1	2	1	1
PE021052	5	4	2	4	2	1	1
PE021053	1	1	1	2	2	1	1
PE021053	2	1	2	12	1	2	1
PE021053	3	4	2	12	2	1	1
PE021053	4	5	1	12	2	1	1
PE021053	5	5	2	12	3	2	1
PE021053	6	6	1	1	1	1	95
PE021053	7	3	2	2	2	1	52
PE021054	1	1	1	12	1	1	1
PE021055	1	1	2	12	1	1	1
PE021055	2	2	2	12	1	1	52
PE021056	1	1	1	12	1	1	1
PE021056	2	1	1	5	1	2	1
PE021056	3	3	2	12	1	1	1
PE021057	1	1	1	12	1	1	1
PE021057	2	1	2	3	2	2	26
PE021057	3	2	2	1	1	1	52
PE021058	1	1	1	6	1	3	45
PE021058	2	1	1	12	2	2	1
PE021058	3	1	2	12	2	1	1
PE021059	1	1	1	12	1	1	75
PE021059	2	3	2	12	1	1	1
PE021060	1	1	1	12	2	1	1
PE021060	2	3	2	12	1	1	1
PE021060	3	4	2	12	3	1	52
PE021060	4	5	2	12	2	1	92
PE021061	1	1	1	12	1	1	15
PE021062	1	1	1	12	2	1	1
PE021062	2	3	2	12	1	1	1
PE021062	3	4	2	12	1	1	52
PE021062	4	5	1	12	1	1	17
PE021063	1	1	1	12	2	1	1
PE021063	2	3	1	12	3	2	1
PE021063	3	3	2	12	1	1	1
PE021063	4	2	2	12	3	1	52
PE021064	1	1	2	3	2	1	1
PE021064	2	1	1	6	2	2	1
PE021065	1	1	2	12	2	1	1
PE021065	2	1	2	12	1	1	1
PE021065	3	4	1	12	1	1	1
PE021066	1	1	1	12	2	1	1
PE021067	1	1	1	12	1	1	1
PE021067	2	3	2	12	1	1	1
PE021067	3	5	1	12	2	1	75
PE021067	4	7	1	12	2	1	75
PE021068	1	1	1	12	1	1	52
PE021068	2	1	1	1	2	2	45
PE021069	1	1	1	9	2	1	1
PE021070	1	1	2	12	1	1	1
PE021070	2	1	1	1	1	2	60
PE021071	1	1	1	6	1	1	1
PE021071	2	1	1	6	2	2	45
PE021071	3	1	2	1	3	3	20
PE021072	1	1	1	12	2	1	1
PE021072	2	3	1	12	1	1	15
PE021072	3	4	2	12	1	1	52
PE021073	1	1	1	10	2	2	1
PE021073	2	1	1	2	1	1	1
PE021073	3	2	2	12	3	1	18
PE021073	4	3	2	12	1	1	60
PE021073	5	4	2	12	1	1	52
PE021074	1	1	1	1	2	2	1
PE021074	2	1	1	2	1	1	1
PE021075	1	2	2	12	1	1	1
PE021075	2	3	1	10	1	1	1
PE021075	3	4	1	10	1	1	1
PE021075	4	5	1	10	1	1	1
PE021076	1	1	1	2	2	1	1
PE021076	2	1	1	3	2	2	1
PE021077	1	1	1	7	2	1	1
PE021078	1	1	1	12	1	1	45
PE021078	2	5	1	12	1	1	1
PE021078	3	7	1	12	1	1	1
PE021078	4	8	2	12	1	1	1
PE021079	1	1	1	12	1	1	1
PE021079	2	3	2	12	1	1	1
PE021079	3	4	2	12	1	1	52
PE021080	1	1	1	12	1	1	75
PE021080	2	1	1	2	2	2	1
PE021080	3	2	2	2	2	1	52
PE021081	1	3	2	12	2	1	1
PE021081	2	4	2	12	2	1	1
PE021082	1	1	1	12	2	1	1
PE021083	1	1	1	12	2	1	1
PE021083	2	1	1	7	2	2	1
PE021084	1	1	2	12	1	1	1
PE021084	2	1	2	11	1	2	1
PE021084	3	2	1	9	2	1	80
PE021085	1	1	1	12	3	1	1
PE021085	2	1	1	1	2	2	26
PE021086	1	1	1	12	2	1	1
PE021086	2	1	2	12	2	2	52
PE021086	3	2	2	12	2	1	52
PE021086	4	2	2	4	1	2	52
PE021086	5	2	2	5	1	3	52
PE021087	1	1	2	12	1	1	52
PE021087	2	3	2	12	1	1	1
PE021087	3	3	2	12	2	2	52
PE021087	4	5	2	2	2	1	60
PE021087	5	5	1	12	2	2	1
PE021087	6	7	2	12	1	1	52
PE021088	1	1	1	12	2	1	1
PE021088	2	1	1	1	1	2	15
PE021089	1	1	2	7	1	1	1
PE021089	2	1	1	4	3	2	1
PE021090	1	1	1	1	1	1	45
PE021090	2	1	2	1	1	2	1
PE021090	3	1	1	2	1	3	1
PE021090	4	2	2	12	1	2	52
PE021090	5	2	2	2	1	1	52
PE021091	1	1	1	12	2	1	1
PE021091	2	3	2	12	2	1	1
PE021091	3	4	2	12	3	1	1
PE021091	4	5	2	3	2	1	1
PE021091	5	1	2	12	3	2	1
PE021092	1	1	1	12	2	2	1
PE021092	2	1	2	12	2	1	1
PE021092	3	2	2	6	2	1	52
PE021093	1	1	2	12	1	1	1
PE021093	2	6	2	12	1	1	1
PE021093	3	6	2	12	1	2	1
PE021093	4	7	1	1	1	1	1
PE021093	5	7	2	12	1	2	1
PE021094	1	1	1	12	2	1	1
PE021095	1	1	1	5	2	1	15
PE021095	2	1	1	6	1	2	45
PE021095	3	1	2	5	2	3	1
PE021096	1	1	2	12	1	1	36
PE021097	1	1	1	12	1	1	1
PE021097	2	2	2	2	1	1	52
PE021098	1	1	1	10	2	1	1
PE021098	2	3	2	12	1	1	1
PE021098	3	5	2	12	2	1	1
PE021099	1	1	2	12	2	1	1
PE021099	2	1	2	1	2	2	28
PE021100	1	1	2	6	2	1	60
PE021100	2	1	1	5	2	2	1
PE031001	1	1	2	12	1	1	1
PE031001	2	3	2	12	1	1	1
PE031002	1	1	2	12	1	1	1
PE031002	2	3	2	12	1	1	1
PE031002	3	4	2	12	1	1	1
PE031002	4	5	2	12	1	1	1
PE031002	5	6	2	12	1	1	1
PE031002	6	7	2	12	1	1	1
PE031002	7	8	2	12	1	1	1
PE031003	1	1	2	12	2	2	17
PE031003	2	1	2	12	2	1	1
PE031004	1	1	1	3	1	2	1
PE031004	2	1	2	9	1	1	1
PE031005	1	1	2	3	1	1	17
PE031005	2	2	2	12	1	1	1
PE031006	1	1	2	12	1	1	1
PE031006	2	3	2	12	1	1	1
PE031007	1	1	2	12	1	1	1
PE031007	2	2	2	1	2	1	1
PE031008	1	1	2	12	2	1	1
PE031008	2	1	2	12	2	2	1
PE031008	3	4	2	3	3	1	52
PE031008	4	5	2	12	2	1	1
PE031008	5	5	1	12	2	2	1
PE031008	6	6	2	12	1	1	1
PE031009	1	1	2	12	1	1	1
PE031009	2	1	1	12	4	2	1
PE031010	1	1	2	12	1	1	1
PE031010	2	3	2	12	1	1	1
PE031010	3	4	2	12	1	1	1
PE031011	1	1	2	12	1	1	1
PE031011	2	3	2	12	1	1	1
PE031012	1	1	2	10	1	1	1
PE031012	2	1	1	2	1	2	1
PE031013	1	1	2	12	1	1	17
PE031013	2	1	2	3	1	2	1
PE031013	3	3	2	12	1	1	1
PE031013	4	4	2	12	1	1	1
PE031014	1	1	2	12	1	1	1
PE031014	2	1	2	3	1	2	15
PE031014	3	1	2	3	3	3	52
PE031014	4	3	2	12	1	1	15
PE031014	5	3	2	4	3	2	15
PE031014	6	3	2	2	3	3	52
PE031014	7	4	2	4	2	1	17
PE031014	8	5	2	4	1	1	1
PE031015	1	1	2	12	1	1	1
PE031015	2	2	2	12	1	1	17
PE031015	3	3	2	12	3	1	1
PE031016	1	1	2	11	1	1	1
PE031016	2	1	1	1	1	2	75
PE031017	1	1	2	11	2	1	1
PE031017	2	1	1	1	1	2	45
PE031017	3	2	1	10	2	1	80
PE031017	4	4	1	10	2	1	80
PE031017	5	5	1	10	2	1	80
PE031017	6	4	2	4	3	2	1
PE031018	1	1	1	12	1	1	85
PE031018	2	2	2	8	1	1	52
PE031019	1	1	1	12	1	1	1
PE031020	1	1	2	12	1	1	1
PE031020	2	2	2	1	1	1	15
PE031020	3	3	2	1	1	1	1
PE031020	4	4	2	1	1	1	1
PE031021	1	1	2	6	1	1	1
PE031021	2	2	2	6	1	1	1
PE031021	3	4	2	2	1	1	1
PE031021	4	4	1	1	2	2	1
PE031022	1	2	2	12	1	1	1
PE031022	2	3	2	12	2	1	1
PE031023	1	1	2	3	1	1	45
PE031023	2	1	2	5	2	2	15
PE031023	3	1	2	3	1	3	 
PE031024	1	1	2	4	2	1	 
PE031024	2	1	2	2	2	2	1
PE031025	1	1	1	12	1	1	80
PE031026	1	1	2	12	1	1	45
