placeid	disastid	disaster	longago	pplaftcd	askhelp1	askhelp2	askhelp3	recvhelp	rechelp2	rechelp3
IN102	3	0	88	88	88	88	88	88	88	88
IN102	4	0	88	88	88	88	88	88	88	88
IN102	5	0	88	88	88	88	88	88	88	88
IN001	1	0	88	88	88	88	88	88	88	88
IN001	2	0	88	88	88	88	88	88	88	88
IN001	3	0	88	88	88	88	88	88	88	88
IN001	4	0	88	88	88	88	88	88	88	88
IN001	5	0	88	88	88	88	88	88	88	88
IN002	1	0	88	88	88	88	88	88	88	88
IN002	2	0	88	88	88	88	88	88	88	88
IN002	3	0	88	88	88	88	88	88	88	88
IN002	4	0	88	88	88	88	88	88	88	88
IN002	5	0	88	88	88	88	88	88	88	88
IN003	1	2	13	250	1	88	88	1	88	88
IN004	1	0	88	88	88	88	88	88	88	88
IN004	2	0	88	88	88	88	88	88	88	88
IN004	3	0	88	88	88	88	88	88	88	88
IN004	4	0	88	88	88	88	88	88	88	88
IN004	5	0	88	88	88	88	88	88	88	88
IN005	1	0	88	88	88	88	88	88	88	88
IN005	2	0	88	88	88	88	88	88	88	88
IN005	3	0	88	88	88	88	88	88	88	88
IN005	4	0	88	88	88	88	88	88	88	88
IN005	5	0	88	88	88	88	88	88	88	88
IN006	1	8	6	35	1	88	88	1	88	88
IN007	1	2	12	150	1	88	88	1	88	88
IN010	1	2	14	150	1	88	88	0	88	88
IN009	1	6	15	70	0	88	88	0	88	88
IN009	2	10	12	30	0	88	88	0	88	88
IN008	1	2	24	40	1	88	88	0	88	88
IN011	1	2	12	60	1	2	88	0	88	88
IN011	2	9	24	20	1	2	88	0	88	88
IN016	1	3	20	100	0	88	88	0	88	88
IN022	1	3	7	150	1	88	88	0	88	88
IN027	1	2	2	50	1	88	88	0	88	88
IN028	1	2	12	55	1	88	88	1	88	88
IN030	1	2	30	50	1	88	88	1	88	88
IN037	1	3	24	200	1	88	88	1	88	88
IN036	1	6	35	260	0	88	88	0	88	88
IN035	1	3	12	600	1	88	88	1	88	88
IN041	1	3	24	700	1	88	88	88	88	88
IN040	1	6	18	350	1	88	88	1	88	88
IN038	1	3	24	650	1	88	88	1	88	88
IN046	1	9	24	400	1	2	88	1	88	88
IN045	1	3	18	400	1	88	88	1	88	88
IN044	1	3	12	880	1	88	88	1	88	88
IN043	1	3	9	300	1	2	88	1	2	88
IN042	1	10	24	1200	1	88	88	1	88	88
