PLACEID	RSID	MODULE	SECTION	SECTION2	SECTION3	AGERES	SEXRES	INFCASTE	CAPAC	LIVRES
IN001	1	1	1	2	3	52	2	3	1	52
IN001	2	1	1	2	3	38	2	1	4	20
IN001	3	2	1	2	 	33	2	3	3	5
IN001	4	2	1	2	 	51	1	3	4	1
IN001	5	1	4	5	 	61	1	4	8	61
IN001	6	1	4	5	 	30	2	3	2	32
IN001	7	1	4	5	 	40	2	3	1	40
IN001	8	1	4	5	 	33	1	3	2	18
IN001	9	1	1	2	3	29	1	3	2	29
IN001	10	1	1	4	5	52	1	3	2	52
IN001	11	2	2	 	 	27	1	4	3	1
IN001	12	2	2	 	 	45	1	3	3	1
IN001	13	1	4	5	 	47	1	3	8	47
IN001	14	1	4	5	 	42	1	4	8	10
IN001	15	1	4	5	 	30	1	4	8	25
IN001	16	2	1	2	 	38	2	1	4	20
IN001	17	2	1	2	 	40	2	3	1	40
IN002	1	1	1	2	3	47	1	3	1	45
IN002	2	1	1	2	3	25	2	3	4	25
IN002	3	2	1	2	 	40	2	2	3	1
IN002	4	2	1	2	 	52	1	3	4	1
IN002	5	2	1	2	 	30	2	1	4	1
IN002	6	2	1	2	 	47	1	1	4	0
IN002	7	1	1	2	3	40	1	4	4	6
IN002	8	1	4	5	 	48	1	4	8	23
IN002	9	1	4	5	 	32	1	4	8	9
IN002	10	2	2	 	 	27	1	4	3	1
IN002	11	2	2	 	 	45	1	3	3	1
IN002	12	1	5	 	 	24	1	3	8	4
IN002	13	2	2	 	 	36	2	3	4	1
IN002	14	2	2	 	 	42	1	3	4	2
IN002	15	1	4	5	 	47	1	3	1	45
IN002	16	1	4	5	 	25	2	3	4	25
IN002	17	1	4	5	 	47	1	3	8	47
IN002	18	1	4	5	 	42	1	4	8	10
IN003	1	1	1	2	3	50	2	3	1	50
IN003	2	1	1	2	3	35	2	1	4	13
IN003	3	2	2	 	 	40	2	4	3	3
IN003	4	2	1	2	 	43	1	3	4	3
IN003	5	2	1	2	 	56	1	3	8	5
IN003	6	1	1	2	3	45	1	3	4	45
IN003	7	1	4	5	 	40	1	4	8	40
IN003	8	1	4	5	 	65	1	4	8	65
IN003	9	1	4	5	 	38	1	1	2	38
IN003	10	1	4	5	 	30	1	4	8	25
IN003	11	1	4	5	 	47	1	3	8	47
IN003	12	1	4	5	 	42	1	4	8	10
IN003	13	1	4	5	 	45	1	3	2	7
IN003	14	2	1	2	 	38	1	3	4	1
IN003	15	2	1	2	 	33	1	3	4	1
IN003	16	2	2	 	 	27	1	4	3	1
IN003	17	2	2	 	 	45	1	3	3	1
IN004	1	1	1	2	3	50	2	1	1	34
IN004	2	1	1	2	3	31	2	4	4	31
IN004	3	1	1	2	3	38	1	3	3	38
IN004	4	1	4	5	 	42	1	3	7	42
IN004	5	1	4	5	 	38	1	3	8	38
IN004	6	2	2	 	 	40	2	2	3	1
IN004	7	2	2	 	 	22	2	3	3	2
IN004	8	2	2	 	 	31	1	3	3	3
IN004	9	2	1	2	 	50	1	4	4	50
IN004	10	2	1	2	 	30	1	3	4	4
IN004	11	2	1	2	 	31	1	3	4	1
IN004	12	1	1	2	3	28	1	3	2	3
IN004	13	1	4	5	 	31	2	4	4	31
IN004	14	1	4	5	 	48	1	4	8	23
IN004	15	2	2	 	 	27	1	4	3	1
IN004	16	2	2	 	 	45	1	3	3	1
IN004	17	1	4	5	 	47	1	3	8	47
IN004	18	1	4	5	 	42	1	4	8	10
IN004	19	1	5	 	 	30	1	4	8	25
IN005	1	1	1	2	3	60	1	3	1	60
IN005	2	1	1	2	3	30	1	1	4	14
IN005	3	1	1	2	3	48	2	1	1	16
IN005	4	2	2	 	 	39	2	3	3	7
IN005	5	1	4	5	 	42	1	4	8	42
IN005	6	1	4	5	 	26	2	3	8	26
IN005	7	1	4	5	 	49	1	3	7	49
IN005	8	2	1	2	 	29	2	3	4	10
IN005	9	2	2	 	 	27	1	4	3	1
IN005	10	2	2	 	 	45	1	1	3	1
IN005	11	1	4	5	 	48	2	3	1	16
IN005	12	1	4	5	 	30	1	3	4	14
IN005	13	1	4	5	 	47	1	3	8	47
IN005	14	1	4	5	 	42	1	4	8	10
IN005	15	1	4	5	 	30	1	4	8	25
IN005	16	2	1	2	 	49	1	3	7	49
IN005	17	2	1	2	 	48	2	3	1	16
IN005	18	2	1	2	 	30	2	3	4	14
IN006	1	2	1	 	 	50	1	3	1	50
IN006	2	1	1	2	3	33	2	3	4	33
IN006	3	1	1	2	3	39	2	3	8	26
IN006	4	1	1	2	3	59	1	3	2	59
IN006	5	1	4	5	 	60	1	4	8	60
IN006	6	1	4	5	 	51	1	3	2	51
IN006	7	1	4	5	 	30	1	3	8	5
IN006	8	1	4	5	 	32	1	4	8	32
IN006	9	1	1	2	 	40	2	2	3	1
IN006	10	1	4	 	 	63	1	3	1	63
IN006	11	2	1	2	 	22	2	3	3	2
IN006	12	2	1	2	 	31	1	3	3	3
IN006	13	2	1	2	 	27	1	4	3	1
IN006	14	2	1	2	 	45	1	3	3	1
IN006	15	1	4	5	 	30	1	4	8	25
IN006	16	1	4	5	 	47	1	3	8	47
IN006	17	1	4	5	 	42	1	4	8	10
IN006	18	2	1	 	 	33	2	3	4	33
IN006	19	2	1	 	 	51	1	3	2	51
IN007	1	1	1	2	3	42	2	2	1	42
IN007	2	1	1	2	3	30	1	2	2	30
IN007	3	2	1	2	 	32	1	1	3	1
IN007	4	2	1	2	 	27	2	2	3	2
IN007	5	1	1	2	3	30	2	2	4	30
IN007	6	1	4	 	 	19	2	2	4	19
IN007	7	1	4	 	 	28	1	2	2	28
IN007	8	1	4	 	 	75	1	2	2	75
IN007	9	1	5	 	 	50	1	4	8	30
IN007	10	1	5	 	 	40	1	4	8	20
IN007	11	1	5	 	 	50	1	4	8	30
IN007	12	1	5	 	 	35	1	4	8	30
IN007	13	1	5	 	 	30	1	4	8	30
IN007	14	1	5	 	 	38	1	4	8	38
IN007	15	1	4	 	 	42	2	2	1	42
IN007	16	2	1	 	 	30	1	2	2	30
IN007	17	2	1	2	 	30	2	2	4	30
IN007	18	2	1	 	 	42	2	2	1	42
IN007	19	1	5	 	 	58	1	4	8	45
IN007	20	1	5	 	 	33	1	3	3	4
IN007	21	1	5	 	 	48	1	4	8	25
IN007	22	1	5	 	 	30	1	4	8	30
IN007	23	1	5	 	 	36	1	3	8	36
IN008	1	1	1	2	3	45	2	2	1	45
IN008	2	1	4	 	 	20	1	2	2	20
IN008	3	1	4	 	 	45	1	2	2	45
IN008	4	1	1	2	3	29	2	2	4	29
IN008	5	1	1	2	3	37	1	2	8	20
IN008	6	1	5	 	 	50	1	4	8	30
IN008	7	1	5	 	 	48	1	4	8	20
IN008	8	1	5	 	 	24	1	4	8	24
IN008	9	1	5	 	 	50	1	4	8	30
IN008	10	1	5	 	 	38	1	4	8	38
IN008	11	1	5	 	 	30	1	4	8	30
IN008	12	2	2	 	 	32	1	1	3	1
IN008	13	2	2	 	 	27	2	2	3	2
