placeid	foodid	avgprce
IN077	3	3
IN079	1	3
IN079	2	3
IN079	3	3
IN080	1	3
IN080	2	3
IN080	3	3
IN092	1	30
IN092	2	2
IN099	1	20
IN069	3	2.5
IN061	1	10
IN061	2	5
IN062	1	10
IN062	2	5
IN062	3	5
IN063	1	10
IN063	2	5
IN064	1	10
IN064	2	5
IN064	3	5
IN065	1	8
IN065	2	4
IN065	3	4
IN070	1	3
IN070	2	3
IN070	3	3
IN076	1	10
IN076	2	3
IN077	1	6
IN077	2	3
IN066	3	4
IN067	1	4
IN067	2	4
IN067	3	4
IN068	1	3
IN068	2	3
IN069	1	5
IN069	2	2.5
IN051	1	20
IN051	2	10
IN052	1	20
IN053	1	10
IN053	2	20
IN053	3	5
IN055	1	10
IN055	2	5
IN055	3	5
IN056	1	10
IN056	2	5
IN056	3	5
IN056	4	15
IN058	1	20
IN058	2	10
IN057	1	10
IN057	2	15
IN057	3	15
IN066	1	8
IN066	2	4
IN001	1	20
IN002	1	20
IN004	1	20
IN005	1	20
IN006	1	20
IN006	2	2
IN007	1	30
IN008	1	30
IN008	2	3
IN008	3	10
IN008	4	5
IN013	1	15
IN012	1	25
IN011	1	35
IN011	2	3
IN011	3	10
IN011	4	5
IN016	1	25
IN015	1	25
IN014	1	40
IN018	1	20
IN018	2	2
IN017	1	20
IN023	1	30
IN023	2	2
IN022	1	20
IN022	2	2
IN021	1	20
IN021	2	2
IN020	1	25
IN020	2	2
IN029	1	50
IN046	1	5
IN046	2	10
IN045	1	10
IN045	2	5
IN044	1	15
IN044	2	4
IN043	1	15
IN043	2	5
IN042	1	10
IN042	2	5
IN050	1	20
