placeid	schlid	nmchlatd	descschl
IN077	4	1	1
IN077	5	1	1
IN077	6	1	1
IN077	7	1	4
IN077	8	1	1
IN078	1	5	4
IN078	2	5	4
IN078	3	3	1
IN078	4	1	1
IN079	1	5	4
IN079	2	2	4
IN079	3	2	4
IN079	4	1	1
IN079	5	1	1
IN079	6	1	1
IN079	7	1	4
IN079	8	1	1
IN079	9	1	1
IN079	10	1	1
IN080	1	5	4
IN080	2	3	4
IN080	3	2	1
IN080	4	5	4
IN080	5	1	4
IN080	6	1	1
IN080	7	1	1
IN081	1	1	1
IN081	2	1	1
IN081	3	1	1
IN081	4	1	1
IN081	5	1	4
IN081	6	4	4
IN081	7	3	4
IN081	8	1	4
IN082	1	2	1
IN082	2	2	1
IN082	3	1	1
IN082	4	5	4
IN082	5	2	1
IN082	6	5	4
IN082	7	2	1
IN082	8	1	1
IN082	9	1	1
IN083	1	3	1
IN083	2	5	4
IN083	3	1	1
IN083	4	1	1
IN083	5	1	4
IN083	6	2	4
IN083	7	1	4
IN084	1	2	1
IN084	2	2	1
IN084	3	3	4
IN084	4	2	1
IN084	5	4	4
IN084	6	1	4
IN084	7	1	4
IN084	8	1	4
IN084	9	2	4
IN085	1	2	1
IN085	2	2	1
IN085	3	2	1
IN085	4	2	4
IN090	1	4	1
IN090	2	4	4
IN090	3	1	1
IN067	4	2	4
IN067	5	1	1
IN067	6	2	1
IN067	7	2	1
IN067	8	2	1
IN067	9	1	1
IN068	1	5	4
IN068	2	2	4
IN068	3	2	4
IN068	4	2	1
IN068	5	2	1
IN068	6	1	1
IN068	7	2	1
IN069	1	5	4
IN069	2	1	4
IN069	3	3	4
IN069	4	2	1
IN069	5	2	1
IN061	1	3	4
IN061	2	4	4
IN061	3	3	4
IN061	4	2	4
IN061	5	2	4
IN061	6	1	4
IN062	1	4	4
IN062	2	4	4
IN062	3	1	4
IN062	4	2	1
IN062	5	2	1
IN063	1	5	4
IN063	2	4	4
IN063	3	4	4
IN063	4	4	1
IN063	5	3	1
IN063	6	2	1
IN063	7	1	1
IN063	8	1	1
IN063	9	1	1
IN064	1	5	4
IN064	2	5	4
IN064	3	5	4
IN064	4	1	1
IN064	5	2	1
IN065	1	3	4
IN065	2	3	1
IN065	3	3	4
IN065	4	1	1
IN070	1	2	4
IN070	2	3	4
IN070	3	3	4
IN070	4	1	1
IN070	5	2	1
IN070	6	3	1
IN070	7	2	1
IN071	1	2	1
IN071	2	4	4
IN071	3	1	1
IN071	4	2	4
IN071	5	2	4
IN071	6	1	4
IN071	7	1	4
IN072	1	2	4
IN072	2	2	4
IN072	3	2	4
IN072	4	4	4
IN072	5	1	1
IN072	6	1	4
IN073	1	5	4
IN073	2	2	4
IN073	3	2	4
IN073	4	1	4
IN073	5	2	4
IN073	6	2	1
IN073	7	1	4
IN073	8	1	4
IN073	9	1	4
IN073	10	2	4
IN073	11	2	1
IN073	12	1	4
IN074	1	2	1
IN074	2	1	1
IN074	3	2	1
IN074	4	3	1
IN074	5	4	4
IN074	6	3	4
IN074	7	3	4
IN074	8	2	4
IN074	9	2	4
IN074	10	2	4
IN074	11	2	4
IN074	12	2	4
IN074	13	1	4
IN075	1	2	1
IN075	2	3	4
IN075	3	2	4
IN075	4	2	4
IN075	5	2	4
IN075	6	1	4
IN076	1	3	4
IN076	2	2	4
IN076	3	2	4
IN077	1	5	4
IN077	2	2	4
IN077	3	2	1
IN085	7	2	4
IN085	8	2	4
IN086	1	5	1
IN086	2	4	1
IN086	3	4	1
IN086	4	5	4
IN086	5	4	1
IN086	6	3	1
IN086	7	4	4
IN086	8	3	1
IN086	9	4	1
IN086	10	3	1
IN086	11	3	1
IN086	12	3	1
IN087	1	3	1
IN087	2	3	1
IN087	3	4	4
IN087	4	2	4
IN087	5	2	4
IN087	6	2	1
IN087	7	1	1
IN087	8	2	1
IN087	9	1	1
IN090	4	1	1
IN090	5	2	1
IN090	6	1	1
IN090	7	1	1
IN090	8	1	1
IN090	9	2	1
IN090	10	2	4
IN090	11	2	1
IN090	12	1	1
IN090	13	1	1
IN090	14	2	1
IN090	15	2	1
IN091	1	4	1
IN091	2	4	1
IN091	3	4	1
IN091	4	4	1
IN091	5	2	1
IN091	6	1	1
IN091	7	2	4
IN091	8	2	1
IN091	9	2	1
IN091	10	1	1
IN091	11	2	1
IN092	1	3	4
IN092	2	2	1
IN092	3	2	3
IN092	4	2	3
IN092	5	2	3
IN092	6	2	1
IN094	1	4	4
IN094	2	3	4
IN094	3	3	1
IN094	4	2	1
IN094	5	2	4
IN094	6	4	4
IN094	7	3	1
IN094	8	2	1
IN093	1	4	1
IN093	2	3	1
IN093	3	2	4
IN057	3	5	4
IN057	4	5	1
IN066	1	5	4
IN066	2	3	4
IN066	3	3	4
IN066	4	2	4
IN066	5	2	1
IN066	6	1	1
IN066	7	2	1
IN066	8	1	1
IN066	9	1	1
IN067	1	4	4
IN067	2	3	4
IN067	3	2	4
IN093	4	2	4
IN093	5	2	1
IN097	1	3	4
IN097	2	2	1
IN097	3	3	4
IN099	1	4	4
IN099	2	3	4
IN101	1	4	4
IN101	2	3	4
IN101	3	4	4
IN101	4	3	1
IN102	1	4	4
IN102	2	3	4
IN102	3	2	1
IN102	4	3	1
IN102	5	3	1
IN052	3	3	4
IN052	4	4	4
IN052	5	5	1
IN052	6	5	1
IN053	1	4	4
IN053	2	4	4
IN053	3	5	1
IN055	1	3	4
IN055	2	3	4
IN055	3	2	4
IN055	4	4	4
IN056	1	4	4
IN056	2	5	4
IN056	3	4	4
IN056	4	4	4
IN058	1	5	1
IN058	2	4	4
IN058	3	5	4
IN057	1	3	4
IN057	2	4	4
IN051	1	5	4
IN051	2	4	4
IN051	3	4	4
IN051	4	5	1
IN051	5	4	1
IN052	1	3	4
IN052	2	3	4
IN003	3	2	1
IN003	4	1	1
IN003	5	2	1
IN004	1	4	4
IN004	2	2	4
IN004	3	1	1
IN005	1	5	4
IN005	2	1	4
IN005	3	1	4
IN005	4	1	1
IN005	5	2	1
IN005	6	1	1
IN006	1	4	4
IN006	2	5	4
IN006	3	1	4
IN006	4	2	1
IN006	5	1	1
IN006	6	1	1
IN006	7	1	1
IN006	8	1	1
IN007	1	3	4
IN007	2	3	4
IN007	3	2	4
IN007	4	3	4
IN007	5	1	4
IN007	6	1	4
IN007	7	2	4
IN007	8	2	4
IN007	9	3	4
IN010	1	2	4
IN010	2	2	4
IN010	3	2	4
IN010	4	2	4
IN010	5	1	4
IN010	6	1	4
IN009	1	2	4
IN009	2	1	4
IN009	3	1	1
IN009	4	1	4
IN009	5	3	4
IN009	6	3	4
IN009	7	2	4
IN008	1	2	4
IN008	2	1	4
IN008	3	1	4
IN008	4	1	4
IN008	5	2	4
IN013	1	4	4
IN013	2	2	1
IN013	3	2	4
IN013	4	3	4
IN013	5	3	4
IN013	6	1	1
IN012	1	4	4
IN012	2	2	1
IN012	3	3	4
IN012	4	2	4
IN011	1	1	4
IN011	2	2	4
IN011	3	3	1
IN011	4	2	1
IN011	5	2	1
IN011	6	2	4
IN011	7	2	4
IN011	8	3	4
IN011	9	1	4
IN011	10	1	1
IN011	11	3	1
IN011	12	3	1
IN016	1	5	4
IN016	2	3	4
IN016	3	3	4
IN016	4	2	1
IN016	5	2	1
IN015	1	3	4
IN015	2	2	4
IN015	3	3	4
IN015	4	1	1
IN015	5	1	1
IN015	6	2	4
IN014	1	5	4
IN014	2	1	1
IN014	3	1	1
IN014	4	1	4
IN014	5	2	4
IN019	1	4	4
IN019	2	1	4
IN019	3	2	4
IN019	4	4	4
IN019	5	1	4
IN019	6	4	1
IN019	7	4	4
IN019	8	4	4
IN019	9	4	4
IN018	1	5	4
IN018	2	1	1
IN018	3	3	4
IN017	1	3	4
IN017	2	2	4
IN017	3	1	1
IN017	4	1	4
IN017	5	1	4
IN024	1	3	4
IN024	2	4	4
IN024	3	4	4
IN024	4	2	1
IN024	5	2	1
IN024	6	3	1
IN024	7	2	1
IN024	8	2	1
IN024	9	2	1
IN024	10	2	1
IN023	1	4	4
IN023	2	3	4
IN022	1	3	4
IN022	2	2	4
IN022	3	2	4
IN022	4	1	1
IN022	5	2	4
IN021	1	3	4
IN021	2	3	4
IN021	3	2	1
IN020	1	4	4
IN020	2	4	4
IN020	3	3	4
IN020	4	1	1
IN020	5	2	4
IN027	1	4	4
IN027	2	3	4
IN027	3	2	4
IN027	4	1	4
IN027	5	1	4
IN027	6	1	4
IN028	1	1	4
IN028	2	4	4
IN028	3	3	4
IN028	4	1	4
IN028	5	2	4
IN026	1	2	1
IN026	2	3	1
IN026	3	2	1
IN026	4	2	4
IN026	5	3	4
IN025	1	1	4
IN025	2	3	1
IN025	3	3	1
IN025	4	2	1
IN025	5	2	1
IN025	6	2	1
IN032	1	3	4
IN032	2	2	4
IN032	3	2	4
IN032	4	2	4
IN032	5	2	4
IN031	1	5	4
IN031	2	2	4
IN031	3	3	4
IN031	4	4	4
IN031	5	1	1
IN030	1	4	4
IN030	2	3	4
IN030	3	2	4
IN030	4	1	4
IN030	5	1	4
IN030	6	2	4
IN030	7	2	1
IN029	1	4	4
IN029	2	3	4
IN029	3	2	1
IN029	4	2	4
IN037	1	5	4
IN037	2	5	4
IN037	3	2	1
IN037	4	2	1
IN037	5	1	1
IN036	1	4	4
IN036	2	2	4
IN036	3	2	4
IN036	4	2	1
IN036	5	1	4
IN035	1	5	4
IN035	2	4	4
IN035	3	2	1
IN034	1	5	1
IN034	2	3	4
IN034	3	2	4
IN034	4	3	1
IN034	5	3	1
IN034	6	2	4
IN033	1	3	1
IN033	2	3	1
IN033	3	4	4
IN033	4	3	4
IN033	5	2	1
IN033	6	2	1
IN033	7	4	1
IN033	8	2	1
IN033	9	2	1
IN033	10	2	1
IN041	1	5	4
IN041	2	5	1
IN041	3	4	1
IN041	4	5	4
IN041	5	4	4
IN040	1	4	4
IN040	2	2	4
IN040	3	2	4
IN040	4	1	4
IN040	5	2	1
IN038	1	5	4
IN038	2	4	4
IN046	1	5	4
IN046	2	4	1
IN046	3	5	4
IN046	4	1	1
IN046	5	1	1
IN045	1	3	4
IN045	2	2	4
IN045	3	2	4
IN045	4	2	1
IN045	5	2	4
IN044	1	5	4
IN044	2	5	4
IN044	3	4	4
IN044	4	2	1
IN044	5	2	4
IN044	6	2	4
IN043	1	5	4
IN043	2	5	4
IN043	3	2	1
IN043	4	1	4
IN043	5	1	4
IN042	1	5	4
IN042	2	3	4
IN042	3	4	4
IN042	4	4	4
IN042	5	4	4
IN042	6	3	1
IN042	7	5	4
IN042	8	2	1
IN042	9	2	1
IN047	1	5	4
IN047	2	4	4
IN047	3	4	1
IN047	4	4	1
IN047	5	5	4
IN047	6	3	1
IN047	7	3	1
IN048	1	5	4
IN048	2	4	4
IN048	3	2	4
IN048	4	3	7
IN048	5	4	4
IN048	6	4	4
IN048	7	3	4
IN048	8	3	1
IN048	9	3	1
IN049	1	5	1
IN049	2	4	4
IN049	3	3	4
IN049	4	3	4
IN049	5	4	4
IN049	6	3	4
IN049	7	3	4
IN049	8	3	7
IN049	9	3	1
IN049	10	3	1
IN049	11	3	1
IN049	12	3	1
IN049	13	3	1
IN049	14	3	1
IN049	15	4	4
IN050	1	3	4
IN050	2	3	4
IN050	3	4	4
IN050	4	5	1
IN050	5	4	1
IN050	6	4	1
IN001	1	4	4
IN001	2	2	4
IN001	3	1	1
IN001	4	1	4
IN001	5	1	4
IN002	1	3	4
IN002	2	5	4
IN002	3	2	4
IN002	4	1	4
IN002	5	2	1
IN002	6	1	1
IN002	7	1	4
IN003	1	4	4
IN003	2	3	4
IN085	5	1	1
IN085	6	4	4
IN087	10	1	1
IN087	11	1	1
IN087	12	1	1
IN087	13	1	4
IN088	1	5	1
IN088	2	4	1
IN088	3	4	1
IN088	4	3	4
IN088	5	2	1
IN088	6	3	1
IN088	7	2	1
IN088	8	2	1
IN088	9	2	1
IN088	10	2	1
IN088	11	2	1
IN089	1	5	1
IN089	2	3	4
IN089	3	3	1
IN089	4	3	1
IN089	5	4	1
