CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
VN010051	1	52	1	3	1	1	5	3	1
VN010052	1	50	2	3	1	1	5	4	1
VN010053	1	58	1	3	1	2	5	4	1
VN010054	1	36	2	3	1	2	5	10	1
VN010054	2	56	4	3	1	2	5	4	1
VN010055	1	49	1	3	1	2	5	5	1
VN010056	1	37	4	3	1	2	5	10	1
VN010057	1	37	4	3	1	2	5	10	1
VN010058	1	50	2	3	1	2	5	4	1
VN010059	1	46	3	3	1	2	5	4	1
VN010060	1	48	4	3	1	2	5	4	1
VN010062	1	48	3	3	1	2	5	4	1
VN010063	1	50	2	3	1	2	5	4	1
VN010064	1	48	3	3	1	2	5	5	1
VN010065	1	48	4	3	1	3	5	6	1
VN010067	1	36	2	3	1	2	5	10	1
VN010067	2	48	4	3	1	2	5	4	1
VN010068	1	53	4	3	1	2	6	3	1
VN010069	1	48	4	3	1	2	5	4	0
VN010070	1	56	1	3	1	2	5	4	0
VN010071	1	61	4	3	1	2	6	3	1
VN010072	1	60	4	3	1	2	5	4	1
VN010074	1	42	4	3	1	2	5	4	1
VN010075	1	60	4	3	1	2	5	3	1
VN010076	1	60	4	3	1	2	5	4	1
VN010077	1	37	4	3	1	2	5	4	1
VN010078	1	46	4	3	1	2	5	4	1
VN010079	1	48	3	3	1	2	5	4	0
VN010080	1	50	4	3	1	2	5	4	0
VN010081	1	52	2	3	1	2	5	4	0
VN010082	1	50	2	3	1	2	5	4	0
VN010083	1	60	4	3	1	2	6	4	1
VN010084	1	58	4	3	1	2	5	5	1
VN010086	1	52	4	3	1	2	5	4	1
VN010087	1	52	4	3	1	2	5	4	1
VN010088	1	50	2	3	1	2	5	4	0
VN010089	1	52	4	3	1	2	5	4	1
VN010091	1	54	2	3	1	2	5	4	0
VN010092	1	60	4	3	1	2	5	4	1
VN010093	1	55	4	3	1	2	5	4	0
VN010094	1	49	4	3	1	2	5	5	1
VN010095	1	61	4	3	1	2	5	3	1
VN010096	1	55	1	3	1	2	5	4	0
VN010097	1	48	2	3	1	2	5	4	0
VN010100	1	48	4	3	1	2	5	4	0
VN010104	1	48	3	4	1	2	5	5	1
VN010109	1	55	4	3	1	2	5	4	1
VN010118	1	51	2	3	1	2	5	4	1
VN010121	1	36	4	3	1	2	5	5	1
VN010122	1	50	4	3	1	2	5	4	0
VN010124	1	53	4	3	1	2	5	4	0
VN010140	1	61	4	3	1	2	5	4	1
VN020001	1	59	1	3	1	2	5	4	1
VN020003	1	63	1	3	1	2	5	4	1
VN020004	1	44	3	3	1	2	5	3	1
VN020005	1	64	1	3	1	2	5	3	1
VN020007	1	62	1	3	1	2	5	3	1
VN020008	1	50	3	3	1	2	5	3	1
VN020009	1	48	3	3	1	2	5	3	1
