CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
VN070079	1	61	1	3	1	3	5	4	1
VN070080	1	52	2	3	1	2	5	9	1
VN070081	1	47	3	2	1	2	6	9	1
VN070083	1	38	4	3	1	3	5	4	1
VN070084	1	56	1	3	1	2	5	3	1
VN070085	1	48	4	3	1	2	5	4	1
VN070086	1	38	3	5	1	2	5	8	0
VN070087	1	60	1	3	1	3	5	4	0
VN070088	1	60	1	3	1	3	5	4	1
VN070090	1	46	3	3	1	2	5	4	0
VN070091	1	59	1	3	1	3	5	3	1
VN070094	1	58	1	3	1	3	5	4	0
VN070095	1	63	1	3	1	3	5	4	0
VN070098	1	63	1	3	1	1	5	3	1
VN070099	1	57	1	3	1	2	5	3	1
VN070102	1	62	1	3	1	3	5	4	0
VN070105	1	-99	3	3	1	2	5	9	0
VN070116	1	58	1	3	1	2	5	4	0
VN070118	1	54	1	3	1	3	5	3	1
VN070123	1	49	4	3	1	2	5	3	1
VN070124	1	51	4	3	1	3	6	4	1
VN070125	1	53	4	3	1	2	5	3	1
VN070126	1	56	1	3	1	2	5	3	1
VN080001	1	36	4	3	1	2	5	4	1
VN080002	1	36	4	3	1	2	5	4	1
VN080003	1	48	4	3	1	2	5	3	0
VN080004	1	48	4	3	1	2	5	3	1
VN080005	1	61	1	3	1	2	5	4	1
VN080006	1	48	4	3	1	2	5	3	1
VN080008	1	48	4	3	1	2	5	7	0
VN080009	1	48	4	3	1	2	5	4	1
VN080011	1	60	4	3	1	2	5	3	0
VN080013	1	36	4	3	1	2	5	4	1
VN080014	1	58	4	1	1	2	6	8	1
VN080015	1	36	4	3	1	2	5	4	1
VN080016	1	36	4	3	1	2	5	3	1
VN080018	1	48	1	3	1	2	5	4	1
VN080019	1	36	4	3	1	2	5	4	1
VN080020	1	36	4	3	1	2	5	4	1
VN080021	1	40	1	3	1	2	5	4	1
VN080022	1	48	4	3	1	2	5	3	1
VN080024	1	48	4	3	1	2	5	3	0
VN080025	1	36	4	3	1	2	5	4	1
VN080026	1	60	4	3	1	2	5	4	1
VN080027	1	36	4	3	1	2	5	3	1
VN080029	1	48	4	3	1	2	5	3	1
VN080030	1	36	3	3	1	3	5	4	1
VN080031	1	36	4	3	1	2	5	5	1
VN080032	1	36	4	3	1	1	5	5	0
VN080033	1	36	4	3	1	3	5	4	0
VN080034	1	36	4	3	1	1	5	5	1
VN080035	1	50	4	3	1	2	5	3	1
VN080036	1	48	4	3	1	2	5	3	1
VN080037	1	36	4	3	1	2	5	4	1
VN080039	1	48	4	1	1	2	5	4	1
VN080040	1	48	4	3	1	2	5	4	1
VN080041	1	36	4	3	1	2	5	4	1
VN080042	1	48	4	3	1	3	5	3	1
VN080045	1	48	4	3	1	1	5	3	1
VN080046	1	48	4	3	1	2	5	3	0
VN080047	1	48	4	3	1	2	5	4	1
VN080049	1	48	4	3	1	3	5	3	1
VN080050	1	44	2	1	1	3	6	8	0
VN080050	2	52	4	1	1	2	6	9	0
VN080051	1	48	3	3	1	2	5	4	1
VN080052	1	48	3	3	1	3	5	4	1
VN080053	1	48	4	3	1	2	5	5	1
VN080056	1	48	4	3	1	2	5	3	1
VN080058	1	48	1	3	1	3	5	4	1
VN080059	1	48	4	3	1	2	5	3	1
VN080060	1	48	4	3	1	2	5	3	1
VN080061	1	48	3	3	1	2	5	4	1
VN080062	1	48	4	3	1	2	5	4	1
VN080065	1	39	4	3	1	3	5	5	0
VN080066	1	48	4	3	1	2	5	4	0
VN080067	1	36	2	3	1	1	5	5	1
VN080069	1	36	4	1	1	2	6	10	1
VN080070	1	36	3	3	1	2	5	4	1
VN080071	1	36	2	3	1	1	5	5	0
VN080073	1	36	1	1	1	2	5	8	1
VN080073	2	60	4	3	1	2	5	8	1
VN080075	1	36	4	3	1	1	5	5	0
VN080076	1	61	1	3	1	3	5	3	1
VN080078	1	36	4	3	1	3	5	4	0
VN080079	1	36	4	3	1	2	5	8	0
VN080081	1	36	4	3	1	2	5	3	1
VN080082	1	50	3	3	1	3	5	3	1
VN080083	1	36	99	1	1	2	5	8	1
VN080083	2	48	4	1	1	1	5	8	1
VN080084	1	36	2	3	1	2	5	5	0
VN080085	1	36	2	3	1	2	5	5	1
VN080088	1	48	1	3	1	2	5	3	0
VN080090	1	38	2	3	1	1	5	5	0
VN080091	1	36	1	1	1	2	5	8	1
VN080092	1	48	4	3	1	3	5	3	1
VN080093	1	36	4	3	1	2	5	4	1
VN080094	1	36	2	3	1	3	5	5	1
VN080095	1	59	4	3	1	3	5	4	1
VN080104	1	48	1	3	1	3	5	4	1
VN080107	1	46	4	3	1	2	5	4	0
VN080115	1	48	4	3	1	2	5	3	1
VN080119	1	48	4	3	1	2	5	3	0
VN080132	1	48	2	3	1	2	5	4	1
VN080142	1	60	1	3	1	2	5	4	1
VN080154	1	39	2	3	1	2	5	5	0
VN080162	1	38	3	3	1	2	5	5	0
VN090001	1	46	3	3	1	2	5	4	1
VN090002	1	36	4	3	0	2	6	6	1
VN090003	1	53	2	3	0	2	5	8	1
VN090004	1	36	4	3	1	2	6	3	0
VN090005	1	36	4	3	0	2	5	3	1
VN090006	1	50	4	3	0	2	5	7	1
VN090008	1	46	4	3	0	2	5	5	1
VN090009	1	48	4	3	1	3	5	10	1
VN090010	1	45	4	3	0	2	5	6	1
VN090011	1	48	3	3	0	2	6	2	0
VN090012	1	36	4	3	1	3	6	3	1
VN090013	1	47	4	3	0	2	5	3	1
VN090014	1	36	4	3	0	3	6	4	1
VN090015	1	46	4	3	1	1	5	4	1
VN090017	1	36	4	4	0	2	5	4	0
VN090020	1	36	4	3	0	2	5	3	1
VN090021	1	36	4	3	0	2	5	10	0
VN090023	1	37	4	3	1	2	5	3	1
VN090024	1	48	4	3	0	3	5	4	1
VN090025	1	36	4	3	1	2	5	3	1
VN090026	1	36	4	3	1	2	5	3	1
VN090027	1	36	4	3	0	2	5	3	0
VN090028	1	39	4	3	0	3	5	4	0
VN090029	1	36	4	3	0	2	5	3	1
VN090031	1	36	4	3	0	2	5	3	1
VN090032	1	48	4	3	0	2	5	3	0
VN090034	1	46	4	3	0	3	5	3	1
VN090035	1	55	4	3	0	2	5	3	1
VN090037	1	57	4	3	0	2	5	3	1
VN090038	1	48	4	3	0	2	5	3	0
VN090042	1	48	4	3	0	2	5	3	1
VN090043	1	57	4	3	1	2	5	5	1
VN090044	1	65	4	3	0	77	5	3	0
VN090047	1	36	4	3	0	3	5	3	1
VN090049	1	-77	4	3	0	2	5	3	1
VN090050	1	48	4	3	0	2	5	3	1
VN090051	1	48	4	3	0	2	5	3	1
VN090053	1	48	4	3	0	3	5	3	1
VN090057	1	48	4	3	0	2	5	3	0
VN090061	1	63	4	3	0	3	6	3	1
VN090066	1	48	4	3	0	2	5	4	0
VN090073	1	48	4	3	0	2	5	3	0
VN090074	1	48	4	3	0	2	5	6	1
VN090078	1	48	4	3	0	2	6	3	1
VN090079	1	47	4	3	0	2	5	4	1
VN090080	1	48	4	3	0	2	6	3	1
VN090082	1	52	4	3	0	77	5	3	0
VN090085	1	48	4	3	0	2	5	3	0
VN090086	1	48	4	3	0	2	5	3	0
VN090087	1	48	4	3	0	2	6	3	1
VN090092	1	61	4	3	0	2	5	3	1
VN090093	1	55	4	3	0	3	5	3	1
VN090094	1	52	4	3	0	2	5	4	1
VN090095	1	36	4	3	0	3	6	3	1
VN090097	1	36	3	3	0	2	5	3	1
VN090098	1	48	4	3	0	2	5	3	0
VN090099	1	48	4	3	0	2	5	3	0
VN090101	1	36	4	3	0	2	5	3	1
VN090102	1	39	4	3	0	3	5	9	1
VN090105	1	48	4	3	0	2	6	3	1
VN090120	1	48	4	3	0	2	5	3	0
VN090125	1	59	4	3	0	2	5	5	1
VN100002	1	36	4	3	1	3	5	3	0
VN100003	1	44	4	3	1	2	5	9	1
VN100004	1	48	4	3	1	3	5	3	0
VN100006	1	44	1	3	1	2	5	3	1
VN100007	1	41	2	3	0	2	5	8	1
VN100008	1	45	4	3	1	3	6	10	1
VN100010	1	38	4	3	0	2	5	4	1
VN100011	1	36	4	3	1	2	5	9	1
VN100012	1	36	4	3	1	3	5	6	0
VN100013	1	39	4	3	1	3	5	7	0
VN100014	1	36	4	3	1	2	5	9	1
VN100015	1	36	4	3	0	2	5	8	1
VN100016	1	36	4	3	1	2	5	9	1
VN100017	1	42	4	3	0	3	5	8	1
VN100018	1	36	4	3	1	2	5	9	1
VN100020	1	48	4	3	1	2	5	3	0
VN100022	1	42	4	4	0	3	5	8	1
VN100024	1	36	4	3	1	2	5	4	1
VN100025	1	49	4	3	1	2	5	6	1
VN100026	1	49	4	3	0	2	5	8	1
VN100027	1	46	4	3	0	2	5	9	1
VN100029	1	36	4	3	0	2	5	9	1
VN100030	1	58	4	3	1	2	5	9	1
VN100031	1	39	4	3	1	2	5	9	1
VN100032	1	39	3	3	1	3	5	9	1
VN100032	2	49	4	3	1	3	5	4	1
VN100033	1	37	4	3	1	2	5	9	1
VN100035	1	34	4	4	1	3	5	9	1
VN100036	1	42	4	3	0	2	5	8	1
VN100038	1	36	4	3	0	3	5	4	1
VN100039	1	48	4	3	1	2	5	3	0
VN100040	1	56	4	3	0	3	5	3	1
VN100041	1	50	4	3	0	2	5	4	1
VN100042	1	41	4	3	1	2	5	9	1
VN100043	1	44	4	3	1	2	5	8	1
VN100044	1	48	4	3	1	3	5	6	1
VN100045	1	44	4	3	1	2	5	9	1
VN100046	1	36	4	3	1	2	5	8	0
VN100047	1	33	4	1	0	2	5	8	1
VN100048	1	42	4	3	1	2	5	9	1
VN100050	1	45	4	3	0	2	5	8	1
VN100051	1	44	4	3	1	2	5	3	1
VN100052	1	36	4	3	1	2	5	4	0
VN100054	1	36	4	3	1	3	5	7	1
VN100055	1	37	4	3	0	2	5	4	1
VN100056	1	37	4	3	0	2	5	4	1
VN100057	1	45	4	3	0	2	5	8	1
VN100058	1	39	4	3	1	2	5	8	1
VN100059	1	45	4	3	1	4	5	8	0
VN100060	1	45	4	3	0	2	5	8	1
VN100061	1	40	4	3	1	2	5	8	1
VN100062	1	36	4	3	1	2	5	8	1
VN100064	1	46	4	3	0	2	5	8	1
VN100066	1	45	4	3	0	2	5	8	1
VN100067	1	50	4	3	0	2	5	4	1
VN100068	1	43	4	3	0	2	5	8	1
VN100069	1	36	4	3	1	2	5	4	0
VN100070	1	40	4	3	1	2	5	3	1
VN100071	1	33	4	3	0	2	5	4	1
VN100072	1	36	4	3	1	2	5	3	1
VN100073	1	36	4	3	1	2	5	4	0
VN100074	1	45	4	3	1	2	5	3	1
VN100076	1	42	4	3	0	2	5	8	1
VN100077	1	36	4	3	1	2	5	8	0
VN100078	1	37	4	3	0	2	5	8	1
VN100079	1	36	4	3	1	2	5	7	0
VN100080	1	38	4	3	1	2	5	9	1
VN100081	1	52	4	3	0	2	5	8	1
VN100082	1	45	4	3	1	2	5	8	1
VN100083	1	48	4	3	1	2	5	7	0
VN100084	1	36	4	3	1	2	5	8	1
VN100085	1	44	4	3	1	3	5	9	1
VN100086	1	36	4	3	1	2	5	8	1
VN100087	1	36	4	3	1	2	5	8	1
VN100088	1	42	4	3	0	2	5	8	1
VN100089	1	36	4	3	1	3	5	6	1
VN100090	1	36	4	3	1	3	5	9	1
VN100091	1	36	4	3	1	3	5	6	1
VN100092	1	36	4	3	1	1	5	7	0
VN100093	1	38	4	3	1	2	5	9	1
VN100094	1	36	4	3	0	3	5	9	1
VN100095	1	36	4	3	1	2	5	6	1
VN100096	1	36	4	3	1	2	5	8	1
VN100097	1	46	4	3	1	2	5	9	1
VN100098	1	36	4	3	1	3	5	8	1
VN100099	1	49	4	3	0	3	5	9	1
VN100100	1	36	4	3	1	2	5	8	1
VN100101	1	57	4	3	0	3	5	3	1
VN100103	1	36	4	3	1	2	5	7	0
VN100104	1	36	4	3	1	2	5	8	0
VN100106	1	36	4	3	1	2	5	9	1
VN100107	1	45	4	3	1	2	5	8	1
VN100108	1	36	4	3	0	2	5	9	1
VN100109	1	35	4	3	1	2	5	9	1
VN100111	1	46	4	3	0	3	5	3	1
VN100113	1	39	4	3	1	2	5	9	1
VN100115	1	44	4	3	1	77	5	3	77
VN100118	1	36	4	3	1	2	5	7	0
VN110001	1	36	4	3	1	2	5	9	1
VN110002	1	36	4	3	1	2	5	9	1
VN110003	1	48	3	3	1	3	5	7	1
VN110005	1	40	4	3	1	1	5	8	1
VN110006	1	36	4	3	1	3	5	7	1
VN110007	1	36	4	3	1	2	5	8	1
VN110008	1	46	4	3	1	3	5	4	0
VN110010	1	38	4	3	1	3	5	9	1
VN110012	1	48	2	3	1	2	5	4	1
VN110013	1	48	4	3	1	2	5	3	1
VN110014	1	36	4	3	1	3	5	4	1
VN110015	1	41	4	3	1	3	5	4	0
VN110017	1	46	4	3	1	2	5	4	0
VN110019	1	40	4	3	1	3	5	5	0
VN110021	1	36	4	3	1	3	5	4	1
VN110023	1	40	4	3	1	2	5	4	0
VN110024	1	59	1	3	1	3	5	3	0
VN110025	1	48	4	2	1	3	5	7	1
VN110028	1	48	4	3	1	2	5	9	1
VN110029	1	36	3	3	1	2	5	9	1
VN110030	1	48	4	3	1	3	5	8	0
VN110031	1	36	4	3	1	3	5	5	0
VN110032	1	48	4	3	1	3	5	7	0
VN110033	1	48	4	3	1	2	5	9	1
VN110034	1	48	4	3	1	2	5	9	1
VN110035	1	36	4	3	1	3	5	7	1
VN110036	1	36	4	3	1	3	5	7	1
VN110037	1	36	4	3	1	2	5	7	0
VN110038	1	36	4	3	1	2	5	8	0
VN110040	1	48	4	3	1	3	5	7	0
VN110041	1	48	4	3	1	2	5	9	1
VN110042	1	48	4	3	1	3	5	8	0
VN110043	1	36	4	3	1	2	5	9	1
VN110044	1	48	4	3	1	3	5	7	0
VN110045	1	36	4	3	1	3	5	7	1
VN110047	1	36	4	3	1	2	5	9	1
VN110048	1	45	4	3	1	2	5	9	1
VN110049	1	53	4	3	1	2	5	9	1
VN110050	1	48	4	3	1	4	5	3	0
VN110051	1	49	4	3	1	3	5	4	1
VN110052	1	40	3	3	1	3	6	4	1
VN110053	1	46	4	3	1	3	5	3	0
VN110054	1	50	4	3	1	2	5	4	0
VN110055	1	58	4	3	1	4	5	3	1
VN110056	1	55	4	3	1	3	5	3	1
VN110057	1	48	4	3	1	3	5	4	0
VN110058	1	48	4	3	1	2	5	4	0
VN110059	1	48	4	3	1	3	5	4	1
VN110060	1	56	4	3	1	2	5	3	1
VN110061	1	36	4	3	1	2	5	9	1
VN110062	1	48	4	3	1	3	5	3	0
VN110063	1	59	4	3	1	3	5	4	1
VN110064	1	48	4	3	1	3	5	3	0
VN110066	1	68	4	3	1	2	5	4	1
VN110067	1	52	4	3	1	3	5	4	1
VN110068	1	54	1	3	1	3	5	4	1
VN110072	1	45	4	3	1	2	5	4	0
VN110073	1	46	4	3	1	3	5	3	0
VN110074	1	38	4	3	1	2	5	4	1
VN110075	1	44	4	3	1	2	5	4	1
VN110076	1	48	1	3	1	2	5	4	1
VN110077	1	48	4	3	1	3	5	3	1
VN110078	1	50	4	3	1	3	5	3	1
VN110079	1	46	4	3	1	2	5	3	0
VN110080	1	42	4	3	1	3	5	4	1
VN110081	1	40	4	3	1	2	5	4	0
VN110082	1	47	4	3	1	3	5	4	1
VN110083	1	47	4	3	1	4	5	3	0
VN110084	1	48	4	3	1	3	5	4	1
VN110085	1	40	4	3	1	2	5	4	1
VN110086	1	48	4	3	1	3	5	3	0
VN110087	1	38	3	3	1	4	5	4	1
VN110088	1	48	3	3	1	2	5	4	0
VN110089	1	48	4	3	1	3	5	4	1
VN110090	1	49	4	3	1	2	5	4	1
VN110091	1	36	4	3	1	3	5	4	0
VN110092	1	36	4	3	1	3	5	4	0
VN110093	1	48	4	3	1	3	5	4	0
VN110094	1	48	4	2	1	2	5	4	1
VN110095	1	48	4	3	1	3	5	4	0
VN110096	1	50	4	3	1	2	5	4	1
VN110097	1	57	4	3	1	2	5	4	1
VN110098	1	52	4	3	1	2	5	3	1
VN110099	1	40	4	3	1	2	5	3	1
VN110100	1	52	4	3	1	2	6	4	1
VN110101	1	36	4	3	1	3	5	9	1
VN110104	1	36	4	3	1	3	5	4	0
VN110108	1	40	4	3	1	3	5	4	0
VN110115	1	46	4	3	1	2	5	3	1
VN110119	1	39	4	3	1	2	5	4	1
VN110121	1	36	4	3	1	2	5	9	1
VN110123	1	36	4	3	1	4	5	8	0
VN110125	1	36	4	3	1	3	5	9	1
VN120001	1	36	4	3	1	2	5	9	1
VN120003	1	36	4	3	1	3	5	7	1
VN120004	1	60	2	3	1	2	6	8	1
VN120006	1	36	4	3	1	2	5	8	0
VN120007	1	50	4	3	1	3	5	4	1
VN120009	1	54	4	3	1	1	5	8	1
VN120010	1	63	4	3	1	1	5	9	1
VN120011	1	48	4	3	1	2	5	9	1
VN120013	1	36	4	3	1	2	5	8	0
VN120014	1	61	4	3	1	2	5	9	1
VN120016	1	50	4	3	1	2	5	7	1
VN120017	1	48	4	3	1	2	5	7	1
VN120020	1	37	4	3	1	3	5	4	1
VN120022	1	48	4	3	0	3	5	4	1
VN120023	1	53	4	3	0	3	5	4	1
VN120024	1	50	4	3	1	2	5	4	1
VN120026	1	45	4	3	1	2	5	4	1
VN120029	1	55	4	3	0	3	5	4	1
VN120030	1	48	4	3	1	2	5	4	0
VN120032	1	50	4	3	1	2	5	4	0
VN120033	1	50	4	3	1	3	5	4	1
VN120034	1	61	4	3	1	4	5	4	0
VN120035	1	57	4	4	1	3	5	9	1
VN120036	1	60	4	3	1	3	5	4	1
VN120037	1	55	1	3	1	4	5	3	1
VN120038	1	48	4	3	1	2	5	3	0
VN120039	1	48	4	3	1	2	5	4	1
VN120040	1	36	4	3	1	2	5	8	1
VN120041	1	36	4	1	1	1	6	10	1
VN120042	1	48	4	3	1	3	5	4	1
VN120043	1	49	4	3	1	3	5	3	1
VN120045	1	52	4	3	1	2	5	3	0
VN120046	1	59	4	3	1	3	5	3	1
VN120048	1	50	4	3	1	2	5	3	0
VN120049	1	48	4	3	1	2	5	4	1
VN120053	1	46	4	3	1	2	5	4	1
VN120054	1	48	4	3	1	4	5	4	1
VN120055	1	36	4	3	1	2	5	8	0
VN120058	1	48	4	3	1	3	5	4	1
VN120059	1	48	4	3	1	3	5	3	1
VN120060	1	36	4	3	1	2	5	3	0
VN120061	1	36	4	3	1	3	5	4	0
VN120062	1	36	4	3	1	2	5	3	1
VN120063	1	36	4	3	1	2	5	7	0
VN120064	1	36	4	3	1	2	5	7	0
VN120065	1	36	4	3	1	2	5	8	1
VN120066	1	36	4	3	1	3	5	8	0
VN120067	1	40	4	3	1	2	5	8	1
VN120068	1	56	4	3	1	3	5	8	1
VN120069	1	36	4	3	1	2	5	4	0
VN120070	1	36	4	3	1	3	5	3	1
VN120071	1	38	4	3	1	2	5	4	1
VN120072	1	48	4	3	1	3	5	3	1
VN120076	1	36	4	3	1	2	5	4	0
VN120077	1	48	4	3	1	4	5	3	1
VN120079	1	36	4	3	1	2	5	4	1
VN120080	1	37	4	3	1	2	5	4	1
VN120081	1	36	4	3	1	2	5	4	0
VN120083	1	48	4	3	1	2	4	2	0
VN120084	1	45	4	3	1	3	5	3	1
VN120085	1	36	4	3	1	2	5	4	1
VN120086	1	38	4	3	1	3	5	3	1
VN120087	1	48	4	3	1	3	5	4	0
VN120088	1	43	4	3	1	3	5	3	1
VN120089	1	48	4	3	1	3	7	4	0
VN120090	1	50	4	3	1	2	5	8	1
VN120092	1	55	4	3	1	2	5	4	1
VN120093	1	48	4	3	1	3	5	3	0
VN120095	1	50	4	3	1	3	5	3	0
VN120096	1	55	4	3	1	3	5	4	1
VN120097	1	53	4	3	1	3	5	4	1
VN120098	1	48	4	3	1	3	5	4	1
VN120099	1	48	4	3	1	2	5	4	1
VN120114	1	54	4	3	1	2	5	10	1
VN120115	1	36	4	3	1	2	5	4	1
VN120121	1	48	4	3	1	2	5	4	0
VN120125	1	48	4	3	1	3	5	4	1
VN120126	1	37	4	3	1	2	5	4	1
VN120133	1	36	4	3	1	2	5	4	0
VN120134	1	48	4	3	1	2	5	4	0
VN120139	1	36	4	3	1	2	5	8	1
VN120140	1	36	4	3	1	1	5	7	1
VN120141	1	48	4	3	1	3	5	7	1
VN120142	1	36	4	3	1	3	5	3	1
VN120148	1	40	4	3	1	3	5	4	0
VN120150	1	36	4	3	1	3	5	3	0
VN130001	1	36	4	3	1	2	6	7	1
VN130002	1	36	4	3	1	3	6	6	1
VN130003	1	36	4	3	1	3	6	5	1
VN130004	1	36	4	3	1	3	6	7	1
VN130005	1	36	4	4	1	3	6	6	1
VN130006	1	36	4	4	1	2	6	9	1
VN130007	1	36	4	3	1	2	6	8	1
VN130008	1	36	4	3	1	4	6	7	1
VN130009	1	36	4	3	1	2	5	9	1
VN130010	1	36	4	3	1	2	6	7	1
VN130011	1	36	4	3	1	2	5	7	1
VN130012	1	36	4	3	1	2	6	6	1
VN130013	1	36	4	3	1	2	5	6	1
VN130014	1	56	4	3	1	2	5	7	1
VN130015	1	36	4	3	1	1	6	9	1
VN130016	1	37	3	3	1	3	6	5	1
VN130016	2	52	4	3	1	2	6	9	1
VN130017	1	36	4	3	1	2	6	7	1
VN130019	1	36	3	3	1	2	6	8	1
VN130019	2	60	4	3	1	2	6	8	1
VN130020	1	36	4	3	1	2	6	7	1
VN130021	1	36	4	3	1	2	6	7	1
VN130022	1	42	4	3	1	3	6	10	1
VN130023	1	36	2	3	1	2	6	6	1
VN130023	2	48	2	3	1	2	6	6	1
VN130023	3	60	2	3	1	2	6	7	1
VN130024	1	48	2	3	1	3	6	7	1
VN130024	2	60	4	3	1	3	6	7	1
VN130025	1	36	4	3	1	3	6	6	1
VN130026	1	36	3	3	1	2	6	6	1
VN130026	2	60	4	3	1	2	6	7	1
VN130027	1	36	4	3	1	2	6	8	1
VN130028	1	36	3	3	1	4	6	8	1
VN130028	2	60	4	3	1	5	6	8	1
VN130029	1	48	2	3	1	3	6	6	1
VN130029	2	60	4	3	1	2	6	7	1
VN130030	1	36	4	3	1	3	6	7	1
VN130032	1	36	4	3	1	2	6	7	1
VN130033	1	36	4	3	1	2	6	7	1
VN130034	1	36	4	3	1	3	6	7	1
VN130035	1	36	4	3	1	2	6	7	1
VN130036	1	36	4	1	1	3	6	7	1
VN130037	1	36	4	3	1	3	6	7	1
VN130038	1	48	4	3	1	3	6	8	1
VN130039	1	36	2	3	1	2	6	6	1
VN130039	2	48	2	3	1	2	6	7	1
VN130039	3	60	4	3	1	2	6	7	1
VN130040	1	36	4	3	1	2	6	7	1
VN130041	1	36	4	3	1	3	6	9	1
VN130042	1	36	3	3	1	3	6	6	1
VN130042	2	48	3	3	1	3	6	7	1
VN130042	3	60	4	3	1	3	6	7	1
VN130043	1	36	4	3	1	4	6	6	1
VN130044	1	36	4	3	1	3	6	7	1
VN130045	1	36	2	3	1	4	7	7	1
VN130045	2	48	4	3	1	3	6	6	1
VN130046	1	36	4	3	1	3	6	10	1
VN130047	1	36	4	3	1	3	5	7	1
VN130048	1	36	4	3	1	3	6	7	1
VN130049	1	36	4	3	1	3	6	7	1
VN130050	1	48	4	3	1	3	6	8	1
VN130051	1	36	4	3	1	2	6	8	1
VN130052	1	36	4	3	1	3	6	7	1
VN130053	1	36	4	3	1	3	6	7	1
VN130054	1	36	4	3	1	4	6	8	1
VN130055	1	36	4	3	1	2	6	6	1
VN130056	1	34	4	3	1	3	6	6	1
VN130057	1	48	4	3	1	2	6	7	1
VN130058	1	36	4	3	1	3	6	7	1
VN130059	1	36	4	3	1	3	6	7	1
VN130060	1	36	4	3	1	3	6	6	1
VN130061	1	62	4	3	1	2	6	10	1
VN130063	1	36	4	3	1	4	6	6	1
VN130064	1	36	4	3	1	3	6	7	1
VN130065	1	36	4	3	1	4	6	6	1
VN130066	1	36	4	3	1	2	6	7	1
VN130067	1	36	4	3	1	3	6	7	1
VN130068	1	36	4	3	1	2	6	7	1
VN130069	1	30	4	3	1	2	6	7	1
VN130070	1	36	4	3	1	2	6	7	1
VN130071	1	60	4	3	1	3	6	10	1
VN130072	1	50	4	3	1	3	6	5	1
VN130073	1	36	4	3	1	2	6	7	0
VN130074	1	48	4	3	1	3	5	7	1
VN130075	1	36	4	3	1	1	6	8	1
VN130076	1	24	3	3	1	3	6	6	1
VN130076	2	60	4	3	1	4	6	7	1
VN130077	1	36	4	3	1	2	6	7	1
VN130078	1	36	3	3	1	3	6	7	1
VN130078	2	60	4	3	1	3	6	7	1
VN130079	1	36	4	3	1	3	6	7	1
VN130080	1	36	4	3	1	2	6	7	1
VN130081	1	36	4	3	1	4	6	7	1
VN130082	1	36	4	3	1	2	6	7	1
VN130083	1	36	4	3	1	2	6	8	1
VN130085	1	38	4	3	1	2	6	8	1
VN130086	1	36	4	3	1	2	6	7	1
VN130087	1	36	4	3	1	4	6	8	1
VN130088	1	36	4	3	1	2	6	7	1
VN130089	1	36	4	3	1	3	6	7	1
VN130090	1	36	4	3	1	3	6	7	1
VN130091	1	36	4	3	1	3	6	7	1
VN130092	1	36	4	3	1	2	6	7	1
VN130093	1	36	4	3	1	3	6	8	1
VN130094	1	36	4	3	1	3	6	7	1
VN130095	1	36	4	3	1	4	6	7	1
VN130096	1	48	4	3	1	3	6	7	1
VN130097	1	36	2	3	1	5	5	6	1
VN130097	2	48	2	3	1	2	6	7	1
VN130097	3	60	4	3	1	1	6	7	1
VN130098	1	36	4	3	1	2	4	6	1
VN130099	1	36	4	3	1	3	6	8	1
VN130100	1	36	4	3	1	2	6	8	1
VN130101	1	36	4	3	1	3	6	6	1
VN130102	1	36	4	3	1	3	6	7	1
VN130103	1	36	4	3	1	4	6	8	1
VN130104	1	36	4	3	1	2	6	10	1
VN140001	1	36	4	3	1	2	6	7	1
VN140002	1	54	4	3	1	2	6	10	1
VN140003	1	36	3	3	1	2	6	5	1
VN140003	2	48	4	3	1	2	6	6	1
VN140004	1	48	4	3	1	2	6	9	1
VN140005	1	36	4	3	1	2	6	8	1
VN140006	1	36	4	3	1	2	6	7	1
VN140007	1	36	4	3	1	3	6	10	1
VN140008	1	36	3	3	1	2	6	7	1
VN140008	2	60	4	3	1	2	6	10	1
VN140009	1	48	4	3	1	2	6	7	1
VN140010	1	36	4	3	1	2	6	10	1
VN140011	1	49	4	3	1	2	6	6	1
VN140012	1	42	4	3	1	3	6	6	1
VN140013	1	48	4	3	1	3	6	6	1
VN140014	1	36	4	3	1	2	6	10	1
VN140015	1	36	2	3	1	2	5	6	1
VN140015	2	48	4	3	1	2	6	7	1
VN140016	1	48	4	3	1	2	6	6	1
VN140017	1	36	4	3	1	3	6	7	1
VN140018	1	36	2	3	1	3	5	6	1
VN140019	1	-77	4	3	1	2	6	7	1
VN140020	1	48	4	3	1	2	6	8	1
VN140021	1	48	4	3	1	2	6	7	1
VN140022	1	48	4	3	1	2	7	9	1
VN140023	1	38	4	3	1	3	6	10	1
VN140024	1	48	4	3	1	2	6	8	0
VN140025	1	42	4	3	1	2	6	9	1
VN140026	1	43	4	3	1	2	6	9	1
VN140027	1	36	4	3	1	2	6	7	1
VN140028	1	67	4	3	1	3	6	10	1
VN140029	1	48	4	3	1	1	6	7	0
VN140030	1	36	3	3	1	2	6	8	1
VN140030	2	54	4	3	1	2	6	8	1
VN140031	1	51	4	3	1	1	6	9	1
VN140032	1	36	4	3	1	2	6	7	1
VN140033	1	36	4	3	1	2	6	8	1
VN140034	1	60	4	3	1	2	6	10	1
VN140036	1	63	4	3	1	2	6	10	1
VN140037	1	36	4	3	1	3	6	8	0
VN140038	1	36	3	3	1	3	6	6	1
VN140038	2	62	4	3	1	3	6	6	1
VN140039	1	36	4	3	1	2	6	9	1
