CHILDID	CRECHID	AGECRECH	CRECHDUR	CRECHTYP	PAYCRECH	CRCHQUAL	DAYSCREC	HRSCRECH	CRECHVIS
VN010001	1	12	4	3	1	2	6	10	1
VN010002	1	30	3	3	1	2	5	10	1
VN010011	1	18	3	3	1	2	6	10	1
VN010013	1	4	4	3	1	2	5	12	1
VN010014	1	24	2	3	1	2	5	10	1
VN010021	1	4	3	3	1	2	5	10	1
VN010041	1	30	3	3	1	2	5	10	1
VN010044	1	5	3	3	1	2	5	4	1
VN010045	1	24	4	3	1	2	5	10	1
VN010046	1	11	3	3	1	4	5	8	1
VN010048	1	24	4	3	1	2	5	10	1
VN010054	1	24	3	3	1	2	5	10	1
VN010056	1	12	4	3	1	2	5	10	1
VN010057	1	26	3	3	1	2	5	8	1
VN010065	1	17	4	3	1	3	5	6	1
VN010067	1	12	3	3	1	2	5	10	1
VN010072	1	5	1	3	1	2	6	4	1
VN010077	1	7	4	3	1	2	5	9	1
VN010080	1	6	3	3	1	4	5	9	1
VN010084	1	5	2	3	1	2	5	10	1
VN010086	1	20	3	3	1	2	5	10	1
VN010092	1	5	1	3	1	2	5	8	1
VN010094	1	18	1	3	1	2	6	10	1
VN010122	1	32	2	3	1	2	5	9	1
VN020007	1	24	1	1	1	2	6	6	1
VN020013	1	24	3	1	1	2	6	6	1
VN020028	1	24	4	1	1	2	5	8	1
VN020029	1	12	3	1	1	3	6	6	1
VN020029	2	24	2	1	1	3	6	6	1
VN020105	1	36	1	1	1	2	7	6	1
VN020133	1	17	3	3	1	2	5	3	1
VN030093	1	24	2	3	1	2	5	10	1
VN040093	1	21	3	3	1	2	5	9	1
VN050001	1	32	3	3	1	2	5	5	1
VN050002	1	30	3	3	1	2	5	4	1
VN050006	1	24	2	3	1	1	5	9	1
VN050021	1	22	3	3	1	2	5	8	1
VN050024	1	16	3	3	1	2	5	8	1
VN050031	1	33	3	3	1	2	5	8	1
VN050033	1	24	2	1	1	2	7	8	1
VN050034	1	17	3	1	1	3	6	11	1
VN050036	1	6	4	3	1	2	5	8	1
VN050038	1	33	1	3	1	2	5	3	1
VN050047	1	28	3	3	1	2	5	8	1
VN050086	1	24	3	4	1	3	6	7	1
VN050115	1	33	2	1	1	2	6	8	1
VN070006	1	30	4	3	1	3	6	8	0
VN070009	1	15	3	3	1	3	5	4	0
VN070017	1	30	3	4	1	2	6	7	1
VN070022	1	24	3	3	1	2	6	7	1
VN070031	1	34	2	1	1	2	6	10	1
VN070034	1	14	3	4	1	3	6	8	0
VN070036	1	33	2	3	1	2	6	8	1
VN070086	1	15	4	5	1	2	5	10	1
VN080006	1	24	2	3	1	2	7	8	1
VN080042	1	18	2	1	1	3	5	9	1
VN080055	1	24	2	1	1	2	6	10	1
VN080069	1	24	4	1	1	2	6	10	1
VN080079	1	20	3	3	1	2	5	8	0
VN080085	1	26	2	3	1	1	5	8	1
VN080086	1	4	3	3	0	2	5	8	1
VN080092	1	15	2	3	1	3	6	8	1
VN080093	1	17	4	3	1	2	5	8	1
VN080094	1	30	3	3	1	4	5	5	1
VN080097	1	28	1	3	1	2	5	8	1
VN080098	1	28	2	3	1	3	5	5	1
VN100012	1	24	2	3	1	3	5	7	0
VN100017	1	30	2	3	0	3	5	8	1
VN100020	1	24	3	3	1	2	5	8	0
VN100022	1	18	3	3	0	3	5	6	1
VN100027	1	24	2	3	1	2	5	9	1
VN100036	1	30	2	3	0	2	5	8	1
VN100047	1	21	2	3	0	2	5	8	1
VN100060	1	25	2	3	0	2	5	8	1
VN100064	1	24	2	3	0	2	5	8	1
VN100066	1	28	2	3	0	2	5	8	1
VN100077	1	24	3	3	1	2	5	7	0
VN100078	1	25	2	3	0	2	5	8	1
VN100083	1	24	3	3	1	2	5	7	0
VN100084	1	24	2	3	1	2	5	8	1
VN100088	1	32	2	3	0	2	5	8	1
VN100092	1	24	3	3	1	2	5	7	0
VN100093	1	24	2	3	1	2	5	9	1
VN100107	1	33	2	1	1	2	5	9	1
VN100118	1	24	2	3	1	2	5	7	0
VN110001	1	18	3	3	1	2	5	9	1
VN110003	1	6	3	3	1	2	5	7	1
VN110005	1	10	3	3	1	1	5	9	1
VN110006	1	22	3	3	1	3	5	7	1
VN110007	1	9	3	3	1	3	5	8	1
VN110025	1	28	4	2	1	3	5	9	1
VN110029	1	30	2	3	1	2	5	9	1
VN110031	1	30	4	3	1	3	5	5	0
VN110036	1	27	4	3	1	3	5	7	1
VN110037	1	22	4	3	1	2	5	7	0
VN110038	1	19	3	3	1	3	5	7	0
VN110045	1	8	4	3	1	3	5	7	1
VN110047	1	24	3	3	1	2	5	9	1
VN110101	1	5	3	3	1	2	5	9	1
VN110125	1	12	3	3	1	3	5	9	1
VN120010	1	27	2	3	1	2	5	9	1
VN120041	1	24	2	3	1	2	5	4	1
VN120055	1	24	4	3	1	2	5	8	0
VN120061	1	6	4	3	1	3	5	5	0
VN120062	1	8	4	3	1	2	5	7	1
VN120067	1	17	4	3	1	3	5	9	1
VN120068	1	18	3	3	1	3	5	6	1
VN120076	1	30	4	3	1	2	5	4	0
VN120079	1	30	2	3	1	2	5	4	1
VN120080	1	24	1	3	0	2	5	4	1
VN120081	1	24	2	3	1	2	5	4	0
VN120140	1	20	4	3	1	1	5	7	1
VN120142	1	4	4	3	1	3	5	3	1
VN130001	1	15	3	3	1	3	5	6	1
VN130003	1	11	2	3	1	3	6	5	1
VN130004	1	30	4	3	1	3	5	6	1
VN130006	1	3	3	3	1	2	5	6	1
VN130008	1	36	3	3	1	4	6	6	1
VN130010	1	8	3	3	1	3	6	6	1
VN130012	1	8	3	3	1	2	6	6	1
VN130013	1	12	3	3	1	2	5	8	1
VN130015	1	15	3	3	1	3	6	8	1
VN130017	1	12	3	3	1	3	6	7	1
VN130019	1	10	3	1	1	2	7	10	1
VN130020	1	12	3	3	1	2	6	6	1
VN130022	1	18	3	1	1	3	6	10	1
VN130024	1	30	3	3	1	3	6	6	1
VN130026	1	24	2	3	1	3	5	7	1
VN130027	1	28	4	3	1	2	6	8	1
VN130028	1	12	3	1	1	2	7	10	1
VN130029	1	24	2	3	1	3	6	6	1
VN130030	1	24	2	1	1	3	6	6	1
VN130032	1	18	3	1	1	2	7	8	1
VN130033	1	12	3	1	1	3	7	8	1
VN130035	1	8	3	3	1	2	6	7	1
VN130036	1	11	2	3	1	3	5	8	1
VN130036	2	18	3	1	1	2	7	8	1
VN130038	1	12	3	3	1	2	6	8	1
VN130039	1	12	3	3	1	2	5	7	1
VN130040	1	12	3	3	1	2	6	6	1
VN130042	1	12	3	3	1	3	5	6	1
VN130043	1	12	3	3	1	3	6	6	1
VN130044	1	17	2	3	1	4	5	5	1
VN130045	1	12	3	3	1	4	7	7	1
VN130046	1	24	3	1	1	3	6	10	1
VN130047	1	8	2	3	1	3	6	6	1
VN130048	1	30	2	3	1	4	4	6	1
VN130049	1	5	3	3	1	3	6	7	1
VN130050	1	9	3	3	1	2	6	6	1
VN130052	1	15	3	3	1	2	6	7	1
VN130053	1	24	2	3	1	3	6	6	1
VN130054	1	8	3	3	1	4	6	6	1
VN130055	1	16	3	3	1	2	6	6	1
VN130057	1	12	3	3	1	3	5	5	1
VN130058	1	18	3	3	1	3	6	6	1
VN130059	1	9	3	3	1	3	4	6	1
VN130060	1	20	3	3	1	4	6	6	1
VN130063	1	15	3	3	1	4	6	6	1
VN130064	1	24	2	3	1	3	6	5	1
VN130066	1	5	3	3	1	3	4	7	1
VN130067	1	10	3	3	1	3	6	7	1
VN130068	1	10	3	3	1	2	5	7	1
VN130071	1	9	2	1	1	3	5	6	1
VN130071	2	15	4	3	1	3	6	10	1
VN130072	1	26	1	3	1	3	5	4	1
VN130072	2	32	1	3	1	3	5	7	1
VN130072	3	36	2	3	1	2	5	3	1
VN130073	1	18	3	3	1	3	6	7	1
VN130074	1	12	3	3	1	3	5	7	1
VN130075	1	24	2	3	1	2	6	8	1
VN130076	1	12	2	3	1	3	6	6	1
VN130078	1	7	3	1	0	2	7	9	1
VN130080	1	7	3	3	1	3	7	8	1
VN130081	1	5	3	3	1	3	6	7	1
VN130082	1	12	3	3	1	2	6	7	1
VN130085	1	6	3	3	1	2	6	8	1
VN130086	1	5	1	1	1	2	7	8	1
VN130086	2	10	3	3	1	2	6	8	1
VN130087	1	18	3	3	1	4	6	8	1
VN130088	1	9	3	3	1	2	6	7	1
VN130090	1	10	3	3	1	4	6	7	1
VN130091	1	5	2	1	1	3	7	9	1
VN130091	2	12	3	3	1	3	6	8	1
VN130093	1	9	3	3	1	3	6	8	1
VN130094	1	3	3	3	1	2	6	6	1
VN130095	1	8	2	3	1	5	5	7	1
VN130098	1	8	3	3	1	3	5	4	1
VN130099	1	8	3	3	1	3	6	8	1
VN130100	1	30	4	3	1	2	6	8	1
VN130101	1	24	3	3	1	3	6	6	1
VN130102	1	18	3	3	1	2	5	6	1
VN130103	1	12	2	3	1	4	5	6	1
VN130104	1	25	2	3	1	3	6	8	1
VN140001	1	24	3	3	1	1	5	7	1
VN140002	1	6	3	1	1	2	7	8	1
VN140002	2	24	1	3	1	2	6	8	1
VN140004	1	24	3	3	1	2	6	9	1
VN140005	1	30	4	3	1	2	6	8	1
VN140006	1	24	3	3	1	2	6	7	1
VN140009	1	25	3	3	1	2	6	7	1
VN140010	1	24	4	3	1	2	6	10	1
VN140011	1	24	3	3	1	4	6	6	1
VN140016	1	18	3	3	1	2	5	6	1
VN140020	1	36	3	2	1	2	6	8	1
VN140021	1	20	3	3	1	2	6	7	1
VN140022	1	36	3	3	1	2	7	8	1
VN140026	1	24	3	3	1	2	6	9	1
VN140029	1	18	2	5	1	2	6	6	0
VN140030	1	5	3	5	1	3	7	8	1
VN140031	1	24	3	3	1	1	6	8	1
VN140033	1	12	3	1	1	2	7	8	1
VN140034	1	15	3	3	1	3	6	7	1
VN140036	1	4	2	1	1	2	7	9	1
VN140036	2	16	3	3	1	2	6	8	1
VN140038	1	8	3	1	1	3	7	7	1
VN140040	1	12	3	3	1	3	6	8	1
VN140043	1	24	2	3	1	2	5	8	1
VN140044	1	22	4	3	1	2	6	8	1
VN140045	1	10	3	1	1	3	7	9	1
VN140046	1	20	3	3	1	3	6	7	1
VN140047	1	24	3	3	1	4	6	6	1
VN140048	1	12	3	3	1	3	5	8	1
VN140049	1	17	2	1	1	2	7	8	1
VN140050	1	9	3	3	1	2	6	8	1
VN140053	1	10	3	3	1	2	5	7	1
VN140055	1	10	3	3	1	3	6	7	1
VN140056	1	7	2	4	1	2	6	7	1
VN140056	2	18	4	3	1	3	6	7	1
VN140057	1	24	3	3	1	3	6	6	1
VN140058	1	24	4	3	1	2	6	7	1
VN140059	1	7	3	3	1	3	6	7	1
VN140060	1	10	3	3	1	2	6	7	1
VN140061	1	15	3	3	1	3	6	6	1
VN140063	1	24	3	3	1	3	6	8	1
VN140064	1	10	3	3	1	3	6	8	1
VN140066	1	9	3	3	1	3	6	7	1
VN140067	1	25	3	3	1	2	6	8	1
VN140068	1	6	3	3	1	2	5	4	1
VN140070	1	20	3	3	1	3	6	7	1
VN140071	1	30	2	3	1	3	6	7	1
VN140072	1	12	3	3	1	2	6	5	1
VN140073	1	24	3	3	1	3	6	7	1
VN140074	1	7	3	3	1	2	6	6	1
VN140077	1	20	4	3	1	3	6	7	1
VN140078	1	15	3	3	1	2	6	6	1
VN140080	1	30	3	3	1	2	6	7	1
VN140081	1	22	3	3	1	2	6	8	1
VN140083	1	12	3	3	1	2	6	6	1
VN140084	1	6	3	3	1	2	6	6	1
VN140085	1	8	3	3	1	2	6	6	1
VN140087	1	10	3	3	1	2	6	7	1
VN140088	1	18	3	3	1	2	6	7	1
VN140089	1	20	3	3	1	2	6	6	1
VN140090	1	30	3	3	1	1	6	7	1
VN140091	1	15	3	3	1	3	6	6	1
VN140093	1	12	3	3	1	3	6	6	1
VN140093	2	25	4	3	1	2	6	4	1
VN140094	1	10	3	3	1	1	6	7	1
VN140095	1	12	3	3	1	3	6	7	1
VN140096	1	30	4	3	1	2	5	6	0
VN140097	1	16	3	1	1	3	7	10	1
VN140100	1	16	3	3	1	2	6	7	1
VN140101	1	20	3	3	1	2	6	8	1
VN140103	1	30	4	3	1	2	6	10	1
VN140107	1	24	3	3	1	2	6	9	1
VN150001	1	24	2	3	1	3	6	7	1
VN150002	1	12	3	3	1	3	6	8	1
VN150003	1	12	4	3	1	2	5	8	1
VN150005	1	8	3	3	1	3	6	6	1
VN150006	1	12	3	3	1	3	6	7	1
VN150007	1	12	4	4	1	2	5	8	1
VN150008	1	8	3	3	1	3	6	7	1
VN150011	1	12	3	3	1	2	6	8	1
VN150013	1	10	3	3	1	2	6	8	1
VN150014	1	7	3	3	1	3	6	7	1
VN150015	1	15	3	3	1	2	6	8	1
VN150017	1	8	3	3	1	3	6	7	1
VN150021	1	12	4	3	1	2	5	8	1
VN150022	1	8	1	1	1	2	5	8	0
VN150024	1	3	4	3	1	4	6	8	0
VN150027	1	16	3	3	0	3	6	7	1
VN150029	1	7	3	3	1	2	6	8	1
VN150030	1	12	3	3	1	3	6	7	1
VN150035	1	12	3	3	1	3	6	7	1
VN150038	1	8	4	3	1	3	7	8	0
VN150039	1	9	2	1	1	3	6	8	1
VN150041	1	9	3	3	1	3	5	7	1
VN150051	1	14	3	3	1	3	6	7	1
VN150053	1	12	2	3	1	3	5	8	1
VN150054	1	18	3	3	1	3	6	7	1
VN150060	1	6	3	3	1	3	6	7	1
VN150061	1	18	3	3	1	3	6	8	0
VN150067	1	12	2	3	1	3	5	8	1
VN150070	1	18	3	3	1	3	6	8	1
VN150071	1	18	3	3	1	3	6	8	0
VN150073	1	24	2	3	1	3	6	7	1
VN150077	1	12	4	3	1	3	6	8	0
VN150078	1	12	3	3	1	3	6	8	0
VN150079	1	12	3	3	1	2	5	8	0
VN150081	1	18	3	3	1	3	6	8	0
VN150086	1	25	4	3	1	3	6	8	1
VN150089	1	4	3	3	1	2	6	8	1
VN150090	1	17	3	3	1	3	6	7	1
VN150091	1	18	3	3	1	3	6	7	1
VN150095	1	5	1	3	1	2	5	8	1
VN150096	1	8	4	3	1	2	6	8	0
VN150098	1	8	1	3	1	3	6	7	1
VN150103	1	24	2	3	1	2	5	8	1
VN150105	1	24	3	3	1	3	6	8	1
VN150126	1	8	4	3	1	2	6	5	1
VN150128	1	18	3	3	1	3	6	7	1
VN150129	1	24	4	3	1	2	5	8	1
VN150130	1	18	3	3	1	3	6	7	1
VN150133	1	12	4	3	1	3	5	8	0
VN150134	1	24	3	3	1	3	6	7	1
VN150137	1	24	3	3	1	3	6	7	1
VN150139	1	12	2	3	1	3	5	8	1
VN150140	1	15	3	3	1	3	7	8	0
VN150141	1	30	1	3	1	3	6	7	1
VN150142	1	14	3	3	1	3	6	8	0
VN160002	1	6	1	3	1	2	5	8	1
