CHILDID	LOANID	LOANTYPE	LOANSRCE	LOANIMPT	LOANKIDS	LOANREPY
VN010002	1	1	3	2	2	3
VN010003	1	2	8	2	3	2
VN010006	1	2	7	2	3	3
VN010007	1	1	2	1	1	2
VN010008	1	1	6	1	1	1
VN010009	1	1	3	1	1	3
VN010011	1	1	2	2	3	2
VN010014	1	2	8	2	2	3
VN010015	1	1	3	1	1	2
VN010017	1	1	6	2	2	2
VN010019	1	2	8	1	1	2
VN010020	1	1	3	1	1	2
VN010022	1	2	8	2	2	2
VN010025	1	1	3	1	1	2
VN010030	1	1	2	1	1	2
VN010031	1	1	2	2	2	2
VN010032	1	2	8	1	1	4
VN010035	1	2	8	2	2	3
VN010037	1	1	2	2	2	2
VN010038	1	2	8	2	2	2
VN010039	1	2	8	3	3	1
VN010040	1	1	1	1	1	2
VN010045	1	1	3	2	2	2
VN010046	1	1	2	2	2	2
VN010048	1	1	2	2	2	2
VN010049	1	1	2	2	2	3
VN010052	1	2	8	2	1	2
VN010054	1	2	8	2	2	2
VN010055	1	2	8	2	2	2
VN010056	1	1	2	1	1	2
VN010057	1	2	8	1	1	2
VN010060	1	1	3	1	1	3
VN010063	1	1	2	1	1	3
VN010064	1	1	5	2	2	1
VN010067	1	2	8	3	3	3
VN010069	1	2	8	2	2	2
VN010075	1	1	2	2	2	2
VN010078	1	1	2	3	3	1
VN010081	1	1	3	1	1	2
VN010087	1	2	8	2	3	2
VN010088	1	1	3	1	1	2
VN010089	1	2	8	1	1	3
VN010091	1	1	1	1	1	2
VN010092	1	1	2	2	2	2
VN010093	1	2	8	2	2	2
VN010097	1	1	1	1	1	2
VN010109	1	1	2	2	2	2
VN010118	1	1	10	1	1	2
VN010122	1	1	2	1	1	3
VN010140	1	1	6	2	2	2
VN020005	1	2	8	3	3	2
VN020007	1	1	2	2	2	3
VN020010	1	1	2	2	2	2
VN020012	1	1	6	2	2	2
VN020013	1	1	2	2	2	3
VN020018	1	1	2	2	2	1
VN020021	1	1	2	2	2	2
VN020023	1	2	8	2	2	2
VN020024	1	1	6	2	2	3
VN020026	1	1	6	2	2	2
VN020029	1	2	8	2	2	3
VN020037	1	1	2	2	2	2
VN020039	1	2	8	1	1	2
VN020043	1	2	8	2	2	3
VN020050	1	1	2	1	1	2
VN020054	1	2	8	2	2	1
VN020057	1	1	2	2	2	3
VN020065	1	2	8	2	2	1
VN020068	1	2	8	3	3	2
VN020069	1	2	8	2	2	2
VN020078	1	2	8	2	3	1
VN020079	1	2	8	2	3	1
VN020081	1	2	8	2	2	3
VN020083	1	2	8	1	1	1
VN020084	1	1	2	2	2	3
VN020088	1	1	6	2	2	1
VN020089	1	1	2	2	2	2
VN020094	1	1	6	4	4	3
VN020097	1	2	8	2	2	1
VN020098	1	1	1	3	3	3
VN020100	1	1	6	2	2	1
VN020108	1	2	8	2	2	1
VN020114	1	1	1	2	2	1
VN020117	1	2	8	2	2	2
VN020118	1	2	8	2	2	1
VN020119	1	1	1	2	2	2
VN020119	2	2	8	2	3	2
VN020123	1	1	6	5	4	3
VN020131	1	1	2	4	3	2
VN020131	2	2	8	2	2	1
VN020135	1	1	6	2	2	2
VN020135	2	2	7	3	2	2
VN020135	3	2	8	2	2	1
VN030002	1	1	3	2	2	3
VN030003	1	1	3	2	2	2
VN030004	1	1	2	1	1	2
VN030009	1	2	7	2	2	2
VN030011	1	1	3	2	2	3
VN030012	1	1	3	2	2	2
VN030013	1	1	3	2	2	3
VN030014	1	1	3	2	2	3
VN030015	1	1	3	1	1	3
VN030017	1	1	2	3	3	3
VN030018	1	1	3	2	2	2
VN030022	1	2	8	1	1	3
VN030025	1	1	3	1	1	2
VN030027	1	1	3	1	1	2
VN030028	1	2	7	2	2	3
VN030034	1	1	1	2	2	2
VN030035	1	2	8	2	3	1
VN030036	1	2	8	2	2	3
VN030037	1	1	2	1	1	1
VN030039	1	1	2	2	2	2
VN030041	1	1	1	1	1	2
VN030042	1	2	8	2	2	2
VN030043	1	1	1	1	1	2
VN030044	1	2	8	2	2	2
VN030047	1	1	1	3	3	3
VN030050	1	2	7	2	2	2
VN030051	1	2	7	2	2	2
VN030052	1	1	3	1	1	2
VN030057	1	2	8	2	2	3
VN030058	1	2	8	2	2	3
VN030061	1	1	1	3	3	3
VN030062	1	2	7	2	2	2
VN030064	1	2	8	3	3	2
VN030066	1	1	1	2	2	2
VN030067	1	2	8	2	2	2
VN030071	1	1	2	1	1	3
VN030071	2	2	8	1	1	3
VN030072	1	1	2	2	2	1
VN030074	1	1	1	2	2	2
VN030077	1	2	8	2	2	2
VN030078	1	1	1	1	1	2
VN030083	1	1	3	2	2	2
VN030087	1	1	2	1	1	2
VN030088	1	1	3	2	2	2
VN030089	1	1	2	2	2	1
VN030092	1	1	2	1	1	2
VN030093	1	1	6	2	2	3
VN030094	1	1	3	1	1	2
VN030095	1	1	2	1	1	3
VN030099	1	1	2	2	2	2
