CHILDID	GRPID	GROUP	IDGRP	YEARMEM	BENGRP1	BENGRP2	FRQATTEN	LEADMEM	YEARLEAD	PAREPOST	WHYJOIN	INFLNCE
VN010001	1	16	1	1990	8	6	3	1	2001	0	12	3
VN010001	2	23	2	1995	5	1	3	0	-88	88	88	88
VN010002	1	23	2	2004	4	88	3	0	-88	88	88	88
VN010005	1	23	2	1996	2	88	4	0	-88	88	88	88
VN010007	1	23	2	2005	3	4	3	0	-88	88	88	88
VN010008	1	24	1	2002	4	99	5	0	-88	88	88	88
VN010008	2	23	2	2005	5	99	4	0	-88	88	88	88
VN010009	1	24	1	2000	1	4	5	0	-88	88	88	88
VN010013	1	22	1	1987	8	88	4	0	-88	88	88	88
VN010013	2	23	2	1990	8	88	4	0	-88	88	88	88
VN010013	3	22	3	1992	8	88	4	1	2000	0	10	3
VN010013	4	22	4	1994	8	88	4	0	-88	88	88	88
VN010014	1	23	2	2006	4	88	3	0	-88	88	88	88
VN010015	1	23	2	2000	2	6	3	0	-88	88	88	88
VN010017	1	23	2	2005	2	88	3	0	-88	88	88	88
VN010018	1	23	2	2004	6	1	3	0	-88	88	88	88
VN010018	2	24	1	2001	1	6	3	0	-88	88	88	88
VN010019	1	23	2	2001	4	88	4	0	-88	88	88	88
VN010019	2	24	1	2000	3	88	4	0	-88	88	88	88
VN010020	1	28	3	-77	3	88	5	0	-88	88	88	88
VN010022	1	23	2	2005	3	88	4	0	-88	88	88	88
VN010025	1	23	2	2003	4	6	3	0	-88	88	88	88
VN010027	1	22	3	1997	8	88	4	0	-88	88	88	88
VN010027	2	22	4	1999	8	88	4	0	-88	88	88	88
VN010027	3	16	3	1997	5	88	3	1	2005	0	14	3
VN010027	4	16	4	1999	5	88	3	0	-88	88	88	88
VN010029	1	23	2	2002	3	4	3	0	-88	88	88	88
VN010030	1	23	1	2004	1	6	3	0	-88	88	88	88
VN010031	1	24	2	1987	1	99	4	0	-88	88	88	88
VN010031	2	23	3	1987	2	99	4	0	-88	88	88	88
VN010033	1	24	1	2003	2	6	4	0	-88	88	88	88
VN010036	2	22	1	1997	4	88	3	0	-88	88	88	88
VN010038	1	22	2	2003	5	88	5	0	-88	88	88	88
VN010038	2	23	2	2004	2	88	4	0	-88	88	88	88
VN010040	1	22	3	1998	4	88	3	0	-88	88	88	88
VN010040	2	23	4	2004	2	88	3	0	-88	88	88	88
VN010042	1	23	2	2004	4	6	5	0	-88	88	88	88
VN010044	1	22	2	1999	4	6	3	0	-88	88	88	88
VN010044	2	23	4	2000	2	4	3	0	-88	88	88	88
VN010048	1	23	2	2002	2	88	3	0	-88	88	88	88
VN010049	1	23	2	1998	2	88	3	0	-88	88	88	88
VN010050	1	23	2	1997	1	6	3	0	-88	88	88	88
VN010052	1	23	2	2001	6	1	3	0	-88	88	88	88
VN010056	1	24	1	1999	2	88	4	0	-88	88	88	88
VN010056	2	23	2	2000	2	88	4	0	-88	88	88	88
VN010058	1	23	2	2004	2	1	3	0	-88	88	88	88
VN010060	1	23	2	2002	4	88	3	0	-88	88	88	88
VN010064	1	23	2	2003	3	88	3	0	-88	88	88	88
VN010068	1	23	2	1993	11	99	5	0	-88	88	88	88
VN010073	1	23	2	2001	4	6	3	0	-88	88	88	88
VN010075	1	23	2	2000	2	88	3	0	-88	88	88	88
VN010076	1	23	3	1986	8	88	4	0	-88	88	88	88
VN010079	1	23	2	2003	4	6	3	0	-88	88	88	88
VN010080	1	23	2	2006	3	4	3	0	-88	88	88	88
VN010081	1	23	2	2000	4	6	3	0	-88	88	88	88
VN010081	2	24	1	2003	2	4	4	0	-88	88	88	88
VN010082	1	23	2	2003	4	88	3	0	-88	88	88	88
VN010083	1	23	2	2001	2	99	3	0	-88	88	88	88
VN010088	1	23	2	2002	4	6	3	0	-88	88	88	88
VN010091	1	23	2	2004	4	6	3	0	-88	88	88	88
VN010092	1	23	2	2006	2	99	4	0	-88	88	88	88
VN010097	1	23	2	2003	4	6	3	0	-88	88	88	88
VN010100	1	23	4	2003	6	4	3	0	-88	88	88	88
VN010100	2	24	1	1998	2	6	5	0	-88	88	88	88
VN010104	1	18	80	1999	5	88	5	0	-88	88	88	88
VN010118	1	24	1	2003	1	6	5	0	-88	88	88	88
VN010121	1	23	2	2005	3	88	3	0	-88	88	88	88
VN010122	1	23	2	2002	3	4	2	0	-88	88	88	88
VN020017	1	28	1	1998	3	4	3	0	-88	88	88	88
VN020019	1	23	2	2000	5	3	3	0	-88	88	88	88
VN020019	2	24	1	2000	4	88	3	0	-88	88	88	88
VN020036	1	23	2	2001	3	6	3	0	-88	88	88	88
VN020037	1	10	2	2006	6	88	3	0	-88	88	88	88
