CHILDID	PROJID	PRJPRTLV	PRJMANDV	PRJPROC	PRJOPMNT	COMPRJLV	COMPRJDV	COMPRJPC	COMPRJMT	PRJAGREE	IMPINCOM	IMPHEAL	IMPKIDS	IMPSAFE
VN010001	2	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010001	3	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010001	4	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010001	5	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010001	7	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010002	2	4	4	5	5	4	4	4	4	1	3	2	2	2
VN010002	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010002	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010003	2	4	4	5	5	3	3	4	4	1	3	2	3	2
VN010003	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010003	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010003	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010004	2	5	5	5	5	3	3	4	4	1	4	2	2	2
VN010004	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010004	7	5	5	5	5	4	4	4	4	1	3	2	2	3
VN010005	2	5	5	5	5	3	3	3	3	2	2	3	2	1
VN010005	4	5	5	5	5	3	3	3	3	2	2	3	2	1
VN010005	5	5	5	5	5	3	3	3	3	2	2	3	2	1
VN010006	2	5	5	5	5	3	3	3	2	2	1	1	1	1
VN010006	7	5	5	5	5	3	3	3	2	2	1	1	1	1
VN010007	2	5	4	5	5	2	3	4	3	2	1	1	1	2
VN010007	3	5	4	5	5	2	3	4	3	2	1	1	1	1
VN010007	4	5	4	5	5	2	3	4	3	2	1	1	1	1
VN010007	7	5	4	5	5	2	3	4	3	2	1	1	1	1
VN010008	1	5	5	5	5	3	3	4	4	1	2	2	1	1
VN010008	2	5	5	5	5	3	3	4	4	1	2	3	1	1
VN010008	3	5	5	5	5	3	3	4	4	1	2	2	1	1
VN010008	7	5	5	5	5	3	3	4	4	1	2	1	1	1
VN010009	2	5	5	5	5	3	2	4	2	2	1	1	1	1
VN010009	3	5	5	5	5	4	3	4	2	2	1	1	1	1
VN010009	7	5	5	5	5	4	3	4	2	2	1	2	1	1
VN010010	2	5	5	5	5	77	77	77	77	1	1	2	2	1
VN010010	3	5	5	5	5	77	77	77	77	1	1	2	1	1
VN010010	7	5	5	5	5	77	77	77	77	1	1	1	2	1
VN010012	2	5	5	5	5	3	4	3	4	2	1	1	1	1
VN010012	3	5	5	5	5	3	4	3	4	2	1	1	1	1
VN010012	4	5	5	5	5	3	4	3	4	2	1	1	1	1
VN010012	7	5	5	5	5	3	4	3	4	2	1	1	1	1
VN010012	8	5	5	5	5	3	4	3	4	2	1	1	1	1
VN010013	2	4	4	4	4	77	77	77	77	1	2	2	2	2
VN010013	3	4	4	4	4	77	77	77	77	1	2	2	2	2
VN010013	4	4	4	4	4	77	77	77	77	1	2	2	2	2
VN010013	7	4	4	4	4	77	77	77	77	1	2	2	2	2
VN010014	2	4	4	5	5	3	3	4	4	1	3	2	2	2
VN010014	3	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010014	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010014	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010015	2	5	4	5	5	3	2	4	4	2	2	1	1	1
VN010015	3	5	4	5	5	3	3	4	4	2	2	1	1	1
VN010015	4	5	4	5	5	3	3	4	4	2	2	1	1	1
VN010015	5	5	4	5	5	3	3	4	4	3	2	1	1	1
VN010015	7	5	4	5	5	3	4	4	4	2	2	1	1	1
VN010017	1	5	5	5	5	3	3	3	3	1	1	1	1	1
VN010018	2	5	5	5	5	4	3	3	4	1	1	1	1	1
VN010018	7	5	5	5	5	3	3	3	4	2	1	1	1	1
VN010018	8	5	5	5	5	3	4	4	4	2	1	1	1	1
VN010019	2	5	5	5	5	3	3	3	3	1	2	2	2	2
VN010019	3	5	5	5	5	3	3	3	3	1	2	2	2	2
VN010019	4	5	5	5	5	3	3	3	3	1	2	2	2	2
VN010020	2	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010020	3	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010020	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010020	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010021	4	4	4	4	4	4	4	4	4	1	3	3	3	3
VN010021	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010022	2	5	5	5	5	3	3	4	4	1	3	3	3	3
VN010022	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010022	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010024	2	4	4	4	4	4	4	4	4	1	3	2	2	2
VN010025	7	4	5	5	5	3	3	3	3	2	1	1	1	1
VN010025	8	4	5	5	5	3	3	3	3	2	1	1	1	1
VN010027	2	4	4	4	4	2	2	2	2	1	3	3	3	3
VN010027	4	4	4	4	4	2	2	2	2	1	3	3	3	3
VN010029	1	5	5	5	5	3	3	3	3	1	3	3	3	1
VN010029	4	5	5	5	5	3	3	3	3	1	3	3	2	3
VN010029	5	5	5	5	5	3	3	3	3	1	3	3	2	3
VN010030	2	5	5	5	5	4	3	4	3	2	1	1	1	1
VN010030	4	5	5	5	5	4	3	4	3	2	1	1	1	1
VN010031	2	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010031	3	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010031	4	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010031	5	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010031	7	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010032	2	5	5	5	5	4	4	4	4	1	4	3	3	3
VN010032	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010033	2	5	5	5	4	3	3	4	3	2	1	1	1	1
VN010033	4	5	5	5	4	3	3	4	3	2	1	1	1	1
VN010033	7	5	5	5	4	3	3	4	3	2	1	1	1	1
VN010034	2	4	4	5	5	3	3	4	4	1	4	2	2	2
VN010034	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010035	2	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010035	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010036	2	5	5	5	5	4	4	4	4	1	3	2	2	2
VN010036	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010037	2	4	4	4	4	3	3	3	3	1	1	1	1	1
VN010038	2	5	5	5	5	4	4	4	4	1	2	2	2	2
VN010038	4	5	5	5	5	4	4	4	4	1	2	2	2	2
VN010039	2	5	5	5	5	3	3	4	4	1	3	3	3	3
VN010039	5	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010039	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010040	2	4	5	5	5	3	3	4	3	2	1	1	1	1
VN010040	3	4	5	5	5	3	3	4	3	2	1	1	1	1
VN010040	4	4	5	5	5	3	3	4	3	2	1	1	1	1
VN010040	7	4	5	5	5	3	3	4	3	2	1	1	1	1
VN010041	2	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010041	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010041	7	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010042	2	5	5	5	5	3	3	4	3	2	1	1	1	1
VN010042	3	5	5	5	5	3	3	4	3	2	2	2	1	1
VN010042	4	5	5	5	5	3	3	4	3	2	2	2	1	1
VN010042	7	5	5	5	5	3	3	4	3	2	1	1	1	1
VN010044	2	5	5	5	5	3	3	3	2	2	1	1	1	1
VN010044	3	5	5	5	5	3	3	3	2	2	2	1	1	2
VN010044	4	5	5	5	5	3	3	3	2	2	2	1	1	2
VN010044	7	5	5	5	5	3	3	3	2	2	1	1	1	1
VN010046	2	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010047	2	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010048	2	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010048	4	5	5	5	5	4	4	4	4	1	3	3	3	3
VN010050	3	5	5	5	5	3	3	4	3	2	1	1	1	1
VN010050	7	5	5	5	5	3	3	3	3	2	1	1	1	1
VN010051	2	2	2	2	2	2	2	2	2	1	1	1	1	1
VN010051	7	5	5	5	5	2	2	2	2	1	1	1	1	1
VN010052	2	4	5	4	4	4	4	4	3	1	2	1	1	1
VN010052	3	4	5	4	5	4	4	4	3	1	2	1	1	1
VN010052	4	4	5	4	5	4	4	4	3	1	2	1	1	1
VN010052	5	4	5	4	5	4	4	4	3	1	2	1	1	1
