CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
VN040010	1	30	1	200	1
VN040013	1	30	1	20000	2
VN040015	1	30	2	3000	1
VN040018	1	30	3	2000	1
VN040020	1	30	1	500	4
VN040021	1	30	3	3000	1
VN040024	1	31	1	15000	1
VN040024	2	30	3	500	1
VN040025	1	31	1	12000	1
VN040025	2	30	9	15000	99
VN040026	1	30	5	7500	1
VN040028	1	30	10	15000	2
VN040029	1	30	1	8000	4
VN040031	1	31	1	10000	1
VN040031	2	30	15	15000	1
VN040033	1	31	1	18000	1
VN040033	2	30	7	12000	1
VN040034	1	23	1	1700	2
VN040035	1	1	1	100	1
VN040035	2	5	1	1500	1
VN040043	1	30	1	800	3
VN040045	1	23	1	200	2
VN040050	1	25	1	200	2
VN040051	1	9	1	7000	2
VN040052	1	30	3	1400	1
VN040053	1	31	1	5000	2
VN040053	2	30	1	6000	2
VN040054	1	23	1	3700	80
VN040055	1	31	1	25000	1
VN040055	2	30	1	20000	1
VN040056	1	30	2	2400	1
VN040076	1	23	1	20	2
VN040079	1	12	4	200	2
VN040080	1	21	1	1000	2
VN040081	1	1	3	35	2
VN040083	1	23	1	120	2
VN040084	1	17	-77	12000	3
VN040087	1	30	2	1500	1
VN040088	1	25	1	3000	1
VN040093	1	22	-77	0	1
VN040094	1	1	3	30	1
VN040095	1	31	1	3000	4
VN040095	2	30	1	1500	4
VN040119	1	31	1	60	2
VN040119	2	30	1	40	2
VN040129	1	30	4	4000	80
VN040151	1	15	1	1500	2
VN040174	1	25	1	300	80
VN040174	2	1	2	12	2
VN050001	1	3	1	40	3
VN050001	2	1	2	25	3
VN050001	3	6	0	0	99
VN050003	1	1	6	30	4
VN050005	1	3	1	60	1
VN050005	2	5	1	1000	1
VN050005	3	1	3	15	1
VN050010	1	23	3	200	1
VN050011	1	31	0	-99	99
VN050011	2	30	1	20	2
VN050012	1	1	5	100	1
VN050019	1	1	3	30	2
VN050021	1	1	3	20	2
VN050023	1	8	4	150	1
VN050024	1	3	1	50	2
VN050024	2	1	2	30	2
VN050029	1	25	1	200	3
VN050033	1	1	5	100	11
VN050034	1	30	3	10	1
VN050040	1	30	1	500	1
VN050040	2	30	20	300	1
VN050042	1	1	4	80	2
VN050043	1	30	1	0	1
VN050046	1	30	1	15	2
VN050047	1	5	1	2000	1
VN050047	2	8	3	3600	1
VN050052	1	1	3	0	2
VN050055	1	30	3	9	2
VN050057	1	1	7	0	1
VN050060	1	30	28	2000	3
VN050061	1	3	1	50	4
VN050061	2	1	4	70	4
VN050062	1	30	2	5	1
VN050068	1	30	2	50	1
VN050069	1	25	1	5000	5
VN050069	2	30	3	50	5
VN050070	1	15	-77	3000	4
VN050076	1	5	1	390	1
VN050076	2	1	3	80	1
VN050077	1	25	1	6000	1
VN050078	1	3	1	80	1
VN050078	2	5	1	500	1
VN050078	3	1	2	30	1
VN050079	1	5	2	2500	1
VN050079	2	3	1	250	1
VN050079	3	1	7	200	1
VN050084	1	31	1	1000	1
VN050084	2	30	1	2000	1
VN050086	1	23	40	1000	2
VN050086	2	88	 	 	 
VN050086	3	88	 	 	 
VN050094	1	6	1	5000	2
VN050115	1	23	1	150	2
VN050115	2	31	1	4000	2
VN050117	1	23	3	100	1
VN060002	1	25	1	100	5
VN060002	2	30	1	15	5
VN060004	1	15	6	550	2
VN060012	1	23	3	100	2
VN060014	1	23	5	1600	3
VN060015	1	23	4	0	4
VN060018	1	23	3	1600	2
VN060024	1	23	2	216	1
VN060025	1	5	1	200	2
VN060028	1	1	1	200	4
VN060028	2	5	1	1000	4
VN060034	1	23	3	150	3
VN060035	1	8	2	0	3
VN060039	1	1	3	0	3
VN060052	1	1	1	14	1
VN060052	2	30	1	100	1
VN060054	1	8	2	-77	1
VN060060	1	23	1	500	1
VN060062	1	1	2	36	1
VN060062	2	8	2	402	2
VN060065	1	22	0	0	90
VN060066	1	23	60	670	2
VN060067	1	1	1	30	3
VN060068	1	4	1	5000	88
VN060069	1	1	1	0	2
VN060074	1	8	2	0	1
VN060076	1	25	1	100	3
VN060076	2	23	1	25	4
VN060076	3	23	4	20	4
VN060077	1	23	3	0	2
VN060079	1	8	4	0	1
VN060081	1	21	1	400	1
VN060081	2	30	88	150	1
VN060083	1	1	2	0	3
VN060085	1	1	3	0	1
VN060088	1	1	2	0	80
VN060089	1	5	1	2000	1
VN060089	2	2	1	250	1
VN060089	3	8	2	0	1
VN060094	1	9	5	200	2
VN060099	1	1	1	0	1
VN060100	1	1	2	0	1
VN060119	1	4	1	5000	1
VN070002	1	25	1	100	1
VN070003	1	23	4	300	3
VN070006	1	23	3	500	5
VN070007	1	5	1	300	2
VN070007	2	3	1	100	2
VN070007	3	1	5	50	2
VN070008	1	1	3	50	1
VN070008	2	5	1	250	1
VN070009	1	5	1	1000	1
VN070009	2	3	1	300	1
VN070009	3	8	4	10000	1
VN070010	1	5	1	200	1
VN070010	2	3	1	50	1
VN070010	3	1	4	60	1
VN070011	1	23	5	50	2
VN070031	1	1	4	80	1
VN070031	2	5	1	100	1
VN070034	1	25	3	5200	1
VN070034	2	23	3	100	1
VN070037	1	23	3	1500	2
VN070037	2	25	2	10000	2
VN070038	1	21	1	300	3
VN070039	1	3	0	-99	99
VN070039	2	1	7	60	0
VN070045	1	30	8	8500	2
VN070045	2	31	1	15000	80
VN070049	1	21	3	1000	4
VN070049	2	30	5	100	4
VN070050	1	15	13	194	5
VN070051	1	21	1	500	2
VN070051	2	30	3	250	2
VN070060	1	9	3	100	6
VN070060	2	10	2	300	6
VN070060	3	23	2	1000	6
VN070063	1	9	-77	200	1
VN070064	1	18	1	1000	3
VN070064	2	17	-77	100	3
VN070067	1	5	1	220	1
VN070067	2	3	1	30	1
VN070067	3	1	7	50	1
VN070068	1	1	3	100	80
VN070068	2	5	1	2000	80
VN070068	3	3	1	600	80
VN070074	1	30	1	750	1
VN070077	1	5	1	500	1
VN070077	2	3	1	200	1
VN070077	3	1	11	100	1
VN070082	1	23	-77	200	2
VN070083	1	23	10	1500	90
VN070084	1	30	2	500	2
VN070085	1	21	2	1000	2
VN070085	2	30	5	200	2
VN070087	1	15	20	1500	2
VN070090	1	23	2	-77	2
VN070092	1	25	1	2000	80
VN070092	2	25	1	100	80
VN070092	3	23	3	50	80
VN070095	1	1	4	150	2
VN070095	2	5	1	200	2
VN070095	3	3	1	180	2
VN070097	1	25	2	6100	1
VN070097	2	23	1	450	2
VN070097	3	19	8	160	1
VN070099	1	30	2	600	1
VN070102	1	23	5	250	3
VN070102	2	31	1	5000	3
VN070107	1	21	1	500	3
VN070123	1	5	1	100	1
VN070123	2	1	3	30	1
VN070124	1	15	-77	1000	2
VN070124	2	23	6	600	2
VN070125	1	5	1	100	1
VN080001	1	8	1	600	1
VN080001	2	1	3	48	1
VN080002	1	1	3	200	2
VN080003	1	1	4	40	1
VN080004	1	1	3	20	2
VN080005	1	25	1	50	2
VN080006	1	9	3	150	2
VN080008	1	31	1	1000	1
VN080011	1	31	1	3000	1
VN080013	1	1	3	160	1
VN080015	1	1	3	185	1
VN080018	1	23	6	500	2
VN080022	1	1	2	15	1
VN080026	1	30	2	0	2
VN080027	1	25	0	0	88
VN080030	1	23	3	-77	6
VN080035	1	25	1	2000	3
VN080038	1	13	2	150	2
VN080042	1	1	2	15	1
VN080047	1	1	2	48	1
VN080048	1	11	3	25	1
VN080048	2	3	1	200	1
VN080049	1	1	4	30	80
VN080049	2	8	2	65	80
VN080050	1	23	20	15000	2
VN080052	1	1	3	15	80
VN080055	1	9	5	250	1
VN080056	1	1	3	25	2
VN080058	1	13	5	-77	1
VN080059	1	1	3	10	1
VN080060	1	23	4	-77	4
VN080061	1	30	1	4000	3
VN080064	1	23	1	0	2
VN080065	1	1	1	15	2
VN080066	1	8	2	30	1
VN080067	1	1	2	260	2
VN080067	2	3	1	150	2
VN080067	3	8	1	40000	1
VN080069	1	1	4	25	3
VN080070	1	25	1	300	3
VN080076	1	22	3	0	4
VN080082	1	1	3	0	2
VN080083	1	21	1	500	3
VN080084	1	23	1	400	3
VN080085	1	25	1	8000	5
VN080087	1	21	2	2200	1
VN080087	2	23	1	1000	1
VN080088	1	8	4	0	1
VN080090	1	25	1	260	2
VN080091	1	22	-77	-77	3
VN080095	1	25	1	200	1
VN080096	1	1	3	260	2
VN080096	2	5	1	105	2
VN080097	1	1	4	200	2
VN080098	1	13	2	50	2
