CHILDID	ID	AGE	MEMSEX	RELATE	LIVHSE	GRADE	STILL	CHGRADE	CHSTILL	WHYNOT	AGEGRADE	AGESTSCH	HHSCHTYP	PERF	SCHOOLEN	DISAB	ACT1	MONTHS1	DAYS1	HOURS1	ACT2	MONTHS2	DAYS2	HOURS2	ACT3	MONTHS3	DAYS3	HOURS3	SLEEP	CHCARE	HHCHORE	NPAYWORK	PAYWORK	SCHOOL	STUDY	PLAY
VN010001	0	4	1	0	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010001	1	36	1	1	1	11	0	 	 	 	 	 	 	 	 	0	13	12	22	8	1	6	8	10	88	88	88	88	 	 	 	 	 	 	 	 
VN010001	2	34	2	1	1	12	0	 	 	 	 	 	 	 	 	0	13	12	22	8	1	2	8	5	15	12	30	2	 	 	 	 	 	 	 	 
VN010001	3	10	2	7	1	 	 	4	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	8	2	3
VN010002	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	9	0	0	0	0	4	1	10
VN010002	1	61	1	5	1	5	0	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010002	2	58	2	5	1	4	0	 	 	 	 	 	 	 	 	0	17	88	88	88	15	5	2	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010002	3	39	1	1	1	12	0	 	 	 	 	 	 	 	 	0	13	12	28	8	1	3	2	5	88	88	88	88	 	 	 	 	 	 	 	 
VN010002	4	29	2	1	1	14	0	 	 	 	 	 	 	 	 	0	13	10	25	5	1	5	2	5	15	12	30	3	 	 	 	 	 	 	 	 
VN010002	5	27	1	13	1	9	0	 	 	 	 	 	 	 	 	0	13	10	28	8	1	2	3	5	88	88	88	88	 	 	 	 	 	 	 	 
