CHILDID	ACTID	ACTYEST	WHOACT	CHOICE
VN010001	1	1	10	1
VN010001	2	2	1	1
VN010001	3	10	6	1
VN010001	4	12	6	1
VN010002	1	1	11	0
VN010002	2	2	1	0
VN010002	3	10	11	1
VN010002	4	12	2	1
VN010003	1	1	9	1
VN010003	2	10	11	1
VN010003	3	2	1	0
VN010004	1	1	6	0
VN010004	2	10	11	1
VN010004	3	12	6	1
VN010005	1	1	11	1
VN010005	2	2	1	1
VN010005	3	10	11	1
VN010006	1	1	5	0
VN010006	2	2	2	1
VN010006	3	10	10	1
VN010006	4	12	1	1
VN010007	1	1	5	0
VN010007	2	2	2	1
VN010007	3	10	11	1
VN010007	4	12	1	1
VN010008	1	1	11	0
VN010008	2	2	2	0
VN010008	3	10	11	0
VN010009	1	1	5	0
VN010009	2	2	1	1
VN010009	3	12	2	1
VN010009	4	10	10	1
VN010010	1	1	11	0
VN010010	2	2	3	0
VN010010	3	12	1	0
VN010010	4	10	11	0
VN010011	1	12	6	1
VN010011	2	1	6	1
VN010011	3	10	10	1
VN010012	1	1	4	0
VN010012	2	2	1	0
VN010012	3	10	9	0
VN010012	4	12	6	0
VN010013	1	1	11	1
VN010013	2	2	1	1
VN010013	3	12	6	1
VN010014	1	1	11	0
VN010014	2	2	1	0
VN010014	3	10	11	1
VN010014	4	12	11	1
VN010015	1	1	5	0
VN010015	2	2	6	1
VN010015	3	10	10	1
VN010015	4	12	2	1
VN010016	1	10	7	1
VN010016	2	17	8	1
VN010017	1	1	11	1
VN010017	2	2	1	1
VN010017	3	3	7	1
VN010017	4	12	1	1
VN010017	5	17	7	1
VN010018	1	1	5	0
VN010018	2	1	6	0
VN010018	3	12	2	1
VN010018	4	10	10	1
VN010019	1	1	11	1
VN010019	2	2	2	1
VN010019	3	12	2	1
VN010019	4	17	7	1
VN010020	1	1	11	0
VN010020	2	2	1	0
VN010020	3	10	11	1
VN010021	1	1	11	0
VN010021	2	10	11	1
VN010021	3	2	1	0
VN010021	4	12	6	1
VN010022	1	1	4	0
VN010022	2	2	1	0
VN010022	3	10	11	1
VN010022	4	12	1	1
VN010024	1	1	11	1
VN010024	2	10	11	1
VN010024	3	12	12	1
VN010024	4	2	12	1
VN010025	1	1	4	0
VN010025	2	2	2	0
VN010025	3	10	10	0
VN010025	4	12	2	0
VN010026	1	1	4	0
VN010026	2	2	2	0
VN010026	3	10	9	0
VN010026	4	12	2	0
VN010027	1	1	4	0
VN010027	2	2	2	0
VN010027	3	10	10	0
VN010027	4	12	2	0
VN010029	1	1	5	0
VN010029	2	2	1	0
VN010029	3	10	11	1
VN010029	4	12	1	1
VN010030	1	1	5	0
VN010030	2	2	2	0
VN010030	3	3	2	0
VN010030	4	10	1	0
VN010030	5	12	1	0
VN010031	1	10	11	1
VN010031	2	12	6	1
VN010032	1	1	4	0
VN010032	2	2	6	0
VN010032	3	10	11	1
VN010033	1	10	9	0
VN010033	2	12	6	0
VN010034	1	1	4	0
VN010034	2	2	1	0
VN010034	3	10	11	1
VN010034	4	12	1	0
VN010035	1	1	4	0
VN010035	2	10	11	1
VN010035	3	2	1	0
VN010035	4	12	6	1
VN010036	1	1	5	0
VN010036	2	2	2	0
VN010036	3	10	11	1
VN010036	4	12	2	0
VN010037	1	23	12	1
VN010037	2	12	6	1
VN010037	3	10	11	1
VN010038	1	1	11	1
VN010038	2	2	1	1
VN010038	3	10	11	1
VN010038	4	12	12	1
VN010039	1	1	4	0
VN010039	2	2	1	0
VN010039	3	10	11	1
VN010039	4	12	1	1
VN010040	1	1	4	0
VN010040	2	2	1	0
VN010040	3	10	9	0
VN010040	4	12	2	0
VN010041	1	1	5	0
VN010041	2	2	1	0
VN010041	3	10	11	1
VN010042	1	1	5	0
VN010042	2	2	6	0
VN010042	3	10	6	0
VN010042	4	12	2	1
VN010043	1	1	11	1
