CHILDID	OUTID	REMREL	REMEST	REMGOOD
VN020046	1	21	10	0
VN020047	1	21	20	0
VN020048	1	21	300	0
VN020050	1	21	700	0
VN020052	1	21	100	0
VN020053	1	21	5	0
VN020055	1	13	20	0
VN020056	1	21	20	0
VN020060	1	21	10	0
VN020061	1	21	50	0
VN020062	1	13	100	-88
VN020062	2	21	50	-88
VN020063	1	21	10	0
VN020066	1	21	30	0
VN020067	1	21	10	0
VN020069	1	21	10	0
VN020070	1	21	400	0
VN020073	1	21	30	0
VN020077	1	21	10	0
VN020078	1	21	15	0
VN020079	1	21	20	0
VN020081	1	21	20	-88
VN020086	1	21	40	-88
VN020086	2	19	100	-88
VN020087	1	21	10	0
VN020088	1	21	30	-88
VN020089	1	21	5	-88
VN020090	1	21	10	0
VN020092	1	21	100	0
VN020092	2	6	100	0
VN020095	1	21	15	88
VN020096	1	21	60	0
VN020097	1	21	30	-88
VN020099	1	13	300	0
VN020099	2	21	20	0
VN020100	1	21	50	0
VN020105	1	21	300	0
VN020105	2	5	300	0
VN020105	3	6	1000	0
VN020106	1	21	20	0
VN020108	1	21	100	0
VN020110	1	21	30	-88
VN020112	1	21	30	0
VN020114	1	21	20	-88
VN020119	1	21	20	0
VN020125	1	21	10	0
VN020129	1	5	0	20
VN020129	2	6	0	20
VN020131	1	21	15	0
VN020133	1	21	200	0
VN020133	2	5	200	0
VN020133	3	6	200	0
VN020135	1	21	30	0
VN020136	1	21	40	0
VN030001	1	13	400	0
VN030001	2	19	500	0
VN030001	3	14	200	0
VN030002	1	13	80	20
VN030003	1	13	270	100
VN030004	1	13	250	0
VN030004	2	19	200	0
VN030004	3	15	50	-99
VN030006	1	13	300	0
VN030006	2	5	200	0
VN030006	3	6	100	0
VN030008	1	13	400	100
VN030008	2	19	300	0
VN030008	3	6	500	0
VN030009	1	19	100	0
VN030009	2	13	50	0
VN030009	3	6	100	0
VN030010	1	13	100	0
VN030011	1	5	150	50
VN030011	2	6	150	50
VN030012	1	5	120	50
VN030012	2	6	150	50
VN030013	1	5	70	20
VN030013	2	13	100	30
VN030014	1	5	150	30
VN030014	2	6	150	30
VN030014	3	13	100	0
VN030015	1	19	50	0
VN030016	1	5	25	0
VN030016	2	6	25	0
VN030018	1	5	180	50
VN030018	2	6	180	50
VN030018	3	13	100	30
VN030019	1	5	100	0
VN030020	1	13	200	0
VN030020	2	5	400	0
VN030021	1	5	420	180
VN030021	2	6	500	150
VN030021	3	13	200	30
VN030022	1	13	100	60
VN030022	2	19	150	0
VN030022	3	5	1000	0
VN030025	1	5	450	120
VN030025	2	6	450	120
VN030025	3	13	300	50
VN030025	4	21	50	0
VN030026	1	13	100	50
VN030026	2	19	150	0
VN030026	3	15	100	0
VN030027	1	5	200	150
VN030027	2	6	200	150
VN030027	3	13	150	50
VN030029	1	13	400	30
VN030030	1	5	100	0
VN030030	2	6	100	0
VN030031	1	13	100	0
VN030031	2	19	50	0
VN030032	1	5	200	50
VN030032	2	6	200	50
VN030032	3	13	150	30
VN030034	1	5	100	0
VN030034	2	6	100	0
VN030035	1	13	300	200
VN030035	2	19	400	0
VN030035	3	5	200	0
VN030035	4	6	200	0
VN030036	1	21	50	10
VN030037	1	5	300	0
VN030037	2	6	300	0
VN030040	1	15	50	0
VN030040	2	13	100	80
VN030040	3	19	200	0
VN030040	4	14	100	0
VN030041	1	17	80	0
VN030041	2	14	20	0
VN030041	3	6	100	0
VN030041	4	5	30	0
VN030042	1	13	200	0
VN030042	2	21	100	0
VN030042	3	5	100	0
VN030042	4	6	300	60
VN030043	1	5	200	50
VN030043	2	6	200	50
VN030043	3	13	100	20
VN030043	4	21	20	0
VN030044	1	5	80	20
VN030044	2	6	100	50
VN030044	3	13	30	10
VN030044	4	21	30	0
VN030046	1	5	150	80
VN030046	2	6	170	80
VN030046	3	13	70	20
VN030048	1	5	120	30
VN030048	2	6	140	50
VN030048	3	13	50	60
