CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
VN010001	1	22	-99	-99	99
VN010002	1	30	-99	-99	99
VN010003	1	1	-77	-77	88
VN010004	1	1	3	100	80
VN010004	2	8	4	120	80
VN010005	1	1	3	50	99
VN010006	1	1	2	100	1
VN010007	1	1	3	300	1
VN010008	1	1	2	55	1
VN010009	1	1	3	150	1
VN010010	1	1	4	50	1
VN010010	2	5	1	800	1
VN010011	1	25	2	2000	1
VN010012	1	23	3	550	2
VN010014	1	30	-99	-99	99
VN010015	1	13	2	100	1
VN010016	1	1	4	100	1
VN010017	1	30	-99	-99	99
VN010018	1	1	2	50	1
VN010019	1	1	3	40	2
VN010025	1	13	4	360	1
VN010026	1	13	3	520	1
VN010027	1	22	4	500	3
VN010030	1	1	2	120	2
VN010031	1	1	7	210	2
VN010032	1	1	3	50	1
VN010033	1	23	-99	-99	99
VN010034	1	23	-77	-77	80
VN010035	1	8	1	20	1
VN010037	1	30	1	50	1
VN010037	2	13	0	-99	99
VN010038	1	30	1	30	1
VN010039	1	13	6	90	1
VN010040	1	13	3	270	3
VN010041	1	1	3	60	1
VN010041	2	8	-77	-77	80
VN010042	1	13	3	150	1
VN010043	1	13	3	100	1
VN010044	1	13	4	3800	3
VN010045	1	15	2	1000	80
VN010046	1	1	4	40	1
VN010046	2	3	1	50	99
VN010048	1	23	6	4000	2
VN010050	1	30	3	300	1
VN010051	1	30	4	28	2
VN010052	1	1	2	150	1
VN010053	1	1	1	4	1
VN010053	2	30	1	0	1
VN010054	1	1	1	4	2
VN010055	1	25	1	1500	3
VN010055	2	23	3	200	3
VN010056	1	23	6	4700	80
VN010057	1	1	5	180	1
VN010057	2	1	5	180	1
VN010058	1	1	2	50	1
VN010059	1	1	3	100	1
VN010060	1	22	-99	-99	99
VN010061	1	1	3	60	1
VN010062	1	30	0	-99	99
VN010063	1	1	3	150	2
VN010064	1	7	1	10000	1
VN010065	1	5	4	1500	1
VN010067	1	2	3	650	1
VN010068	1	25	1	1200	1
VN010069	1	8	1	270	80
VN010069	2	1	6	170	2
VN010070	1	23	3	460	80
VN010071	1	13	3	50	1
VN010072	1	13	3	150	1
VN010073	1	8	4	950	80
VN010074	1	23	3	400	4
VN010076	1	30	-99	-99	99
VN010077	1	23	3	2000	2
VN010078	1	13	3	45	3
VN010079	1	23	5	1200	80
VN010080	1	13	6	70	1
VN010081	1	8	4	820	80
VN010083	1	30	4	840	1
VN010084	1	13	3	50	1
VN010086	1	8	-99	-99	99
VN010087	1	8	2	1200	80
VN010088	1	1	3	250	80
VN010089	1	1	6	90	1
VN010089	2	3	1	35	1
VN010091	1	13	5	370	1
VN010092	1	1	3	30	1
VN010092	2	8	1	300	1
VN010093	1	1	4	15	2
VN010094	1	1	3	50	1
VN010095	1	13	3	20	2
VN010096	1	13	3	220	1
VN010097	1	13	4	350	1
VN010100	1	30	-99	-99	99
VN010104	1	1	3	52	3
VN010109	1	13	3	150	1
VN010118	1	1	2	200	1
VN010122	1	13	4	50	1
VN010124	1	23	7	3500	80
VN010140	1	30	3	30	2
VN020001	1	1	4	100	1
VN020001	2	8	1	1000	1
VN020002	1	1	5	20	80
VN020002	2	8	1	200	80
VN020003	1	1	1	200	1
VN020004	1	31	.33	18000	1
VN020005	1	1	4	15	2
VN020005	2	8	1	800	1
VN020007	1	30	1	15000	2
VN020007	2	30	1	50000	1
VN020008	1	31	1	10000	2
VN020008	2	30	1	500	2
VN020010	1	30	1	3000	1
VN020011	1	31	1	10000	1
VN020011	2	30	1	20000	1
VN020012	1	31	1	100000	90
VN020013	1	30	1	20000	4
VN020016	1	23	4	400	4
VN020017	1	1	3	20	1
VN020018	1	31	1	30000	1
VN020019	1	1	4	40	2
VN020020	1	13	1	200	1
VN020021	1	30	3	50000	1
VN020022	1	17	-77	60000	1
VN020024	1	23	1	300	2
VN020025	1	13	5	100	1
VN020026	1	31	1	100000	1
VN020026	2	30	1	30000	1
VN020027	1	30	2	1000	1
VN020028	1	31	1	700000	1
VN020029	1	22	1	400	3
VN020032	1	1	4	20	80
VN020033	1	23	12	1000	80
VN020034	1	31	1	100000	1
VN020034	2	30	1	40000	1
VN020035	1	1	20	10000	1
VN020036	1	31	1	20000	1
VN020037	1	30	10	10000	1
VN020037	2	30	1	500	1
VN020038	1	30	1	4000	1
VN020039	1	31	1	500	1
VN020039	2	30	6	2500	1
VN020041	1	1	3	20	2
VN020043	1	1	3	10	2
VN020043	2	8	1	150	1
VN020044	1	1	4	30	2
VN020044	2	8	1	1000	1
VN020046	1	1	4	50	2
VN020046	2	8	1	1500	1
VN020047	1	1	5	15	2
VN020047	2	3	1	10	2
VN020050	1	25	1	140000	1
VN020052	1	25	1	70000	1
VN020053	1	1	1	150	1
VN020054	1	1	2	0	88
VN020055	1	31	1	20000	1
VN020055	2	30	1	4000	1
VN020056	1	31	1	300	1
VN020056	2	30	1	700	99
VN020057	1	8	1	150	2
VN020060	1	31	.5	10000	1
VN020060	2	30	1	6000	1
VN020061	1	31	1	10000	1
VN020061	2	30	1	2000	1
VN020062	1	31	1	70000	1
VN020062	2	30	2	24000	1
VN020063	1	1	1	50	99
VN020064	1	1	3	-77	80
VN020064	2	2	1	500	1
VN020064	3	8	1	300	1
VN020065	1	1	3	10	80
VN020065	2	3	1	12	80
VN020066	1	1	1	500	2
VN020066	2	5	1	2500	2
VN020067	1	1	4	50	2
VN020067	2	8	1	-77	2
VN020068	1	1	3	30	1
VN020068	2	5	1	800	1
VN020069	1	1	3	10	2
VN020070	1	1	4	40	2
VN020070	2	8	1	1000	1
VN020073	1	1	1	50	2
VN020075	1	1	1	50	1
VN020077	1	1	1	60	2
VN020078	1	1	6	50	80
VN020078	2	3	1	20	80
VN020078	3	5	1	300	80
VN020079	1	1	4	12	2
VN020080	1	1	2	10	2
VN020081	1	1	1	70	2
VN020083	1	1	2	20	1
VN020084	1	1	1	20	2
VN020086	1	1	1	150	1
VN020087	1	1	2	40	1
VN020087	2	8	1	200	1
VN020088	1	5	1	120	1
VN020089	1	1	1	100	1
VN020090	1	13	8	100	1
VN020091	1	1	1	50	4
VN020092	1	23	1	2000	2
VN020094	1	1	3	12	80
VN020095	1	31	1	700	1
VN020095	2	30	7	700	1
VN020096	1	31	2	1500	80
VN020096	2	30	13	5000	80
VN020097	1	1	5	20	2
VN020097	2	8	1	300	2
VN020098	1	31	1	500	1
VN020098	2	30	1	1200	1
VN020099	1	1	1	25	3
VN020100	1	31	1	200	1
VN020105	1	23	1	100	2
VN020106	1	31	1	1000	1
VN020106	2	30	8	2400	1
VN020108	1	23	5	-77	2
VN020110	1	1	1	50	1
VN020112	1	1	1	300	2
VN020113	1	1	4	60	1
VN020113	2	8	1	1000	1
VN020114	1	31	1	20000	1
VN020114	2	30	1	2500	99
VN020117	1	30	2	0	88
VN020118	1	1	4	15	2
VN020118	2	8	1	100	1
VN020118	3	8	1	80	1
