PLACEID	MNTRIDR5	TRANS	TITRANS
1	1	8	120
1	2	5	150
2	1	8	120
2	2	5	150
3	1	8	150
3	2	5	180
4	1	8	90
4	2	4	120
5	1	8	150
5	2	5	180
6	1	8	150
6	2	5	180
7	1	8	180
8	1	8	180
8	2	5	240
9	1	8	160
9	2	5	180
10	1	8	180
10	2	5	200
11	1	8	150
11	2	5	180
12	1	8	120
12	2	5	120
12	3	4	90
13	1	8	40
13	2	4	30
14	1	8	120
14	2	6	90
14	3	10	90
15	1	8	60
15	2	4	30
15	3	5	60
16	1	8	60
16	2	4	40
17	1	8	90
17	2	5	90
17	3	4	60
18	1	8	150
18	2	7	180
18	3	4	150
19	1	8	180
19	2	4	160
20	1	8	150
20	2	10	120
20	3	4	120
21	1	8	180
21	2	4	160
22	1	8	180
22	2	10	120
23	1	8	150
23	2	4	90
24	1	88	 
25	1	88	 
26	1	88	 
26	2	88	 
26	3	88	 
27	1	5	240
27	2	8	180
28	1	5	280
28	2	8	240
29	1	8	180
29	2	13	210
30	1	5	180
30	2	8	150
31	1	5	240
31	2	8	200
32	1	8	180
32	2	5	240
33	1	5	15
34	2	88	 
35	1	8	150
35	2	10	180
36	1	8	120
36	2	4	90
36	3	5	110
37	1	8	120
37	2	4	90
38	1	8	120
40	1	8	120
40	2	4	100
41	1	8	90
42	1	8	135
43	1	8	180
43	2	4	150
44	1	8	180
45	1	8	240
46	1	8	240
47	1	1	20
47	2	4	15
47	3	5	10
48	1	4	10
48	2	8	20
48	3	5	15
49	1	1	20
49	2	4	10
49	3	8	15
50	1	4	75
50	2	8	90
51	1	8	90
51	2	5	120
51	3	4	90
52	1	4	120
52	2	8	130
53	1	4	100
53	2	8	120
54	1	4	120
54	2	5	180
54	3	8	120
55	1	8	90
55	2	4	60
56	1	8	105
56	2	5	120
56	3	4	80
57	1	7	100
57	2	5	120
57	3	4	75
58	1	5	150
58	2	8	90
58	3	4	100
61	1	8	120
61	2	5	90
62	1	8	40
62	2	5	45
62	3	4	30
63	1	8	60
63	2	5	60
63	3	4	45
64	1	8	60
64	2	5	60
64	3	4	45
65	1	8	45
65	2	4	30
65	3	5	45
66	1	8	120
66	2	5	120
66	3	4	60
67	1	8	60
67	2	5	60
67	3	4	40
68	1	8	30
68	2	5	30
68	3	4	25
69	1	8	80
69	2	4	60
70	1	8	90
70	2	10	60
70	3	4	60
71	1	8	180
72	1	8	300
73	1	8	300
74	1	8	180
75	1	8	300
76	1	8	60
76	2	7	60
76	3	4	45
77	1	8	35
77	2	5	35
77	3	4	25
78	1	8	35
78	2	5	40
78	3	4	25
78	4	10	20
79	1	8	45
79	2	4	30
79	3	5	40
80	1	5	35
80	2	4	30
80	3	8	40
81	1	8	220
82	1	8	120
83	1	8	120
84	1	8	180
85	1	8	190
86	1	8	15
87	1	8	10
88	1	8	15
89	1	8	60
89	2	4	40
89	3	5	45
90	1	5	40
90	2	8	50
90	3	4	35
91	1	5	30
91	2	4	20
91	3	8	60
91	4	10	30
91	5	6	30
92	1	8	90
92	2	4	40
92	3	5	60
93	1	8	150
93	2	5	180
94	1	4	15
94	2	5	25
94	3	8	20
96	1	8	180
97	1	8	180
97	2	4	120
97	3	7	180
98	1	8	60
98	2	5	75
98	3	4	45
99	1	8	110
99	2	5	120
102	1	88	 
102	2	88	 
102	3	88	 
