PLACEID	DWAGIDR5	MAVWG	MADWG01	MADWG02	MADWG03	FAVWG	FADWG01	FADWG02	FADWG03
1	1	3000	0	0	0	1111	88	88	88
1	2	2000	0	0	0	100	0	0	0
1	3	-1111	88	88	88	-1111	88	88	88
1	4	150	0	0	0	100	0	0	0
2	1	450	1	2	4	-1111	88	88	88
2	2	250	0	88	88	150	0	88	88
2	3	400	0	88	88	250	0	88	88
2	4	350	0	88	88	250	0	88	88
3	1	600	0	0	0	-1111	88	88	88
3	2	300	0	88	88	150	0	88	88
3	3	400	0	88	88	-1111	88	88	88
3	4	200	0	88	88	150	0	88	88
4	1	350	1	2	0	-1111	88	88	88
4	2	300	1	2	0	120	1	2	0
4	3	500	0	0	0	-1111	88	88	88
4	4	200	0	0	0	150	0	0	0
5	1	600	0	88	88	-111	88	88	88
5	2	300	0	88	88	150	0	88	88
5	3	400	0	88	88	-111	88	88	88
5	4	200	0	88	88	150	0	88	88
6	1	500	1	2	4	-1111	88	88	88
6	2	250	0	88	88	150	0	88	88
6	3	400	0	88	88	300	0	88	88
6	4	350	0	88	88	250	0	88	88
7	1	300	0	88	88	-1111	88	88	88
7	2	250	0	88	88	150	0	88	88
7	3	350	0	88	88	250	0	88	88
7	4	300	0	88	88	200	0	88	88
8	1	400	0	88	88	-1111	88	88	88
8	2	250	0	88	88	150	0	88	88
8	3	450	0	88	88	350	0	88	88
8	4	350	0	88	88	250	0	88	88
9	1	400	0	88	88	-1111	88	88	88
9	2	250	0	88	88	150	0	88	88
9	3	400	0	88	88	300	0	88	88
9	4	350	0	88	88	250	0	88	88
10	1	350	0	88	88	-1111	88	88	88
10	2	250	0	88	88	150	0	88	88
10	3	300	0	88	88	250	0	88	88
10	4	250	0	88	88	150	0	88	88
11	1	450	0	88	88	-1111	88	88	88
11	2	250	0	88	88	150	0	88	88
11	3	450	0	88	88	350	0	88	88
11	4	350	0	88	88	250	0	88	88
12	1	300	0	0	0	150	0	0	0
12	2	350	0	0	0	150	0	0	0
12	3	400	0	0	0	150	0	0	0
12	4	250	0	0	0	180	0	0	0
13	1	300	0	88	88	120	88	88	88
13	2	300	0	88	88	120	0	88	88
13	3	250	0	88	88	-1111	88	88	88
13	4	300	0	88	88	120	0	88	88
14	1	400	0	0	0	200	0	0	0
14	2	350	0	0	0	250	0	0	0
14	3	450	0	0	0	180	0	0	0
14	4	300	0	0	0	200	0	0	0
