PLACEID	LCPRIDR5	LCLUNIT	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102	PRCESTND
1	55	KG	100	3	17	95	3	18	90
1	56	200ML	14	1	16	14	1	27	13
1	57	1 LEATERS	95	1	16	100	1	27	80
1	59	-	0	88	1	0	88	1	0
2	1	100pages	30	1	4	35	1	5	30
2	2	1 pair	250	1	4	300	1	5	250
2	3	1 shirt	250	1	8	300	1	9	250
2	4	1 blouse	300	1	8	300	1	9	300
2	5	1 pant	400	1	8	450	1	9	400
2	6	1skirt	400	1	8	400	1	9	400
2	7	27.5g	17	9	6	17	9	7	17
2	8	125g	2	9	6	2	9	7	2
2	9	250mg	14	9	6	14	9	7	14
2	10	500mg	2	9	6	2	9	7	2
2	11	1 packet	50	1	4	50	1	5	50
2	12	1 cake	10	1	4	10	1	5	10
2	13	1 ltr	18	1	4	18	1	5	18
2	14	1 kg	45	1	4	40	1	5	40
2	15	1 kg	40	1	4	40	1	5	40
2	16	1kg	85	1	4	90	1	5	85
2	17	1 kg	45	1	4	45	1	5	45
2	18	1 kg	40	1	4	45	1	5	40
2	19	1kg	82	1	4	82	1	5	82
2	20	1 kg	140	1	4	140	1	5	140
2	21	1 kg	90	1	4	90	1	5	90
2	22	1 kg	60	1	4	60	1	5	60
2	23	1 piece	20	1	4	25	1	5	20
2	24	1 kg	60	1	4	60	1	5	60
2	25	1 ltr	65	1	4	60	1	5	60
2	26	1 kg	350	1	4	350	1	5	350
2	27	1 kg	450	1	4	450	1	5	450
2	28	1 kg	350	1	4	350	1	5	350
2	29	1 kg	90	1	4	90	1	5	90
2	30	1 piece	5	1	4	5	1	5	5
2	31	1 kg	350	1	4	400	1	5	350
2	32	1kg	130	6	12	130	6	13	130
2	33	1 kg	400	6	12	400	6	13	400
2	34	1 kg	180	6	12	180	6	13	180
2	35	1 kg	400	6	12	400	6	13	400
2	36	1 kg	100	6	12	100	6	13	100
2	37	1 kg	120	6	12	120	6	13	120
2	39	1 kg	30	5	10	30	5	11	30
2	40	1 kg	35	5	10	35	5	11	35
2	41	1 kg	10	5	10	10	5	11	10
2	42	1 kg	30	5	10	30	5	11	30
2	43	1 kg	20	5	10	20	5	11	20
2	44	1 kg	350	1	4	380	1	5	350
2	45	1 kg	11250	1	4	1250	1	5	1250
2	46	1kg	40	1	4	40	1	5	40
2	47	1 kg	95	1	4	100	1	5	95
2	48	1 kg	25	1	4	25	1	5	25
2	49	1 kg	300	1	4	300	1	5	300
2	50	100g	25	1	4	25	1	5	25
2	51	1 kg	90	1	4	80	1	5	80
2	52	1 kg	250	1	4	300	1	5	250
2	53	12 pieces	45	1	4	45	1	5	45
2	54	1 piece	25	1	4	30	1	5	25
2	55	1kg	60	1	4	60	1	5	60
2	56	200ml	40	1	4	40	1	5	40
2	57	1 ltr	800	1	4	800	1	5	800
2	59	1 kg	80	1	4	75	1	5	78
3	1	100p	10	1	21	11	1	25	9
3	2	1p	310	1	19	320	1	20	290
3	3	1	280	1	13	260	1	14	290
3	4	1p	180	1	13	190	1	14	160
3	5	1m	270	1	13	270	1	14	250
3	6	1m	170	1	13	175	1	14	150
3	7	1p	4.90000009536743	1	15	4.80000019073486	9	16	4.09999990463257
3	8	1tab	1.60000002384186	9	15	2	9	16	1.20000004768372
3	9	1tab	3.5	9	15	4	9	16	3.09999990463257
3	10	1tab	4.5	9	15	4.5	9	16	3.59999990463257
3	11	1pack	38	1	21	37	1	25	30
3	12	1	11	1	21	11	1	25	10
3	13	1li	35	1	21	35	1	25	30
3	14	1kg	32	1	21	38	1	25	30
3	15	1kg	32	1	21	30	1	25	28
3	16	1kg	95	1	21	98	1	25	90
3	17	1kg	85	1	21	80	1	25	75
3	18	1kg	130	1	21	131	1	25	125
3	19	1kg	130	1	21	135	1	25	125
3	20	1kg	90	1	21	95	1	25	86
3	21	1kg	95	1	21	96	1	25	90
3	22	1kg	49	1	21	50	1	25	45
3	23	100	15	1	21	15	1	25	12
3	24	1kg	34	1	21	33	1	25	30
3	25	1lit	55	1	22	54	1	27	50
3	26	1kg	380	1	21	385	1	25	380
3	27	1kg	350	1	26	345	1	17	330
3	28	1kg	410	1	17	420	1	26	400
3	29	1kg	50	1	17	55	1	26	50
3	30	1	5	1	20	5	1	25	4.5
3	31	1kg	48	1	17	46	1	26	45
3	32	1kg	185	6	28	190	6	30	200
3	33	1kg	500	6	28	510	6	30	480
3	34	1kg	110	6	28	130	6	30	140
3	35	1kg	480	1	28	490	1	30	470
3	36	1kg	135	6	28	130	6	30	100
3	37	1kg	350	6	30	360	6	28	320
3	39	1kg	26	5	23	28	5	24	24
3	40	1kg	21	5	23	22	5	24	20
3	41	1kg	32	5	23	33	5	24	30
3	42	1kg	24	5	23	25	5	24	20
3	43	1kg	26	5	23	25	5	24	22
3	44	250g	152	1	21	151	1	25	146
3	45	1kg	445	1	21	450	1	24	435
3	46	1kg	42	1	21	41	1	24	40
3	47	1kg	82	1	21	81	1	25	78
3	48	1kg	12	1	21	12	1	25	10
3	49	1kg	400	1	21	410	1	25	360
3	50	10g	30	1	21	31	1	25	26
3	51	1kg	120	1	17	126	1	26	130
3	52	1kg	230	1	17	230	1	26	200
3	53	1kg	40	1	23	45	1	24	42
3	54	1kg	120	1	23	120	1	24	125
3	55	1kg	120	1	23	125	1	24	120
3	56	1kg	16	1	21	15	1	25	12
3	57	1	160	1	18	180	1	18	200
3	59	1 kg	75	1	21	78	1	29	75
4	1	100	12	15	14	11	15	15	10
4	2	1	310	17	22	320	17	23	290
4	3	1	280	1	11	260	1	12	250
4	4	1	180	1	11	190	1	12	160
4	5	1	270	1	11	270	1	12	250
4	6	1	170	2	11	175	1	12	150
4	7	1 PACKET	4.90000009536743	9	13	4.80000019073486	9	21	4.40000009536743
4	8	1 TABLETS	1.60000002384186	9	13	2	9	21	4.09999990463257
4	9	1 TABLETS	3.5	9	13	4	9	21	3.09999990463257
4	10	1 TABLETS	14.5	9	13	14.5	9	21	13.6000003814697
4	11	1 PACKET	38	3	14	37	3	15	36
4	12	1	11	3	14	11	3	15	10
4	13	1 LITRE	35	3	14	35	3	15	30
4	14	1 KG	38	1	14	38	1	15	36
4	15	1 KG	32	1	14	30	1	16	28
4	16	1 KG	95	1	15	98	1	16	90
4	17	1KG	46	1	15	44	1	16	40
4	18	1 KG	85	1	15	80	1	16	75
4	19	1 KG	130	1	15	132	1	16	125
4	20	1 KG	90	1	14	95	1	15	86
4	21	1 KG	95	1	14	94	1	15	90
4	22	1 KG	48	1	14	50	1	15	45
4	23	1	15	3	17	15	3	19	12
4	24	1 KG	34	1	14	33	1	15	30
4	25	1 LITRE	55	1	28	54	1	29	50
4	26	1 KG	380	9	13	385	9	21	365
4	27	1 KG	350	1	28	345	1	29	330
4	28	1 KG	410	3	28	420	3	29	400
4	29	1 LITRE	54	3	28	54	1	29	50
4	30	1	5	1	14	5	1	15	4.5
4	31	1 KG	48	1	28	46	1	29	40
4	32	1 KG	185	6	30	180	6	31	170
4	33	1 KG	500	6	30	510	6	31	480
4	34	1 KG	110	6	26	110	6	27	95
4	35	1 KG	480	6	30	480	6	31	450
4	36	1 KG	135	6	32	130	6	33	100
4	37	1 KG	350	6	32	360	6	33	320
4	39	1 KG	26	5	24	28	5	25	24
4	40	1 KG	21	5	24	22	5	25	18
4	41	1 KG	32	5	24	33	5	25	30
4	42	1 KG	24	5	24	25	5	25	20
4	43	1 KG	26	5	24	25	5	25	32
4	44	250 GRAMS	52	1	14	51	1	15	46
4	45	1KG	445	1	14	450	1	16	435
4	46	1 KG	42	1	15	42	1	16	40
4	47	1 KG	82	1	15	81	1	16	78
4	48	1 KG	12	1	15	12	1	16	10
4	49	1 KG	400	1	15	410	1	16	360
4	50	100 GRAMS	30	1	14	31	1	15	26
4	51	1 KG	120	1	17	125	1	19	110
4	52	1 KG	230	1	17	230	1	19	200
4	53	1 DOZENS	40	1	18	45	1	20	35
4	54	1 KG	120	1	18	120	1	20	100
4	55	1 KG	120	1	18	120	1	20	100
4	56	200ML	16	1	14	16	1	15	15
4	57	1 LITRE	670	1	34	680	1	35	650
4	59	0	0	88	35	0	88	34	0
5	1	100P	10	1	14	16	1	19	9
5	2	1P	310	1	13	320	1	14	290
5	3	1M	280	1	7	260	1	8	250
5	4	1M	80	1	7	120	1	8	100
5	5	1M	270	1	7	270	1	8	250
5	6	1M	170	1	7	175	1	8	150
5	7	1P	4.90000009536743	1	9	4.80000019073486	1	10	4.09999990463257
5	8	1TAB	1.60000002384186	9	9	2	9	10	1.20000004768372
5	9	1TAB	3.5	9	9	4	9	10	3.09999990463257
5	10	1TAB	14	9	9	14.5	9	10	13.6000003814697
5	11	1PACK	38	1	19	37	1	15	36
5	12	1P	11	1	15	11	1	19	10
5	13	1LIT	35	1	15	35	1	19	36
5	14	1KG	38	1	15	38	1	19	30
5	15	1KG	32	1	15	30	1	19	28
5	16	1KG	95	1	15	98	1	19	90
5	17	1KG	85	1	15	80	1	19	75
5	18	1KG	46	1	15	44	1	19	40
5	19	1KG	130	1	15	131	1	19	125
5	20	1KG	90	1	15	95	1	19	86
5	21	1KG	95	1	15	96	1	19	90
5	22	1KG	49	1	15	50	1	19	45
5	23	100	15	1	11	15	1	20	12
5	24	1KG	34	1	15	33	1	19	30
5	25	1LIT	55	1	16	54	1	21	50
5	26	1KG	380	1	15	385	1	19	380
5	27	1KG	350	1	21	345	1	16	330
5	28	1KG	410	1	20	420	1	11	400
5	29	1LIT	50	1	21	55	1	16	50
5	30	1	5	1	15	5	1	19	4.5
5	31	1KG	48	1	20	46	1	11	45
5	32	1KG	185	6	25	190	6	22	200
5	33	1KG	500	6	22	510	6	24	480
5	34	1KG	110	1	22	130	1	24	120
5	35	1KG	480	6	22	490	6	24	470
5	36	1KG	135	6	22	130	6	24	100
5	37	1KG	350	6	24	360	6	22	320
5	39	1KG	26	5	18	28	5	17	24
5	40	1KG	21	5	17	22	5	18	20
5	41	1KG	32	5	17	33	5	18	30
5	42	1KG	32	5	17	28	5	18	30
5	43	1KG	26	5	17	25	5	18	22
5	44	250	152	1	15	150	1	19	146
5	45	1P	4.5	1	15	4.59999990463257	1	19	4.34999990463257
5	46	1KG	40	1	15	42	1	19	40
5	47	1KG	83	1	19	81	1	15	78
5	48	1KG	12	1	15	12	1	19	10
5	49	1KG	400	1	15	410	1	19	360
5	50	10G	30	1	19	31	1	15	28
5	51	1KG	120	1	15	125	1	19	110
5	52	1KG	230	1	20	240	1	11	200
5	53	1DAZEN	40	5	17	45	6	18	42
5	54	1KG	120	5	17	125	1	18	120
5	55	1KG	120	5	17	125	5	18	120
5	56	1	12	1	15	15	1	19	12
5	57	1	80	1	12	100	1	12	120
5	59	KG	80	1	1	82	1	3	80
6	1	100pages	30	1	4	30	1	5	30
6	2	1 pair	350	1	4	350	1	5	350
6	3	1 shirt	300	1	8	300	1	9	300
6	4	1 blouse	300	1	8	350	1	9	300
6	5	1 pant	400	1	8	450	1	9	400
6	6	1 skirt	450	1	8	450	1	9	450
6	7	27.5g	17	9	6	17	9	7	17
6	8	125g	2	9	6	2	9	7	2
6	9	250mg	14	9	6	14	9	7	14
6	10	500mg	2	9	6	2	9	7	2
6	11	1 packet	50	1	4	60	1	5	50
6	12	1 cake	10	1	4	10	1	5	10
6	13	1 ltr	20	1	4	20	1	5	20
6	14	1 kg	40	1	4	45	1	5	40
6	15	1 kg	40	1	4	40	1	5	40
6	16	1 kg	80	1	4	80	1	5	80
6	17	1 kg	45	1	4	40	1	5	40
6	18	1 kg	45	1	4	40	1	5	40
6	19	1 kg	80	1	4	80	1	5	80
6	20	1 kg	140	1	4	140	1	5	140
6	21	1 kg	90	1	4	90	1	5	90
6	22	1 kg	60	1	4	60	1	5	60
6	23	1 piece	25	1	4	20	1	5	20
6	24	1 kg	60	1	4	60	1	5	60
6	25	1 ltr	60	1	4	60	1	5	60
6	26	1 kg	350	1	4	300	1	5	300
6	27	1 kg	400	1	4	430	1	5	400
6	28	1 kg	350	1	4	350	1	5	350
6	29	1 ltr	90	1	4	100	1	5	90
6	30	1 piece	5	1	4	5	1	5	5
6	31	1 kg	350	1	4	350	1	5	350
6	32	1 kg	150	6	12	150	6	13	150
6	33	1 kg	450	6	12	450	6	13	450
6	34	1 kg	180	6	12	180	6	13	180
6	35	1 kg	450	6	12	450	6	13	450
6	36	1 kg	100	6	12	100	6	13	100
6	37	1 kg	120	6	12	120	6	13	120
6	39	1 kg	30	5	10	30	5	11	30
6	40	1 kg	35	5	10	35	5	11	35
6	41	1 kg	30	5	10	30	5	11	30
6	42	1 kg	30	5	10	30	5	11	30
6	43	1 kg	25	5	10	25	5	11	25
6	44	1 kg	350	1	4	380	1	5	350
6	45	1 kg	1250	1	4	1250	1	5	1250
6	46	1 kg	40	1	4	40	1	5	40
6	47	1 ltr	90	1	4	105	1	5	90
6	48	1 kg	25	1	4	25	1	5	25
6	49	1 kg	350	1	4	350	1	5	350
6	50	100g	25	1	4	25	1	5	25
6	51	1 kg	90	1	4	100	1	5	90
6	52	1 kg	350	1	4	350	1	5	350
6	53	12 pieces	40	1	4	40	1	5	40
6	54	1 piece	30	1	4	30	1	5	30
6	55	1 kg	60	1	4	60	1	5	60
6	56	200ml	40	1	4	40	1	5	40
6	57	1 ltr	800	1	4	800	1	5	800
6	59	1 kg	80	1	4	78	1	5	78
7	1	100 pages	40	15	4	40	15	5	40
7	2	1 pair	350	1	4	400	1	5	350
7	3	1 shirt	250	1	8	250	1	9	250
7	4	1 short sleeve	300	1	8	300	1	9	300
7	5	1 block pants	350	1	8	350	1	9	350
7	6	1 dress	400	1	8	450	1	9	400
7	7	27.5g sachet	17	9	6	17	9	7	17
7	8	500 mg	2	9	6	2	9	7	2
7	9	250 mg	14	9	6	14	9	7	14
7	10	500mg	2	9	6	2	9	7	2
7	11	1 packet	60	1	4	50	1	5	50
7	12	1 cake	10	1	4	10	1	5	10
7	13	1 ltr	18	1	4	20	1	5	18
7	14	1 kg	30	1	4	30	1	5	30
7	15	1kg	40	1	4	40	1	5	40
7	16	1kg	80	1	4	80	1	5	80
7	17	1kg	35	1	4	40	1	5	35
7	18	1kg	40	1	4	40	1	5	40
7	19	1 kg	80	1	4	80	1	5	80
7	20	1kg	140	1	4	140	1	5	140
7	21	1kg	90	1	4	90	1	5	90
7	22	1kg	60	1	4	60	1	5	60
7	23	1 piece	20	1	4	20	1	5	20
7	24	1kg	60	1	4	60	1	5	60
7	25	1 ltr	60	1	4	60	1	5	60
7	26	1kg	300	1	4	250	1	5	250
7	27	1kg	430	1	4	430	1	5	430
7	28	1kg	200	1	4	200	1	5	200
7	29	1 ltr	100	1	4	80	1	5	80
7	30	1 piece	5	1	4	5	1	5	5
7	31	1kg	300	1	4	300	1	5	300
7	32	1kg	100	6	12	100	6	13	100
7	33	1kg	400	6	12	400	6	13	400
7	34	1 kg	180	1	12	180	1	13	180
7	35	1kg	450	6	12	450	6	13	450
7	36	1kg	120	6	12	120	6	13	120
7	37	1kg	150	6	12	150	6	13	150
7	39	1kg	30	5	10	30	5	11	30
7	40	1kg	30	5	10	30	5	11	30
7	41	1kg	20	5	10	20	5	11	20
7	42	1kg	30	5	10	30	5	11	30
7	43	1kg	20	5	10	20	5	11	20
7	44	1kg	380	1	4	400	1	5	380
7	45	1kg	700	1	4	700	1	5	700
7	46	1kg	40	1	4	40	1	5	40
7	47	1kg	100	1	4	90	1	5	90
7	48	1kg	17	1	4	18	1	5	17
7	49	1kg	360	7	4	360	7	5	360
7	50	1kg	2	1	4	25	1	5	25
7	51	1kg	100	1	4	100	1	5	100
7	52	1kg	300	1	4	250	1	5	250
7	53	12 pieces	40	1	4	40	1	5	40
7	54	1 piece	30	1	4	30	1	5	30
7	55	1kg	60	1	4	60	1	5	60
7	56	200ml	40	1	4	40	1	5	40
7	57	1ltr	800	1	4	800	1	5	800
7	59	1 Kg	75	1	4	78	1	5	75
8	1	100pages	40	1	4	40	1	5	40
8	2	1paire	350	1	4	400	1	5	350
8	3	1 shirt	250	1	8	300	1	9	300
8	4	1 blouse	300	1	8	250	1	9	250
8	5	1 pant	350	1	8	350	1	9	350
8	6	1 skirt	450	1	8	500	1	9	500
8	7	27.5g sachet	17	9	6	17	9	7	17
8	8	500mg	2	9	6	2	9	7	2
8	9	250mg	14	9	6	14	9	7	14
8	10	500mg	2	9	6	2	9	7	2
8	11	1 packet	40	1	4	40	1	5	40
8	12	1 cake	10	1	4	10	1	5	10
8	13	1 ltr	18	1	4	20	1	5	18
8	14	1 kg	30	1	4	40	1	5	30
8	15	1 kg	40	1	4	40	1	5	40
8	16	1 kg	80	1	4	80	1	5	80
8	17	1 kg	40	1	4	40	1	5	40
8	18	1 kg	40	1	4	40	1	5	40
8	19	1kg	78	1	4	78	1	5	78
8	20	1 kg	140	1	4	140	1	5	140
8	21	1 kg	80	1	4	90	1	5	80
8	22	1 kg	60	1	4	60	1	5	60
8	23	1 piece	20	1	4	20	1	5	20
8	24	1 kg	60	1	4	60	1	5	60
8	25	1 ltr	60	1	4	65	1	5	60
8	26	1 kg	350	1	4	400	1	5	350
8	27	1 kg	430	1	4	450	1	5	430
8	28	1 kg	370	1	4	370	1	5	370
8	29	1 kg	100	1	4	100	1	5	100
8	30	1 piece	5	1	4	5	1	5	5
8	31	1 kg	350	1	4	350	1	5	350
8	32	1kg	100	6	12	100	6	2	100
8	33	1 kg	450	6	12	450	6	2	450
8	34	1kg	180	6	12	180	6	2	180
8	35	1kg	400	6	12	400	6	2	400
8	36	1 kg	120	6	12	130	6	2	120
8	37	1 kg	150	6	12	150	6	2	150
8	39	1 kg	30	5	10	30	5	11	30
8	40	1kg	30	5	10	30	5	11	30
8	41	1 kg	20	5	10	20	5	11	20
8	42	1 kg	30	5	10	30	5	11	30
8	43	1kg	30	5	10	30	5	11	30
8	44	1 kg	380	1	4	400	1	5	380
8	45	1kg	700	1	4	700	1	5	700
8	46	1kg	40	1	4	40	1	5	40
8	47	1kg	100	1	4	90	1	5	90
8	48	1kg	20	1	4	20	1	5	20
8	49	1kg	360	7	4	360	7	5	360
8	50	100g	25	1	4	25	1	5	25
8	51	1kg	40	1	4	40	1	5	40
8	52	1 kg	250	1	4	300	1	5	250
8	53	12 pieces	40	1	4	40	1	5	40
8	54	per piece	30	1	4	30	1	5	30
8	55	1 kg	60	1	4	60	1	5	60
8	56	200ml	12	1	4	12	1	5	12
8	57	1 ltr	800	1	4	850	1	5	800
8	59	1 kg	80	1	4	78	1	5	78
9	1	100pages	40	1	4	40	1	5	40
9	2	1 paire	350	1	4	400	1	5	350
9	3	1 shirt	300	1	8	250	1	9	250
9	4	1 short sleeve	350	1	8	350	1	9	350
9	5	1 pant	300	1	8	350	1	9	300
9	6	1 girls skirt	450	1	8	400	1	9	400
9	7	27.5g	17	9	6	17	9	7	17
9	8	500mg	2	9	6	2	9	7	2
9	9	250mg	14	9	6	14	9	7	14
9	10	500mg	2	9	6	2	9	7	2
9	11	1 packet	40	9	6	50	9	7	40
9	12	1 cake	10	1	4	10	1	5	10
9	13	1 ltr	18	1	4	20	1	5	18
9	14	1 kg	35	1	4	40	1	5	35
9	15	1 kg	40	1	4	40	1	5	40
9	16	1 kg	80	1	4	80	1	5	80
9	17	1 kg	40	1	4	40	1	5	40
9	18	1 kg	40	1	4	40	1	5	40
9	19	1 kg	78	1	4	80	1	5	78
9	20	1 kg	140	1	4	140	1	5	140
9	21	1 kg	90	1	4	90	1	5	90
9	22	1 kg	60	1	4	60	1	5	60
9	23	1 piece	20	1	4	20	1	5	20
9	24	1 kg	60	1	4	60	1	5	60
9	25	1 ltr	60	1	4	60	1	5	60
9	26	1 kg	350	1	4	400	1	5	350
9	27	1kg	430	1	4	430	1	5	430
9	28	1kg	370	1	4	370	1	5	370
9	29	1 ltr	100	1	4	100	1	5	100
9	30	1 piece	5	1	4	5	1	5	5
9	31	1 kg	350	1	4	350	1	5	350
9	32	1kg	150	6	12	150	6	3	150
9	33	1kg	400	6	12	400	6	3	400
9	34	1kg	160	6	12	160	6	3	160
9	35	1kg	450	6	12	450	6	3	450
9	36	1kg	140	6	12	140	6	3	140
9	37	1kg	160	6	12	160	6	3	160
9	39	1kg	30	5	10	30	5	11	30
9	40	1kg	35	5	10	35	5	11	35
9	41	1kg	15	5	10	15	5	11	15
9	42	1kg	30	5	10	30	5	11	30
9	43	1kg	20	5	10	20	5	11	20
9	44	1kg	380	1	4	380	1	5	380
9	45	1kg	750	1	4	700	1	5	750
9	46	1kg	40	1	4	40	1	5	40
9	47	1kg	100	1	4	100	1	5	100
9	48	1kg	20	1	4	20	1	5	20
9	49	1kg	360	1	4	360	1	5	360
9	50	100g	25	1	4	25	1	5	25
9	51	1kg	100	1	4	100	1	5	100
9	52	1kg	300	1	4	300	1	5	300
9	53	12 pieces	40	1	4	40	1	5	40
9	54	1piece	30	1	4	30	1	5	30
9	55	1 kg	60	1	4	60	1	5	60
9	56	200ml	40	1	4	40	1	5	40
9	57	1 ltr	800	1	4	800	1	5	800
9	59	Kg	76	1	4	76	1	5	76
10	1	100pages	40	1	4	40	1	5	40
10	2	1 paire	350	1	4	400	1	5	350
10	3	1 shirt	280	1	8	275	1	9	275
10	4	1 blouse	300	1	8	250	1	9	250
10	5	1 pant	300	1	8	350	1	9	300
10	6	1 skirt	450	1	8	500	1	9	450
10	7	27.5	17	9	6	17	9	7	17
10	8	500mg	2	9	6	2	9	7	2
10	9	250mg	14	9	6	14	9	7	14
10	10	500mg	2	9	6	2	9	7	2
10	11	1 packet	40	1	4	50	1	5	45
10	12	1 cake	10	1	4	10	1	5	10
10	13	1 ltr	18	1	4	20	1	5	18
10	14	1 kg	35	1	4	40	1	5	35
10	15	1 kg	40	1	4	40	1	5	40
10	16	1 kg	80	1	4	80	1	5	80
10	17	1 kg	40	1	4	40	1	5	40
10	18	1 kg	40	1	4	40	1	5	40
10	19	1 kg	78	1	4	78	1	5	78
10	20	1 kg	140	1	4	140	1	5	140
10	21	1 kg	90	1	4	90	1	5	90
10	22	1kg	60	1	4	60	1	5	60
10	23	1 piece	20	1	4	20	1	5	20
10	24	1 kg	60	1	4	60	1	5	60
10	25	1 ltr	60	1	4	60	1	5	60
10	26	1kg	350	1	4	400	1	5	350
10	27	1 kg	430	1	4	430	1	5	430
10	28	1kg	370	1	4	370	1	5	370
10	29	1 ltr	100	1	4	100	1	5	100
10	30	1 piece	5	1	4	5	1	5	5
10	31	1 kg	350	1	4	350	1	5	350
10	32	1 kg	140	6	12	150	6	3	140
10	33	1 kg	400	6	12	400	6	3	400
10	34	1kg	160	6	12	160	6	3	160
10	35	1kg	400	6	12	400	6	3	400
10	36	1kg	140	6	12	140	6	3	140
10	37	1kg	160	6	12	160	6	3	160
10	39	1 kg	30	5	10	30	5	11	30
10	40	1kg	35	5	10	35	5	11	35
10	41	1kg	10	5	10	10	5	11	10
10	42	1kg	30	5	10	30	5	11	30
10	43	1kg	25	5	10	25	5	11	25
10	44	1kg	380	1	4	400	1	5	380
10	45	1kg	700	1	4	700	1	5	700
10	46	1kg	40	1	4	40	1	5	40
10	47	1kg	100	1	4	90	1	5	90
10	48	1kg	25	1	4	25	1	5	25
10	49	1kg	360	1	4	360	1	5	360
10	50	100g	25	1	4	25	1	5	25
10	51	1kg	100	1	4	100	1	5	100
10	52	1kg	250	1	4	300	1	5	250
10	53	12 pieces	40	1	4	40	1	5	40
10	54	1 piece	30	1	4	30	1	5	30
10	55	1 kg	60	1	4	60	1	5	60
10	56	200ml	40	1	4	40	1	5	40
10	57	1ltr	800	1	4	800	1	5	800
10	59	1 KG	80	1	4	75	1	5	75
11	1	100 PAGES	40	1	4	40	1	5	40
11	2	1 Pair	350	1	4	400	1	5	350
11	3	1 shirt	275	1	8	300	1	9	275
11	4	1 blouse	300	1	8	250	1	9	250
11	5	1 pant	350	1	4	350	1	5	350
11	6	1 skirt	450	1	4	500	1	5	450
11	7	27.5g	17	9	6	17	9	7	17
11	8	500mg	2	9	6	2	9	7	2
11	9	250mg	14	9	6	14	9	7	14
11	10	500mg	2	9	6	2	9	7	2
11	11	1 packet	40	1	4	50	1	5	40
11	12	1 cake	10	1	4	15	1	5	10
11	13	1 ltr	18	1	4	20	1	5	18
11	14	1 kg	35	1	4	40	1	5	35
11	15	1 kg	40	1	4	40	1	5	40
11	16	1 kg	60	1	4	60	1	5	60
11	17	1 kg	40	1	4	40	1	5	40
11	18	1 kg	40	1	4	40	1	5	40
11	19	1 kg	80	1	4	80	1	5	80
11	20	1 kg	140	1	4	140	1	5	140
11	21	1 kg	90	1	4	90	1	5	90
11	22	1 kg	60	1	4	60	1	5	60
11	23	1 piece	20	1	4	25	1	5	20
11	24	1 kg	60	1	4	60	1	5	60
11	25	1 ltr	60	1	4	60	1	5	60
11	26	1 kg	350	1	4	375	1	5	350
11	27	1kg	430	1	4	430	1	5	430
11	28	1 kg	370	1	4	370	1	5	370
11	29	1 ltr	100	1	4	100	1	5	100
11	30	1 piece	5	1	4	5	1	5	5
11	31	1 kg	250	1	4	300	1	5	300
11	32	1 kg	150	6	12	150	6	13	150
11	33	1 kg	450	6	12	450	6	13	450
