PLACEID	LCPRIDR5	LCLUNIT	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102	PRCESTND
1	1	01	11	1	19	11	1	23	10
1	2	1 PAIRE	320	1	9	330	1	10	300
1	3	2MEATERS	210	1	11	220	1	12	200
1	4	1.1/2 MEATERS	160	1	11	165	1	12	150
1	5	1.20 MEATERS	230	1	11	230	1	12	210
1	6	1.30 MEATERS	145	1	11	145	1	12	130
1	7	1 PACKET	4.80000019073486	9	13	5	9	14	4.30000019073486
1	8	1 TAB	1.5	9	13	1.60000002384186	9	14	.899999976158142
1	9	1 TABLETE	3.09999990463257	9	13	3	9	14	2.79999995231628
1	10	1 TABLETE	13.5	9	13	13.8000001907349	9	14	12.6000003814697
1	11	1PACKET	35	1	19	36	1	23	34
1	12	01	10	1	19	10	1	23	34
1	13	1 LEATER	30	1	19	30	1	23	25
1	14	KG	36	1	19	35	1	23	34
1	15	KG	31	1	19	30	1	23	29
1	16	KG	100	1	19	105	1	23	95
1	17	KG	85	1	19	84	1	23	82
1	18	KG	42	1	19	41	1	23	39
1	19	KG	142	1	19	140	1	23	130
1	20	KG	131	1	19	130	1	23	126
1	21	KG	105	1	19	110	1	23	100
1	22	KG	48	1	19	46	1	23	45
1	23	100GRAMS	12	1	15	12	1	24	10
1	24	KG	32	1	15	31	1	24	28
1	25	1 LEATER	54	1	20	55	1	25	50
1	26	KG	320	1	20	325	1	25	310
1	27	KG	360	1	15	355	1	24	350
1	28	KG	420	1	15	425	1	24	410
1	29	1 LEATER	56	1	15	55	1	24	50
1	30	1	5	1	19	5	1	23	4.5
1	31	KG	42	1	15	40	1	24	38
1	32	KG	165	6	26	160	6	28	150
1	33	KG	550	6	26	540	6	28	530
1	34	KG	160	6	29	160	6	30	145
1	35	KG	530	6	26	530	6	28	510
1	36	KG	140	6	31	135	6	32	125
1	37	KG	350	6	31	345	6	32	330
1	39	KG	28	5	21	29	5	22	25
1	40	KG	25	5	21	26	5	22	23
1	41	KG	35	5	21	36	5	22	34
1	42	KG	14	5	21	15	5	22	13
1	43	KG	30	5	21	30	5	22	28
1	44	250 GRAMS	48	1	19	47	1	23	45
1	45	KG	435	1	19	440	1	23	430
1	46	KG	41	1	19	42	1	23	40
1	47	KG	81	1	19	80	1	23	78
1	48	KG	11	1	19	10	1	23	9
1	49	KG	450	1	19	455	1	23	435
1	50	KG	25	1	19	26	1	23	23
1	51	KG	110	1	15	105	1	24	100
1	52	KG	210	1	15	200	1	24	195
1	53	KG	35	3	17	34	3	18	30
1	54	KG	95	3	17	90	3	18	85
