PLACEID	EDINIDR5	EDFACAVL	EDFACTIM	EDFACTRN
1	1	0	45	8
1	2	0	45	8
1	3	0	10	3
1	4	0	20	8
1	5	3	 	 
1	6	3	 	 
1	7	3	 	 
2	1	3	 	 
2	2	3	 	 
2	3	0	20	5
2	4	0	20	5
2	5	3	 	 
2	6	3	 	 
2	7	88	 	 
3	1	1	 	 
3	2	1	 	 
3	3	1	 	 
3	4	1	 	 
3	5	3	 	 
3	6	3	 	 
3	7	3	 	 
4	1	3	 	 
4	2	0	40	8
4	3	0	30	8
4	4	0	30	8
4	5	0	90	8
4	6	0	40	8
4	7	3	 	 
5	1	1	 	 
5	2	1	 	 
5	3	1	 	 
5	4	1	 	 
5	5	3	 	 
5	6	3	 	 
5	7	3	 	 
6	1	3	 	 
6	2	3	 	 
6	3	0	30	5
6	4	3	 	 
6	5	3	 	 
6	6	3	 	 
6	7	88	 	 
7	1	3	 	 
7	2	3	 	 
7	3	0	30	8
7	4	3	 	 
7	5	3	 	 
7	6	0	30	8
7	7	88	 	 
8	1	3	 	 
8	2	3	 	 
8	3	0	30	8
8	4	3	 	 
8	5	3	 	 
8	6	0	35	8
8	7	88	 	 
9	1	3	 	 
9	2	3	 	 
9	3	0	15	8
9	4	3	 	 
9	5	3	 	 
9	6	0	15	8
9	7	88	 	 
10	1	3	 	 
10	2	3	 	 
10	3	3	 	 
10	4	3	 	 
10	5	3	 	 
10	6	3	 	 
10	7	3	 	 
11	1	3	 	 
11	2	3	 	 
11	3	1	 	 
11	4	3	 	 
11	5	3	 	 
11	6	1	 	 
11	7	88	 	 
12	1	0	30	3
12	2	0	30	3
12	3	0	30	3
12	4	0	30	3
12	5	3	 	 
12	6	3	 	 
12	7	3	 	 
13	1	3	 	 
13	2	0	60	5
13	3	0	30	5
13	4	0	30	5
13	5	3	 	 
13	6	3	 	 
13	7	3	 	 
14	1	1	 	 
14	2	1	 	 
14	3	1	 	 
14	4	1	 	 
14	5	0	90	8
14	6	3	 	 
14	7	3	 	 
15	1	0	30	8
15	2	0	60	8
15	3	0	30	5
15	4	0	10	5
15	5	3	 	 
15	6	3	 	 
15	7	3	 	 
16	1	3	 	 
16	2	0	45	8
16	3	0	20	8
16	4	0	20	8
16	5	3	 	 
16	6	3	 	 
16	7	3	 	 
17	1	3	 	 
17	2	0	15	8
17	3	0	30	5
17	4	0	15	8
17	5	3	 	 
17	6	0	15	5
17	7	3	 	 
18	1	3	 	 
18	2	3	 	 
18	3	0	20	8
18	4	0	30	8
18	5	3	 	 
18	6	1	 	 
18	7	88	 	 
19	1	3	 	 
19	2	0	45	8
19	3	0	30	8
19	4	0	45	8
19	5	3	 	 
19	6	3	 	 
19	7	3	 	 
20	1	3	 	 
20	2	1	 	 
20	3	1	 	 
20	4	1	 	 
20	5	1	 	 
20	6	3	 	 
20	7	88	 	 
21	1	3	 	 
21	2	0	40	8
21	3	0	30	8
21	4	0	30	8
21	5	3	 	 
21	6	3	 	 
21	7	88	 	 
22	1	0	60	8
22	2	0	60	8
22	3	0	40	8
22	4	0	30	3
22	5	3	 	 
22	6	3	 	 
22	7	3	 	 
23	1	0	77	8
23	2	0	20	8
23	3	0	30	8
23	4	0	10	8
23	5	3	 	 
23	6	3	 	 
23	7	0	10	8
24	1	0	10	5
24	2	0	10	5
24	3	0	10	5
24	4	1	 	 
24	5	0	35	8
24	6	0	30	3
24	7	0	10	5
25	1	3	 	 
25	2	0	30	8
25	3	0	10	5
25	4	1	 	 
25	5	0	20	8
25	6	3	 	 
25	7	3	 	 
26	1	0	15	5
26	2	0	40	8
26	3	0	15	5
26	4	1	 	 
26	5	0	40	8
26	6	3	 	 
26	7	3	 	 
27	1	3	 	 
27	2	0	60	5
27	3	0	60	5
27	4	3	 	 
27	5	3	 	 
27	6	3	 	 
27	7	88	 	 
28	1	3	 	 
28	2	3	 	 
28	3	0	30	5
28	4	0	60	5
28	5	3	 	 
28	6	0	60	5
28	7	3	 	 
29	1	0	60	8
29	2	0	60	8
29	3	0	30	5
29	4	0	60	8
29	5	3	 	 
29	6	0	60	8
29	7	88	 	 
30	1	0	60	5
30	2	0	60	5
30	3	0	30	5
30	4	0	60	5
30	5	3	 	 
30	6	0	60	5
30	7	88	 	 
31	1	3	 	 
31	2	3	 	 
31	3	0	60	5
31	4	0	60	5
31	5	3	 	 
31	6	0	60	5
31	7	88	 	 
32	1	3	 	 
32	2	3	 	 
32	3	0	30	5
32	4	0	1	5
32	5	3	 	 
32	6	3	 	 
32	7	79	 	 
33	1	0	30	8
33	2	0	20	8
33	3	0	15	8
33	4	0	15	8
33	5	3	 	 
33	6	0	20	8
