PLACEID	EDUCIDR5	SCHLOC	SCHDES	SCHLOW	SCHHIGH	SCHOPEN
1	1	2	3	6	10	Y
1	2	2	3	11	12	Y
1	3	2	3	11	12	Y
1	4	2	1	0	10	Y
2	1	1	3	1	5	Y
2	2	1	3	1	7	Y
2	3	2	3	6	10	Y
3	1	1	3	6	10	Y
3	2	1	3	1	5	Y
3	3	2	1	0	10	Y
3	4	1	1	11	12	Y
3	5	1	3	11	12	Y
4	1	1	1	1	5	Y
4	2	2	3	6	10	Y
4	3	2	1	1	10	Y
4	4	1	3	11	12	Y
4	5	2	1	0	10	Y
5	1	1	3	1	5	Y
5	2	2	1	0	10	Y
5	3	1	1	11	12	Y
5	4	1	3	11	12	Y
6	1	1	3	1	5	Y
6	2	1	3	6	10	Y
6	3	1	3	1	10	Y
7	1	1	3	1	10	Y
7	2	2	3	1	5	Y
7	3	2	3	1	5	Y
7	4	1	3	1	5	Y
7	5	2	3	1	5	Y
8	1	1	3	1	5	Y
8	2	2	3	1	5	Y
8	3	2	3	1	10	Y
9	1	1	3	1	5	Y
9	2	2	3	6	10	Y
9	3	2	3	1	10	Y
9	4	2	3	1	10	Y
9	5	2	3	1	10	Y
9	6	2	3	1	12	Y
10	1	2	3	1	5	Y
10	2	2	3	1	5	Y
10	3	1	3	1	5	Y
11	1	1	3	6	10	Y
11	2	1	3	1	10	Y
11	3	1	1	1	10	Y
11	4	1	3	1	12	Y
11	5	1	1	1	10	Y
11	6	1	3	1	10	Y
12	1	1	3	1	7	Y
12	2	2	3	1	5	Y
13	1	2	3	6	10	Y
13	2	1	3	1	8	Y
13	3	1	1	1	10	Y
13	4	1	3	1	5	Y
13	5	1	3	1	5	Y
13	6	2	1	11	12	Y
13	7	2	3	11	12	Y
14	1	2	3	6	10	Y
14	2	2	3	6	10	Y
14	3	2	3	1	7	Y
14	4	1	3	6	10	Y
14	5	2	3	11	12	Y
15	1	1	3	0	5	Y
15	2	1	3	1	5	Y
15	3	2	3	6	10	Y
15	4	2	1	1	10	Y
15	5	2	3	6	10	Y
15	6	2	1	6	10	Y
16	1	1	3	1	8	Y
16	2	1	3	1	5	Y
16	3	2	1	1	10	Y
16	4	2	1	1	10	Y
16	5	2	3	11	12	Y
17	1	2	3	6	10	Y
17	2	2	3	11	12	Y
17	3	1	3	1	8	Y
18	1	2	3	0	6	Y
18	2	2	1	0	10	Y
18	3	2	1	0	10	Y
18	4	2	1	0	10	Y
18	5	2	3	11	12	Y
19	1	2	3	6	10	Y
19	2	1	3	6	10	Y
19	3	2	1	0	10	Y
19	4	2	3	11	12	Y
20	1	2	3	0	10	N
20	2	2	1	0	10	N
20	3	2	1	0	10	N
20	4	2	1	0	12	N
21	1	2	3	6	10	Y
21	2	2	3	6	10	Y
21	3	2	1	11	12	Y
21	4	2	1	11	12	Y
21	5	2	1	11	12	Y
21	6	2	3	11	12	Y
21	7	2	1	6	10	Y
22	1	2	3	6	10	Y
22	2	2	1	0	10	Y
22	3	2	1	11	12	Y
22	4	2	1	11	12	Y
23	1	2	3	6	10	Y
23	2	2	3	6	10	Y
23	3	2	1	0	10	Y
23	4	2	1	11	12	Y
23	5	2	1	12	12	Y
23	6	2	1	0	10	Y
23	7	2	1	0	10	Y
23	8	2	1	0	10	Y
23	9	1	3	11	12	Y
24	1	1	1	0	10	Y
24	2	1	1	0	10	Y
24	3	1	1	0	10	Y
24	4	1	3	11	12	Y
25	1	2	1	0	10	Y
25	2	2	1	1	10	Y
25	3	2	3	3	10	Y
25	4	1	3	11	12	Y
26	1	1	3	1	5	Y
26	2	1	1	1	10	Y
26	3	1	1	1	10	Y
26	4	2	3	6	10	Y
27	1	1	3	1	5	N
27	2	1	3	1	5	N
27	3	1	3	1	5	N
27	4	2	3	6	10	N
27	5	2	3	3	10	N
28	1	1	3	1	10	Y
28	2	1	3	1	5	Y
29	1	1	3	1	7	N
30	1	1	3	1	5	Y
31	1	1	3	3	10	Y
31	2	1	3	1	2	Y
32	1	1	3	1	5	N
32	2	1	3	1	5	N
33	1	1	3	1	5	N
33	2	1	1	1	10	N
33	3	1	3	1	5	N
33	4	1	3	1	5	N
33	5	2	3	6	10	N
33	6	2	1	1	10	N
33	7	2	3	6	10	N
33	8	2	3	6	10	N
33	9	2	1	1	10	N
33	10	2	1	1	10	N
34	1	1	3	1	7	Y
34	2	1	3	6	10	Y
34	3	1	3	1	5	Y
34	4	1	2	1	5	Y
34	5	1	2	6	12	Y
35	1	1	3	1	5	Y
35	2	2	3	6	10	Y
35	3	2	3	11	12	Y
35	4	2	1	11	12	Y
36	1	1	3	1	5	Y
36	2	1	3	6	10	Y
36	3	2	3	6	12	Y
36	4	2	3	11	12	Y
36	5	2	1	11	12	Y
37	1	1	3	1	5	Y
37	2	1	3	6	10	Y
37	3	2	3	6	12	Y
37	4	2	3	11	12	Y
37	5	2	1	11	12	Y
38	1	2	3	6	10	Y
38	2	2	3	11	12	Y
38	3	1	3	1	5	Y
40	1	1	3	1	7	Y
40	2	2	3	6	10	Y
40	3	2	3	6	12	Y
40	4	2	1	0	10	Y
40	5	2	1	0	10	Y
40	6	2	1	0	10	Y
40	7	2	3	11	12	Y
41	1	1	3	1	5	Y
41	2	1	3	1	10	Y
41	3	1	2	0	10	Y
41	4	2	1	0	10	Y
42	1	1	3	1	5	Y
42	2	1	3	6	10	Y
42	3	2	1	0	12	Y
42	4	2	3	11	12	Y
42	5	2	1	11	12	Y
43	1	1	3	1	5	Y
43	2	1	3	6	10	Y
43	3	2	3	11	12	Y
44	1	1	3	1	5	Y
44	2	1	3	6	10	Y
44	3	1	2	1	10	Y
44	4	2	3	11	12	Y
45	1	1	3	1	5	Y
45	2	2	3	1	8	Y
45	3	2	3	6	10	Y
45	4	2	1	0	10	Y
45	5	2	3	11	12	Y
46	1	1	3	1	5	Y
46	2	1	3	6	10	Y
46	3	2	1	0	10	Y
46	4	2	3	11	12	Y
47	1	1	3	1	5	N
47	2	1	3	1	10	N
47	3	1	3	11	12	N
47	4	1	1	1	5	N
48	1	1	3	1	5	N
48	2	1	3	1	10	N
49	1	1	3	1	10	Y
49	2	1	3	1	10	N
49	3	1	1	1	10	N
49	4	1	1	11	12	N
49	5	2	3	11	12	N
50	1	1	3	1	5	N
50	2	2	3	1	10	N
51	1	1	3	1	5	N
51	2	1	3	1	10	N
52	1	1	3	1	5	N
52	2	2	3	1	10	N
53	1	1	3	1	5	N
53	2	1	3	1	10	N
54	1	1	3	1	5	N
56	1	1	3	1	7	Y
57	1	2	1	1	10	Y
57	2	2	1	1	10	Y
57	3	2	1	1	10	Y
57	4	2	1	1	10	Y
57	5	1	3	1	5	Y
58	1	1	3	10	7	Y
61	1	1	3	1	5	Y
61	2	1	3	1	5	Y
61	3	2	3	6	10	Y
61	4	2	1	0	10	Y
61	5	2	1	0	10	Y
61	6	2	3	11	12	Y
62	1	1	3	1	5	Y
62	2	2	3	6	10	Y
62	3	2	1	0	12	Y
62	4	2	1	0	10	Y
62	5	2	1	0	8	Y
62	6	2	3	11	12	Y
63	1	1	3	1	8	Y
63	2	2	3	6	10	Y
63	3	2	1	0	12	Y
63	4	2	1	0	10	Y
63	5	2	1	0	8	Y
63	6	2	1	0	10	Y
63	7	2	1	0	10	Y
63	8	2	3	11	12	Y
64	1	1	3	1	5	Y
64	2	1	3	6	10	Y
64	3	2	1	0	10	Y
64	4	2	1	0	8	Y
64	5	2	1	0	10	Y
64	6	2	1	11	11	Y
64	7	1	3	1	5	Y
65	1	1	3	1	5	Y
65	2	2	3	6	10	Y
65	3	2	1	0	10	Y
65	4	2	1	0	10	Y
65	5	2	1	0	10	Y
66	1	1	3	1	8	Y
66	2	2	3	6	10	Y
66	3	2	3	6	10	Y
66	4	2	3	6	10	Y
66	5	2	1	0	10	Y
66	6	2	1	0	10	Y
66	7	2	1	0	10	Y
66	8	2	3	11	12	Y
66	9	2	1	11	12	Y
66	10	2	1	11	12	Y
67	1	1	3	1	5	Y
67	2	1	3	1	5	Y
67	3	2	3	6	10	Y
67	4	2	3	6	10	Y
67	5	2	1	0	7	Y
67	6	2	1	0	10	Y
67	7	2	1	0	10	Y
67	8	2	1	0	10	Y
67	9	2	1	0	5	Y
67	10	2	3	11	12	Y
67	11	2	1	11	12	Y
67	12	2	1	11	12	Y
68	1	1	3	1	5	Y
68	2	2	3	6	10	Y
68	3	2	3	6	10	Y
68	4	1	1	0	10	Y
68	5	2	1	0	10	Y
68	6	2	1	0	10	Y
68	7	2	1	0	10	Y
68	8	2	1	0	10	Y
68	9	2	3	11	12	Y
68	10	2	1	11	12	Y
69	1	1	3	1	8	Y
69	2	2	3	6	10	Y
69	3	2	3	6	10	Y
69	4	1	3	6	10	Y
69	5	2	1	0	10	Y
69	6	2	1	0	10	Y
69	7	1	1	0	10	Y
69	8	1	3	11	12	Y
69	9	1	1	11	12	Y
70	1	1	3	1	5	Y
70	2	2	3	1	5	Y
70	3	2	3	6	10	Y
70	4	2	1	0	10	Y
70	5	2	1	0	10	Y
70	6	2	1	0	7	Y
70	7	2	1	0	10	Y
70	8	2	3	11	12	Y
70	9	2	1	11	12	Y
70	10	2	1	11	12	Y
71	1	1	3	1	5	Y
72	1	1	3	1	7	Y
72	2	1	1	1	7	Y
73	1	1	3	1	5	Y
74	1	1	3	6	10	Y
74	2	1	3	5	12	Y
74	3	1	3	6	10	Y
74	4	1	3	1	5	Y
74	5	1	3	1	5	Y
74	6	1	3	5	12	Y
74	7	1	3	11	12	Y
74	8	1	3	1	5	Y
74	9	1	1	1	10	Y
75	1	1	3	1	7	Y
75	2	1	3	3	5	Y
75	3	1	3	6	10	Y
76	1	1	3	1	5	Y
76	2	2	3	6	10	Y
76	3	2	1	11	12	Y
76	4	2	1	11	12	Y
77	1	1	3	1	8	Y
77	2	2	3	6	10	Y
77	3	2	1	0	7	Y
77	4	2	3	11	12	Y
77	5	2	1	11	12	Y
77	6	2	1	11	12	Y
78	1	1	3	1	5	Y
78	2	1	3	6	10	Y
78	3	1	1	0	7	Y
78	4	2	1	0	10	Y
78	5	2	1	0	10	Y
78	6	2	1	0	10	Y
78	7	2	1	0	10	Y
79	1	1	3	1	5	Y
79	2	2	3	6	10	Y
79	3	2	3	6	10	Y
79	4	2	1	0	7	Y
79	5	2	3	11	12	Y
79	6	2	1	11	12	Y
79	7	2	1	11	12	Y
80	1	1	3	1	7	Y
80	2	1	3	1	5	Y
80	3	2	3	6	10	Y
80	4	2	3	6	10	Y
80	5	2	1	0	10	Y
80	6	2	3	11	12	Y
80	7	2	1	11	12	Y
81	1	1	3	6	10	Y
81	2	1	3	1	5	Y
81	3	1	3	1	5	Y
82	1	1	4	6	10	Y
82	2	1	3	1	5	Y
82	3	1	3	1	5	Y
83	1	1	3	6	10	Y
83	2	1	3	1	5	Y
84	1	1	3	1	5	Y
84	2	1	3	1	5	Y
85	1	1	3	6	10	Y
85	2	1	3	1	5	Y
86	1	1	1	1	10	Y
86	2	1	1	1	10	Y
86	3	1	3	1	10	Y
86	4	1	1	1	10	Y
86	5	1	1	1	10	Y
86	6	1	1	1	10	Y
86	7	1	1	1	10	Y
86	8	1	1	1	10	Y
86	9	1	1	1	10	Y
86	10	1	1	1	10	Y
86	11	1	3	1	10	Y
86	12	1	1	1	10	N
86	13	1	1	1	10	Y
87	1	1	1	1	10	Y
87	2	1	1	1	7	Y
87	3	1	1	1	10	Y
87	4	1	1	1	10	Y
87	5	1	1	1	10	Y
87	6	1	1	1	10	Y
87	7	1	1	1	10	Y
87	8	1	1	1	10	Y
87	9	1	1	1	10	Y
87	10	1	3	1	10	Y
87	11	1	1	1	10	Y
87	12	1	1	1	10	Y
88	1	1	1	1	10	Y
88	2	1	1	1	10	Y
88	3	1	1	1	10	Y
88	4	1	1	1	10	Y
88	5	1	1	1	10	Y
88	6	1	1	1	10	Y
88	7	1	1	1	10	Y
88	8	1	3	1	5	Y
88	9	1	3	1	10	Y
88	10	1	1	1	10	Y
88	11	1	1	1	10	Y
89	1	1	3	1	5	N
89	2	2	1	1	12	N
89	3	2	1	1	10	N
89	4	2	1	1	12	N
91	1	1	3	1	10	Y
92	1	2	3	1	10	N
92	2	2	1	1	10	N
92	3	2	3	11	12	N
92	4	2	1	1	10	N
93	1	1	3	1	5	N
93	2	1	8	6	10	N
94	1	2	3	5	10	Y
94	2	2	3	1	10	Y
94	3	2	1	1	10	Y
94	4	1	1	1	10	Y
94	5	2	1	1	10	Y
94	6	1	3	1	5	Y
96	1	1	1	 	 	Y
96	2	1	3	11	12	Y
96	3	1	1	11	12	Y
96	4	1	1	1	10	Y
96	5	1	1	1	10	Y
96	6	1	1	1	10	Y
96	7	1	3	1	5	Y
96	8	1	1	6	10	Y
96	9	1	3	5	10	Y
96	10	1	1	1	10	Y
96	11	1	3	6	10	Y
96	12	1	1	1	10	Y
96	13	1	3	11	12	Y
96	14	1	3	1	5	Y
96	15	1	3	1	5	Y
97	1	1	3	6	10	Y
97	2	1	1	0	10	Y
97	3	1	1	11	12	Y
97	4	2	1	0	10	Y
97	5	2	1	0	10	Y
97	6	2	3	11	12	Y
98	1	1	3	1	5	Y
98	2	1	1	0	5	Y
98	3	1	1	0	7	Y
98	4	1	3	6	10	Y
98	5	2	1	0	10	Y
98	6	2	3	11	12	Y
98	7	2	1	11	12	Y
98	8	2	1	11	12	Y
99	1	1	3	1	5	Y
99	2	2	3	6	10	Y
101	1	1	3	1	5	Y
101	2	1	1	1	10	Y
101	3	2	1	1	10	Y
102	1	1	3	5	10	N
102	2	1	1	5	10	N
102	3	1	3	12	12	N
102	4	1	1	10	10	N
