PLACEID	HLTHIDR5	CURHFAC	TRNHFAC
1	1	3	 
1	2	0	8
1	3	0	8
1	4	0	8
1	5	0	5
1	6	3	 
1	7	0	8
1	8	0	5
1	9	0	8
1	10	3	 
1	11	0	8
2	1	3	 
2	2	3	 
2	3	0	5
2	4	3	 
2	5	3	 
2	6	3	 
2	7	0	5
2	8	0	5
2	9	3	 
2	10	88	 
2	11	3	 
3	1	0	5
3	2	1	 
3	3	1	 
3	4	1	 
3	5	1	 
3	6	0	5
3	7	0	5
3	8	0	5
3	9	0	5
3	10	0	88
3	11	0	5
4	1	0	8
4	2	0	8
4	3	0	5
4	4	0	5
4	5	0	5
4	6	0	5
4	7	0	5
4	8	0	5
4	9	0	5
4	10	3	 
4	11	0	5
5	1	0	5
5	2	1	 
5	3	1	 
5	4	1	 
5	5	1	 
5	6	0	5
5	7	0	5
5	8	0	5
5	9	0	5
5	10	0	88
5	11	0	5
6	1	3	 
6	2	3	 
6	3	0	5
6	4	1	 
6	5	1	 
6	6	3	 
6	7	0	5
6	8	0	5
6	9	3	 
6	10	88	 
6	11	3	 
7	1	3	 
7	2	3	 
7	3	1	 
7	4	1	 
7	5	3	 
7	6	3	 
7	7	1	 
7	8	1	 
7	9	3	 
7	10	88	 
7	11	3	 
8	1	3	 
8	2	3	 
8	3	0	8
8	4	3	 
8	5	3	 
8	6	3	 
8	7	3	 
8	8	0	8
8	9	3	 
8	10	88	 
8	11	3	 
9	1	3	 
9	2	3	 
9	3	0	8
9	4	0	8
9	5	3	 
9	6	3	 
9	7	0	8
9	8	0	8
9	9	3	 
9	10	88	 
9	11	3	 
10	1	3	 
10	2	3	 
10	3	0	5
10	4	3	 
10	5	0	5
10	6	3	 
10	7	3	 
10	8	0	5
10	9	3	 
10	10	88	 
10	11	3	 
11	1	3	 
11	2	3	 
11	3	1	 
11	4	1	 
11	5	1	 
11	6	3	 
11	7	1	 
11	8	1	 
11	9	3	 
11	10	88	 
11	11	88	 
12	1	0	5
12	2	0	5
12	3	0	5
12	4	0	5
12	5	1	 
12	6	0	5
12	7	0	5
12	8	0	5
12	9	3	 
12	10	3	 
12	11	0	5
13	1	3	 
13	2	3	 
13	3	0	5
13	4	0	5
13	5	0	5
13	6	0	5
13	7	0	5
13	8	0	5
13	9	3	 
13	10	3	 
13	11	3	 
14	1	0	8
14	2	1	 
14	3	1	 
14	4	1	 
14	5	1	 
14	6	1	 
14	7	0	5
14	8	1	 
14	9	0	5
14	10	1	 
14	11	0	5
15	1	0	1
15	2	0	8
15	3	0	1
15	4	0	5
15	5	0	1
15	6	1	 
15	7	0	5
15	8	0	1
15	9	3	 
15	10	3	 
15	11	3	 
16	1	0	8
16	2	0	8
16	3	0	5
16	4	0	8
16	5	1	 
16	6	0	8
16	7	0	4
16	8	0	8
16	9	3	 
16	10	3	 
16	11	0	8
17	1	0	5
17	2	0	5
17	3	0	5
17	4	0	5
17	5	0	5
17	6	0	5
17	7	0	5
17	8	0	5
17	9	3	 
17	10	3	 
17	11	0	8
18	1	0	8
18	2	3	 
18	3	1	 
18	4	1	 
18	5	1	 
18	6	0	8
18	7	1	 
18	8	1	 
18	9	3	 
18	10	88	 
18	11	3	 
19	1	0	8
19	2	3	 
19	3	0	5
19	4	0	5
19	5	1	 
19	6	0	8
19	7	0	8
19	8	0	5
19	9	3	 
19	10	3	 
19	11	3	 
20	1	0	8
20	2	3	 
20	3	0	8
20	4	0	5
20	5	0	1
20	6	0	5
20	7	0	5
20	8	0	5
20	9	3	 
20	10	3	 
20	11	3	 
21	1	0	5
21	2	0	8
21	3	0	8
21	4	0	5
21	5	1	 
21	6	0	5
21	7	0	5
21	8	0	5
21	9	3	 
21	10	3	 
21	11	0	8
22	1	0	5
22	2	0	5
22	3	0	5
22	4	0	5
22	5	0	1
22	6	0	8
22	7	0	5
22	8	0	5
22	9	3	 
22	10	3	 
22	11	3	 
23	1	0	8
23	2	0	8
23	3	0	8
23	4	0	8
23	5	1	 
23	6	0	5
23	7	0	8
23	8	0	8
23	9	0	8
23	10	0	5
23	11	0	8
24	1	0	5
24	2	1	 
24	3	0	1
24	4	1	 
24	5	3	 
24	6	1	 
24	7	1	 
24	8	0	5
24	9	0	5
24	10	3	 
24	11	0	5
25	1	0	5
25	2	1	 
25	3	1	 
25	4	1	 
25	5	1	 
25	6	1	 
25	7	1	 
