PLACEID	RSID	AGERES	SEXRES	CASTE	CAPAC	LIVRES
1	1	50	2	3	1	50
1	2	51	1	3	1	52
1	3	35	1	3	4	30
1	4	38	1	3	3	10
1	5	45	2	3	3	20
1	6	24	2	3	8	6
1	7	35	2	3	6	35
1	8	45	2	3	6	20
1	9	40	1	3	8	9
1	10	30	1	3	8	2
1	11	24	1	4	8	1
1	12	38	1	4	8	8
1	13	30	1	3	8	5
1	14	30	1	4	8	7
1	15	32	1	3	8	2
1	16	35	1	3	8	4
1	17	29	1	3	8	10
1	18	43	1	3	8	21
1	19	41	1	4	8	6
1	20	40	1	3	8	1
1	21	34	1	4	8	4
1	22	45	2	1	8	5
1	23	38	1	4	8	12
1	24	34	1	4	8	7
1	25	42	1	3	8	15
1	26	40	1	3	8	8
1	27	30	1	3	8	9
1	28	38	1	3	8	12
1	29	42	1	1	8	10
1	30	50	1	1	8	15
1	31	48	2	1	8	16
1	32	39	2	1	8	11
2	1	35	2	4	1	35
2	2	30	2	4	4	30
2	3	45	1	1	1	45
2	4	42	1	4	8	20
2	5	50	1	4	8	30
2	6	38	1	3	8	38
2	7	54	1	3	8	35
2	8	32	1	3	8	32
2	9	47	1	3	8	47
2	10	36	1	3	8	36
2	11	40	1	3	8	40
2	12	46	1	3	8	20
2	13	29	1	3	8	29
2	14	35	2	3	3	15
2	15	32	2	4	3	10
3	1	45	1	3	1	45
3	2	40	2	3	1	20
3	3	33	2	3	3	3
3	4	46	1	3	4	46
3	5	45	1	4	4	45
3	6	36	2	3	6	36
3	7	44	2	1	8	20
3	8	38	2	3	8	10
3	9	56	1	3	7	56
3	10	48	2	3	1	28
3	11	40	1	3	8	9
3	12	30	1	3	8	2
3	13	24	1	4	8	1
3	14	38	1	4	8	8
3	15	30	1	3	8	5
3	16	30	1	4	8	7
3	17	32	1	3	8	2
3	18	35	1	3	8	4
3	19	29	1	3	8	10
3	20	43	1	3	8	21
3	21	41	1	4	8	6
3	22	40	1	3	8	1
3	23	34	1	4	8	4
3	24	45	2	1	8	5
3	25	38	1	4	8	12
3	26	34	1	4	8	7
3	27	42	1	4	8	15
3	28	40	1	3	8	8
3	29	30	1	3	8	15
3	30	38	1	3	8	12
3	31	42	1	1	8	10
3	32	50	1	1	8	15
3	33	38	2	1	8	12
3	34	44	2	1	8	18
4	1	34	2	3	1	34
4	2	32	2	3	3	32
4	3	32	2	3	6	4
4	4	34	2	1	3	10
4	5	33	2	3	8	33
4	6	37	1	3	4	37
4	7	56	1	3	4	56
4	8	60	1	3	7	60
4	9	78	1	3	2	78
4	10	37	1	3	1	37
4	11	48	1	3	8	15
4	12	43	2	3	8	12
4	13	45	1	3	8	45
4	14	51	1	4	8	51
4	15	48	1	4	8	18
4	16	55	1	4	8	55
4	17	35	1	4	8	8
4	18	31	1	3	8	31
4	19	42	1	4	8	42
4	20	45	1	3	8	45
4	21	47	1	3	8	47
4	22	52	1	4	8	52
4	23	43	1	3	8	43
4	24	46	1	3	8	16
4	25	42	1	3	8	42
4	26	30	1	3	8	10
4	27	41	1	3	8	41
4	28	38	1	3	8	38
4	29	35	1	3	8	35
4	30	52	1	4	8	15
4	31	55	1	4	8	55
4	32	46	1	3	8	10
4	33	36	1	3	8	36
4	34	46	1	3	8	15
4	35	52	1	3	8	52
5	1	42	2	3	1	42
5	2	40	2	3	8	40
5	3	58	2	3	6	58
5	4	37	2	3	8	37
5	5	40	1	3	8	9
5	6	30	1	3	8	2
5	7	24	1	4	8	1
5	8	38	1	4	8	8
5	9	30	1	3	8	5
5	10	30	1	4	8	7
5	11	32	1	3	8	2
5	12	35	1	3	8	4
5	13	29	1	3	8	10
5	14	43	1	3	8	21
5	15	41	1	4	8	6
5	16	41	1	3	8	1
5	17	42	2	1	8	5
5	18	34	1	4	8	4
5	19	38	1	4	8	12
5	20	34	1	4	8	7
5	21	42	1	4	8	15
5	22	40	1	3	8	8
5	23	30	1	3	8	15
5	24	38	1	3	8	12
5	25	42	1	1	8	10
5	26	50	1	1	8	15
6	1	35	2	3	1	35
6	2	30	2	3	4	30
6	3	40	1	3	1	40
6	4	42	1	4	8	20
6	5	50	1	4	8	30
6	6	38	1	3	8	38
6	7	54	1	3	8	35
6	8	32	1	3	8	32
6	9	47	1	3	8	47
6	10	36	1	3	8	36
6	11	40	1	3	8	40
6	12	46	1	3	8	20
6	13	29	1	3	8	29
6	14	35	2	3	3	8
6	15	40	2	3	3	5
7	1	36	1	2	1	36
7	2	28	2	2	4	15
7	3	55	2	2	1	40
7	4	48	1	4	8	25
7	5	46	1	4	8	20
7	6	46	1	3	8	20
7	7	45	1	3	8	23
7	8	30	1	4	8	30
7	9	40	1	4	8	15
7	10	50	1	3	8	35
7	11	60	1	4	8	40
7	12	35	1	3	8	15
7	13	60	1	2	7	60
7	14	45	2	2	3	10
7	15	28	2	2	3	5
8	1	50	2	2	1	30
8	2	25	2	2	4	25
8	3	55	2	2	1	35
8	4	48	1	4	8	25
8	5	46	1	4	8	20
8	6	46	1	3	8	20
8	7	45	1	3	8	23
8	8	30	1	4	8	30
8	9	40	1	4	8	15
8	10	50	1	3	8	35
8	11	60	1	4	8	40
8	12	35	1	3	8	15
8	13	24	2	2	3	10
8	14	45	2	2	3	15
9	1	45	2	2	1	45
9	2	49	2	2	4	25
9	3	39	2	2	1	39
9	4	48	1	4	8	25
9	5	46	1	4	8	20
9	6	46	1	3	8	20
9	7	45	1	3	8	30
9	8	30	1	4	8	30
9	9	40	1	4	8	15
9	10	50	1	3	8	35
9	11	60	1	4	8	45
9	12	35	1	3	8	15
9	13	32	2	2	3	10
9	14	38	2	2	3	5
10	1	38	1	2	1	38
10	2	42	2	2	1	42
10	3	45	1	2	7	45
10	4	48	1	4	8	25
10	5	46	1	4	8	20
10	6	46	1	3	8	20
10	7	45	1	3	8	23
10	8	30	1	4	8	30
10	9	40	1	4	8	15
10	10	50	1	3	8	35
