PLACEID	SERVIDR5	AVLOC
1	1	1
1	2	1
1	3	0
1	4	0
1	5	0
1	6	1
1	7	0
1	8	0
1	9	0
1	10	0
1	11	1
1	12	1
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	1
1	19	0
1	20	0
1	21	1
1	22	0
1	23	1
1	24	0
1	25	1
1	26	0
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	0
2	8	0
2	9	0
2	10	1
2	11	1
2	12	1
2	13	0
2	14	1
2	15	0
2	16	0
2	17	0
2	18	1
2	19	0
2	20	0
2	21	1
2	22	0
2	23	0
2	24	0
2	25	1
2	26	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	1
3	12	1
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	1
3	19	1
3	20	0
3	21	1
3	22	0
3	23	1
3	24	0
3	25	1
3	26	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	0
4	8	0
4	9	0
4	10	1
4	11	1
4	12	1
4	13	0
4	14	1
4	15	0
4	16	0
4	17	1
4	18	1
4	19	0
4	20	1
4	21	0
4	22	0
4	23	1
4	24	0
4	25	1
4	26	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	1
5	12	1
5	13	1
5	14	0
5	15	0
5	16	0
5	17	0
5	18	1
5	19	1
5	20	0
5	21	1
5	22	0
5	23	1
5	24	0
5	25	1
5	26	0
6	1	1
6	2	1
6	3	0
6	4	0
6	5	0
6	6	1
6	7	0
6	8	0
6	9	0
6	10	1
6	11	1
6	12	1
6	13	0
6	14	1
6	15	0
6	16	1
6	17	0
6	18	1
6	19	0
6	20	0
6	21	1
6	22	0
6	23	1
6	24	0
6	25	1
6	26	0
7	1	1
7	2	1
7	3	1
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	0
7	10	1
7	11	1
7	12	1
7	13	1
7	14	1
7	15	0
7	16	0
7	17	0
7	18	1
7	19	0
7	20	0
7	21	1
7	22	0
7	23	1
7	24	1
7	25	1
7	26	0
8	1	1
8	2	1
8	3	0
8	4	0
8	5	0
8	6	1
8	7	0
8	8	0
8	9	0
8	10	1
8	11	1
8	12	1
8	13	0
8	14	1
8	15	0
8	16	0
8	17	0
8	18	1
8	19	0
8	20	0
8	21	1
8	22	0
8	23	0
8	24	0
8	25	1
8	26	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	1
9	7	0
9	8	0
9	9	1
9	10	1
9	11	1
9	12	1
9	13	0
9	14	1
9	15	0
9	16	0
9	17	0
9	18	1
9	19	0
9	20	0
9	21	1
9	22	0
9	23	1
9	24	0
9	25	1
9	26	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	1
10	7	0
10	8	0
10	9	0
10	10	1
10	11	0
10	12	1
10	13	0
10	14	1
10	15	0
10	16	0
10	17	0
10	18	1
10	19	0
10	20	0
10	21	1
10	22	0
10	23	0
10	24	0
10	25	1
10	26	0
11	1	1
11	2	1
11	3	0
11	4	0
11	5	1
11	6	1
11	7	0
11	8	1
11	9	0
11	10	1
11	11	1
11	12	1
11	13	1
11	14	1
11	15	1
11	16	1
11	17	0
11	18	1
11	19	1
11	20	0
11	21	1
11	22	1
11	23	1
11	24	1
11	25	1
11	26	1
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	1
12	7	1
12	8	1
12	9	0
12	10	1
