placeid	supid	supkind	whosup	whatsup	yearsup	whensup	feqsup
ET4141	4	12	15	31	1998	9999	6
ET4141	5	12	15	31	2001	9999	6
ET4141	6	11	15	31	1998	9999	6
ET4141	7	12	15	31	1998	9999	6
ET3101	1	12	15	31	1989	9999	7
ET3101	2	13	15	31	1989	9999	6
ET3101	3	12	15	31	1991	9999	7
ET3101	4	77	15	31	1991	9999	7
ET4151	1	12	15	31	2000	9999	6
ET4151	2	12	15	31	1999	9999	4
ET1032	1	13	15	31	1996	9999	4
ET1032	2	5	15	31	1999	9999	7
ET1032	3	12	15	0	-7777	9999	6
ET1032	4	13	15	31	1999	9999	7
ET1032	5	7	15	31	-7777	9999	6
ET1032	6	12	15	0	-7777	9999	5
ET1032	7	12	15	0	-7777	9999	6
ET1032	8	12	15	0	-7777	9999	5
ET1031	2	5	15	31	-7777	9999	6
ET1031	3	5	15	31	2000	9999	6
ET1031	4	8	15	0	-7777	9999	6
ET1031	5	8	15	0	-7777	9999	6
ET1031	6	7	15	0	-7777	9999	6
ET1031	7	7	15	0	-7777	9999	5
ET1011	1	12	15	0	-7777	9999	6
ET1011	2	12	15	0	-7777	9999	6
ET1011	3	12	15	0	-7777	9999	6
ET1011	4	12	15	0	1985	9999	6
ET1011	5	7	15	0	-7777	9999	5
ET1011	6	12	15	1	2002	9999	4
ET4131	2	2	15	31	1995	9999	6
ET4131	6	6	15	31	2000	9999	6
ET4131	8	7	15	28	2000	9999	6
ET4131	12	13	15	31	2000	9999	6
ET5171	9	12	15	17	1995	9999	4
ET5201	8	12	15	10	1996	9999	4
ET2061	2	3	15	21	1998	9999	6
ET2061	3	4	15	21	1998	9999	6
ET2061	5	7	15	31	1999	9999	6
ET2061	6	8	15	31	2002	9999	6
ET2061	7	9	15	13	2000	9999	6
ET2061	8	10	15	13	1992	9999	6
ET2051	3	7	15	0	1996	9999	6
ET4143	1	12	15	31	1997	9999	5
ET4143	3	7	15	31	1997	9999	6
ET4143	4	12	15	31	1999	9999	6
ET4144	2	12	15	27	1995	9999	7
ET4144	4	12	15	31	1996	9999	7
ET4144	5	12	15	31	-7777	9999	7
ET4144	6	12	15	31	1995	9999	6
ET2062	2	3	15	21	1998	9999	6
ET2062	3	4	15	21	1998	9999	6
ET2062	5	7	15	31	1999	9999	6
ET2062	6	8	15	31	2002	9999	6
ET2062	7	9	15	30	2000	9999	6
ET2062	8	10	15	13	1992	9999	6
ET2071	2	3	15	5	1998	9999	6
ET2071	3	4	15	5	1998	9999	6
ET2071	5	6	15	25	1997	9999	4
ET2071	6	7	15	25	1998	9999	6
ET2071	11	14	15	25	1997	9999	6
ET2071	12	12	15	25	2001	9999	4
ET2071	13	12	15	31	1998	9999	1
ET2071	14	12	15	31	1997	9999	5
ET4142	1	12	15	12	1990	9999	7
ET4142	2	6	15	12	2001	9999	7
ET4142	4	12	15	12	1995	9999	7
ET2051	12	5	13	25	1998	-7777	6
ET4161	3	5	13	31	2000	9999	4
ET1031	1	5	13	31	-7777	9999	6
ET4131	5	5	13	31	1995	9999	6
ET5181	7	5	13	0	1989	9999	6
ET5191	7	5	13	0	1987	9999	4
ET4162	3	5	13	31	2000	9999	4
ET2061	4	5	13	31	1998	9999	4
ET2062	4	5	13	31	1998	9999	4
ET2071	4	5	13	6	1985	9999	4
ET4142	3	12	13	12	2001	9999	4
ET5201	3	15	8	0	1996	1996	4
ET3101	5	12	8	31	2000	9999	7
ET3091	3	3	8	21	1995	9999	6
ET2051	1	15	7	0	1996	9999	5
ET2051	10	9	6	0	-7777	-7777	6
ET4121	5	9	6	0	1996	9999	6
ET4161	4	7	6	28	1985	9999	6
ET4161	5	8	6	28	1996	9999	6
ET4161	6	9	6	28	1997	9999	6
ET4161	7	11	6	28	1985	9999	6
ET4151	3	8	6	31	1999	9999	4
ET4131	7	7	6	28	1985	9999	6
ET4131	9	8	6	28	1995	9999	6
ET4131	10	9	6	28	1999	9999	6
ET4131	11	11	6	28	1999	9999	6
ET5171	3	9	6	28	2001	9999	4
ET5171	4	8	6	0	1996	9999	6
ET5171	5	11	6	0	1997	9999	6
ET5171	6	7	6	0	1997	9999	6
ET5181	4	7	6	0	-7777	9999	6
ET5181	5	8	6	0	-7777	9999	6
ET5181	6	11	6	0	2001	9999	6
ET5181	8	9	6	0	1994	9999	6
ET5191	5	7	6	0	-7777	9999	6
ET5191	8	9	6	0	1997	9999	6
ET5201	4	9	6	28	2001	9999	4
ET5201	5	8	6	0	1996	9999	6
ET5201	6	11	6	0	1997	9999	6
ET5201	7	7	6	0	1997	9999	6
ET4162	4	7	6	28	1985	9999	6
ET4162	5	8	6	28	1996	9999	6
ET4162	6	9	6	28	1997	9999	6
ET4162	7	11	6	28	1985	9999	6
ET2051	2	8	6	0	1992	9999	5
ET4143	5	12	6	31	1998	9999	4
ET2071	7	8	6	25	1998	9999	6
ET2071	8	9	6	25	1998	9999	6
ET4151	4	1	5	31	2001	-7777	4
ET2051	8	1	5	2	-7777	-7777	6
ET4121	4	1	5	2	1988	9999	6
ET4161	2	3	5	2	1997	9999	3
ET4161	9	14	5	31	1997	9999	3
ET3081	5	3	5	5	1997	9999	6
ET4151	5	4	5	21	1991	9999	4
ET4131	3	3	5	2	1996	9999	6
ET4131	4	4	5	2	1996	9999	6
ET4131	13	14	5	2	1996	9999	6
ET5171	1	4	5	5	1996	9999	6
ET5171	2	14	5	0	1996	9999	6
ET5181	1	4	5	5	1997	9999	6
ET5181	2	14	5	0	1997	9999	6
ET5191	1	3	5	5	1997	9999	6
ET5191	2	4	5	5	1997	9999	6
ET5191	3	14	5	0	1997	9999	6
ET5201	1	4	5	5	1997	9999	6
ET5201	2	14	5	0	1997	9999	6
ET2061	1	1	5	5	2001	9999	5
ET4162	2	3	5	2	1997	9999	3
ET4162	9	14	5	31	1997	9999	3
ET2051	4	14	5	21	1997	9999	6
ET2051	5	4	5	0	1997	9999	6
ET2051	7	3	5	25	1997	9999	6
ET2062	1	1	5	5	2001	9999	5
ET2071	1	1	5	21	1995	9999	6
ET2071	9	10	5	13	1992	9999	4
ET2071	10	13	5	25	1998	9999	6
ET4161	1	1	1	2	1987	9999	6
ET4161	8	13	1	28	1987	9999	6
ET4131	1	1	1	2	1998	9999	5
ET4162	1	1	1	2	1987	9999	6
ET4162	8	13	1	28	1987	9999	6
