placeid	disastid	disaster	longago	pplaftcd	askhelp1	askhelp2	askhelp3	recvhlp1	recvhlp2	recvhlp3	typehlp1	enough1	typehlp2	enough2	typehlp3	enough3
ET3111	1	9	13	830	0	88	88	0	88	88	88	88	88	88	88	88
ET2041	1	12	5	-77	0	0	0	0	0	0	88	88	88	88	88	88
ET2041	2	9	36	30	1	1	1	1	1	1	5	1	2	0	88	88
ET2041	3	9	24	-77	1	1	4	1	4	4	1	0	6	0	88	88
ET1022	1	12	3	45	1	 	 	1	 	 	3	1	7	0	 	 
ET1021	1	6	48	72	1	3	88	1	3	88	2	0	4	0	88	88
ET1021	2	6	24	146	1	3	88	1	3	88	2	0	4	0	88	88
ET1021	3	12	4	7	1	88	88	1	88	88	7	1	3	0	88	88
ET4121	1	7	13	270	1	88	88	0	88	88	0	88	88	88	88	88
ET4121	2	6	14	13	1	88	88	0	88	88	0	88	88	88	88	88
ET4121	3	11	12	100	0	88	88	0	88	88	0	88	88	88	88	88
ET4121	4	10	6	900	1	88	88	1	88	88	3	0	88	88	88	88
ET4141	1	6	25	428	2	1	3	2	3	88	7	1	5	1	 	 
ET4141	2	6	13	428	2	1	3	2	3	88	7	1	5	1	 	 
ET4141	3	12	13	428	1	3	88	1	88	88	7	1	3	1	 	 
ET4141	4	12	1	428	1	2	88	1	88	88	7	1	7	1	 	 
ET4161	1	3	5	329	1	0	0	1	0	0	2	0	0	88	0	88
ET4161	2	6	4	164	0	0	0	0	0	0	0	88	0	88	0	88
ET4161	3	10	3	82	1	0	0	1	0	0	7	1	0	88	0	88
ET3081	1	6	2	5	1	88	88	0	88	88	88	88	88	88	88	88
ET3101	1	9	14	100	1	88	88	0	88	88	0	88	88	88	88	88
ET4151	1	10	39	450	1	88	88	1	88	88	7	1	88	88	88	88
ET4151	2	6	19	1018	1	88	88	1	88	88	2	0	88	88	88	88
ET3091	1	3	2	590	1	88	88	0	88	88	0	88	88	88	88	88
ET3091	2	6	2	50	1	88	88	0	88	88	0	88	88	88	88	88
ET1031	1	6	2	30	1	4	88	1	4	88	1	0	5	0	7	1
ET1011	1	9	4	18	1	88	88	1	88	88	5	1	88	88	88	88
ET4144	1	6	48	60	1	2	3	1	2	3	2	0	5	0	 	 
ET4144	2	6	24	50	1	2	3	1	2	3	2	0	5	0	4	0
ET4131	1	3	8	4106	1	2	2	1	2	2	3	1	2	0	3	1
ET4131	2	10	4	2190	0	0	0	0	0	0	0	88	0	88	0	88
ET4131	3	12	8	4106	1	2	0	1	2	0	3	1	3	1	0	0
ET5171	1	3	12	966	1	88	88	1	88	88	7	88	88	88	88	88
ET5181	1	3	24	2087	1	2	3	1	2	3	2	0	1	0	77	77
ET5181	2	6	15	15	1	88	88	1	88	88	2	0	88	88	88	88
ET5181	3	10	3	80	0	88	88	0	88	88	0	88	88	88	88	88
ET5191	1	3	10	75	1	2	3	1	2	3	2	0	2	0	1	77
ET5191	2	6	14	120	1	88	88	0	88	88	0	88	88	88	88	88
ET5201	1	3	14	400	0	88	88	0	88	88	0	88	88	88	88	88
ET5201	2	10	24	100	0	88	88	0	88	88	0	88	88	88	88	88
ET5201	3	11	24	100	0	88	88	0	88	88	0	88	88	88	88	88
ET2061	1	9	13	258	1	88	88	0	88	88	7	88	88	88	88	88
ET2061	2	4	2	53	1	88	88	0	88	88	7	88	88	88	88	88
ET2051	1	9	14	-77	1	88	88	0	0	0	0	88	88	88	88	88
ET2051	2	10	2	2100	1	88	88	0	0	0	0	88	88	88	88	88
ET2051	3	3	6	2350	0	0	0	0	0	0	0	88	88	88	88	88
ET2051	4	6	1	15	0	0	0	0	0	0	0	88	88	88	88	88
ET4143	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88
ET2062	1	0	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
ET2071	1	9	13	800	1	88	88	1	88	88	2	0	7	0	88	88
ET4142	1	6	48	50	1	3	88	1	3	88	5	0	2	0	88	88
ET4162	1	3	5	357	1	0	0	1	0	0	2	0	0	88	0	88
ET4162	2	6	4	178	0	0	0	0	0	0	0	88	0	88	0	88
ET4162	3	10	3	89	1	0	0	1	0	0	7	1	0	88	0	88
