placeid	entryid	lclqnty	loclunit	stnqnty	stnunit
ET5181	9	1	56	.05	K.G.
ET5181	6	4	6	1	K.G.
ET5181	8	4	95	1	K.G.
ET5181	2	1	56	.75	K.G.
ET5181	19	1	54	15	K.G.
ET5181	7	2.5	46	1	K.G.
ET5181	5	1.5	51	1	K.G.
ET5181	3	1.5	51	1	K.G.
ET5181	4	1.5	51	1	K.G.
ET5181	17	1	51	.62	K.G.
ET5181	12	1	51	.55	K.G.
ET5181	18	1	6	1.5	K.G.
ET5181	1	2.5	6	1	K.G.
ET5181	24	1	12	.25	K.G.
ET5181	20	1	10	.25	K.G.
ET5181	11	1	51	.65	K.G.
ET5181	25	1	95	4	K.G.
ET5181	22	1	55	15	K.G.
ET5181	15	1	51	.63	KILOGRAM
ET5181	14	29	29	.33	LITERS
ET5181	13	1	29	.3	LITERS
ET5181	16	1	51	.6	LITERS
ET5191	10	1	51	.55	KILOGRAM
ET5191	21	1	24	.66	KILOGRAM
ET5191	23	1	12	.1	KILOGRAM
ET5191	9	1	56	.05	KILOGRAM
ET5191	6	4	6	1	KILOGRAM
ET5191	8	4	95	1	KILOGRAM
ET5191	2	1	56	.75	KILOGRAM
ET5191	19	1	54	15	KILOGRAM
ET5191	7	2.5	46	1	KILOGRAM
ET5191	5	1.5	51	1	KILOGRAM
ET5191	3	1.5	51	1	KILOGRAM
ET5191	4	1.5	51	1	KILOGRAM
ET5191	17	1	51	.62	KILOGRAM
ET5191	12	1	51	.55	KILOGRAM
ET5191	18	1	6	1.5	KILOGRAM
ET5191	1	2.5	6	1	KILOGRAM
ET5191	24	1	12	.25	KILOGRAM
ET5191	20	1	10	.25	KILOGRAM
ET5191	11	1	51	.65	KILOGRAM
ET5191	15	1	51	.63	KILOGRAM
ET5191	25	1	95	4	KILOGRAM
ET5191	22	1	55	15	KILOGRAM
ET5191	14	1	29	.33	LITER
ET5191	13	1	29	.3	LITER
ET5191	16	1	51	.6	LITER
ET5201	4	1	51	.55	KG
ET5201	3	1	51	.66	KG
ET5201	17	1	24	.66	KG
ET5201	20	1	12	.1	KG
ET5201	1	1	56	.05	KG
ET5201	2	1	95	.25	KG
ET5201	18	1	6	 	KG
ET5201	12	1	56	.25	KG
ET5201	28	1	54	15	KG
ET5201	29	1	95	60	KG
ET5201	14	1	54	15	KG
ET5201	22	1	41	53	KG
ET5201	32	1	54	15	KG
ET5201	23	1	24	1.25	KG
ET5201	11	1	51	.62	KG
ET5201	6	1	51	.55	KG
ET5201	13	1	6	1.5	KG
ET5201	27	1	15	1	KG
ET5201	26	1	24	1.5	KG
ET5201	10	1	51	.6	KG
ET5201	30	1	54	15	KG
ET5201	31	1	17	50	KG
ET5201	15	1	10	.25	KG
ET5201	16	1	6	.5	KG
ET5201	5	1	51	.65	KG
ET5201	9	1	51	.63	KG
ET5201	19	1	55	25	KG
ET5201	21	1	29	1	LITRE
ET5201	24	1	95	3	LITRE
ET5201	25	1	95	1	LITRE
ET5201	8	1	29	.33	LITTER
ET5201	7	1	29	.3	LITTER
