placeid	rsid	module	sectin11	sectin12	sectin13	sectin14	module2	sectin21	sectin22	sectin23	sectin24	ageres	sexres	capac	livres
ET2041	1	1	1	2	3	4	2	1	2	4	 	29	1	7	29
ET2041	2	1	1	2	3	4	2	1	2	4	 	43	1	7	30
ET2041	3	1	1	2	3	6	2	1	2	4	 	25	1	2	25
ET2041	4	1	1	2	3	4	2	1	2	4	 	31	1	7	31
ET2041	5	1	1	2	3	6	2	1	2	4	 	27	2	6	27
ET2041	6	1	1	2	3	6	2	1	2	4	 	39	1	4	31
ET2041	7	1	 	 	 	 	2	2	 	 	 	29	1	3	4
ET2041	8	1	5	 	 	 	2	3	 	 	 	31	2	8	31
ET2041	9	1	1	2	3	4	2	1	2	4	 	45	1	5	45
ET2041	10	1	5	 	 	 	2	3	 	 	 	41	1	8	41
ET1022	1	1	1	 	 	 	2	 	 	 	 	43	1	1	29
ET1022	2	1	1	2	3	 	2	1	 	 	 	31	1	8	7
ET1022	3	1	2	4	6	 	2	4	 	 	 	41	2	6	27
ET1022	4	1	1	2	3	4	2	1	4	 	 	28	1	8	28
ET1022	5	1	3	4	6	 	2	1	4	 	 	30	1	8	30
ET1022	6	1	 	 	 	 	2	2	 	 	 	35	2	8	35
ET1022	7	1	 	 	 	5	2	 	 	 	 	77	2	8	30
ET1022	8	1	 	 	 	5	2	 	 	 	 	50	2	8	50
ET1022	9	1	 	 	 	5	2	 	 	 	 	37	2	8	37
ET1022	10	1	 	 	 	5	2	 	 	 	 	27	1	8	27
ET1022	11	1	 	 	 	5	2	 	 	 	 	26	2	8	12
ET1022	12	1	 	 	 	5	2	 	 	 	 	27	2	8	27
ET1022	13	1	 	 	 	5	2	 	 	 	 	40	2	8	40
ET1022	14	1	 	 	 	5	2	 	 	 	 	79	1	8	79
ET1022	15	1	 	 	 	5	2	 	 	 	 	 	1	 	 
ET1022	16	1	 	 	 	5	2	 	 	 	 	26	1	8	26
ET1022	17	1	 	 	 	5	2	 	 	 	 	30	2	8	30
