FORMNO	CHILDID	OUTID	REMREL	REMEST	REMGOOD
R28YRS	ET011002	1	19	20	0
R28YRS	ET011003	1	6	600	150
R28YRS	ET011007	1	22	10	0
R28YRS	ET011014	1	18	600	50
R28YRS	ET011018	1	6	500	0
R28YRS	ET011023	1	13	200	0
R28YRS	ET011023	2	13	0	65
R28YRS	ET011042	1	19	200	0
R28YRS	ET021039	1	7	960	-88
R28YRS	ET031004	1	13	20	15
R28YRS	ET031006	1	6	600	0
R28YRS	ET031019	1	6	100	0
R28YRS	ET041004	1	1	120	480
R28YRS	ET041009	1	13	2000	100
R28YRS	ET041011	1	7	7200	700
R28YRS	ET041017	1	7	700	0
R28YRS	ET041027	1	6	600	0
R28YRS	ET041030	1	13	150	-88
R28YRS	ET041031	1	17	200	50
R28YRS	ET041031	2	18	200	50
R28YRS	ET041040	1	16	40	20
R28YRS	ET051017	1	15	0	50
R28YRS	ET051033	1	1	0	100
R28YRS	ET051040	1	9	150	240
R28YRS	ET071004	1	13	200	-88
R28YRS	ET071004	2	19	-88	100
R28YRS	ET071031	1	7	920	-88
R28YRS	ET071031	2	13	200	-88
R28YRS	ET071038	1	19	60	-88
R28YRS	ET071048	1	13	60	0
R28YRS	ET081007	1	13	0	20
R28YRS	ET081007	2	12	0	20
R28YRS	ET081007	3	22	0	20
R28YRS	ET081008	1	7	8800	200
R28YRS	ET081048	1	13	0	45
R28YRS	ET091012	1	15	2600	-77
R28YRS	ET091014	1	22	0	130
R28YRS	ET091026	1	13	750	360
R28YRS	ET091031	1	22	0	20
R28YRS	ET101002	1	5	1200	1800
R28YRS	ET101006	1	14	120	0
R28YRS	ET101006	2	14	70	0
R28YRS	ET101008	1	22	600	0
R28YRS	ET101011	1	5	1200	0
R28YRS	ET101011	2	6	1200	0
R28YRS	ET101014	1	5	1200	-88
R28YRS	ET101021	1	19	-88	200
R28YRS	ET101022	1	5	400	52
R28YRS	ET101028	1	7	240	500
R28YRS	ET101035	1	16	500	0
R28YRS	ET101036	1	6	500	-88
R28YRS	ET101037	1	19	500	-77
R28YRS	ET101039	1	6	200	300
R28YRS	ET101042	1	7	1500	240
R28YRS	ET111003	1	13	500	0
R28YRS	ET111022	1	19	5	0
R28YRS	ET111023	1	13	200	-88
R28YRS	ET111023	2	14	150	-88
R28YRS	ET111032	1	14	100	200
R28YRS	ET111037	1	6	720	1184
R28YRS	ET111047	1	13	100	0
R28YRS	ET121004	1	7	200	200
R28YRS	ET121011	1	7	150	100
R28YRS	ET121028	1	13	600	0
R28YRS	ET121030	1	13	2000	0
R28YRS	ET121032	1	7	1200	0
R28YRS	ET121033	1	7	880	0
R28YRS	ET121041	1	7	490	400
R28YRS	ET121044	1	1	0	48
R28YRS	ET121044	2	22	0	48
R28YRS	ET121048	1	14	500	0
R28YRS	ET121056	1	6	150	.5
R28YRS	ET131005	1	17	150	150
R28YRS	ET131005	2	18	100	100
R28YRS	ET131008	1	5	150	100
R28YRS	ET131008	2	6	100	150
R28YRS	ET131014	1	7	100	-88
R28YRS	ET131023	2	13	110	90
R28YRS	ET131023	3	5	300	100
R28YRS	ET131029	1	22	80	-88
R28YRS	ET131034	1	19	200	0
R28YRS	ET131036	1	13	1500	100
R28YRS	ET131037	1	7	450	80
R28YRS	ET131041	1	2	0	100
R28YRS	ET131042	1	22	10	-88
R28YRS	ET131044	1	22	0	100
R28YRS	ET131046	1	22	150	0
R28YRS	ET131049	1	5	200	0
R28YRS	ET131050	1	2	100	65
R28YRS	ET141006	1	22	24	0
R28YRS	ET141010	1	5	200	0
R28YRS	ET141010	2	6	300	0
R28YRS	ET141011	1	22	10	0
R28YRS	ET141029	1	6	200	0
R28YRS	ET141029	2	22	150	0
R28YRS	ET141029	3	22	144	0
R28YRS	ET141031	1	19	100	-88
R28YRS	ET141033	1	6	240	0
R28YRS	ET141043	1	5	50	0
R28YRS	ET141047	1	15	400	0
R28YRS	ET151024	1	13	200	0
R28YRS	ET151025	1	6	400	0
R28YRS	ET151041	1	1	120	50
R28YRS	ET151053	1	22	25	0
R28YRS	ET161031	1	22	-88	100
R28YRS	ET161031	2	13	50	100
R28YRS	ET161031	3	22	-88	120
R28YRS	ET161031	4	22	50	-88
R28YRS	ET161034	1	13	20	-88
R28YRS	ET171006	1	7	300	0
R28YRS	ET171006	2	7	400	0
R28YRS	ET171014	1	7	400	0
R28YRS	ET171016	1	7	500	0
R28YRS	ET171021	1	7	600	200
R28YRS	ET171034	1	7	195	0
R28YRS	ET171043	1	7	340	0
R28YRS	ET171047	1	7	400	0
R28YRS	ET181011	1	7	195	250
R28YRS	ET181024	1	15	60	100
R28YRS	ET181029	1	13	950	1200
R28YRS	ET181030	1	7	360	0
R28YRS	ET181031	1	7	0	250
R28YRS	ET181034	1	7	1600	1900
R28YRS	ET181036	1	7	900	500
R28YRS	ET181045	1	6	120	-88
R28YRS	ET191019	1	19	480	0
R28YRS	ET191020	1	7	1200	600
R28YRS	ET191039	1	22	100	0
R28YRS	ET191044	1	8	-77	-77
R28YRS	ET191044	2	8	-77	-77
R28YRS	ET201008	1	7	300	0
R28YRS	ET201018	1	7	500	0
R28YRS	ET201025	1	7	500	100
R28YRS	ET201027	1	7	280	54
R28YRS	ET201031	1	7	1550	0
R28YRS	ET201032	1	7	600	0
R28YRS	ET201033	1	7	330	80
R28YRS	ET201035	1	7	300	10
R28YRS	ET201038	1	1	300	100
R28YRS	ET201040	1	7	100	50
R28YRS	ET201041	1	13	600	0
R28YRS	ET201045	1	7	600	0
R28YRS	ET201046	1	7	1600	0
