FORMNO	CHILDID	CROPID	CROP	QNTHARV	QNTUNIT	VLCRSLD	CROPCOST
R28YRS	ET011014	1	75	50	1	0	80
R28YRS	ET011014	2	5	50	1	0	100
R28YRS	ET011014	3	12	10	1	0	0
R28YRS	ET011023	1	41	8	60	0	0
R28YRS	ET011023	2	3	0	88	88	88
R28YRS	ET011023	3	75	1.5	2	0	0
R28YRS	ET041002	1	75	2	2	280	190
R28YRS	ET041002	2	124	1	2	192	190
R28YRS	ET041006	1	79	14	2	1095	95
R28YRS	ET041006	2	58	1.5	2	855	75
R28YRS	ET041022	1	44	5	2	95	37
R28YRS	ET041022	2	5	5	2	0	130
R28YRS	ET041022	3	75	9	2	400	250
R28YRS	ET041022	4	15	.5	2	0	90
R28YRS	ET041026	1	124	3	41	0	128
R28YRS	ET041030	1	5	7	9	420	0
R28YRS	ET041030	2	5	7	9	420	0
R28YRS	ET041034	1	5	8	3	0	0
R28YRS	ET041034	2	75	5	3	0	0
R28YRS	ET041045	1	5	2	52	0	0
R28YRS	ET041047	1	15	3	9	0	40
R28YRS	ET051002	1	64	15	41	543	100
R28YRS	ET051002	2	75	6	41	200	30
R28YRS	ET051002	3	8	3.5	41	0	50
R28YRS	ET051002	4	124	2	41	0	30
R28YRS	ET051002	5	43	1	41	0	50
R28YRS	ET051003	1	64	3	41	0	50
R28YRS	ET051003	2	8	2	41	0	60
R28YRS	ET051003	3	5	5	41	0	30
R28YRS	ET051004	1	124	2	9	240	0
R28YRS	ET051004	2	64	3	9	250	0
R28YRS	ET051007	1	96	10	41	0	350
R28YRS	ET051007	2	76	4	41	0	50
R28YRS	ET051007	3	64	2	41	0	30
R28YRS	ET051009	1	125	4	9	200	0
R28YRS	ET051018	1	5	5	9	0	0
R28YRS	ET051018	2	64	10	9	170	60
R28YRS	ET051018	3	125	5	9	0	0
R28YRS	ET051018	4	75	6	9	100	80
R28YRS	ET051018	5	76	4	9	0	0
R28YRS	ET051019	1	64	4	41	0	140
R28YRS	ET051027	1	8	3	41	20	30
R28YRS	ET051027	2	79	4	41	0	80
R28YRS	ET051027	3	5	1	41	0	60
R28YRS	ET051027	4	124	1	41	0	48
R28YRS	ET051031	1	76	10	9	0	100
R28YRS	ET051031	2	124	10	9	0	80
R28YRS	ET051031	3	64	3	9	42	60
R28YRS	ET051032	1	44	30	1	0	17
R28YRS	ET051032	2	5	7	9	0	25
R28YRS	ET051032	3	75	3	9	0	10
R28YRS	ET051032	4	42	1	9	100	30
R28YRS	ET051032	5	79	3	9	0	30
R28YRS	ET051032	6	8	1	9	0	28
R28YRS	ET051035	1	64	5	9	60	60
R28YRS	ET051035	2	20	6	9	0	-77
R28YRS	ET051035	3	124	3	9	93	-77
R28YRS	ET051036	1	20	2.5	2	-77	-77
R28YRS	ET051036	2	79	1	2	-77	-77
R28YRS	ET051039	1	76	4	9	400	100
R28YRS	ET051039	2	5	8	9	488	50
R28YRS	ET051039	3	42	1	9	200	28
R28YRS	ET051039	4	15	1	9	150	0
R28YRS	ET051040	1	5	5	9	100	80
R28YRS	ET051040	2	75	2	9	0	60
R28YRS	ET051040	3	124	3	9	200	50
R28YRS	ET051044	1	5	7	9	80	42
R28YRS	ET051044	2	124	6	9	60	40
R28YRS	ET051044	3	64	4	9	360	35
R28YRS	ET051045	1	124	5	9	400	80
R28YRS	ET051045	2	8	10	52	0	50
R28YRS	ET051049	1	44	1	9	0	20
R28YRS	ET051049	2	5	8	9	100	100
R28YRS	ET051049	3	19	6	9	300	110
R28YRS	ET051049	4	79	21	9	374	80
R28YRS	ET061002	1	44	5	9	40	8
R28YRS	ET061002	2	7	2	9	100	7
R28YRS	ET061002	3	20	2	9	0	42
R28YRS	ET061002	4	79	2	9	0	17
R28YRS	ET061002	5	76	3	9	0	200
R28YRS	ET061002	7	75	1	9	0	50
R28YRS	ET061002	8	15	2	9	0	68
R28YRS	ET061003	1	44	3	2	0	20
R28YRS	ET061003	2	55	4	2	0	58
R28YRS	ET061003	3	79	6	2	1200	24
R28YRS	ET061003	4	76	3	2	500	0
R28YRS	ET061003	5	5	2	2	0	38
R28YRS	ET061004	1	18	2	2	400	0
R28YRS	ET061004	2	7	10	5	80	20
R28YRS	ET061004	3	8	4	9	0	0
R28YRS	ET061004	4	123	2	9	400	0
R28YRS	ET061004	5	21	400	56	10	0
R28YRS	ET061005	1	73	3	9	0	100
R28YRS	ET061005	2	7	3	9	240	20
R28YRS	ET061005	4	15	4	9	0	40
R28YRS	ET061005	5	20	4	9	0	10
R28YRS	ET061005	6	75	3	9	0	20
R28YRS	ET061005	8	50	6	9	300	100
R28YRS	ET061007	1	21	10	56	100	-77
R28YRS	ET061007	2	64	4	41	200	-77
R28YRS	ET061007	3	76	200	1	600	300
R28YRS	ET061007	4	15	120	1	120	-77
R28YRS	ET061007	5	79	50	1	40	10
R28YRS	ET061008	1	76	5	41	40	100
R28YRS	ET061008	2	79	4	41	12	15
R28YRS	ET061008	3	15	4	41	0	40
R28YRS	ET061008	4	5	2	41	0	30
R28YRS	ET061008	5	44	3	41	0	0
R28YRS	ET061008	6	31	4	41	0	0
R28YRS	ET061009	1	44	30	1	0	0
R28YRS	ET061009	2	20	60	1	0	35
R28YRS	ET061009	3	15	7	2	350	40
R28YRS	ET061009	4	47	50	1	120	45
R28YRS	ET061009	5	8	1	2	0	60
R28YRS	ET061009	6	76	4	2	150	60
R28YRS	ET061010	1	44	.5	2	0	0
R28YRS	ET061010	2	7	.5	2	40	0
R28YRS	ET061010	3	55	1.5	2	0	0
R28YRS	ET061010	4	5	1	2	0	0
R28YRS	ET061010	5	76	1	2	0	0
R28YRS	ET061010	6	15	1	2	0	0
R28YRS	ET061010	7	79	.5	2	0	0
R28YRS	ET061011	1	44	1	2	0	0
R28YRS	ET061011	2	125	1	2	50	0
R28YRS	ET061011	3	75	.5	2	0	0
R28YRS	ET061011	4	5	1	2	30	0
R28YRS	ET061011	5	20	1	2	20	0
R28YRS	ET061011	6	76	1	2	0	0
R28YRS	ET061011	7	15	1	2	50	0
R28YRS	ET061012	1	44	1	2	0	0
R28YRS	ET061012	2	55	1	2	0	0
R28YRS	ET061012	3	5	1.5	2	0	0
R28YRS	ET061012	4	79	4	2	60	0
R28YRS	ET061012	5	15	1	2	60	0
R28YRS	ET061012	6	76	4	2	150	220
R28YRS	ET061012	7	31	2	95	210	0
R28YRS	ET061014	1	44	2	9	200	30
R28YRS	ET061014	2	20	3	9	300	40
R28YRS	ET061014	3	15	1	9	100	55
R28YRS	ET061015	1	75	12	41	1000	200
R28YRS	ET061015	2	20	6	41	300	150
R28YRS	ET061015	3	15	9	41	1000	200
R28YRS	ET061015	4	76	3	41	400	100
R28YRS	ET061016	1	44	6	40	0	40
R28YRS	ET061016	2	7	2	40	400	20
R28YRS	ET061016	3	79	5	40	0	0
R28YRS	ET061016	4	5	2	40	40	10
R28YRS	ET061016	5	75	1	40	60	10
R28YRS	ET061016	6	50	10	40	0	80
R28YRS	ET061016	7	8	2	40	0	50
R28YRS	ET061016	8	47	2	40	200	0
R28YRS	ET061018	1	44	5	41	200	20
R28YRS	ET061018	2	76	150	1	450	20
R28YRS	ET061018	3	79	120	1	140	-88
R28YRS	ET061018	4	31	5	55	25	-88
R28YRS	ET061019	1	64	150	1	60	0
R28YRS	ET061019	2	21	20	56	200	8
R28YRS	ET061019	3	76	120	1	390	180
R28YRS	ET061019	4	50	320	1	640	500
R28YRS	ET061019	5	76	150	1	450	180
R28YRS	ET061019	6	79	60	1	80	0
R28YRS	ET061019	7	76	120	1	340	180
