FORMNO	CHILDID	SASSID	SASSET	NUMSRNT	NUMSASS	VALSASS	DECSASS
R28YRS	ET011004	1	30	-88	-88	-88	88
R28YRS	ET011007	1	26	3	3	75	1
R28YRS	ET011023	1	1	0	3	9	80
R28YRS	ET011025	1	23	1	0	-88	90
R28YRS	ET011029	1	30	-88	-88	-88	88
R28YRS	ET011032	1	11	0	3	550	80
R28YRS	ET011044	1	30	-88	-88	-88	88
R28YRS	ET011050	1	23	0	-77	200	80
R28YRS	ET021009	1	30	1	0	-88	90
R28YRS	ET021009	2	30	1	0	-88	90
R28YRS	ET021032	1	15	3	6	205	2
R28YRS	ET021042	1	20	0	1	30	1
R28YRS	ET031012	1	23	0	5	40	80
R28YRS	ET031019	1	12	0	2	32	16
R28YRS	ET031026	1	15	0	11	100	2
R28YRS	ET031031	1	16	1	0	-77	90
R28YRS	ET041001	1	30	0	2	8	1
R28YRS	ET041002	1	26	2	2	200	1
R28YRS	ET041004	1	23	2	2	12	1
R28YRS	ET041010	1	15	2	0	-88	88
R28YRS	ET041011	1	22	3	0	-88	88
R28YRS	ET041012	1	1	0	3	48	1
R28YRS	ET041016	1	15	0	11	15	17
R28YRS	ET041022	1	14	0	1	900	3
R28YRS	ET041023	1	30	0	2	6	1
R28YRS	ET041026	1	15	0	2	30	80
R28YRS	ET041030	1	1	0	1	100	1
R28YRS	ET041031	1	24	0	1	-77	2
R28YRS	ET041036	1	12	2	0	-88	90
R28YRS	ET041037	1	23	0	3	50	2
R28YRS	ET041040	1	23	0	5	20	1
R28YRS	ET041041	1	15	0	3	60	2
R28YRS	ET041043	1	30	1	0	-88	90
R28YRS	ET041043	2	23	0	1	800	9
R28YRS	ET041045	1	30	0	2	7	2
R28YRS	ET041046	1	13	0	11	200	6
R28YRS	ET041047	1	23	0	-77	-77	1
R28YRS	ET041048	1	15	0	10	150	1
R28YRS	ET051003	1	1	2	3	100	1
R28YRS	ET051004	1	15	0	17	76	1
R28YRS	ET051005	1	15	0	15	90	2
R28YRS	ET051010	1	15	0	6	70	2
R28YRS	ET051011	1	15	0	8	100	1
R28YRS	ET051014	1	1	1	0	10	90
R28YRS	ET051015	1	15	0	20	20	1
R28YRS	ET051017	1	15	1	3	100	1
R28YRS	ET051018	1	16	1	0	-88	90
R28YRS	ET051019	1	30	0	1	14	80
R28YRS	ET051019	2	30	0	1	10	80
R28YRS	ET051023	1	15	0	10	300	80
R28YRS	ET051030	1	15	0	-77	-88	1
R28YRS	ET051033	1	23	0	2	500	1
R28YRS	ET051034	1	1	0	1	14	1
R28YRS	ET051040	1	23	0	3	20	2
R28YRS	ET051043	1	1	0	2	16	1
R28YRS	ET051045	1	15	0	4	100	1
R28YRS	ET051047	1	15	-77	0	-88	90
R28YRS	ET061003	1	13	0	3	75	1
R28YRS	ET061004	1	30	0	2	10	1
R28YRS	ET061009	1	1	0	1	5	1
R28YRS	ET061026	1	1	0	1	6	1
R28YRS	ET061041	1	23	0	3	10	1
R28YRS	ET071006	1	13	0	5	107	1
R28YRS	ET071007	1	15	0	4	50	80
R28YRS	ET071020	1	15	0	1	500	80
R28YRS	ET071025	1	13	0	7	200	1
R28YRS	ET071029	1	16	0	1	1000	1
R28YRS	ET071031	1	13	0	2	200	1
R28YRS	ET071040	1	15	0	2	20	15
R28YRS	ET071045	1	15	0	1	5	2
R28YRS	ET071047	1	13	0	4	40	1
R28YRS	ET071050	1	13	0	4	60	1
R28YRS	ET081001	1	30	0	1	30000	90
R28YRS	ET081002	1	1	0	3	86	1
R28YRS	ET081002	2	4	0	1	50	1
R28YRS	ET081004	1	1	0	1	25	1
R28YRS	ET081005	1	1	0	2	18	3
R28YRS	ET081005	2	4	0	1	75	3
R28YRS	ET081006	1	2	0	1	1300	1
R28YRS	ET081007	1	2	0	1	2000	80
R28YRS	ET081008	1	2	0	1	2000	1
R28YRS	ET081009	1	1	3	0	-88	90
R28YRS	ET081011	1	1	0	2	35	1
R28YRS	ET081014	1	30	0	1	2	0
R28YRS	ET081017	1	25	0	1	400	1
R28YRS	ET081018	1	1	1	0	0	90
R28YRS	ET081020	1	27	0	4	14000	2
R28YRS	ET081021	1	23	0	1	60	80
R28YRS	ET081022	1	1	1	0	0	90
R28YRS	ET081024	1	30	2	0	0	90
R28YRS	ET081026	1	16	1	0	-88	90
R28YRS	ET081027	1	25	0	1	600	1
R28YRS	ET081028	1	30	3	0	-88	90
R28YRS	ET081030	1	30	0	3	4.5	1
R28YRS	ET081031	1	15	0	2	42	2
R28YRS	ET081032	1	30	0	3	60	1
R28YRS	ET081033	1	30	1	0	610	6
R28YRS	ET081035	1	1	1	0	0	90
R28YRS	ET081036	1	30	3	2	20	1
R28YRS	ET081037	1	23	0	19	89	2
R28YRS	ET081038	1	1	2	0	0	90
R28YRS	ET081039	1	15	0	5	51	1
R28YRS	ET081040	1	30	0	1	100	8
R28YRS	ET081041	1	15	0	3	120	2
