FORMNO	CHILDID	SUPPRGID	SUPKIND	SUPWHO	SUPSTRT	SUPEND	SUPFREQ	SUPRID	SUPEXP	SUPIMP1	SUPIMP2
R28YRS	ET011001	1	12	15	1997	99	4	4	3	4	5
R28YRS	ET011001	2	6	15	1993	99	6	3	3	3	77
R28YRS	ET011004	1	12	15	1993	99	4	0	4	4	77
R28YRS	ET011006	1	3	15	1993	1998	1	0	2	4	77
R28YRS	ET011007	1	12	15	1996	99	4	0	4	4	3
R28YRS	ET011008	1	12	15	1994	99	4	2	4	4	77
R28YRS	ET011009	1	12	15	1993	99	6	9	4	4	5
R28YRS	ET011010	1	12	15	1994	99	6	0	4	4	5
R28YRS	ET011015	1	14	22	1996	99	6	0	4	1	2
R28YRS	ET011015	2	12	15	1996	99	4	3	4	4	77
R28YRS	ET011015	3	12	15	1996	99	6	3	3	4	77
R28YRS	ET011016	1	12	15	1993	1997	4	3	4	4	77
R28YRS	ET011017	1	12	15	1993	1999	4	0	2	4	77
R28YRS	ET011019	1	12	15	1996	99	4	0	5	4	77
R28YRS	ET011019	2	12	15	1993	99	4	5	5	4	77
R28YRS	ET011020	1	12	15	1993	99	4	0	4	4	77
R28YRS	ET011021	1	12	15	1996	99	6	15	3	4	5
R28YRS	ET011022	1	12	15	1993	99	7	6	3	4	5
R28YRS	ET011026	1	14	15	1997	99	6	0	2	2	77
R28YRS	ET011026	2	12	15	1995	99	4	0	2	4	77
R28YRS	ET011027	1	12	15	1998	99	4	80	2	4	77
R28YRS	ET011028	1	12	15	1997	99	4	0	3	4	5
R28YRS	ET011029	1	12	15	1993	99	4	0	4	4	5
R28YRS	ET011030	1	14	15	1994	1995	6	1	4	2	1
R28YRS	ET011030	2	12	15	1993	99	4	0	4	4	77
R28YRS	ET011031	1	12	15	1996	99	4	15	3	4	6
R28YRS	ET011032	1	12	15	1996	99	4	15	4	4	77
R28YRS	ET011033	1	12	15	1995	1998	4	0	2	4	5
R28YRS	ET011035	1	12	15	1993	99	4	1	5	4	5
R28YRS	ET011036	1	12	15	1998	99	4	8	4	4	77
R28YRS	ET011039	1	12	15	1998	99	4	15	3	4	77
R28YRS	ET011043	1	12	15	1997	99	4	0	2	4	77
R28YRS	ET011044	1	12	15	1997	99	4	18	2	4	77
R28YRS	ET011045	1	12	15	1993	99	4	2	4	4	77
R28YRS	ET011045	2	14	15	1998	99	6	0	5	1	77
R28YRS	ET011046	1	12	15	1998	99	1	0	2	4	77
R28YRS	ET011050	1	12	15	1995	99	4	80	3	4	77
R28YRS	ET021001	1	7	6	1997	99	6	2	4	3	77
R28YRS	ET021001	2	8	6	1997	99	6	2	4	9	77
R28YRS	ET021001	3	5	77	1998	99	4	1	3	9	77
R28YRS	ET021002	1	8	6	1997	1997	4	0	4	1	2
R28YRS	ET021004	1	7	6	1997	99	6	4	77	3	77
R28YRS	ET021007	1	7	2	1997	99	6	2	3	9	77
R28YRS	ET021015	1	7	6	1994	99	5	80	5	1	5
R28YRS	ET021016	1	7	6	1998	99	4	80	5	5	77
R28YRS	ET021017	1	7	6	1998	99	4	80	1	3	77
R28YRS	ET021017	2	8	6	1998	99	6	2	1	4	77
R28YRS	ET021023	1	12	15	1997	99	3	15	2	4	77
R28YRS	ET021026	1	12	15	1999	99	77	0	4	1	2
R28YRS	ET021026	2	14	15	1999	99	77	0	4	8	3
R28YRS	ET021029	1	7	77	1994	99	4	80	5	5	77
