FORMNO	CHILDID	POSID	ID	POSHELD	POSFIRST	POSYEARS	POSTILL	POSREL	POSOUT	POSEFFEC
R28YRS	ET021034	1	1	8	1996	3	1	0	6	0
R28YRS	ET041020	1	2	19	1992	7	0	0	6	3
R28YRS	ET051027	1	1	1	1998	1	1	0	2	2
R28YRS	ET051045	1	3	8	1980	10	0	0	7	0
R28YRS	ET061009	1	1	15	1988	10	1	0	3	2
R28YRS	ET071003	1	2	7	1985	13	0	0	10	0
R28YRS	ET071024	1	1	15	1992	6	1	0	10	2
R28YRS	ET071026	1	1	1	1998	1	1	1	7	3
R28YRS	ET071028	1	1	7	1977	6	0	1	8	3
R28YRS	ET081001	1	1	2	1998	1	1	0	6	3
R28YRS	ET081003	1	1	15	1985	7	0	0	3	0
R28YRS	ET081007	1	1	15	1974	3	0	0	13	0
R28YRS	ET081007	2	1	18	1998	1	1	0	1	0
R28YRS	ET081008	1	1	15	1997	1	0	0	2	2
R28YRS	ET081012	1	1	5	1999	0	1	0	16	3
R28YRS	ET081025	1	1	15	1996	3	0	1	1	2
R28YRS	ET081028	1	1	1	1996	1	0	0	6	2
R28YRS	ET081031	1	1	7	1973	1	0	0	13	2
R28YRS	ET081031	2	1	15	1973	3	0	0	10	0
R28YRS	ET081035	1	16	15	1983	16	1	0	16	3
R28YRS	ET081043	1	1	15	1982	16	0	0	13	2
R28YRS	ET081048	1	1	7	1994	2	0	0	6	77
R28YRS	ET081048	2	1	15	1992	2	0	0	3	0
R28YRS	ET081049	1	1	16	1996	3	1	1	16	3
R28YRS	ET091005	1	3	9	1996	0	0	0	16	3
R28YRS	ET091010	1	1	15	1988	10	1	0	10	3
R28YRS	ET091013	1	1	7	1997	1	0	0	6	3
R28YRS	ET091018	1	1	7	1983	11	0	1	1	0
R28YRS	ET091025	1	1	15	1994	5	1	1	3	0
R28YRS	ET091026	1	1	15	1984	14	1	0	1	2
R28YRS	ET091036	1	1	16	1998	1	1	0	6	2
R28YRS	ET091039	1	1	18	1998	1	1	0	6	0
R28YRS	ET091044	1	1	4	1996	3	1	0	1	0
R28YRS	ET091045	1	1	15	1997	2	1	0	6	3
R28YRS	ET091048	1	2	7	1983	3	0	0	1	0
R28YRS	ET091050	1	1	15	1996	3	1	0	16	3
R28YRS	ET101002	1	1	15	1994	3	0	1	9	2
R28YRS	ET101002	2	1	7	1998	1	0	0	10	2
R28YRS	ET101049	1	1	18	1993	6	1	0	10	3
R28YRS	ET111012	1	1	7	1994	5	1	1	14	3
R28YRS	ET111019	1	1	15	1993	6	1	0	2	2
R28YRS	ET111021	1	1	15	1992	7	1	0	14	3
R28YRS	ET111034	1	1	7	1996	3	1	0	7	3
R28YRS	ET111036	1	3	15	1991	8	1	1	10	0
R28YRS	ET111048	1	1	15	1983	16	1	0	2	3
R28YRS	ET121002	1	1	2	1996	3	1	0	10	0
R28YRS	ET121011	1	1	18	1999	0	1	0	5	0
R28YRS	ET121028	1	1	18	1987	12	1	0	1	2
R28YRS	ET121046	1	1	7	1983	16	1	0	3	2
R28YRS	ET121056	1	1	6	1998	1	1	1	10	3
R28YRS	ET121057	1	1	8	1986	13	1	0	2	3
R28YRS	ET131005	1	2	3	1996	3	1	0	7	3
R28YRS	ET131011	1	1	17	1996	1	0	0	1	0
R28YRS	ET131023	1	2	19	1998	1	1	0	13	2
R28YRS	ET131035	1	1	3	1990	9	1	0	8	2
R28YRS	ET131044	1	1	13	1997	3	1	1	10	3
R28YRS	ET131048	1	2	19	1994	5	1	0	15	2
R28YRS	ET151004	1	1	15	1996	3	1	1	15	2
R28YRS	ET151010	1	1	14	1996	4	1	0	15	2
R28YRS	ET151025	1	1	7	1990	5	0	0	1	2
R28YRS	ET161008	1	1	1	1992	7	1	0	15	3
R28YRS	ET161009	1	1	18	-77	40	1	1	12	3
R28YRS	ET161014	1	1	1	1997	2	1	0	15	0
R28YRS	ET161018	1	1	7	1999	0	1	0	10	2
R28YRS	ET161027	1	1	7	1974	9	0	0	10	3
R28YRS	ET161034	1	1	1	1991	8	1	1	6	3
R28YRS	ET161034	2	1	18	1991	8	0	1	6	3
R28YRS	ET161049	1	1	3	1983	16	1	1	1	3
R28YRS	ET171014	1	1	7	1998	1	1	0	7	2
R28YRS	ET171021	1	1	7	1987	11	1	0	8	3
R28YRS	ET171037	1	1	1	1993	5	0	0	6	0
R28YRS	ET171046	1	1	19	1995	4	0	0	3	2
R28YRS	ET171047	1	1	1	1995	3	0	0	6	0
R28YRS	ET171048	1	1	18	1989	10	1	0	10	3
R28YRS	ET181016	1	2	15	1992	7	1	0	15	2
R28YRS	ET181019	1	2	2	1982	17	1	0	1	2
R28YRS	ET181024	1	1	18	1990	1	0	0	4	3
R28YRS	ET181029	1	1	8	1982	17	1	0	3	2
R28YRS	ET181029	2	1	12	1994	5	1	0	8	0
R28YRS	ET181031	1	1	7	1990	4	0	0	1	0
R28YRS	ET181033	1	1	8	1983	16	1	0	6	2
R28YRS	ET181035	1	1	19	1989	1	0	0	3	3
R28YRS	ET181037	1	1	16	1990	1	0	0	3	3
R28YRS	ET191006	1	3	6	1985	14	1	0	3	0
R28YRS	ET191012	1	3	18	1998	1	1	0	3	0
R28YRS	ET191014	1	1	7	1998	1	1	0	3	0
R28YRS	ET191040	1	1	8	1989	5	1	0	8	2
R28YRS	ET191048	1	1	7	1996	3	0	1	4	2
R28YRS	ET201002	1	1	7	1983	2	0	0	4	3
R28YRS	ET201004	1	1	7	1984	2	0	0	4	2
R28YRS	ET201013	1	1	16	1993	6	1	0	3	2
