FORMNO	CHILDID	PLOTID	LAREA	LUNIT	LOWN	LUSE	TRANS	COLLAT	TRANSID	PLINCOME	PLVALUE	PLCOST	CRPRAIN1	CRPRAIN2	CROPDRY1	CROPDRY2	IRRIGAT	PERIRRIG
R28YRS	ET011001	1	20	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011002	1	40	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011003	1	12	17	1	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011003	2	175	17	1	9	1	1	1	1	1800	500	 	 	 	 	 	 
R28YRS	ET011004	1	25	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011005	1	250	17	3	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011006	1	36	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011007	1	60	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011008	1	36	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011009	1	19	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011010	1	36	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011012	1	36	17	1	1	1	1	80	 	 	 	 	 	 	 	 	 
R28YRS	ET011013	1	8	17	2	3	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011014	1	1.5	4	1	2	1	0	88	 	 	 	5	75	12	41	0	88
R28YRS	ET011015	1	20	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011016	1	28	17	1	1	1	1	1	 	 	 	 	 	 	 	 	 
R28YRS	ET011017	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011018	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011019	1	36	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011020	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011021	1	20	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011022	1	17.5	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011023	1	2	4	1	5	1	0	88	0	-88	-88	41	3	41	3	0	88
R28YRS	ET011023	2	1	4	1	2	1	0	88	0	-88	-88	75	88	88	88	0	88
R28YRS	ET011024	1	36	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011025	1	52	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011026	1	24	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011027	1	12	17	1	1	1	1	1	 	 	 	 	 	 	 	 	 
R28YRS	ET011028	1	6	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011029	1	6	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011030	1	9	17	3	1	0	0	88	1	600	0	 	 	 	 	 	 
R28YRS	ET011031	1	28	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011032	1	25	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011033	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011034	1	13.75	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011036	1	48	17	1	1	1	1	80	 	 	 	 	 	 	 	 	 
R28YRS	ET011037	1	16	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011038	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011039	1	10	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011040	1	12	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011041	1	44	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011042	1	80	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011043	1	9	17	1	1	1	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011043	2	6	17	1	9	1	0	88	1	1200	0	 	 	 	 	 	 
R28YRS	ET011043	3	6	17	1	9	1	0	88	1	1200	84	 	 	 	 	 	 
R28YRS	ET011044	1	56	19	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R28YRS	ET011045	1	24	17	2	1	0	0	88	 	 	 	 	 	 	 	 	 
