FORMNO	CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
R28YRS	ET011042	3	10	0	0	1
R28YRS	ET011042	4	1	0	0	0
R28YRS	ET011043	1	1	1	0	0
R28YRS	ET011043	2	5	1	1	0
R28YRS	ET011043	3	2	0	0	0
R28YRS	ET011043	4	10	0	0	0
R28YRS	ET011044	1	1	1	0	0
R28YRS	ET011044	2	2	0	0	0
R28YRS	ET011044	3	5	0	0	0
R28YRS	ET011044	4	10	0	0	1
R28YRS	ET011045	1	1	1	0	0
R28YRS	ET011045	2	2	1	0	0
R28YRS	ET011045	3	12	0	0	1
R28YRS	ET011046	1	1	0	0	1
R28YRS	ET011046	2	2	0	0	1
R28YRS	ET011046	3	10	0	0	1
R28YRS	ET011048	1	2	0	0	1
R28YRS	ET011048	2	1	0	0	1
R28YRS	ET011048	3	10	0	0	1
R28YRS	ET011049	1	1	1	0	0
R28YRS	ET011049	2	2	1	0	0
R28YRS	ET011049	3	12	0	0	0
R28YRS	ET011050	1	1	0	0	1
R28YRS	ET011050	2	10	0	0	1
R28YRS	ET021001	1	5	0	1	1
R28YRS	ET021001	2	1	0	0	1
R28YRS	ET021001	3	17	0	1	1
R28YRS	ET021002	1	1	0	0	1
R28YRS	ET021002	2	2	0	0	1
R28YRS	ET021002	3	5	1	0	2
R28YRS	ET021003	1	2	0	0	0
R28YRS	ET021003	2	1	1	0	0
R28YRS	ET021003	3	6	1	0	2
R28YRS	ET021003	4	10	0	0	2
R28YRS	ET021004	1	1	0	1	0
R28YRS	ET021004	2	2	0	0	0
R28YRS	ET021004	3	5	0	0	0
R28YRS	ET021004	4	10	0	0	0
R28YRS	ET021005	1	1	0	0	1
R28YRS	ET021005	2	21	1	0	1
R28YRS	ET021005	3	5	1	0	1
R28YRS	ET021005	4	10	0	0	1
R28YRS	ET021005	5	2	0	0	1
R28YRS	ET021006	1	1	1	0	0
R28YRS	ET021006	2	2	1	1	0
R28YRS	ET021006	3	3	1	1	0
R28YRS	ET021006	4	10	1	1	0
R28YRS	ET021006	5	12	1	1	0
R28YRS	ET021007	1	1	1	0	1
R28YRS	ET021007	2	2	1	0	1
R28YRS	ET021007	3	5	1	0	0
R28YRS	ET021008	1	1	1	1	0
R28YRS	ET021008	2	2	1	0	0
R28YRS	ET021008	3	3	0	1	0
R28YRS	ET021008	4	12	0	1	1
R28YRS	ET021008	5	5	1	1	0
R28YRS	ET021009	1	1	0	0	1
R28YRS	ET021009	2	5	1	1	1
R28YRS	ET021009	3	17	0	1	1
R28YRS	ET021010	1	5	1	1	1
R28YRS	ET021010	2	1	1	0	0
R28YRS	ET021010	3	2	0	1	1
R28YRS	ET021011	1	7	1	1	0
R28YRS	ET021011	2	2	0	1	0
R28YRS	ET021011	3	1	0	0	0
R28YRS	ET021011	4	5	1	1	0
R28YRS	ET021011	5	16	0	1	0
R28YRS	ET021011	6	12	0	1	0
R28YRS	ET021011	7	10	0	0	1
R28YRS	ET021012	1	1	1	0	0
R28YRS	ET021012	2	3	1	0	1
R28YRS	ET021012	3	5	1	1	0
R28YRS	ET021012	4	6	1	1	1
R28YRS	ET021012	5	17	1	0	1
R28YRS	ET021013	1	7	0	1	1
R28YRS	ET021013	2	1	0	0	1
R28YRS	ET021013	3	5	1	0	2
R28YRS	ET021013	4	17	0	0	1
R28YRS	ET021013	5	2	0	0	1
R28YRS	ET021014	1	5	0	0	0
R28YRS	ET021014	2	2	0	0	0
R28YRS	ET021014	3	1	0	0	0
R28YRS	ET021014	4	10	0	0	1
R28YRS	ET021014	5	12	0	0	1
R28YRS	ET021015	1	1	1	0	1
R28YRS	ET021015	2	2	0	0	0
R28YRS	ET021015	3	10	0	0	1
R28YRS	ET021016	1	1	1	0	1
R28YRS	ET021016	2	10	0	0	1
R28YRS	ET021016	3	2	1	1	1
R28YRS	ET021016	4	6	1	0	0
R28YRS	ET021017	1	5	0	1	0
R28YRS	ET021017	2	1	0	0	1
R28YRS	ET021017	3	3	0	1	0
R28YRS	ET021017	4	10	0	0	0
R28YRS	ET021018	1	1	1	0	0
R28YRS	ET021018	2	6	1	0	0
R28YRS	ET021018	3	2	1	0	0
R28YRS	ET021019	1	1	1	0	0
R28YRS	ET021019	2	2	0	0	0
R28YRS	ET021019	3	10	1	0	1
R28YRS	ET021020	1	5	0	0	1
R28YRS	ET021020	2	2	0	0	1
R28YRS	ET021020	3	1	0	0	1
R28YRS	ET021020	4	12	0	0	1
R28YRS	ET021020	5	10	0	0	1
R28YRS	ET021021	1	1	1	0	0
R28YRS	ET021021	2	5	1	0	0
R28YRS	ET021021	3	10	0	0	1
R28YRS	ET021022	1	1	0	0	0
R28YRS	ET021022	2	2	0	0	2
R28YRS	ET021022	3	10	0	1	1
R28YRS	ET021022	4	12	0	1	1
R28YRS	ET021023	1	7	0	0	1
R28YRS	ET021023	2	1	0	1	0
R28YRS	ET021023	3	10	0	0	1
R28YRS	ET021024	1	1	1	0	0
R28YRS	ET021024	2	5	1	0	0
R28YRS	ET021024	3	2	1	0	0
R28YRS	ET021024	4	12	0	0	2
R28YRS	ET021025	1	6	1	0	1
R28YRS	ET021025	2	5	1	0	2
R28YRS	ET021025	3	17	0	0	1
R28YRS	ET021025	4	1	1	0	0
R28YRS	ET021026	1	1	0	0	0
R28YRS	ET021026	2	2	0	0	0
R28YRS	ET021026	3	5	1	0	2
R28YRS	ET021027	1	1	0	0	0
R28YRS	ET021027	2	2	0	1	0
R28YRS	ET021027	3	5	1	1	1
R28YRS	ET021027	4	17	0	0	1
R28YRS	ET021028	1	21	1	0	0
R28YRS	ET021028	2	1	0	0	0
R28YRS	ET021028	3	5	77	0	0
R28YRS	ET021028	4	2	0	0	0
R28YRS	ET021028	5	10	0	0	1
R28YRS	ET021029	1	1	1	0	0
R28YRS	ET021029	2	5	1	1	1
R28YRS	ET021029	3	21	0	0	1
R28YRS	ET021030	1	1	1	0	1
R28YRS	ET021030	2	2	0	0	0
R28YRS	ET021030	3	5	0	0	0
R28YRS	ET021030	4	6	0	0	0
R28YRS	ET021030	5	9	0	0	0
R28YRS	ET021030	6	21	0	0	0
R28YRS	ET021031	1	5	0	0	1
R28YRS	ET021031	2	1	0	0	0
R28YRS	ET021031	3	18	0	0	1
R28YRS	ET021031	4	2	0	0	0
R28YRS	ET021032	1	1	1	0	0
R28YRS	ET021032	2	2	0	0	0
R28YRS	ET021032	3	6	1	0	0
R28YRS	ET021032	4	10	0	0	0
R28YRS	ET021032	5	12	0	0	2
R28YRS	ET021033	1	1	0	0	0
R28YRS	ET021033	2	2	0	0	2
R28YRS	ET021033	3	5	1	0	2
R28YRS	ET021033	4	12	0	0	2
R28YRS	ET021034	1	1	1	0	0
R28YRS	ET021034	2	2	0	0	0
R28YRS	ET021034	3	6	1	0	1
R28YRS	ET021034	4	10	1	0	1
R28YRS	ET021034	5	12	1	0	1
R28YRS	ET021035	1	1	0	0	0
R28YRS	ET021035	2	2	0	0	2
R28YRS	ET021035	3	10	0	0	1
R28YRS	ET021036	1	1	0	0	0
R28YRS	ET021036	2	2	0	0	0
R28YRS	ET021036	3	5	1	1	0
R28YRS	ET021036	4	7	0	1	0
R28YRS	ET021037	1	1	1	1	0
R28YRS	ET021037	2	5	1	0	1
R28YRS	ET021037	3	21	1	1	1
R28YRS	ET021037	4	2	0	1	0
R28YRS	ET021038	1	1	1	0	0
R28YRS	ET021038	2	5	1	0	0
R28YRS	ET021038	3	10	1	0	0
R28YRS	ET021039	1	5	1	1	0
R28YRS	ET021039	2	2	1	1	0
R28YRS	ET021039	3	1	1	1	0
R28YRS	ET021040	1	1	1	0	0
R28YRS	ET021040	2	2	1	0	1
R28YRS	ET021040	3	5	1	0	1
R28YRS	ET021040	4	10	1	0	1
R28YRS	ET021041	1	1	1	0	0
R28YRS	ET021041	2	2	1	0	0
R28YRS	ET021041	3	18	1	0	2
R28YRS	ET021041	4	17	0	0	1
R28YRS	ET021041	5	12	0	0	1
R28YRS	ET021042	1	1	1	0	0
R28YRS	ET021042	2	2	0	0	0
R28YRS	ET021042	3	22	1	1	2
R28YRS	ET021043	1	1	1	1	0
R28YRS	ET021043	2	2	1	1	0
R28YRS	ET021043	3	10	0	1	1
R28YRS	ET021043	4	12	0	1	1
R28YRS	ET021043	5	6	0	0	0
R28YRS	ET021044	1	1	1	0	1
R28YRS	ET021044	2	21	1	0	1
R28YRS	ET021044	3	5	1	1	1
R28YRS	ET021044	4	2	1	0	1
R28YRS	ET021045	1	1	0	1	0
R28YRS	ET021045	2	2	1	1	0
R28YRS	ET021045	3	5	0	0	0
R28YRS	ET021045	4	10	0	1	1
R28YRS	ET021045	5	12	0	1	1
R28YRS	ET021046	1	1	1	1	0
R28YRS	ET021046	2	2	1	1	0
R28YRS	ET021046	3	7	1	1	0
R28YRS	ET021046	4	10	1	1	1
R28YRS	ET021047	1	1	1	0	1
R28YRS	ET021047	2	2	1	0	1
R28YRS	ET021047	3	5	0	0	1
R28YRS	ET021047	4	12	0	0	1
R28YRS	ET021048	1	1	1	0	1
R28YRS	ET021048	2	2	1	0	1
R28YRS	ET021048	3	4	1	0	2
R28YRS	ET021049	1	1	0	0	0
R28YRS	ET021049	2	5	0	0	0
R28YRS	ET021049	3	6	0	1	0
R28YRS	ET021049	4	2	1	1	1
R28YRS	ET021050	1	1	1	1	0
R28YRS	ET021050	2	5	1	1	0
R28YRS	ET021050	3	3	1	1	0
R28YRS	ET021050	4	2	1	1	0
R28YRS	ET031001	1	1	1	0	1
R28YRS	ET031001	2	10	0	0	1
R28YRS	ET031001	3	12	0	0	1
R28YRS	ET031001	4	5	1	0	1
R28YRS	ET031002	1	1	0	1	0
R28YRS	ET031002	2	2	0	1	0
R28YRS	ET031002	3	3	1	1	1
R28YRS	ET031002	4	12	1	1	1
R28YRS	ET031003	1	1	1	1	0
R28YRS	ET031003	2	2	1	1	1
R28YRS	ET031003	3	12	1	1	1
R28YRS	ET031004	1	1	1	0	0
R28YRS	ET031004	2	10	0	0	1
R28YRS	ET031004	3	12	0	0	1
R28YRS	ET031004	4	9	0	0	0
R28YRS	ET031006	1	1	0	0	1
R28YRS	ET031006	2	12	0	0	1
R28YRS	ET031006	3	10	0	0	1
R28YRS	ET031006	4	2	0	0	1
R28YRS	ET031007	1	1	1	1	0
R28YRS	ET031007	2	2	1	1	0
R28YRS	ET031007	3	12	1	1	1
R28YRS	ET031007	4	17	1	1	1
R28YRS	ET031008	1	5	0	0	0
