FORMNO	CHILDID	PASSID	PASSET	NUMPRNT	NUMPASS	VALPASS	DECPASS
R28YRS	ET061012	2	4	0	1	70	1
R28YRS	ET061014	1	1	0	8	85	1
R28YRS	ET061014	2	4	0	1	20	1
R28YRS	ET061015	1	1	88	8	99	1
R28YRS	ET061015	2	4	88	2	60	1
R28YRS	ET061016	1	1	0	12	120	1
R28YRS	ET061016	2	4	0	2	40	1
R28YRS	ET061018	1	1	0	3	15	1
R28YRS	ET061018	2	4	0	1	15	1
R28YRS	ET061019	1	1	0	8	40	80
R28YRS	ET061019	2	4	0	1	20	80
R28YRS	ET061020	1	1	0	3	30	1
R28YRS	ET061020	2	4	0	2	70	1
R28YRS	ET061021	1	1	0	4	24	6
R28YRS	ET061021	2	4	0	1	40	6
R28YRS	ET061022	1	1	0	2	40	1
R28YRS	ET061022	2	4	0	2	120	1
R28YRS	ET061023	1	1	0	7	35	1
R28YRS	ET061023	2	4	0	1	50	1
R28YRS	ET061024	1	4	0	2	60	1
R28YRS	ET061024	2	1	0	7	70	80
R28YRS	ET061025	1	1	0	2	50	1
R28YRS	ET061025	2	4	0	2	40	1
R28YRS	ET061026	1	1	0	10	46	1
R28YRS	ET061026	2	4	0	1	16	1
R28YRS	ET061028	1	1	0	11	110	1
R28YRS	ET061028	2	4	0	1	30	1
R28YRS	ET061029	1	1	0	4	45	1
R28YRS	ET061029	2	4	0	3	80	1
R28YRS	ET061031	1	1	0	4	6	2
R28YRS	ET061033	1	1	0	6	30	1
R28YRS	ET061033	2	4	0	2	80	1
R28YRS	ET061034	1	1	0	5	31	1
R28YRS	ET061034	2	4	0	1	30	1
R28YRS	ET061036	1	4	0	1	70	1
R28YRS	ET061036	2	1	0	1	75	1
R28YRS	ET061037	1	1	0	3	18	1
R28YRS	ET061038	1	1	0	3	15	1
R28YRS	ET061038	2	4	0	1	30	1
R28YRS	ET061039	1	1	0	5	16	80
R28YRS	ET061039	2	4	0	1	15	80
R28YRS	ET061040	1	1	0	5	15	7
R28YRS	ET061040	2	4	0	1	20	7
R28YRS	ET061041	1	1	0	3	10	1
R28YRS	ET061041	2	4	0	1	20	1
R28YRS	ET061044	1	1	0	9	60	1
R28YRS	ET061044	2	4	0	1	30	1
R28YRS	ET061046	1	1	0	10	56	1
R28YRS	ET061046	2	4	0	1	30	1
R28YRS	ET061047	1	1	0	6	20	1
R28YRS	ET061047	2	4	0	2	78	1
R28YRS	ET061049	1	1	0	7	30	1
R28YRS	ET061049	2	4	0	1	20	1
R28YRS	ET061050	1	4	0	2	180	80
R28YRS	ET061050	2	1	0	12	70	1
R28YRS	ET061051	1	1	0	5	40	1
R28YRS	ET061051	2	4	0	2	40	1
R28YRS	ET061052	1	1	0	8	104	1
R28YRS	ET061052	2	4	0	2	50	1
R28YRS	ET061053	1	1	0	8	120	1
R28YRS	ET061053	2	4	0	2	35	1
R28YRS	ET061054	1	1	0	4	6	2
R28YRS	ET061054	2	4	0	1	10	2
R28YRS	ET061056	1	23	0	67	330	1
R28YRS	ET061057	1	1	0	13	72	1
R28YRS	ET061057	2	4	0	2	60	1
R28YRS	ET061058	1	1	0	7	15	1
R28YRS	ET061059	1	4	0	1	60	2
R28YRS	ET061059	2	1	0	9	52	2
R28YRS	ET071001	1	1	0	5	60	80
R28YRS	ET071001	2	4	0	1	85	80
R28YRS	ET071001	3	6	0	4	40	80
R28YRS	ET071002	1	1	0	8	-99	1
R28YRS	ET071002	2	4	0	2	21	1
R28YRS	ET071003	1	1	0	6	40	2
R28YRS	ET071004	1	1	0	7	80	1
R28YRS	ET071004	2	4	0	1	12	1
R28YRS	ET071005	1	1	0	1	10	1
R28YRS	ET071005	2	4	0	2	16	1
R28YRS	ET071006	1	1	0	6	90	1
R28YRS	ET071006	2	4	0	1	40	1
R28YRS	ET071007	1	1	0	6	60	80
R28YRS	ET071007	2	4	0	1	15	80
R28YRS	ET071008	1	1	0	1	13	1
R28YRS	ET071008	2	4	0	1	10	1
R28YRS	ET071009	1	1	0	1	30	80
R28YRS	ET071009	2	4	0	6	48	80
R28YRS	ET071010	1	6	0	1	35	80
R28YRS	ET071010	2	1	0	4	30	80
R28YRS	ET071011	1	1	0	4	48	2
R28YRS	ET071012	1	1	0	6	60	80
R28YRS	ET071012	2	4	0	1	50	80
R28YRS	ET071013	1	1	4	1	40	80
R28YRS	ET071014	1	1	0	4	30	16
R28YRS	ET071014	2	4	0	1	12	16
R28YRS	ET071015	1	1	0	3	40	1
R28YRS	ET071015	2	4	0	1	16	1
R28YRS	ET071016	1	1	0	3	30	80
R28YRS	ET071016	2	4	0	2	40	80
R28YRS	ET071017	1	1	0	3	28	1
R28YRS	ET071017	2	4	0	1	12	1
R28YRS	ET071018	1	1	0	11	100	1
R28YRS	ET071018	2	4	0	1	20	1
R28YRS	ET071020	1	1	0	4	45	1
R28YRS	ET071020	2	4	0	1	25	1
R28YRS	ET071021	1	1	0	6	80	80
R28YRS	ET071021	2	4	0	2	60	80
R28YRS	ET071022	1	1	0	5	40	1
R28YRS	ET071022	2	4	0	1	12	1
R28YRS	ET071024	1	1	0	8	35	1
R28YRS	ET071024	2	4	0	1	15	1
R28YRS	ET071025	1	1	0	8	150	1
R28YRS	ET071025	2	4	0	2	120	1
R28YRS	ET071026	1	1	0	7	80	80
R28YRS	ET071026	2	4	0	2	40	80
R28YRS	ET071027	1	1	0	4	30	80
R28YRS	ET071027	2	4	0	1	10	80
R28YRS	ET071028	1	1	0	8	80	1
R28YRS	ET071028	2	1	0	1	30	1
R28YRS	ET071029	1	1	0	6	120	80
R28YRS	ET071029	2	4	0	1	30	80
R28YRS	ET071030	1	15	0	2	16	2
R28YRS	ET071031	1	1	0	8	100	80
R28YRS	ET071031	2	4	0	2	40	80
R28YRS	ET071033	1	1	4	4	40	80
R28YRS	ET071033	2	4	1	1	60	80
R28YRS	ET071033	3	6	2	2	20	80
R28YRS	ET071034	1	1	0	2	34	1
R28YRS	ET071034	2	4	0	1	30	1
R28YRS	ET071035	1	1	0	5	50	80
R28YRS	ET071035	2	4	0	1	30	80
R28YRS	ET071036	1	1	0	3	50	80
R28YRS	ET071036	2	4	0	1	20	80
R28YRS	ET071037	1	1	0	9	70	80
R28YRS	ET071037	2	4	0	1	25	80
R28YRS	ET071038	1	1	0	7	50	1
R28YRS	ET071038	2	4	0	1	40	1
R28YRS	ET071039	1	1	0	3	50	1
R28YRS	ET071039	2	4	0	1	26	1
R28YRS	ET071040	1	1	0	2	20	1
R28YRS	ET071043	1	25	0	2	1000	80
R28YRS	ET071044	1	1	0	7	80	1
R28YRS	ET071044	2	4	0	1	20	1
R28YRS	ET071045	1	1	0	9	56	1
R28YRS	ET071045	2	1	0	1	20	1
R28YRS	ET071046	1	1	0	3	20	1
R28YRS	ET071046	2	4	0	1	15	1
R28YRS	ET071047	1	1	0	7	70	80
R28YRS	ET071047	2	4	0	1	15	80
R28YRS	ET071049	1	1	0	5	60	1
R28YRS	ET071050	1	1	0	6	200	1
R28YRS	ET071050	2	4	0	1	20	1
R28YRS	ET081001	1	1	0	18	156	1
R28YRS	ET081001	2	4	0	2	146	1
R28YRS	ET081001	3	5	0	1	6000	1
R28YRS	ET081003	1	1	0	2	100	1
R28YRS	ET081003	2	5	1	0	0	90
R28YRS	ET081004	1	4	0	1	75	1
R28YRS	ET081004	2	1	0	3	90	1
R28YRS	ET081005	1	30	0	3	720	3
R28YRS	ET081006	1	4	0	1	85	1
R28YRS	ET081006	2	1	0	2	35	1
R28YRS	ET081007	1	1	0	12	228	80
R28YRS	ET081007	2	4	0	1	55	80
R28YRS	ET081008	1	1	0	22	292	1
R28YRS	ET081008	2	4	0	2	146	1
R28YRS	ET081008	3	5	0	1	5000	1
R28YRS	ET081009	1	1	0	2	16	1
R28YRS	ET081009	2	4	0	1	75	1
R28YRS	ET081010	1	1	0	3	46	1
R28YRS	ET081010	2	4	0	1	58	1
R28YRS	ET081011	1	1	0	8	172	1
R28YRS	ET081011	2	4	0	2	130	1
R28YRS	ET081012	1	4	0	2	20	1
R28YRS	ET081012	2	1	0	6	47	1
R28YRS	ET081013	1	1	0	1	20	2
R28YRS	ET081014	1	1	0	4	155	1
R28YRS	ET081015	1	1	3	5	60	2
R28YRS	ET081015	2	5	1	0	-77	90
R28YRS	ET081016	1	4	0	1	75	1
R28YRS	ET081016	2	1	0	4	50	1
R28YRS	ET081017	1	1	0	12	190	1
R28YRS	ET081018	1	4	0	1	12	1
R28YRS	ET081018	2	1	0	5	35	1
R28YRS	ET081019	1	1	0	4	80	1
R28YRS	ET081019	2	4	2	12	180	1
R28YRS	ET081020	1	1	2	12	130	2
R28YRS	ET081020	2	2	0	2	600	2
R28YRS	ET081020	3	5	1	0	-88	90
R28YRS	ET081021	1	4	0	1	10	1
R28YRS	ET081021	2	1	0	4	70	1
R28YRS	ET081022	1	4	0	2	3	1
R28YRS	ET081022	2	1	0	6	130	1
R28YRS	ET081023	1	1	0	10	200	1
R28YRS	ET081024	1	3	2	0	0	90
R28YRS	ET081025	1	4	0	1	20	80
R28YRS	ET081025	2	1	3	7	37	80
R28YRS	ET081026	1	1	0	5	156	1
R28YRS	ET081027	1	1	0	3	25	1
R28YRS	ET081028	1	4	1	0	-88	90
R28YRS	ET081028	2	1	0	5	100	1
R28YRS	ET081029	1	1	0	6	60	80
R28YRS	ET081030	1	1	0	2	50	1
R28YRS	ET081031	1	1	1	5	28	1
R28YRS	ET081031	2	4	0	1	65	1
R28YRS	ET081032	1	1	0	7	167	1
R28YRS	ET081032	2	4	0	1	150	1
R28YRS	ET081033	1	1	0	6	216	2
R28YRS	ET081034	1	4	1	0	0	90
R28YRS	ET081034	2	1	3	0	0	90
R28YRS	ET081035	1	4	1	0	0	90
R28YRS	ET081035	2	1	4	0	0	90
R28YRS	ET081036	1	4	0	1	84	1
R28YRS	ET081036	2	1	2	6	54	1
R28YRS	ET081037	1	4	1	0	-88	90
R28YRS	ET081037	2	1	0	7	64	80
R28YRS	ET081038	1	30	3	0	0	90
R28YRS	ET081039	1	30	1	0	0	90
R28YRS	ET081040	1	4	0	1	70	1
R28YRS	ET081041	1	1	0	4	20	1
R28YRS	ET081041	2	4	0	1	30	1
R28YRS	ET081042	1	1	0	10	150	1
R28YRS	ET081043	1	1	0	5	45	80
R28YRS	ET081043	2	4	0	1	127	80
R28YRS	ET081044	1	4	1	0	0	90
R28YRS	ET081044	2	1	4	0	0	90
R28YRS	ET081045	1	1	0	10	150	1
R28YRS	ET081046	1	4	1	0	0	90
R28YRS	ET081046	2	1	5	0	0	90
R28YRS	ET081047	1	4	1	0	0	90
R28YRS	ET081047	2	1	6	0	0	90
R28YRS	ET081048	1	1	0	13	150	1
R28YRS	ET081049	1	4	0	1	10	1
R28YRS	ET081049	2	1	0	12	64	1
R28YRS	ET081050	1	30	0	1	100	3
R28YRS	ET091001	1	1	0	2	100	1
R28YRS	ET091002	1	23	0	2	25	2
R28YRS	ET091003	1	1	0	1	20	1
R28YRS	ET091003	2	4	3	0	40	1
R28YRS	ET091004	1	1	0	5	90	1
R28YRS	ET091004	2	1	0	2	165	1
R28YRS	ET091005	1	1	0	8	50	80
R28YRS	ET091005	2	4	0	2	50	80
R28YRS	ET091006	1	1	0	6	42	1
R28YRS	ET091006	2	4	0	1	25	1
R28YRS	ET091006	3	3	1	0	25	1
R28YRS	ET091007	1	1	88	14	400	1
R28YRS	ET091008	1	1	0	1	95	1
R28YRS	ET091008	2	4	0	2	100	1
R28YRS	ET091009	1	1	0	4	10	1
R28YRS	ET091009	2	3	2	0	0	90
R28YRS	ET091009	3	4	0	1	3	1
R28YRS	ET091010	1	1	0	2	25	1
R28YRS	ET091011	1	1	0	5	82	1
R28YRS	ET091011	2	4	0	2	60	1
R28YRS	ET091012	1	1	0	4	85	1
R28YRS	ET091012	2	4	0	2	70	1
R28YRS	ET091014	1	1	0	11	157	80
R28YRS	ET091015	1	1	0	3	15	80
R28YRS	ET091015	2	4	0	1	20	80
R28YRS	ET091016	1	1	0	8	100	1
R28YRS	ET091016	2	4	0	1	45	1
R28YRS	ET091017	1	1	0	6	180	1
R28YRS	ET091017	2	4	0	1	80	1
R28YRS	ET091018	1	1	0	4	75	1
R28YRS	ET091019	1	1	2	0	0	80
R28YRS	ET091019	2	4	0	2	20	80
R28YRS	ET091019	3	8	0	3	0	80
R28YRS	ET091020	1	1	0	7	155	1
R28YRS	ET091020	2	4	0	2	100	1
R28YRS	ET091021	1	1	0	6	100	1
R28YRS	ET091022	1	1	0	3	13	1
R28YRS	ET091022	2	3	1	0	-88	88
R28YRS	ET091022	3	4	0	1	6	1
R28YRS	ET091023	1	1	5	0	-88	90
R28YRS	ET091024	1	1	0	3	35	1
R28YRS	ET091024	2	4	0	1	25	1
R28YRS	ET091025	1	1	0	4	75	1
R28YRS	ET091026	1	1	0	4	45	80
R28YRS	ET091026	2	4	0	1	65	80
R28YRS	ET091027	1	1	88	11	240	80
R28YRS	ET091028	1	1	0	9	120	80
R28YRS	ET091028	2	4	0	1	60	80
R28YRS	ET091029	1	4	0	13	102	1
R28YRS	ET091029	2	1	0	1	40	1
R28YRS	ET091030	1	15	0	12	184	1
R28YRS	ET091031	1	4	0	1	39	1
R28YRS	ET091031	2	1	0	3	32	1
R28YRS	ET091032	1	4	0	1	60	1
R28YRS	ET091033	1	4	0	1	50	1
R28YRS	ET091034	1	1	0	6	160	1
R28YRS	ET091034	2	4	0	3	30	1
R28YRS	ET091035	1	4	1	0	-88	90
R28YRS	ET091035	2	1	2	0	-88	90
R28YRS	ET091035	3	3	1	0	-88	90
R28YRS	ET091036	1	1	0	2	20	80
R28YRS	ET091036	2	4	0	1	30	80
R28YRS	ET091037	1	1	0	9	130	1
R28YRS	ET091037	2	4	0	2	100	1
R28YRS	ET091037	3	39	0	4	180	2
R28YRS	ET091038	1	1	0	7	87	1
R28YRS	ET091038	2	3	0	4	64	1
R28YRS	ET091038	3	4	0	1	600	1
R28YRS	ET091039	1	4	0	2	70	1
R28YRS	ET091039	2	1	0	3	25	1
R28YRS	ET091040	1	1	0	3	21	2
R28YRS	ET091041	1	1	0	5	100	1
R28YRS	ET091042	1	1	0	5	120	1
R28YRS	ET091042	2	4	0	1	25	1
R28YRS	ET091042	3	19	0	6	55	80
R28YRS	ET091043	1	4	0	2	70	1
R28YRS	ET091044	1	1	0	3	32	1
R28YRS	ET091045	1	1	0	5	60	1
R28YRS	ET091045	2	4	0	2	60	1
R28YRS	ET091046	1	1	88	12	250	1
R28YRS	ET091047	1	1	0	15	55	1
R28YRS	ET091047	2	4	0	2	34	1
R28YRS	ET091048	1	1	0	2	36	2
R28YRS	ET091049	1	1	0	6	120	1
R28YRS	ET091049	2	4	0	7	25	1
R28YRS	ET091050	1	4	0	1	35	80
R28YRS	ET091050	2	1	0	5	80	80
R28YRS	ET101001	1	15	1	18	176.5	2
R28YRS	ET101002	1	38	0	2	4000	80
R28YRS	ET101002	2	15	0	5	11000	80
R28YRS	ET101002	3	14	0	3	2200	80
R28YRS	ET101002	4	30	0	22	2800	80
R28YRS	ET101004	1	1	0	2	10	90
R28YRS	ET101006	1	30	-88	-88	-88	88
R28YRS	ET101007	1	30	0	1	20000	80
R28YRS	ET101007	2	24	0	1	1600	1
R28YRS	ET101008	1	15	0	4	90	1
R28YRS	ET101009	1	24	0	1	700	1
R28YRS	ET101009	2	23	0	1	2000	80
R28YRS	ET101010	1	30	0	1	10000	1
R28YRS	ET101010	2	23	0	90	225	1
R28YRS	ET101012	1	23	0	2	200	80
R28YRS	ET101013	1	30	0	3	270	3
R28YRS	ET101014	1	30	0	2	30000	1
R28YRS	ET101015	1	24	0	1	150	2
R28YRS	ET101016	1	24	0	1	2000	1
R28YRS	ET101016	2	23	0	1	2000	80
R28YRS	ET101017	1	27	0	1	6000	2
R28YRS	ET101018	1	15	0	12	160	2
R28YRS	ET101019	1	13	0	7	110	1
R28YRS	ET101020	1	1	0	1	260	1
R28YRS	ET101021	1	30	-88	-88	-88	88
R28YRS	ET101022	1	30	-88	-88	-88	88
R28YRS	ET101023	1	15	0	9	500	2
R28YRS	ET101023	2	23	0	12	300	2
R28YRS	ET101024	1	13	1	5	300	1
R28YRS	ET101025	1	30	0	5	25	3
R28YRS	ET101027	1	15	0	12	350	2
R28YRS	ET101028	1	30	-88	-88	-88	88
R28YRS	ET101029	1	13	0	3	200	1
R28YRS	ET101030	1	21	1	0	-88	90
R28YRS	ET101032	1	15	0	2	104	80
R28YRS	ET101032	2	19	0	3	90	80
R28YRS	ET101033	1	30	-88	-88	-88	88
R28YRS	ET101034	1	30	-88	-88	-88	88
R28YRS	ET101035	1	30	-88	-88	-88	88
R28YRS	ET101036	1	30	0	3	370	2
R28YRS	ET101037	1	30	-88	-88	-88	88
R28YRS	ET101038	1	30	-88	-88	-88	88
R28YRS	ET101039	1	22	10	0	-88	90
R28YRS	ET101040	1	15	0	4	70	3
R28YRS	ET101041	1	15	0	2	70	1
R28YRS	ET101041	2	19	0	1	30	1
R28YRS	ET101042	1	30	-88	-88	-88	88
R28YRS	ET101043	1	1	2	0	-88	90
R28YRS	ET101044	1	30	-88	-88	-88	88
R28YRS	ET101045	1	13	0	10	407	1
R28YRS	ET101046	1	30	0	3	60	80
R28YRS	ET101047	1	30	-88	-88	-88	88
R28YRS	ET101050	1	30	-88	-88	-88	88
R28YRS	ET111001	1	1	0	6	125	80
R28YRS	ET111001	2	4	0	2	95	1
R28YRS	ET111002	1	15	0	8	120	1
R28YRS	ET111003	1	1	0	11	280	1
R28YRS	ET111004	1	1	0	6	300	80
R28YRS	ET111004	2	30	0	3	170	80
R28YRS	ET111005	1	1	0	6	120	80
R28YRS	ET111005	2	4	0	2	95	1
R28YRS	ET111006	1	15	0	10	300	4
R28YRS	ET111007	1	1	0	7	334	1
R28YRS	ET111008	1	1	0	6	134	80
R28YRS	ET111009	1	1	0	23	300	80
R28YRS	ET111010	1	1	0	7	156	80
R28YRS	ET111011	1	1	0	6	100	1
R28YRS	ET111012	1	16	1	0	-88	90
R28YRS	ET111013	1	1	0	12	340	1
R28YRS	ET111015	1	1	0	6	100	80
R28YRS	ET111016	1	1	0	9	100	80
R28YRS	ET111017	1	13	0	2	140	1
R28YRS	ET111018	1	1	0	6	90	1
R28YRS	ET111019	1	1	0	13	105	80
R28YRS	ET111020	1	1	0	5	320	80
R28YRS	ET111021	1	1	0	12	180	1
R28YRS	ET111022	1	16	1	0	-88	90
R28YRS	ET111022	2	20	0	2	135	1
R28YRS	ET111023	1	1	0	25	500	1
R28YRS	ET111024	1	1	0	8	300	1
R28YRS	ET111025	1	1	4	7	117	80
R28YRS	ET111027	1	30	0	-88	-77	88
R28YRS	ET111028	1	30	-88	-88	-88	88
R28YRS	ET111029	1	1	0	20	200	1
R28YRS	ET111030	1	1	0	6	111	80
R28YRS	ET111031	1	1	0	23	450	80
R28YRS	ET111032	1	1	0	19	315	80
R28YRS	ET111034	1	1	0	12	425	80
R28YRS	ET111035	1	30	0	1	-88	1
R28YRS	ET111036	1	1	0	12	260	3
R28YRS	ET111037	1	1	0	43	1167	1
R28YRS	ET111038	1	1	0	12	180	80
R28YRS	ET111039	1	30	0	7	14	1
R28YRS	ET111040	1	1	0	9	370	1
R28YRS	ET111041	1	30	-88	-88	-88	88
R28YRS	ET111042	1	1	0	7	110	80
R28YRS	ET111043	1	1	0	19	315	80
R28YRS	ET111044	1	30	0	8	16	1
R28YRS	ET111045	1	13	0	4	225	80
R28YRS	ET111046	1	1	1	6	90	1
R28YRS	ET111047	1	1	0	22	432	1
R28YRS	ET111048	1	1	0	8	110	80
R28YRS	ET121001	1	15	0	6	20	2
R28YRS	ET121002	1	1	0	14	240	1
R28YRS	ET121002	2	4	0	2	20	1
R28YRS	ET121002	3	6	0	2	100	1
R28YRS	ET121004	1	1	0	7	16	80
R28YRS	ET121004	2	4	0	1	15	80
R28YRS	ET121005	1	1	0	3	70	1
R28YRS	ET121005	2	4	1	0	-88	88
R28YRS	ET121005	3	6	0	1	20	1
R28YRS	ET121007	1	4	0	1	15	2
R28YRS	ET121007	2	1	0	4	15	2
R28YRS	ET121007	3	6	2	1	5	2
R28YRS	ET121008	1	15	0	12	285	2
R28YRS	ET121009	1	4	0	1	60	80
R28YRS	ET121009	2	1	0	8	310	80
R28YRS	ET121009	3	6	0	1	6	80
R28YRS	ET121010	1	1	5	5	50	1
R28YRS	ET121010	2	4	2	2	10	1
R28YRS	ET121010	3	6	6	0	3	1
R28YRS	ET121011	1	1	0	6	80	1
R28YRS	ET121011	2	4	0	2	20	1
R28YRS	ET121011	3	6	3	2	5	1
R28YRS	ET121012	1	1	0	3	20	1
R28YRS	ET121012	2	4	0	1	15	1
R28YRS	ET121013	1	1	1	6	70	1
R28YRS	ET121013	2	4	1	1	15	1
R28YRS	ET121013	3	6	1	2	20	1
R28YRS	ET121014	1	1	0	5	94	1
R28YRS	ET121015	1	1	0	5	60	1
R28YRS	ET121015	2	4	0	1	20	1
R28YRS	ET121017	1	1	0	1	5	1
R28YRS	ET121017	2	4	0	1	12	0
R28YRS	ET121017	3	6	0	1	10	0
R28YRS	ET121018	1	2	0	3	40	1
R28YRS	ET121018	2	6	1	0	-88	88
R28YRS	ET121018	3	4	0	1	20	1
R28YRS	ET121020	1	1	0	6	100	1
R28YRS	ET121020	2	4	0	2	20	1
