CHILDCODE	GRPIDR4	HHMEMR4	GROUPR4	LEADMR4	BENFTR41	BENFTR42	BENFTR43
10001	1	3	26	0	5	12	88
10001	2	88	 	 	 	 	 
10001	3	88	 	 	 	 	 
10002	1	1	26	0	5	13	88
10002	2	88	 	 	 	 	 
10002	3	88	 	 	 	 	 
10004	1	2	26	0	5	12	88
10004	2	88	 	 	 	 	 
10004	3	88	 	 	 	 	 
10005	1	1	26	0	5	12	88
10005	2	88	 	 	 	 	 
10005	3	88	 	 	 	 	 
10006	1	1	26	0	6	5	88
10006	2	88	 	 	 	 	 
10006	3	88	 	 	 	 	 
10007	1	4	26	0	5	12	88
10007	2	88	 	 	 	 	 
10007	3	88	 	 	 	 	 
10008	1	1	26	1	5	3	88
10008	2	1	35	0	4	12	88
10008	3	88	 	 	 	 	 
10009	1	1	26	0	6	5	88
10009	2	88	 	 	 	 	 
10009	3	88	 	 	 	 	 
10010	1	2	26	0	5	12	88
10010	2	88	 	 	 	 	 
10010	3	88	 	 	 	 	 
10011	1	1	26	0	6	5	88
10011	2	2	26	0	6	5	88
10011	3	88	 	 	 	 	 
10012	1	2	6	1	3	5	88
10012	2	2	26	0	5	13	88
10012	3	88	 	 	 	 	 
10014	1	1	26	0	5	12	13
10014	2	2	31	0	3	1	12
10014	3	88	 	 	 	 	 
10015	1	1	26	0	5	6	88
10015	2	2	33	0	12	4	6
10015	3	88	 	 	 	 	 
10016	1	3	26	0	5	13	88
10016	2	88	 	 	 	 	 
10016	3	88	 	 	 	 	 
10017	1	1	26	0	5	12	88
10017	2	88	 	 	 	 	 
10017	3	88	 	 	 	 	 
10018	1	 	 	 	 	 	 
10018	2	 	 	 	 	 	 
10018	3	 	 	 	 	 	 
10020	1	17	26	0	5	12	88
10020	2	88	 	 	 	 	 
10020	3	88	 	 	 	 	 
10021	1	1	31	0	3	12	88
10021	2	88	 	 	 	 	 
10021	3	88	 	 	 	 	 
10022	1	6	26	0	5	12	88
10022	2	88	 	 	 	 	 
10022	3	88	 	 	 	 	 
10023	1	 	 	 	 	 	 
10023	2	 	 	 	 	 	 
10023	3	 	 	 	 	 	 
10024	1	10	26	0	5	12	88
10024	2	88	 	 	 	 	 
10024	3	88	 	 	 	 	 
10025	1	2	26	0	5	6	88
10025	2	88	 	 	 	 	 
10025	3	88	 	 	 	 	 
10026	1	1	26	0	5	12	88
10026	2	1	35	0	4	12	88
10026	3	88	 	 	 	 	 
10028	1	 	 	 	 	 	 
10028	2	 	 	 	 	 	 
10028	3	 	 	 	 	 	 
10029	1	 	 	 	 	 	 
10029	2	 	 	 	 	 	 
10029	3	 	 	 	 	 	 
10030	1	4	26	0	5	12	88
10030	2	88	 	 	 	 	 
10030	3	88	 	 	 	 	 
10031	1	1	26	1	5	12	88
10031	2	2	35	0	12	77	88
10031	3	88	 	 	 	 	 
10032	1	3	26	1	5	6	88
10032	2	7	26	0	6	5	88
10032	3	88	 	 	 	 	 
10033	1	1	25	0	5	13	88
10033	2	3	31	0	3	5	88
10033	3	3	35	0	4	12	88
10035	1	 	 	 	 	 	 
10035	2	 	 	 	 	 	 
10035	3	 	 	 	 	 	 
10036	1	 	 	 	 	 	 
10036	2	 	 	 	 	 	 
10036	3	 	 	 	 	 	 
10037	1	1	26	0	5	13	88
10037	2	2	18	1	14	12	88
10037	3	88	 	 	 	 	 
10038	1	2	26	1	6	5	88
10038	2	88	 	 	 	 	 
10038	3	88	 	 	 	 	 
10040	1	1	26	0	5	12	88
10040	2	1	31	0	3	5	88
10040	3	88	 	 	 	 	 
10041	1	2	26	1	5	6	88
10041	2	88	 	 	 	 	 
10041	3	88	 	 	 	 	 
10042	1	1	26	0	5	12	88
10042	2	2	26	0	5	12	88
10042	3	88	 	 	 	 	 
10043	1	1	26	0	5	13	12
10043	2	88	 	 	 	 	 
10043	3	88	 	 	 	 	 
10044	1	2	26	0	5	12	88
10044	2	88	 	 	 	 	 
10044	3	88	 	 	 	 	 
10045	1	2	26	0	5	12	88
10045	2	88	 	 	 	 	 
10045	3	88	 	 	 	 	 
10046	1	1	26	0	5	12	88
10046	2	2	26	0	5	12	88
10046	3	88	 	 	 	 	 
10048	1	 	 	 	 	 	 
10048	2	 	 	 	 	 	 
10048	3	 	 	 	 	 	 
10049	1	1	26	0	6	12	88
10049	2	88	 	 	 	 	 
10049	3	88	 	 	 	 	 
10050	1	0	35	1	4	12	88
10050	2	80	28	0	11	88	88
10050	3	88	 	 	 	 	 
10051	1	1	26	0	5	13	12
10051	2	2	26	0	5	12	88
10051	3	88	 	 	 	 	 
10052	1	2	26	1	5	12	88
10052	2	88	 	 	 	 	 
10052	3	88	 	 	 	 	 
10053	1	5	26	0	5	6	88
10053	2	88	 	 	 	 	 
10053	3	88	 	 	 	 	 
10055	1	6	18	0	14	13	88
10055	2	6	33	0	4	13	88
10055	3	88	 	 	 	 	 
10056	1	8	26	0	6	5	88
10056	2	88	 	 	 	 	 
10056	3	88	 	 	 	 	 
10057	1	2	26	0	5	13	12
10057	2	2	33	0	12	4	88
10057	3	88	 	 	 	 	 
10059	1	1	26	0	5	12	88
10059	2	88	 	 	 	 	 
10059	3	88	 	 	 	 	 
10060	1	2	26	1	5	6	88
10060	2	88	 	 	 	 	 
10060	3	88	 	 	 	 	 
10061	1	2	26	0	5	12	88
10061	2	88	 	 	 	 	 
10061	3	88	 	 	 	 	 
10062	1	1	26	1	5	12	88
10062	2	88	 	 	 	 	 
10062	3	88	 	 	 	 	 
10063	1	10	26	0	6	5	88
10063	2	88	 	 	 	 	 
10063	3	88	 	 	 	 	 
10064	1	1	26	0	5	12	88
10064	2	1	23	0	3	12	88
10064	3	88	 	 	 	 	 
10065	1	1	26	0	5	14	88
10065	2	88	 	 	 	 	 
10065	3	88	 	 	 	 	 
10066	1	2	26	0	5	6	88
10066	2	88	 	 	 	 	 
10066	3	88	 	 	 	 	 
10067	1	1	26	0	5	12	88
10067	2	2	33	0	3	4	88
10067	3	88	 	 	 	 	 
10068	1	2	35	0	4	13	88
10068	2	88	 	 	 	 	 
10068	3	88	 	 	 	 	 
10069	1	6	26	0	5	13	12
10069	2	20	26	0	5	13	88
10069	3	88	 	 	 	 	 
10070	1	1	26	0	6	5	88
10070	2	1	33	0	4	5	88
10070	3	88	 	 	 	 	 
10071	1	3	26	0	5	12	88
10071	2	88	 	 	 	 	 
10071	3	88	 	 	 	 	 
10072	1	4	26	0	12	6	5
10072	2	88	 	 	 	 	 
10072	3	88	 	 	 	 	 
10073	1	1	26	0	5	12	88
10073	2	88	 	 	 	 	 
10073	3	88	 	 	 	 	 
10074	1	5	26	0	5	6	88
10074	2	88	 	 	 	 	 
10074	3	88	 	 	 	 	 
10075	1	2	26	0	6	7	88
10075	2	88	 	 	 	 	 
10075	3	88	 	 	 	 	 
10076	1	1	26	0	5	6	88
10076	2	1	35	0	4	13	88
10076	3	2	35	0	4	10	88
10077	1	1	26	0	5	12	88
10077	2	88	 	 	 	 	 
10077	3	88	 	 	 	 	 
10079	1	2	26	0	5	13	88
10079	2	88	 	 	 	 	 
10079	3	88	 	 	 	 	 
10080	1	 	 	 	 	 	 
10080	2	 	 	 	 	 	 
10080	3	 	 	 	 	 	 
10081	1	2	26	0	5	12	88
10081	2	3	26	0	5	12	88
10081	3	88	 	 	 	 	 
10082	1	1	26	0	5	6	88
10082	2	88	 	 	 	 	 
10082	3	88	 	 	 	 	 
10083	1	2	26	1	5	6	88
10083	2	1	35	0	4	12	88
10083	3	88	 	 	 	 	 
10084	1	1	26	0	5	12	88
10084	2	3	26	0	5	12	88
10084	3	88	 	 	 	 	 
10085	1	1	35	0	4	13	88
10085	2	2	35	0	4	12	88
10085	3	88	 	 	 	 	 
10086	1	2	26	0	5	12	88
10086	2	88	 	 	 	 	 
10086	3	88	 	 	 	 	 
10087	1	2	26	0	5	6	88
10087	2	88	 	 	 	 	 
10087	3	88	 	 	 	 	 
10088	1	1	26	0	6	13	88
10088	2	88	 	 	 	 	 
10088	3	88	 	 	 	 	 
10089	1	1	26	0	5	12	88
10089	2	88	 	 	 	 	 
10089	3	88	 	 	 	 	 
10090	1	1	26	0	5	13	88
10090	2	4	11	0	3	4	88
10090	3	88	 	 	 	 	 
10091	1	1	26	0	5	12	88
10091	2	2	26	1	6	12	88
10091	3	88	 	 	 	 	 
10092	1	 	 	 	 	 	 
10092	2	 	 	 	 	 	 
10092	3	 	 	 	 	 	 
10093	1	 	 	 	 	 	 
10093	2	 	 	 	 	 	 
10093	3	 	 	 	 	 	 
10094	1	1	26	0	5	12	88
10094	2	2	26	0	5	12	88
10094	3	88	 	 	 	 	 
10095	1	1	26	0	5	12	88
10095	2	2	26	0	5	12	88
10095	3	88	 	 	 	 	 
10096	1	2	26	0	5	12	88
10096	2	88	 	 	 	 	 
10096	3	88	 	 	 	 	 
10097	1	 	 	 	 	 	 
10097	2	 	 	 	 	 	 
10097	3	 	 	 	 	 	 
10098	1	1	26	0	5	12	88
10098	2	88	 	 	 	 	 
10098	3	88	 	 	 	 	 
10099	1	0	26	0	5	12	88
10099	2	88	 	 	 	 	 
10099	3	88	 	 	 	 	 
10100	1	1	26	0	5	14	88
10100	2	1	23	0	4	12	88
10100	3	88	 	 	 	 	 
20001	1	2	26	0	5	12	13
20001	2	88	 	 	 	 	 
20001	3	88	 	 	 	 	 
20002	1	2	26	1	5	12	13
20002	2	88	 	 	 	 	 
20002	3	88	 	 	 	 	 
20003	1	1	26	0	5	13	12
20003	2	88	 	 	 	 	 
20003	3	88	 	 	 	 	 
20004	1	4	26	0	5	12	13
20004	2	1	26	0	5	13	12
20004	3	1	31	0	3	12	88
20005	1	3	26	0	5	13	4
20005	2	1	26	0	5	12	13
20005	3	88	 	 	 	 	 
20007	1	1	26	0	5	14	13
20007	2	2	26	0	5	13	14
20007	3	4	26	0	5	13	14
20008	1	1	26	1	5	14	4
20008	2	2	26	0	5	13	12
20008	3	88	 	 	 	 	 
20011	1	2	26	0	5	12	13
20011	2	1	18	0	14	13	88
20011	3	88	 	 	 	 	 
20012	1	9	26	0	5	12	13
20012	2	88	 	 	 	 	 
20012	3	88	 	 	 	 	 
20013	1	2	26	0	5	6	13
20013	2	1	26	0	5	6	13
20013	3	2	10	1	6	7	4
20014	1	1	26	1	6	5	88
20014	2	88	 	 	 	 	 
20014	3	88	 	 	 	 	 
20015	1	2	26	0	5	13	6
20015	2	88	 	 	 	 	 
20015	3	88	 	 	 	 	 
20016	1	7	26	0	5	13	88
20016	2	88	 	 	 	 	 
20016	3	88	 	 	 	 	 
20017	1	1	26	0	5	13	88
20017	2	88	 	 	 	 	 
20017	3	88	 	 	 	 	 
20018	1	3	26	0	5	13	88
20018	2	3	18	0	14	13	88
20018	3	88	 	 	 	 	 
20019	1	2	26	0	5	13	88
20019	2	1	26	0	5	13	88
20019	3	1	18	0	14	13	88
20020	1	1	26	0	5	13	12
20020	2	1	18	0	12	14	5
20020	3	88	 	 	 	 	 
20022	1	2	26	0	5	13	12
20022	2	2	31	0	3	12	88
20022	3	88	 	 	 	 	 
20023	1	2	26	0	5	6	13
20023	2	1	26	0	5	6	13
20023	3	88	 	 	 	 	 
20024	1	7	26	0	5	6	13
20024	2	7	35	0	6	4	13
20024	3	8	26	0	5	6	13
20025	1	3	26	0	5	13	6
20025	2	3	23	0	4	6	12
20025	3	2	26	0	5	13	6
20026	1	2	26	0	5	6	13
20026	2	1	18	0	5	14	12
20026	3	88	 	 	 	 	 
20027	1	4	26	0	5	13	6
20027	2	2	26	0	5	13	6
20027	3	2	28	0	6	13	12
20028	1	8	26	0	5	13	12
20028	2	88	 	 	 	 	 
20028	3	88	 	 	 	 	 
20029	1	1	26	0	5	13	12
20029	2	3	35	0	4	6	12
20029	3	4	35	0	4	6	12
20030	1	2	26	0	5	6	13
20030	2	1	26	0	5	6	13
20030	3	1	25	0	12	3	88
20031	1	 	 	 	 	 	 
20031	2	 	 	 	 	 	 
20031	3	 	 	 	 	 	 
20032	1	1	26	0	5	14	12
20032	2	2	26	0	5	12	14
20032	3	88	 	 	 	 	 
20033	1	1	26	1	5	12	13
20033	2	88	 	 	 	 	 
20033	3	88	 	 	 	 	 
20034	1	2	26	0	5	12	13
20034	2	2	10	0	4	6	12
20034	3	0	37	0	4	7	12
20035	1	1	26	0	5	12	13
20035	2	2	26	0	5	13	12
20035	3	2	36	1	5	13	12
20036	1	1	26	1	5	13	12
20036	2	2	26	1	5	13	12
20036	3	2	31	1	3	1	88
20037	1	1	26	0	5	12	13
20037	2	88	 	 	 	 	 
20037	3	88	 	 	 	 	 
20038	1	3	26	0	5	6	13
20038	2	88	 	 	 	 	 
20038	3	88	 	 	 	 	 
20039	1	2	26	0	5	12	13
20039	2	8	35	0	4	12	6
20039	3	88	 	 	 	 	 
20040	1	5	26	0	5	13	12
20040	2	88	 	 	 	 	 
20040	3	88	 	 	 	 	 
20041	1	2	26	0	5	13	12
20041	2	1	26	0	5	13	12
20041	3	0	37	1	4	6	2
20042	1	1	26	0	5	13	88
20042	2	88	 	 	 	 	 
20042	3	88	 	 	 	 	 
20043	1	4	26	0	5	4	13
20043	2	4	33	0	3	12	6
20043	3	5	26	0	5	13	14
20044	1	16	26	0	5	12	13
20044	2	88	 	 	 	 	 
20044	3	88	 	 	 	 	 
20045	1	2	26	1	5	4	13
20045	2	1	26	0	5	12	13
20045	3	88	 	 	 	 	 
20046	1	2	26	0	5	6	12
20046	2	1	35	0	6	4	13
20046	3	1	26	0	5	12	6
20047	1	1	26	1	5	12	13
20047	2	2	26	1	5	12	13
20047	3	2	18	0	14	12	88
20048	1	1	26	0	5	6	13
20048	2	1	31	0	3	1	12
20048	3	0	18	0	13	4	12
20049	1	1	26	0	5	13	12
20049	2	2	26	0	5	13	12
20049	3	2	21	0	5	12	4
20050	1	2	26	1	5	13	12
20050	2	2	18	0	14	13	5
20050	3	1	26	0	5	12	13
20051	1	3	26	0	5	13	12
20051	2	88	 	 	 	 	 
20051	3	88	 	 	 	 	 
20052	1	3	26	0	5	12	6
20052	2	6	26	0	5	12	6
20052	3	3	31	0	1	3	5
20053	1	1	26	1	5	12	13
20053	2	88	 	 	 	 	 
20053	3	88	 	 	 	 	 
20054	1	4	26	1	5	13	88
20054	2	5	11	1	3	1	88
20054	3	80	18	0	4	6	12
20055	1	1	26	0	5	13	12
20055	2	88	 	 	 	 	 
20055	3	88	 	 	 	 	 
20056	1	1	26	0	5	13	88
20056	2	88	 	 	 	 	 
20056	3	88	 	 	 	 	 
20058	1	1	26	0	5	12	13
20058	2	88	 	 	 	 	 
20058	3	88	 	 	 	 	 
20059	1	 	 	 	 	 	 
20059	2	 	 	 	 	 	 
20059	3	 	 	 	 	 	 
20060	1	1	26	1	5	12	13
20060	2	2	26	0	5	13	12
20060	3	1	31	1	3	12	88
20061	1	2	26	1	5	13	12
20061	2	88	 	 	 	 	 
20061	3	88	 	 	 	 	 
20062	1	2	26	1	5	4	13
20062	2	1	26	0	5	13	12
20062	3	88	 	 	 	 	 
20064	1	4	26	1	5	12	13
20064	2	88	 	 	 	 	 
20064	3	88	 	 	 	 	 
20065	1	2	26	1	5	12	13
20065	2	88	 	 	 	 	 
20065	3	88	 	 	 	 	 
20066	1	2	26	0	5	13	88
20066	2	5	26	0	5	13	88
20066	3	88	 	 	 	 	 
20067	1	2	26	0	5	13	88
20067	2	88	 	 	 	 	 
20067	3	88	 	 	 	 	 
20068	1	2	26	0	5	13	14
20068	2	1	26	0	5	4	12
20068	3	88	 	 	 	 	 
20070	1	3	35	0	1	4	6
20070	2	3	26	0	5	12	6
20070	3	9	35	0	1	4	6
20071	1	2	26	0	5	13	12
20071	2	1	26	1	5	13	12
20071	3	2	31	0	3	1	88
20072	1	1	26	0	5	13	88
20072	2	2	26	0	5	13	88
20072	3	1	18	1	13	7	14
20073	1	1	26	0	5	12	13
20073	2	2	26	0	5	13	12
20073	3	88	 	 	 	 	 
20074	1	1	26	0	5	12	13
20074	2	1	18	0	14	5	12
20074	3	88	 	 	 	 	 
20075	1	 	 	 	 	 	 
20075	2	 	 	 	 	 	 
20075	3	 	 	 	 	 	 
20076	1	13	26	0	5	13	88
20076	2	88	 	 	 	 	 
20076	3	88	 	 	 	 	 
20077	1	1	26	0	5	12	13
20077	2	1	31	0	3	12	88
20077	3	88	 	 	 	 	 
20078	1	1	23	1	1	3	13
20078	2	1	26	0	5	6	12
20078	3	7	26	0	5	6	12
20079	1	2	26	0	5	12	13
20079	2	2	11	0	1	3	5
20079	3	1	35	0	12	13	6
20080	1	2	26	1	5	13	12
20080	2	16	26	0	5	13	12
20080	3	2	22	1	5	12	88
20081	1	0	26	0	5	13	12
20081	2	88	 	 	 	 	 
20081	3	88	 	 	 	 	 
20082	1	1	26	0	5	12	13
20082	2	88	 	 	 	 	 
20082	3	88	 	 	 	 	 
20083	1	1	26	0	5	6	13
20083	2	88	 	 	 	 	 
20083	3	88	 	 	 	 	 
20084	1	1	26	0	5	12	13
20084	2	2	26	1	5	12	13
20084	3	2	18	0	14	12	88
20085	1	1	26	0	5	13	88
20085	2	2	26	0	5	13	88
20085	3	88	 	 	 	 	 
20086	1	7	26	0	5	13	4
20086	2	6	26	0	5	12	13
20086	3	88	 	 	 	 	 
20087	1	17	26	0	5	12	88
20087	2	88	 	 	 	 	 
