CHILDCODE	PLOTIDR4	PLTUSER4	SZPLTR4	LUPLTR4	PLTDSCR4	PLTTRNR4	PLTCLLR4	PLTCRTR4	SEENCTR4	PLTINCR4	PLTVINR4	PLTSPTR4	CRPRN1R4	CRPRN2R4	CRPDR1R4	CRPDR2R4	PLTIRRR4	PLTPRIR4
70062	6	5	1500	17	1	2	0	1	N	 	 	 	55	88	88	88	0	 
70062	7	6	5600	17	5	3	0	0	 	1	350	0	 	 	 	 	 	 
70063	1	1	64	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70063	2	5	.119999997317791	2	1	1	0	1	N	 	 	 	5	88	88	88	0	 
70063	3	5	.25	2	1	1	0	1	N	 	 	 	55	88	88	88	0	 
70063	4	5	.129999995231628	2	1	1	0	1	N	 	 	 	43	88	88	88	0	 
70063	5	7	150	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
70064	1	1	72	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
70064	2	5	2	4	1	1	1	1	N	 	 	 	75	55	88	88	0	 
70064	3	5	1	4	1	1	1	1	N	 	 	 	130	88	88	88	0	 
70064	4	5	.5	4	1	1	1	1	N	 	 	 	5	88	88	88	0	 
70064	5	5	1	4	4	0	0	0	 	 	 	 	75	88	88	88	0	 
70064	6	6	.5	4	5	2	0	0	 	1	35	0	 	 	 	 	 	 
70064	7	7	1428	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
70065	1	1	32	17	1	1	0	0	 	 	 	 	 	 	 	 	 	 
70065	2	16	500	17	1	1	0	0	 	 	 	0	64	88	88	88	0	 
70065	3	5	2	4	1	1	0	0	 	 	 	 	60	64	88	88	0	 
70065	4	5	2	4	1	1	0	0	 	 	 	 	60	64	88	88	0	 
70065	5	5	2	4	1	1	0	0	 	 	 	 	8	88	88	88	0	 
70065	6	11	2	4	1	1	0	0	 	0	 	0	 	 	 	 	 	 
70066	1	1	64	17	3	0	0	0	 	 	 	 	 	 	 	 	 	 
70066	2	5	.75	2	3	0	0	0	 	 	 	 	5	55	88	88	0	 
70066	3	5	.379999995231628	2	3	0	0	0	 	 	 	 	75	88	88	88	0	 
70066	4	5	.200000002980232	2	3	0	0	0	 	 	 	 	55	88	88	88	0	 
70066	5	5	.5	2	3	0	0	0	 	 	 	 	35	75	17	27	1	1
70067	1	1	16	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70067	3	7	986	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
70067	4	5	2	4	1	1	0	1	N	 	 	 	5	55	88	88	0	 
70067	5	5	1	4	1	1	0	1	N	 	 	 	130	88	88	88	0	 
70067	6	5	.5	4	1	1	0	1	N	 	 	 	55	88	88	88	0	 
70067	7	5	.5	4	1	1	0	1	N	 	 	 	19	88	88	88	0	 
70067	8	5	.5	4	4	0	0	0	 	 	 	 	125	88	88	88	0	 
70068	1	1	16	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70068	2	7	25	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
70068	3	16	949	17	1	1	0	1	N	 	 	10	21	66	88	88	0	 
70068	4	5	2	4	1	1	0	1	N	 	 	 	75	55	88	88	0	 
70068	5	5	1	4	1	1	0	1	N	 	 	 	19	88	88	88	0	 
70069	1	1	42	17	3	0	0	0	 	 	 	 	 	 	 	 	 	 
70069	2	7	258	17	3	0	0	0	 	 	 	0	 	 	 	 	 	 
70069	4	6	.5	4	1	2	0	1	Y	1	1000	0	 	 	 	 	 	 
70069	5	5	2.5	4	1	2	0	1	Y	 	 	 	55	75	88	88	0	 
70069	6	5	1	4	1	2	0	1	Y	 	 	 	5	88	88	88	0	 
70069	7	5	1.5	4	3	0	0	0	 	 	 	 	43	88	88	88	0	 
70069	8	10	.5	4	1	2	0	1	Y	1	500	0	 	 	 	 	 	 
70069	9	20	150	17	1	2	0	0	 	0	 	0	 	 	 	 	 	 
70069	10	6	50	17	1	2	0	0	 	1	400	0	 	 	 	 	 	 
70069	11	13	2	4	5	3	0	0	 	1	45	0	 	 	 	 	 	 
70070	1	1	42	17	3	0	0	0	 	 	 	 	 	 	 	 	 	 
70070	2	5	2	4	3	0	0	0	 	 	 	 	75	55	88	88	0	 
70070	3	5	1	4	3	0	0	0	 	 	 	 	5	43	88	88	0	 
70070	4	5	1	4	4	0	0	0	 	 	 	 	55	88	88	88	0	 
70070	5	6	.5	4	5	2	0	0	 	1	140	0	 	 	 	 	 	 
70070	6	7	458	4	3	0	0	0	 	 	 	35	 	 	 	 	 	 
70071	1	1	49	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70071	2	7	951	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
70071	3	5	.75	2	1	1	1	1	N	 	 	 	75	88	88	88	0	 
70071	4	5	.5	2	1	1	1	1	N	 	 	 	130	43	88	88	0	 
70071	5	5	.25	2	1	1	1	1	N	 	 	 	5	88	88	88	0	 
70071	6	5	.5	2	4	0	0	0	 	 	 	 	5	43	88	88	0	 
70071	7	5	.25	2	4	0	0	0	 	 	 	 	55	88	88	88	0	 
70072	1	1	16	17	1	1	0	0	 	 	 	 	 	 	 	 	 	 
70072	2	16	484	17	1	1	0	0	 	 	 	150	8	88	88	88	0	 
70072	3	5	.5	4	1	1	0	0	 	 	 	 	75	88	88	88	0	 
70072	4	5	.5	4	1	1	0	0	 	 	 	 	55	88	88	88	0	 
70073	1	1	25	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70073	2	7	125	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
70073	3	6	850	17	1	1	0	1	N	1	1080	120	 	 	 	 	 	 
70073	4	5	1	4	1	1	0	1	N	 	 	 	43	88	88	88	0	 
70073	5	5	1	4	1	1	0	1	N	 	 	 	130	88	88	88	0	 
70073	6	5	1	4	1	1	0	1	N	 	 	 	130	88	88	88	0	 
70073	7	5	1	4	1	1	0	1	N	 	 	 	75	88	88	88	0	 
70073	8	6	91	17	1	1	0	0	 	1	300	0	 	 	 	 	 	 
70073	9	5	1.5	4	4	0	0	0	 	 	 	 	5	88	88	88	0	 
70074	1	1	78	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70074	2	7	40	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
70074	3	16	1000	17	1	1	0	1	N	 	 	100	21	130	88	88	0	 
70074	4	16	780	17	1	1	0	1	N	 	 	100	55	96	88	88	0	 
70074	5	5	4	4	1	1	0	1	N	 	 	 	55	5	88	88	0	 
70074	6	5	2	4	1	1	0	1	N	 	 	 	43	88	88	88	0	 
70075	1	1	36	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
70075	2	5	1	4	1	1	1	0	 	 	 	 	55	88	88	88	0	 
70075	3	5	.5	4	1	1	1	0	 	 	 	 	5	88	88	88	0	 
70075	4	5	.5	4	1	1	1	0	 	 	 	 	75	88	88	88	0	 
70075	5	5	.5	4	4	0	0	0	 	 	 	 	5	88	88	88	0	 
70075	6	5	1	4	4	0	0	0	 	 	 	 	19	88	88	88	0	 
70076	1	1	12	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
70076	2	10	1	4	1	1	1	0	 	1	400	0	 	 	 	 	 	 
70076	3	5	1	4	1	1	1	0	 	 	 	 	75	31	55	88	1	2
70076	4	10	1.5	4	1	1	1	0	 	1	600	0	 	 	 	 	 	 
70076	5	10	.5	4	1	1	1	0	 	1	60	0	 	 	 	 	 	 
70076	7	16	988	17	1	1	1	0	 	 	 	0	55	88	88	88	0	 
70077	1	1	.25	4	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
70077	2	10	2	4	1	1	1	1	Y	1	1800	400	 	 	 	 	 	 
70077	3	10	1	4	1	1	1	1	Y	1	700	390	 	 	 	 	 	 
70077	4	10	.5	4	3	1	1	1	Y	0	 	0	 	 	 	 	 	 
70077	5	16	.5	4	1	1	1	1	Y	 	 	33	55	21	88	88	0	 
70077	6	6	.5	4	1	1	1	1	Y	0	 	60	 	 	 	 	 	 
70078	1	1	56	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
70079	1	1	21	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
70079	2	7	120	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
70079	3	5	2	4	4	0	0	0	 	 	 	 	44	88	88	88	0	 
70079	4	5	2	4	4	0	0	0	 	 	 	 	76	88	88	88	0	 
70079	5	5	2	4	4	0	0	0	 	 	 	 	64	88	88	88	0	 
70080	1	1	50	17	3	0	0	0	 	 	 	 	 	 	 	 	 	 
70080	2	5	1	4	1	1	1	1	N	 	 	 	43	19	88	88	0	 
70080	3	5	1	4	1	1	1	1	N	 	 	 	5	88	88	88	0	 
70080	4	5	2	4	4	0	0	0	 	 	 	 	88	88	55	88	1	4
70080	5	5	1	4	4	0	0	0	 	 	 	 	125	88	88	88	0	 
70080	6	6	.25	4	3	0	0	0	 	0	 	0	 	 	 	 	 	 
70081	1	1	56	17	1	2	1	1	N	 	 	 	 	 	 	 	 	 
70081	2	5	200	17	1	2	1	1	N	 	 	 	55	88	88	88	0	 
70081	3	7	744	17	1	2	1	1	N	 	 	0	 	 	 	 	 	 
70081	4	5	1	4	1	2	1	1	N	 	 	 	43	88	88	88	0	 
70081	5	5	2	4	1	2	1	1	N	 	 	 	75	19	88	88	0	 
70081	6	6	.5	4	5	0	0	0	 	1	300	50	 	 	 	 	 	 
70082	1	1	90	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
70082	2	5	2	4	1	1	1	1	Y	 	 	 	19	75	88	88	0	 
70082	3	5	1	4	1	1	1	1	Y	 	 	 	8	75	88	88	0	 
70082	4	5	.5	4	4	0	0	0	 	 	 	 	75	55	88	88	0	 
70082	5	5	.25	4	4	0	0	0	 	 	 	 	43	88	88	88	0	 
70082	6	5	.5	4	4	0	0	0	 	 	 	 	75	88	88	88	0	 
70082	7	16	900	17	1	1	1	1	Y	 	 	0	55	21	27	10	1	1
70082	9	6	.25	4	5	2	0	0	 	1	100	0	 	 	 	 	 	 
70083	1	1	84	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70083	2	16	400	17	1	1	0	1	N	 	 	200	55	21	88	88	0	 
70083	3	5	2	4	1	1	0	1	N	 	 	 	5	125	88	88	0	 
70083	4	5	2	4	1	1	0	1	N	 	 	 	43	88	88	88	0	 
70083	5	5	1	4	1	1	0	1	N	 	 	 	75	88	88	88	0	 
70083	6	5	2	4	1	1	0	1	N	 	 	 	130	88	88	88	0	 
70083	7	6	.5	4	5	3	0	1	N	1	500	0	 	 	 	 	 	 
70084	1	1	50	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70084	2	5	3	4	1	1	0	1	N	 	 	 	130	125	88	88	0	 
70084	3	7	50	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
70084	4	20	900	17	1	1	0	1	N	1	2000	0	 	 	 	 	 	 
70085	1	1	12	4	2	0	0	0	 	 	 	 	 	 	 	 	 	 
70085	2	5	.180000007152557	4	1	2	1	0	 	 	 	 	5	88	88	88	0	 
70085	3	20	.0599999986588955	4	1	2	1	0	 	1	1300	0	 	 	 	 	 	 
70085	4	5	.5	4	1	2	1	0	 	 	 	 	8	88	88	88	0	 
70085	5	5	1	4	1	2	1	0	 	 	 	 	43	88	88	88	0	 
70086	1	1	20	17	1	2	1	1	Y	 	 	 	 	 	 	 	 	 
70086	2	5	2	4	1	2	1	1	Y	 	 	 	5	43	88	88	0	 
70086	3	5	4	4	1	2	1	1	Y	 	 	 	75	88	88	88	0	 
70086	4	5	2	4	1	2	1	0	 	 	 	 	130	8	88	88	0	 
70086	5	5	2	4	1	2	1	0	 	 	 	 	19	88	88	88	0	 
70086	6	5	1	4	4	0	0	0	 	 	 	 	43	88	88	88	0	 
70086	7	16	1	4	1	2	1	1	N	 	 	200	55	88	88	88	0	 
70087	1	1	15	17	3	0	0	0	 	 	 	 	 	 	 	 	 	 
70087	2	10	3	4	5	2	1	1	N	1	1200	0	 	 	 	 	 	 
70087	3	10	4	4	1	2	1	1	N	1	600	0	 	 	 	 	 	 
70087	4	10	1	4	1	2	1	0	 	1	350	0	 	 	 	 	 	 
70087	5	10	1	4	1	2	1	0	 	1	800	0	 	 	 	 	 	 
70087	6	20	.5	4	1	2	0	0	 	0	 	0	 	 	 	 	 	 
70087	7	10	.5	4	1	2	1	1	N	1	525	0	 	 	 	 	 	 
70088	1	1	35	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
70088	2	5	465	17	1	1	1	1	N	 	 	 	55	50	10	88	1	1
70088	3	5	.5	2	1	2	1	1	N	 	 	 	130	125	88	88	0	 
70088	4	5	.5	2	1	1	1	1	N	 	 	 	55	43	88	88	0	 
70088	5	5	.25	2	1	1	1	1	N	 	 	 	5	88	88	88	0	 
70089	1	1	22	17	1	2	1	0	 	 	 	 	 	 	 	 	 	 
70089	2	10	1	4	1	1	1	1	Y	1	1200	0	 	 	 	 	 	 
70089	3	10	.5	4	1	1	1	1	Y	1	200	0	 	 	 	 	 	 
70089	4	10	.5	4	1	1	1	1	Y	1	260	0	 	 	 	 	 	 
70089	5	10	1.5	4	1	1	1	1	Y	1	680	0	 	 	 	 	 	 
70089	6	10	.5	4	1	1	1	1	Y	1	90	0	 	 	 	 	 	 
70089	7	10	.5	4	3	1	1	1	Y	0	 	0	 	 	 	 	 	 
70089	8	16	.5	4	1	1	1	0	 	 	 	0	5	88	88	88	0	 
70090	1	1	36	17	1	2	0	1	N	 	 	 	 	 	 	 	 	 
70090	2	20	.25	4	1	2	0	1	N	1	800	0	 	 	 	 	 	 
70090	3	5	1	4	1	2	1	1	N	 	 	 	130	19	88	88	0	 
70090	4	5	.5	4	1	2	1	1	N	 	 	 	5	88	88	88	0	 
70091	1	1	.119999997317791	4	1	2	1	1	Y	 	 	 	 	 	 	 	 	 
70091	2	20	.119999997317791	4	1	2	1	1	Y	1	3000	0	 	 	 	 	 	 
70091	3	5	.25	4	1	2	1	1	Y	 	 	 	125	75	88	88	0	 
70091	4	5	.5	4	1	2	1	1	Y	 	 	 	55	43	88	88	0	 
70091	5	5	.5	4	4	0	0	0	 	 	 	 	55	88	88	88	0	 
70091	6	20	.5	4	5	0	0	0	 	0	 	0	 	 	 	 	 	 
70091	7	5	.25	4	1	2	1	1	Y	 	 	 	75	88	88	88	0	 
70092	1	1	48	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
70092	2	10	2	4	1	1	1	1	Y	1	800	0	 	 	 	 	 	 
70092	3	10	1.5	4	1	1	1	1	Y	1	450	0	 	 	 	 	 	 
70092	4	10	1	4	1	1	1	1	Y	1	400	0	 	 	 	 	 	 
70092	5	6	150	17	5	0	0	0	 	1	200	0	 	 	 	 	 	 
70094	1	1	16	17	3	0	0	0	 	 	 	 	 	 	 	 	 	 
70094	2	16	450	17	3	0	0	0	 	 	 	0	21	96	88	88	0	 
70094	3	6	.25	4	3	0	0	0	 	1	500	0	 	 	 	 	 	 
70094	4	5	.5	4	4	0	0	0	 	 	 	 	130	88	88	88	0	 
70094	5	5	.5	4	1	1	0	1	N	 	 	 	130	88	88	88	0	 
70094	6	5	1.5	4	4	0	0	0	 	 	 	 	125	88	88	88	0	 
70094	7	7	34	17	3	0	0	0	 	 	 	0	 	 	 	 	 	 
70096	1	1	25	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
70096	2	5	1	4	1	1	1	1	N	 	 	 	125	88	88	88	0	 
70096	3	5	1	4	1	1	1	1	N	 	 	 	43	88	88	88	0	 
70096	4	5	1	4	1	1	1	1	N	 	 	 	130	88	88	88	0	 
70097	1	1	42	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
70097	2	5	1	4	1	1	1	1	Y	 	 	 	130	19	88	88	0	 
70097	3	10	1	4	1	1	1	1	Y	1	560	0	 	 	 	 	 	 
70097	4	5	1	4	1	1	1	1	Y	 	 	 	43	31	88	88	0	 
70097	5	10	1	4	1	1	1	1	Y	1	1000	0	 	 	 	 	 	 
70097	6	5	1	4	1	1	1	1	Y	 	 	 	75	21	88	88	0	 
70097	7	6	.5	4	5	1	1	0	 	1	400	0	 	 	 	 	 	 
70097	8	16	958	17	1	1	1	1	Y	 	 	150	27	21	88	88	0	 
70098	1	1	13	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70098	2	16	487	17	1	1	0	1	N	 	 	12	21	88	88	88	0	 
70098	3	10	1	4	1	1	0	1	N	1	800	0	 	 	 	 	 	 
70098	4	10	.25	4	1	1	0	1	N	1	200	0	 	 	 	 	 	 
70098	5	10	1	4	1	1	0	1	N	0	 	0	 	 	 	 	 	 
70098	6	6	.25	4	1	1	0	1	N	1	500	0	 	 	 	 	 	 
70098	7	10	.5	4	1	1	0	1	N	1	350	0	 	 	 	 	 	 
70098	8	10	.5	4	1	1	0	1	N	1	400	0	 	 	 	 	 	 
70099	1	1	30	17	1	1	0	1	N	 	 	 	 	 	 	 	 	 
70099	2	7	50	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
70099	3	16	420	17	1	1	0	1	N	 	 	0	21	88	88	88	0	 
70099	4	5	2	4	1	1	0	1	N	 	 	 	55	75	88	88	0	 
70099	5	5	2	4	1	1	0	1	N	 	 	 	43	130	88	88	0	 
70099	6	5	1	4	1	1	0	1	N	 	 	 	5	88	88	88	0	 
70099	7	6	.25	4	1	1	0	1	N	1	1330	0	 	 	 	 	 	 
70100	1	1	30	17	3	0	0	0	 	 	 	 	 	 	 	 	 	 
70100	2	5	.25	4	3	0	0	0	 	 	 	 	130	21	88	88	0	 
70100	3	5	.25	4	3	0	0	0	 	 	 	 	5	88	88	88	0	 
70100	4	5	1.5	4	4	0	0	0	 	 	 	 	55	130	88	88	0	 
70100	5	5	1	4	4	0	0	0	 	 	 	 	43	88	88	88	0	 
70100	6	16	20	17	3	0	0	0	 	 	 	0	10	88	88	88	0	 
80001	1	1	50	17	1	1	0	1	Y	 	 	 	 	 	 	 	 	 
80001	2	5	1400	17	1	1	0	1	Y	 	 	 	44	88	88	88	0	 
80001	3	5	1600	17	1	1	0	1	Y	 	 	 	75	88	88	88	0	 
80001	4	5	1.5	5	4	1	0	1	Y	 	 	 	44	88	88	88	0	 
80001	5	5	1.5	5	4	1	0	1	Y	 	 	 	44	88	88	88	0	 
80002	1	1	50	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80002	2	8	130	17	1	1	1	1	Y	1	8400	0	 	 	 	 	 	 
80002	3	7	10	17	1	0	1	1	Y	 	 	0	 	 	 	 	 	 
80002	4	5	1	5	2	0	0	0	 	 	 	 	76	88	88	88	0	 
80003	1	1	100	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80003	2	7	20	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
80003	3	5	3.5	5	1	1	1	1	N	 	 	 	44	76	88	88	0	 
80003	4	5	200	17	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80004	1	1	20	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
80004	2	7	256	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
80004	3	5	724	17	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80004	4	5	1	5	1	1	1	1	N	 	 	 	44	56	88	88	0	 
80005	1	1	40	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80005	2	7	80	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
80005	3	10	1	5	1	1	1	1	Y	1	1000	0	 	 	 	 	 	 
80006	1	1	40	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
80006	2	20	60	17	1	1	1	1	N	0	 	0	 	 	 	 	 	 
80006	3	8	8	17	1	1	1	1	N	1	1000	0	 	 	 	 	 	 
80006	4	5	300	17	1	1	1	1	N	 	 	 	44	130	50	88	1	2
80006	5	9	80	17	1	1	1	1	N	1	2400	800	 	 	 	 	 	 
80006	6	5	1.5	5	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80006	7	5	1	5	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80006	8	5	1.5	5	1	1	1	1	N	 	 	 	76	35	88	88	0	 
80007	1	1	40	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
80007	2	7	250	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
80007	3	13	16	17	1	1	1	1	N	0	 	0	 	 	 	 	 	 
80007	4	5	.5	5	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80007	5	5	3.5	5	1	1	1	1	N	 	 	 	44	35	88	88	0	 
80008	1	1	50	17	1	2	1	0	 	 	 	 	 	 	 	 	 	 
80008	2	5	1	5	1	1	1	0	 	 	 	 	8	88	88	88	0	 
80008	3	5	.5	5	1	1	1	0	 	 	 	 	8	88	88	88	0	 
80008	4	5	.5	5	1	1	1	0	 	 	 	 	8	88	88	88	0	 
80008	5	5	1	5	4	0	0	0	 	 	 	 	75	88	88	88	0	 
80008	6	5	1	5	4	0	0	0	 	 	 	 	5	88	88	88	0	 
80008	7	8	350	17	1	1	1	1	N	1	7200	0	 	 	 	 	 	 
80008	8	7	50	17	1	2	1	0	 	 	 	0	 	 	 	 	 	 
80009	1	1	200	17	1	1	0	1	Y	 	 	 	 	 	 	 	 	 
80009	2	5	.5	5	1	2	0	1	Y	 	 	 	44	88	88	88	0	 
80009	3	5	1	5	1	1	0	1	Y	 	 	 	44	88	88	88	0	 
80010	1	1	20	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
80010	2	7	80	17	1	1	1	0	 	 	 	0	 	 	 	 	 	 
80010	3	5	.5	5	1	1	1	0	 	 	 	 	44	88	88	88	0	 
80010	4	5	.5	5	1	1	1	0	 	 	 	 	8	88	88	88	0	 
80011	1	4	40	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80011	2	13	20	17	1	1	1	1	N	0	 	0	 	 	 	 	 	 
80011	3	7	60	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
80011	4	5	3	5	1	1	1	1	Y	 	 	 	44	5	88	88	0	 
80011	5	5	1	5	1	1	1	1	Y	 	 	 	8	88	88	88	0	 
80011	6	5	10	18	1	1	1	1	Y	 	 	 	44	88	88	88	0	 
80012	1	1	60	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80012	2	7	300	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
80012	3	5	2	5	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80012	4	5	4	5	1	1	1	1	N	 	 	 	75	5	88	88	0	 
80012	5	13	2	5	1	1	1	1	N	0	 	0	 	 	 	 	 	 
80013	1	1	50	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
80013	2	7	50	17	1	1	1	0	 	 	 	0	 	 	 	 	 	 
80013	3	5	2	5	1	1	1	0	 	 	 	 	8	88	88	88	0	 
80013	4	5	1	5	1	1	1	0	 	 	 	 	75	88	88	88	0	 
80013	5	5	1.5	5	4	0	0	77	 	 	 	 	44	88	88	88	0	 
80013	6	5	1	5	4	0	0	77	 	 	 	 	88	88	88	88	0	 
80014	1	1	80	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80014	2	4	40	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80014	3	7	90	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
80014	4	5	.310000002384186	5	1	1	1	1	Y	 	 	 	44	88	88	88	0	 
80014	5	5	1	5	1	1	1	1	Y	 	 	 	44	88	88	88	0	 
80014	6	5	.5	5	1	1	1	1	Y	 	 	 	44	88	88	88	0	 
80014	7	5	1	5	1	1	1	1	Y	 	 	 	35	88	88	88	0	 
80014	8	5	.25	5	1	1	1	1	Y	 	 	 	35	88	88	88	0	 
80015	1	1	24	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80015	2	7	180	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
80015	3	5	.5	5	1	1	1	1	Y	 	 	 	44	88	88	88	0	 
80015	4	20	20	17	1	1	1	1	Y	0	 	0	 	 	 	 	 	 
80015	5	5	1	5	2	0	0	0	 	 	 	 	44	88	88	88	0	 
80015	6	5	1	5	2	0	0	0	 	 	 	 	44	88	88	88	0	 
80016	1	1	25	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80016	2	7	50	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
80016	3	5	25	17	1	1	1	1	Y	 	 	 	44	88	88	88	0	 
80016	4	5	1	5	1	1	1	1	Y	 	 	 	75	88	88	88	0	 
80016	5	5	.5	5	1	1	1	1	Y	 	 	 	8	88	88	88	0	 
80016	6	5	1	5	4	0	0	0	 	 	 	 	35	88	88	88	0	 
80016	7	5	1	5	4	0	0	0	 	 	 	 	76	88	88	88	0	 
80016	8	5	.5	5	1	0	1	0	 	 	 	 	44	88	88	88	0	 
80017	1	1	40	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
80017	2	13	30	17	1	1	1	1	N	1	0	0	 	 	 	 	 	 
80017	3	7	120	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
80017	4	5	3	5	1	1	1	1	N	 	 	 	75	125	88	88	0	 
80017	5	5	2	17	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80017	6	5	600	17	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80018	1	1	36	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
80018	2	13	50	17	1	1	1	1	N	0	 	0	 	 	 	 	 	 
80018	3	7	.25	5	1	1	1	1	N	 	 	0	 	 	 	 	 	 
80018	4	5	3	5	1	1	1	1	N	 	 	 	44	88	88	88	0	 
80018	5	5	2	5	1	1	1	1	N	 	 	 	75	88	50	88	1	4
80018	6	5	1	5	4	0	0	77	 	 	 	 	75	88	88	88	0	 
80018	7	6	.5	5	1	1	1	1	N	0	 	0	 	 	 	 	 	 
80019	1	1	60	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
80019	2	7	180	17	1	1	1	0	 	 	 	0	 	 	 	 	 	 
80019	3	5	560	17	1	1	1	0	 	 	 	 	44	88	88	88	0	 
80019	4	5	2	5	1	0	1	0	 	 	 	 	44	75	88	88	0	 
80019	5	9	2	5	1	0	1	0	 	1	1200	0	 	 	 	 	 	 
80020	1	1	40	17	1	1	0	1	Y	 	 	 	 	 	 	 	 	 
80020	2	7	120	17	1	1	0	1	Y	 	 	0	 	 	 	 	 	 
80020	3	5	840	17	1	1	0	1	Y	 	 	 	44	88	88	88	0	 
80020	4	5	1	5	1	1	0	1	Y	 	 	 	75	88	88	88	0	 
80020	5	5	2	5	1	1	0	1	Y	 	 	 	44	88	88	88	0	 
80020	6	10	1	5	1	1	0	1	Y	1	500	0	 	 	 	 	 	 
80021	1	1	100	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
80021	2	5	.5	5	1	1	1	1	Y	 	 	 	44	88	88	7	0	 
80021	3	5	1	5	1	1	1	1	N	 	 	 	32	76	7	88	1	1
80021	4	5	1	5	1	1	1	1	N	 	 	 	130	88	88	88	0	 
80021	5	5	1	5	1	1	1	1	N	 	 	 	5	88	88	88	0	 
80022	1	1	30	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
80022	2	7	20	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
80022	3	5	300	17	1	1	1	1	Y	 	 	 	9	10	50	9	1	1
80022	4	5	670	17	1	1	1	1	Y	 	 	 	44	88	88	88	0	 
80022	5	5	1	5	1	1	1	1	Y	 	 	 	44	88	88	88	0	 
80022	6	20	3	5	2	1	1	1	Y	1	1500	0	 	 	 	 	 	 
80022	7	5	1	5	1	1	1	1	Y	 	 	 	8	88	88	88	0	 
80022	8	5	2	5	1	1	1	1	Y	 	 	 	75	88	88	88	0	 
80023	1	1	66	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
