CHILDCODE	PLOTIDR4	PLTUSER4	SZPLTR4	LUPLTR4	PLTDSCR4	PLTTRNR4	PLTCLLR4	PLTCRTR4	SEENCTR4	PLTINCR4	PLTVINR4	PLTSPTR4	CRPRN1R4	CRPRN2R4	CRPDR1R4	CRPDR2R4	PLTIRRR4	PLTPRIR4
10059	1	1	25	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10060	1	1	8	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10061	1	1	26	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10062	1	1	25	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10063	1	4	72	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
10064	1	1	12	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10065	1	1	24	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10066	1	1	48	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10066	2	8	12	17	2	0	0	0	 	1	18000	3000	 	 	 	 	 	 
10067	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10068	1	1	12	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10069	1	1	60	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
10069	2	7	190	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
10070	1	1	36	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10071	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10072	1	4	30	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10073	1	1	9	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10074	1	1	12	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
10075	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10076	1	1	48	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10077	1	1	30	17	1	0	0	0	 	 	 	 	 	 	 	 	 	 
10077	2	7	70	17	1	0	0	0	 	 	 	0	 	 	 	 	 	 
10077	3	8	12	17	1	0	0	0	 	0	 	0	 	 	 	 	 	 
10079	1	1	12	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
10080	1	4	15	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10081	1	1	22	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10082	1	1	24	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10083	1	1	32	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10084	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10085	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10086	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10087	1	1	20	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10088	1	1	30	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10089	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10090	1	1	100	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
10090	2	7	75	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
10091	1	1	44	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
10091	2	8	6	17	2	0	0	0	 	0	 	12000	 	 	 	 	 	 
10092	1	1	36	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10093	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10094	1	1	29	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10095	1	1	16	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10096	1	1	20	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10097	1	1	24	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10097	2	8	20	17	1	1	1	1	N	0	 	0	 	 	 	 	 	 
10098	1	1	15	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10099	1	1	48	17	2	0	0	0	 	 	 	 	 	 	 	 	 	 
10099	2	9	200	17	1	1	1	1	N	1	75000	1500	 	 	 	 	 	 
10100	1	1	71	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20001	1	1	20	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20002	1	1	40	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20003	1	1	15	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20003	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20004	1	1	20	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20005	1	1	24	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20005	2	7	8	17	3	0	88	0	 	 	 	0	 	 	 	 	 	 
20007	1	1	30	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
20007	2	7	6	17	1	1	1	0	 	 	 	0	 	 	 	 	 	 
20008	1	1	105	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
20008	2	8	80	17	1	1	1	0	 	1	25000	0	 	 	 	 	 	 
20008	3	7	65	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20008	4	10	12	5	1	1	1	0	 	1	8000	0	 	 	 	 	 	 
20008	5	8	4	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20011	1	1	21	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20011	2	7	229	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20012	1	1	20	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20012	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20013	1	4	24	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20013	2	8	2	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20013	3	20	8	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20014	1	1	36	17	1	0	1	1	N	 	 	 	 	 	 	 	 	 
20014	2	7	150	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20015	1	1	14	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20016	1	1	38	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20016	2	5	7962	17	1	1	1	1	N	 	 	 	76	19	88	88	0	 
20016	3	5	3000	17	1	1	0	1	N	 	 	 	125	88	88	88	0	 
20016	4	5	5000	17	1	1	0	1	N	 	 	 	42	88	88	88	0	 
20016	5	5	2500	17	1	1	0	1	N	 	 	 	21	88	21	88	0	 
20016	6	13	5000	17	1	1	0	1	N	0	 	0	 	 	 	 	 	 
20016	7	10	15000	17	1	1	0	1	N	1	9000	950	 	 	 	 	 	 
20017	1	1	30	17	1	0	0	0	 	 	 	 	 	 	 	 	 	 
20017	2	7	25	17	1	0	0	0	 	 	 	0	 	 	 	 	 	 
20017	3	8	6	17	1	0	0	0	 	0	 	0	 	 	 	 	 	 
20018	1	1	36	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
