CHILDCODE	IMEVIDR4	RKEVR4	LOSS09R4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4	RESEVR41	RESEVR42	RESEVR43
10001	1	47	 	 	3	2	2	7	88	88
10001	2	88	 	 	 	 	 	 	 	 
10001	3	88	 	 	 	 	 	 	 	 
10002	1	47	 	2	2	2	2	6	2	88
10002	2	39	 	 	2	2	 	17	88	88
10002	3	88	 	 	 	 	 	 	 	 
10004	1	39	 	 	 	2	2	9	7	88
10004	2	47	 	 	2	2	 	7	88	88
10004	3	88	 	 	 	 	 	 	 	 
10005	1	38	 	 	2	2	2	2	1	7
10005	2	16	 	 	2	2	 	1	2	7
10005	3	88	 	 	 	 	 	 	 	 
10006	1	47	 	 	2	2	 	2	7	88
10006	2	88	 	 	 	 	 	 	 	 
10006	3	88	 	 	 	 	 	 	 	 
10007	1	37	2	2	2	2	2	1	7	88
10007	2	47	 	 	2	2	 	7	88	88
10007	3	88	 	 	 	 	 	 	 	 
10008	1	36	 	77	 	 	 	9	19	7
10008	2	39	2	3	2	2	2	9	17	88
10008	3	13	 	 	2	2	 	2	17	88
10009	1	88	 	 	 	 	 	 	 	 
10009	2	88	 	 	 	 	 	 	 	 
10009	3	88	 	 	 	 	 	 	 	 
10010	1	47	 	2	2	2	 	2	7	88
10010	2	88	 	 	 	 	 	 	 	 
10010	3	88	 	 	 	 	 	 	 	 
10011	1	37	 	 	 	 	2	2	7	88
10011	2	88	 	 	 	 	 	 	 	 
10011	3	88	 	 	 	 	 	 	 	 
10012	1	39	 	 	3	3	3	2	7	88
10012	2	12	2	2	2	2	2	2	1	88
10012	3	88	 	 	 	 	 	 	 	 
10014	1	38	 	 	 	 	3	9	2	7
10014	2	37	 	 	 	3	 	9	2	7
10014	3	47	 	 	 	 	2	2	1	7
10015	1	88	 	 	 	 	 	 	 	 
10015	2	88	 	 	 	 	 	 	 	 
10015	3	88	 	 	 	 	 	 	 	 
10016	1	88	 	 	 	 	 	 	 	 
10016	2	88	 	 	 	 	 	 	 	 
10016	3	88	 	 	 	 	 	 	 	 
10017	1	47	 	 	2	2	 	7	88	88
10017	2	88	 	 	 	 	 	 	 	 
10017	3	88	 	 	 	 	 	 	 	 
10018	1	47	 	 	2	2	2	7	88	88
10018	2	88	 	 	 	 	 	 	 	 
10018	3	88	 	 	 	 	 	 	 	 
10020	1	47	 	 	 	3	2	2	88	88
10020	2	39	 	 	 	2	 	16	88	88
10020	3	88	 	 	 	 	 	 	 	 
10021	1	47	2	2	2	1	1	1	7	88
10021	2	88	 	 	 	 	 	 	 	 
