CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	PRMCRER4	THSVILR4	BURBRLR4	BRNREGR4	BRNZONR4	CHLBRNR4	LIVHSER4	YRDIEDR4	RWHLIVR4	RSEECHR4	RCHLVER4	RLNLIVR4	RELHHR4	MRTLSTR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	EDCH18R4	STLL18R4	HSSTRTR4	GRADER4	STILLR4	WHYNOTR4	STRYRR4	STRMNR4	AGEGRDR4	TYPLSTR4	PERFR4	TYPATDR4	FEESR4	EXTTUTR4	WHSCHR4	BRDSCHR4	SLEEPR4	CHCARER4	HHCHRER4	NPYWRKR4	PAYWRKR4	SCHOOLR4	STUDYR4	PLAYR4	IMPAC1R4	RGJOB1R4	MONTH1R4	DAYS1R4	HOURS1R4	SSAC11R4	SSAC12R4	SSAC13R4	SSAC14R4	EMPAN1R4	OFPEN1R4	IMINC1R4	IMPAC2R4	RGJOB2R4	MONTH2R4	DAYS2R4	HOURS2R4	SSAC21R4	SSAC22R4	SSAC23R4	SSAC24R4	EMPAN2R4	OFPEN2R4	IMINC2R4	IMPAC3R4	RGJOB3R4	MONTH3R4	DAYS3R4	HOURS3R4	SSAC31R4	SSAC32R4	SSAC33R4	SSAC34R4	EMPAN3R4	OFPEN3R4	IMINC3R4	MEMCNSR4	DISABR4	MEMAFCR4	MEMLNGR4	MLNHLR41	MLNHLR42	MLNHLR43	HTSFFR41	HTSFFR42	HTSFFR43	SEEKTRR4	WHSEEKR4	MEMSMKR4	MEMTOBR4
10001	0	8	12	 	1	0	0	 	0	1	14	1407	 	1	 	 	 	 	 	22	0	 	 	 	 	 	 	1	4	1	 	2001	1	 	 	3	1	4050	0	5	0	10	0	1	0	0	8	1	4	19	1	10	20	8	1	1	1	0	 	 	 	15	0	12	30	1	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	1	50	54	 	1	6	6	0	 	 	 	 	 	4	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	2	48	52	 	2	5	5	0	 	 	 	 	 	4	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	3	32	36	 	2	13	13	1	 	 	 	 	 	1	 	 	 	 	 	0	1	98	98	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	30	9	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	18	88	88	3	 	 	4	2	0	0
10001	4	31	35	 	2	14	14	0	 	 	 	 	 	4	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	5	29	33	 	2	14	14	0	 	 	 	 	 	4	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	6	26	30	 	2	20	20	0	 	 	 	 	 	4	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	7	41	45	 	1	13	13	0	 	 	 	 	 	4	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	8	26	30	 	2	1	1	0	 	 	 	 	2	4	 	2	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	9	20	24	 	2	14	14	0	 	 	 	 	 	4	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	10	18	22	 	1	13	13	0	 	 	 	 	 	4	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	11	12	16	 	2	13	13	0	 	 	 	 	 	4	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	15	8	12	 	1	14	14	0	 	 	 	 	 	1	 	 	 	 	 	23	0	3	16	 	 	 	 	1	3	1	 	1998	1	 	 	3	1	4050	0	 	 	10	1	1	0	0	8	1	3	19	1	10	20	8	1	1	1	0	 	 	 	15	0	12	30	2	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10001	16	30	34	 	1	19	22	0	 	 	 	 	 	1	 	 	 	 	 	 	1	98	99	1	12	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	12	26	11	1	1	1	1	1	1	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10001	17	4	8	 	1	19	14	0	 	 	 	 	 	1	 	 	 	 	 	23	 	3	16	 	 	 	 	1	2	1	 	2006	1	 	 	2	1	4700	0	 	 	10	0	1	0	0	8	1	4	19	1	10	20	8	1	1	1	1	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10001	18	1	5	 	2	7	7	0	 	 	 	 	 	4	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	19	 	3	 	1	 	14	0	 	 	 	 	 	1	 	 	 	 	 	23	 	3	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10001	20	 	0	11	1	 	14	0	 	 	 	 	 	1	 	 	 	 	 	23	 	3	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10002	0	7	11	 	1	0	0	 	1	 	 	 	 	1	 	 	 	 	 	23	 	 	 	 	 	 	 	1	6	1	 	2001	2	 	 	2	4	0	0	3	0	8	0	2	0	0	6	3	5	19	1	10	20	6	0	1	1	0	 	 	 	15	1	12	25	2	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	1	39	43	 	1	1	1	1	 	 	 	 	 	1	 	 	 	 	 	 	1	99	98	1	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	1	12	10	4	1	1	1	0	0	 	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10002	2	27	31	 	2	1	1	0	 	 	 	 	1	2	 	8	6	1	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	3	3	7	 	2	7	7	0	 	 	 	 	 	1	 	 	 	 	 	23	 	98	1	 	 	 	 	1	2	1	 	2005	1	 	 	2	4	0	0	 	 	8	0	2	0	0	6	2	6	19	1	10	20	6	0	1	1	0	 	 	 	15	1	12	30	2	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10004	0	8	12	 	1	0	0	 	1	 	 	 	 	1	 	 	 	 	 	23	0	 	 	 	 	 	 	1	5	1	 	2002	1	 	 	3	4	50	0	4	0	9	0	2	0	0	8	1	4	19	1	10	20	8	1	1	1	0	 	 	 	15	0	12	30	2	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10004	1	82	-88	 	2	5	5	0	 	 	 	 	 	3	1999	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10004	2	47	51	 	1	1	1	1	 	 	 	 	 	1	 	 	 	 	 	 	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	1	12	24	9	1	1	1	1	1	1	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10004	3	42	46	 	2	1	1	0	 	 	 	 	0	1	 	 	 	 	 	0	1	98	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	1	12	22	8	1	1	1	1	0	 	1	15	0	12	30	3	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10004	4	25	29	 	2	7	7	0	 	 	 	 	 	1	 	 	 	 	 	23	0	3	2	1	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	1	12	30	12	1	1	1	1	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	0	 	1	28	88	88	5	 	 	4	1	0	0
10004	5	23	27	 	1	7	7	0	 	 	 	 	 	1	 	 	 	 	 	23	0	3	2	1	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	1	7	12	6	1	1	1	1	0	 	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	0	 	0	 	 	 	 	 	 	 	 	0	0
10004	6	22	26	 	1	7	7	0	 	 	 	 	 	1	 	 	 	 	 	23	0	3	2	1	14	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	1	12	26	10	1	1	1	1	1	1	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10004	7	20	24	 	1	7	7	0	 	 	 	 	 	1	 	 	 	 	 	23	0	3	2	1	14	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	1	12	26	8	1	1	1	1	0	 	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0
10005	0	8	12	 	2	0	0	 	1	 	 	 	 	1	 	 	 	 	 	23	0	 	 	 	 	 	 	1	5	1	 	2001	1	 	 	3	4	50	0	1	0	10	0	2	0	0	8	1	3	19	1	10	20	8	1	1	1	0	 	 	 	15	1	12	30	2	1	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	1	37	41	 	1	1	1	1	 	 	 	 	 	1	 	 	 	 	 	 	1	99	99	1	6	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	12	20	8	1	1	1	1	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	1	1
10005	2	35	39	 	2	1	1	0	 	 	 	 	0	1	 	 	 	 	 	0	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	28	88	88	3	 	 	4	7	0	0
