CHILDCODE	ASSTIDR4	ASSETR4	TOTASSR4	ASACTR4	NMOWNR4	VLASTR4
10001	1	25	1	24	1	250000
10001	2	88	 	 	 	 
10001	3	88	 	 	 	 
10001	4	88	 	 	 	 
10001	5	88	 	 	 	 
10001	6	88	 	 	 	 
10002	1	15	2	12	2	660
10002	2	88	 	 	 	 
10002	3	88	 	 	 	 
10002	4	88	 	 	 	 
10002	5	88	 	 	 	 
10002	6	88	 	 	 	 
10004	1	 	 	 	 	 
10004	2	 	 	 	 	 
10004	3	 	 	 	 	 
10004	4	 	 	 	 	 
10004	5	 	 	 	 	 
10004	6	 	 	 	 	 
10005	1	 	 	 	 	 
10005	2	 	 	 	 	 
10005	3	 	 	 	 	 
10005	4	 	 	 	 	 
10005	5	 	 	 	 	 
10005	6	 	 	 	 	 
10006	1	17	30	16	15	2500
10006	2	88	 	 	 	 
10006	3	88	 	 	 	 
10006	4	88	 	 	 	 
10006	5	88	 	 	 	 
10006	6	88	 	 	 	 
10007	1	 	 	 	 	 
10007	2	 	 	 	 	 
10007	3	 	 	 	 	 
10007	4	 	 	 	 	 
10007	5	 	 	 	 	 
10007	6	 	 	 	 	 
10008	1	15	8	12	8	3150
10008	2	12	2	8	2	350
10008	3	20	1	12	1	120
10008	4	88	 	 	 	 
10008	5	88	 	 	 	 
10008	6	88	 	 	 	 
10009	1	25	1	24	0	 
10009	2	88	 	 	 	 
10009	3	88	 	 	 	 
10009	4	88	 	 	 	 
10009	5	88	 	 	 	 
10009	6	88	 	 	 	 
10010	1	 	 	 	 	 
10010	2	 	 	 	 	 
10010	3	 	 	 	 	 
10010	4	 	 	 	 	 
10010	5	 	 	 	 	 
10010	6	 	 	 	 	 
10011	1	16	1	20	0	 
10011	2	88	 	 	 	 
10011	3	88	 	 	 	 
10011	4	88	 	 	 	 
10011	5	88	 	 	 	 
10011	6	88	 	 	 	 
10012	1	15	2	12	2	960
10012	2	12	3	8	3	50
10012	3	13	3	7	3	125
10012	4	88	 	 	 	 
10012	5	88	 	 	 	 
10012	6	88	 	 	 	 
10014	1	30	1	26	0	 
10014	2	88	 	 	 	 
10014	3	88	 	 	 	 
10014	4	88	 	 	 	 
10014	5	88	 	 	 	 
10014	6	88	 	 	 	 
10015	1	15	14	12	14	420
10015	2	88	 	 	 	 
10015	3	88	 	 	 	 
10015	4	88	 	 	 	 
10015	5	88	 	 	 	 
10015	6	88	 	 	 	 
10016	1	23	3	23	3	1400
10016	2	88	 	 	 	 
10016	3	88	 	 	 	 
10016	4	88	 	 	 	 
10016	5	88	 	 	 	 
10016	6	88	 	 	 	 
10017	1	 	 	 	 	 
10017	2	 	 	 	 	 
10017	3	 	 	 	 	 
10017	4	 	 	 	 	 
10017	5	 	 	 	 	 
10017	6	 	 	 	 	 
10018	1	 	 	 	 	 
10018	2	 	 	 	 	 
10018	3	 	 	 	 	 
10018	4	 	 	 	 	 
10018	5	 	 	 	 	 
10018	6	 	 	 	 	 
10020	1	12	2	8	2	120
10020	2	88	 	 	 	 
10020	3	88	 	 	 	 
10020	4	88	 	 	 	 
10020	5	88	 	 	 	 
10020	6	88	 	 	 	 
10021	1	23	7	14	7	85000
10021	2	88	 	 	 	 
10021	3	88	 	 	 	 
10021	4	88	 	 	 	 
10021	5	88	 	 	 	 
10021	6	88	 	 	 	 
10022	1	 	 	 	 	 
10022	2	 	 	 	 	 
10022	3	 	 	 	 	 
10022	4	 	 	 	 	 
10022	5	 	 	 	 	 
10022	6	 	 	 	 	 
10023	1	 	 	 	 	 
10023	2	 	 	 	 	 
10023	3	 	 	 	 	 
10023	4	 	 	 	 	 
10023	5	 	 	 	 	 
10023	6	 	 	 	 	 
10024	1	15	2	12	2	3500
10024	2	13	6	7	5	460
10024	3	88	 	 	 	 
10024	4	88	 	 	 	 
10024	5	88	 	 	 	 
10024	6	88	 	 	 	 
10025	1	 	 	 	 	 
10025	2	 	 	 	 	 
10025	3	 	 	 	 	 
10025	4	 	 	 	 	 
10025	5	 	 	 	 	 
10025	6	 	 	 	 	 
10026	1	17	7	16	0	 
10026	2	20	1	28	0	 
10026	3	88	 	 	 	 
10026	4	88	 	 	 	 
10026	5	88	 	 	 	 
10026	6	88	 	 	 	 
10028	1	 	 	 	 	 
10028	2	 	 	 	 	 
10028	3	 	 	 	 	 
10028	4	 	 	 	 	 
