CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10011	8	0	 	 
10011	9	0	 	 
10011	10	0	 	 
10011	11	0	 	 
10011	12	1	230	1
10011	13	0	 	 
10011	14	0	 	 
10011	15	1	60	4
10011	16	0	 	 
10011	17	1	800	0
10011	18	0	 	 
10011	19	0	 	 
10011	20	1	100	0
10011	21	0	 	 
10011	22	0	 	 
10011	23	0	 	 
10011	24	0	 	 
10011	25	0	 	 
10011	26	0	 	 
10011	27	0	 	 
10011	28	0	 	 
10011	29	0	 	 
10011	30	0	 	 
10011	31	0	 	 
10012	1	0	 	 
10012	2	0	 	 
10012	3	1	200	4
10012	4	1	500	88
10012	5	1	600	 
10012	6	1	180	 
10012	7	1	150	4
10012	8	1	800	1
10012	9	1	900	1
10012	10	1	270	88
10012	11	1	420	1
10012	12	1	140	88
10012	13	0	 	 
10012	14	0	 	 
10012	15	1	250	1
10012	16	0	 	 
10012	17	1	550	1
10012	18	1	30	0
10012	19	0	 	 
10012	20	0	 	 
10012	21	1	208	1
10012	22	0	 	 
10012	23	0	 	 
10012	24	0	 	 
10012	25	0	 	 
10012	26	1	1000	1
10012	27	0	 	 
10012	28	0	 	 
10012	29	0	 	 
10012	30	0	 	 
10012	31	0	 	 
10014	1	0	 	 
10014	2	1	600	 
10014	3	0	 	 
10014	4	0	 	 
10014	5	1	400	 
10014	6	1	440	 
10014	7	1	160	4
10014	8	0	 	 
10014	9	0	 	 
10014	10	1	320	4
10014	11	0	 	 
10014	12	1	650	4
10014	13	0	 	 
10014	14	0	 	 
10014	15	1	400	1
10014	16	0	 	 
10014	17	1	190	0
10014	18	1	700	0
10014	19	0	 	 
10014	20	0	 	 
10014	21	0	 	 
10014	22	1	30	4
10014	23	0	 	 
10014	24	0	 	 
10014	25	1	4500	 
10014	26	1	3160	0
10014	27	0	 	 
10014	28	0	 	 
10014	29	0	 	 
10014	30	0	 	 
10014	31	0	 	 
10015	1	0	 	 
10015	2	0	 	 
10015	3	0	 	 
10015	4	0	 	 
10015	5	0	 	 
10015	6	1	35	 
10015	7	0	 	 
10015	8	0	 	 
10015	9	0	 	 
10015	10	0	 	 
10015	11	1	70	2
10015	12	1	120	88
10015	13	0	 	 
10015	14	0	 	 
10015	15	0	 	 
10015	16	0	 	 
10015	17	0	 	 
10015	18	0	 	 
10015	19	1	70	0
10015	20	0	 	 
10015	21	0	 	 
10015	22	0	 	 
10015	23	0	 	 
10015	24	0	 	 
10015	25	0	 	 
