CHILDCODE	CHMVIDR4	YRMOVER4	WHRMVER4	LOCMVER4	MTHSTYR4	MVEMEMR4	RSNMVR41
60012	1	2005	1	1	2	3	5
60012	2	2005	1	1	0	3	12
60027	1	2002	1	3	0	80	15
60037	1	2004	3	6	12	0	7
60037	2	2005	3	4	12	0	2
60037	3	2006	2	1	0	0	12
60048	1	2005	1	3	0	80	15
60050	1	 	 	 	 	 	 
60073	1	2004	1	1	8	0	1
60073	2	2005	1	1	0	0	15
60078	1	2005	1	1	0	0	12
60082	1	2005	2	2	0	0	1
70002	1	2002	2	3	36	1	2
70002	2	2005	2	1	0	1	15
70007	1	2005	1	3	2	0	2
70007	2	2006	1	1	0	0	15
70009	1	2006	1	1	0	0	15
70011	1	2002	1	3	0	2	8
70032	1	2003	2	1	32	90	15
70032	2	2005	2	1	0	90	15
70046	1	2003	1	2	10	0	15
70046	2	2003	1	1	0	0	15
70048	1	2005	2	1	8	4	15
70048	2	2005	2	1	0	4	12
70052	1	2003	1	3	0	2	8
70064	1	2004	3	6	3	90	2
70064	2	2005	3	1	0	0	15
70079	1	2002	3	3	10	2	2
70079	2	2002	3	1	0	2	6
70085	1	2004	1	1	0	2	15
70100	1	2005	2	1	9	0	15
70100	2	2005	2	1	3	0	15
70100	3	2006	2	1	0	0	2
80011	1	2005	2	1	2	5	12
80021	1	2003	1	3	12	5	5
80021	2	2004	1	3	3	5	6
80023	1	2005	2	1	2	90	12
80023	2	2003	2	1	4	90	12
80045	1	2002	2	3	0	5	5
80051	1	2003	1	3	39	90	2
80068	1	2002	2	3	36	5	5
80068	2	2005	1	1	4	5	5
80070	1	2004	2	1	4	90	12
80076	1	2005	1	3	0	90	5
80090	1	2003	2	1	5	90	3
80093	1	2003	3	6	2	1	3
80096	1	2004	2	1	24	90	12
90004	1	2005	2	3	3	90	3
90024	1	2002	2	4	3	5	12
90034	1	2004	1	1	20	5	2
90058	1	2002	2	1	24	90	12
90082	1	2005	1	1	9	2	12
90082	2	2005	1	3	3	5	12
90088	1	2005	2	5	2	5	2
100004	1	2003	3	6	0	3	5
100005	1	2005	3	6	2	1	12
100021	1	2005	3	6	2	2	15
100022	1	2005	1	1	2	0	12
100031	1	2005	2	1	5	0	15
100031	2	2006	2	1	0	0	15
100056	1	2006	1	3	77	90	2
100057	1	2004	2	1	10	90	12
100066	1	2006	3	3	3	1	12
100076	1	2005	3	6	2	90	12
100087	2	2005	1	1	0	0	15
100094	1	2006	2	3	0	80	5
110008	1	2005	1	3	5	0	2
110016	1	2004	1	2	6	4	5
110021	1	2003	1	3	0	0	12
110027	1	2004	1	1	2	0	12
110029	1	2004	2	4	5	90	7
110039	1	2005	1	3	0	0	2
110054	1	2002	2	1	0	90	1
110061	1	2004	1	3	27	2	5
110064	1	2005	1	1	0	0	2
110082	1	2004	2	3	12	80	5
110082	2	2005	1	1	12	80	5
110082	3	2006	2	3	0	80	5
110088	1	2006	1	3	0	4	8
120001	1	2004	3	3	24	4	12
120001	2	2006	3	1	0	4	12
120002	1	2005	3	6	0	90	2
120017	1	2004	3	6	13	0	11
120017	2	2005	3	1	0	0	12
120028	1	2005	3	3	0	4	2
120045	1	2002	1	3	12	4	7
120045	2	2003	1	1	0	1	12
120048	1	2005	3	6	4	5	10
120048	2	2006	2	6	0	80	7
120049	1	2002	3	4	4	90	15
120057	1	2004	3	4	0	4	2
120059	1	2003	1	3	35	4	2
120059	2	2006	1	1	0	0	12
120069	1	2004	3	2	24	0	7
120069	2	2006	3	1	0	0	12
120071	1	2006	3	1	4	90	1
130001	1	2004	2	3	10	90	2
130001	2	2004	2	3	0	1	2
130026	1	2005	2	3	12	2	2
130026	2	2006	2	3	0	2	12
130074	1	2003	3	2	36	3	12
130074	2	2006	3	6	0	5	2
140009	1	2003	2	5	3	80	15
140021	1	2002	3	6	0	0	7
140033	1	2003	3	5	0	0	2
140046	1	2004	2	5	0	80	7
140050	1	2005	2	4	0	4	1
140085	1	2004	2	5	0	80	15
150024	1	2005	2	1	15	0	15
150025	1	2004	2	1	24	4	4
150034	1	2005	2	5	6	0	7
150036	1	2006	1	2	4	4	15
150039	1	2006	1	2	4	4	2
150043	1	2006	2	1	0	0	15
150052	1	2002	2	1	0	5	12
150066	1	2005	2	1	0	0	7
150081	1	2002	2	1	48	4	7
150081	2	2006	2	1	2	0	12
160004	1	2006	2	6	2	3	15
160021	1	2005	3	3	10	90	3
160021	2	2005	3	1	0	0	12
160057	1	2004	3	1	0	1	10
160070	1	2005	2	4	4	5	1
160070	2	2005	2	1	0	0	9
160080	1	2003	2	1	9	90	12
160080	2	2003	2	1	3	1	15
160080	3	2004	2	1	12	90	12
160080	4	2005	2	1	0	1	15
160086	1	2002	2	3	3	90	12
160086	2	2002	2	1	2	0	12
160086	3	2002	2	3	7	90	12
160086	4	2003	2	2	9	1	1
160086	5	2003	2	1	3	90	12
160086	6	2004	2	4	12	1	1
160086	7	2005	2	1	0	0	12
170018	1	2005	1	3	12	4	2
170018	2	2006	1	1	0	0	2
170043	1	2004	2	3	23	4	2
170043	2	2005	1	1	0	0	5
170088	1	2003	2	5	12	90	2
170088	2	2004	2	1	8	2	12
180021	1	2003	2	4	20	0	10
180021	2	2004	2	1	0	0	12
180035	1	2005	2	4	2	0	1
180035	2	2006	2	1	0	0	12
180048	1	2004	2	5	0	0	12
190012	1	2005	1	1	12	0	12
190012	2	2006	1	3	0	0	12
190032	1	2004	2	5	0	3	12
190039	1	2005	3	1	0	1	15
190040	1	2006	2	5	0	4	2
190067	1	2005	2	4	12	0	12
190067	2	2006	1	1	0	0	12
190085	1	2005	2	1	12	1	3
190085	2	2006	2	3	0	2	12
190088	1	2005	2	3	2	1	12
190088	2	2006	2	5	0	2	12
190091	1	2005	2	4	3	2	3
190091	2	2005	2	3	0	2	12
190099	1	2005	2	1	6	4	2
190099	2	2006	2	1	0	0	12
200020	1	2006	2	3	0	4	15
200025	1	2005	2	1	0	0	15
200051	1	2005	2	5	0	0	12
200067	1	2003	2	3	0	4	2
200075	1	2005	2	3	17	0	12
200083	1	2006	2	3	3	0	1
