CHILDCODE	LIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTR4	FINPAYR4	PYTIMER4	NOBACKR4
10004	1	8	3	4	2	2004	200	0	1	1	 
10004	2	10	3	4	4	2005	150	0	1	1	 
10007	1	10	4	19	4	2005	1500	0	1	1	 
10008	1	7	1	19	12	2003	2000	10	1	1	 
10012	1	2	2	2	9	2005	1000	10	0	 	 
10012	2	10	2	18	12	2005	800	0	1	1	 
10014	1	7	2	19	1	2005	6000	-77	1	1	 
10015	1	2	2	2	12	2004	2000	9	0	 	 
10015	2	8	2	19	3	2006	200	0	0	 	 
10016	1	10	3	19	2	2005	1000	0	1	1	 
10017	1	10	1	7	4	2004	500	0	0	 	 
10018	1	10	1	2	2	2002	100	0	1	1	 
10018	2	10	1	2	1	2004	200	0	1	1	 
10020	1	8	17	2	1	2004	450	0	1	0	12
10020	2	8	17	6	4	2005	300	0	1	1	 
10024	1	8	10	2	1	2005	3000	0	0	 	 
10025	1	8	2	17	1	2006	700	0	1	1	 
10025	2	8	2	2	12	2005	500	0	1	1	 
10026	1	7	1	13	3	2004	5000	13	1	1	 
10026	2	13	3	2	11	2005	2000	0	1	1	 
10029	1	10	1	2	1	200	2005	0	1	1	 
10031	1	10	2	2	12	2005	70	0	1	1	 
10031	2	10	2	2	3	2006	50	0	1	1	 
10032	1	8	3	6	1	2006	250	0	1	0	6
10033	1	10	3	4	3	2005	1000	0	1	1	 
10035	1	10	2	10	1	2006	15000	0	0	 	 
10036	1	10	2	2	11	2005	3000	0	1	1	 
10038	1	10	2	2	3	2006	1000	0	0	 	 
10040	1	10	2	4	1	2005	150	0	1	1	 
10041	1	7	2	2	6	2003	3000	7	1	1	 
10043	1	10	2	2	3	2005	500	0	1	1	 
10043	2	10	2	19	1	2006	300	0	1	1	 
10044	1	8	2	8	4	2003	1000	0	1	1	 
10044	2	8	2	7	6	2004	500	0	1	1	 
10045	1	7	3	13	5	2004	3000	20	1	1	 
10048	1	10	1	3	10	2005	1000	0	0	 	 
10050	1	10	3	2	5	2005	200	0	1	1	 
10052	1	10	2	7	3	2003	100	0	1	1	 
10052	2	8	2	7	1	2006	1000	0	1	1	 
10053	1	10	5	19	4	2006	2000	0	1	1	 
10055	1	2	6	1	9	2002	800	8	1	0	11
