CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPRIDR4
10002	1	17	33	1998	9999	1	0
10006	1	8	6	2001	9999	7	2
10008	1	5	13	1999	2003	1	1
10008	2	17	33	2001	9999	1	0
10010	1	17	33	1996	9999	1	0
10014	1	5	13	2005	2005	2	2
10015	1	12	33	1993	9999	1	4
10018	1	24	6	1995	9999	7	70
10023	1	12	33	1997	9999	1	0
10025	1	17	33	1993	9999	1	15
10026	1	17	33	1999	9999	1	0
10028	1	18	6	2004	9999	5	80
10031	1	12	33	1997	9999	1	80
10036	1	8	6	2002	9999	5	2
10038	1	17	33	1997	9999	1	15
10040	1	17	33	1998	9999	1	15
10042	1	17	33	2001	9999	1	0
10045	1	17	60	2003	9999	7	5
10046	1	17	33	1996	9999	1	15
10048	1	25	6	2000	2004	3	80
10048	2	8	6	2004	9999	5	2
10051	1	17	33	1999	9999	1	0
10052	1	17	33	1994	9999	1	4
10055	1	5	1	2002	9999	1	6
10056	1	1	5	2002	9999	1	70
10057	1	12	33	2000	9999	2	15
10059	1	17	33	1996	9999	1	6
10064	1	12	33	1990	9999	1	2
10066	1	8	6	2002	9999	5	3
10070	1	12	60	1999	9999	7	2
10071	1	17	33	2001	9999	1	0
10073	1	12	33	1999	9999	1	0
10075	1	17	33	1997	9999	1	0
10080	1	12	33	1997	9999	2	0
10080	2	7	6	1998	9999	7	3
10080	3	8	6	2002	9999	5	3
10082	1	8	6	1999	2004	4	2
10083	1	5	35	1996	9999	7	2
10083	2	8	6	1997	9999	5	2
10084	1	17	33	1991	9999	1	7
10085	1	8	6	1997	9999	5	2
10093	1	17	33	1999	9999	1	15
10093	2	17	60	2004	9999	1	0
10095	1	17	33	1998	9999	8	15
20001	1	12	52	2003	9999	1	15
20002	1	17	52	2005	9999	1	9
20005	1	5	13	2006	9999	7	3
20008	1	5	13	2003	2005	7	2
20012	1	12	2	1999	2004	1	0
20013	1	25	6	2004	9999	8	80
20014	1	8	6	2002	9999	7	15
20020	1	17	52	2005	9999	1	0
20020	2	13	35	2004	2004	9	1
20022	1	7	6	2006	9999	5	2
20022	2	8	6	2000	9999	5	2
20022	3	25	6	2006	9999	7	2
20023	1	25	6	2003	9999	8	80
20026	1	25	6	2005	9999	8	80
20028	1	17	60	2001	9999	2	0
20028	2	19	60	2001	9999	5	0
20028	3	8	6	1997	9999	5	8
20029	1	21	41	2005	2006	9	1
20029	2	25	6	2005	9999	8	80
20030	2	25	6	2005	9999	8	80
20030	3	12	41	2005	9999	1	16
20032	1	6	77	2003	9999	1	15
20033	1	8	6	2002	9999	9	2
20034	1	25	6	2004	9999	8	80
20034	2	5	40	2005	9999	7	2
20035	1	7	6	2005	2005	9	2
20035	2	8	6	1996	9999	5	2
20038	1	12	52	2005	9999	2	0
20038	2	12	60	2006	9999	1	9
20038	3	25	6	2005	9999	8	80
20039	1	25	6	2003	9999	8	80
20041	1	20	60	2004	2005	7	7
20041	2	31	41	2005	9999	88	1
20041	4	5	13	2004	2005	1	2
20042	1	17	60	2005	9999	1	6
20042	2	17	60	2005	9999	1	0
20044	1	12	52	2002	9999	1	0
20046	1	12	77	2002	9999	1	0
20047	1	8	6	2002	9999	5	2
20048	1	25	6	2003	2006	8	80
20049	1	12	60	2002	9999	2	0
20049	2	25	6	2003	9999	8	80
20049	3	5	40	2004	9999	7	2
20050	1	6	52	2003	9999	1	5
20050	2	12	35	2005	9999	1	7
20052	1	17	52	2006	9999	1	7
20053	1	16	35	2006	2006	9	70
20054	1	1	5	1998	9999	7	80
20054	2	5	13	2004	9999	7	5
20055	1	17	60	2001	9999	1	0
20055	2	5	13	2005	9999	7	2
20058	1	8	6	1999	9999	5	2
20061	1	8	6	2000	9999	5	2
20065	1	12	52	1999	9999	1	0
20065	2	5	52	2004	9999	8	2
20065	3	12	52	2004	2005	7	4
20065	4	14	52	2004	9999	2	2
20066	1	5	13	2005	9999	9	2
20070	1	12	41	2002	9999	1	0
20070	2	25	6	2002	9999	8	80
20073	1	12	60	2000	9999	2	0
20073	2	8	6	2003	9999	5	2
20074	1	8	52	2004	9999	2	1
20074	2	5	13	2005	9999	7	1
20076	1	25	6	2004	2004	9	13
20076	2	5	13	2002	9999	1	13
20077	1	17	52	2005	9999	1	0
20078	1	12	60	2003	9999	1	0
20078	2	5	13	2003	9999	1	1
20078	3	7	6	2002	9999	7	80
20079	1	5	13	2005	9999	7	2
20080	1	17	60	1997	9999	1	15
20081	1	12	41	2005	9999	1	8
20084	1	8	6	2003	9999	5	2
20085	1	17	60	2003	9999	1	0
20089	1	8	6	2002	9999	8	2
20090	1	25	35	2004	2004	9	70
20090	2	7	6	2005	2005	2	2
20090	3	20	60	2006	9999	9	0
20099	1	5	13	2004	2005	9	2
30001	1	12	60	2001	2005	1	0
30004	1	17	60	2004	9999	7	0
30007	1	17	35	2005	2006	9	0
30010	1	17	60	2003	2006	1	0
30014	1	8	6	2004	9999	9	2
30015	1	6	60	2000	9999	1	1
30015	2	12	60	2003	9999	1	6
30018	1	17	60	2002	2005	7	0
30021	1	8	6	2003	9999	9	1
30021	2	20	60	2005	9999	9	3
30021	3	12	60	2005	9999	1	3
30021	4	12	60	2002	2005	1	0
30021	5	7	6	2004	9999	7	1
30022	1	12	58	2002	9999	1	0
30023	2	12	60	2001	9999	1	6
30027	1	12	60	2006	9999	1	0
30032	1	17	60	2004	9999	1	4
30039	1	17	35	2006	9999	9	0
30041	1	14	77	2004	2004	9	15
30041	2	14	6	2005	9999	2	2
30041	3	17	77	2005	2006	9	0
30044	1	14	35	2006	9999	1	3
30045	1	14	35	2004	2004	9	2
30047	1	17	41	2004	9999	1	0
30051	1	17	60	1999	2006	7	0
30052	1	17	60	2001	2004	1	0
30053	1	17	60	2002	2005	7	4
30053	2	17	60	2003	2005	1	0
30056	1	12	2	2001	9999	6	6
30058	1	12	60	2003	2006	7	0
30062	1	18	6	2002	9999	7	80
30062	2	1	5	2002	9999	5	1
30062	3	7	6	2002	9999	5	80
30064	1	19	60	2005	9999	1	15
30066	1	12	60	1999	9999	7	0
30074	1	12	60	1998	9999	7	0
30074	2	14	41	2002	2002	8	1
30081	1	7	6	2002	9999	4	3
30081	2	14	35	2004	9999	1	3
30085	1	11	6	2005	9999	6	2
30085	2	20	60	2001	9999	9	0
30090	1	17	60	2005	9999	7	0
30091	1	17	60	2001	2006	1	15
30096	1	1	5	2003	9999	2	1
30096	2	18	6	2001	9999	5	70
30098	1	25	60	2001	9999	8	70
40002	1	17	60	2006	9999	1	5
40002	2	25	6	2005	9999	7	80
40004	1	9	6	2000	9999	2	80
40006	1	17	60	2005	9999	1	80
40008	1	14	41	2006	2006	6	9
40009	1	4	5	2005	9999	6	18
40024	1	25	60	2005	9999	9	80
40025	1	12	60	2003	2005	1	80
40025	2	25	6	2005	9999	7	80
40034	1	17	60	2004	9999	9	80
40037	1	3	5	2001	9999	5	80
40037	2	25	6	1996	9999	8	80
40040	1	7	60	2006	9999	1	2
40045	1	9	6	2000	9999	4	80
40047	1	25	6	2004	9999	2	80
40049	1	8	6	2004	9999	7	80
40050	1	5	13	2005	9999	8	1
40050	2	7	6	2002	9999	6	1
40053	1	9	6	2005	9999	5	80
40055	1	7	27	2002	9999	4	80
40056	1	9	6	2005	9999	8	80
40064	1	24	6	1999	9999	2	80
40072	1	25	6	1999	9999	7	80
40074	1	7	6	2004	9999	6	80
40075	1	25	6	2004	9999	5	80
40076	1	25	6	2003	9999	6	80
40077	1	25	6	1997	9999	8	80
40079	1	25	35	2002	9999	7	70
40083	1	25	6	1999	9999	2	80
40096	1	25	6	2004	9999	2	80
50002	1	4	38	2000	9999	6	80
50003	1	5	60	2004	9999	8	19
50003	2	7	6	1999	9999	8	80
50003	3	4	38	1999	9999	7	80
50012	1	25	6	2003	9999	7	80
50014	1	15	38	1998	9999	8	80
50016	1	15	38	1996	9999	6	80
50017	1	25	6	1999	9999	7	80
50019	1	3	38	2000	9999	6	80
50022	1	4	38	2001	9999	1	80
50023	1	1	5	2000	9999	7	80
50024	1	15	38	1998	9999	8	80
50025	1	15	38	1997	9999	4	80
50026	1	25	5	2000	9999	7	80
50026	2	1	5	1997	9999	6	80
50027	1	15	38	1999	9999	8	80
50028	1	4	38	1996	9999	6	1
50030	1	1	5	2003	9999	7	80
50030	2	5	13	1999	9999	1	2
50030	3	25	6	2004	9999	7	80
50033	1	7	6	2000	9999	7	1
50033	2	25	6	2003	9999	6	80
50035	1	4	21	2003	9999	1	80
50036	1	25	6	2001	9999	7	80
50036	2	5	13	2003	9999	1	2
50037	1	15	38	2002	9999	8	80
50039	1	5	13	2002	9999	8	16
50039	2	25	6	2002	9999	7	80
50042	1	1	5	1996	9999	5	80
50046	1	4	5	1999	9999	9	80
50046	2	1	5	2001	9999	6	80
50046	3	25	6	2003	9999	5	80
50047	1	15	38	1996	9999	8	80
50049	1	4	5	1999	9999	7	80
50049	2	1	5	2000	9999	6	80
50050	1	15	38	1996	9999	8	80
50052	1	4	5	1997	2004	7	80
50052	2	1	5	1999	9999	6	1
50053	1	15	38	2000	9999	8	80
50055	1	15	5	2000	9999	7	80
50056	1	21	60	1998	9999	7	21
50057	1	4	77	1994	9999	1	2
50058	1	1	5	1996	9999	5	80
50058	2	25	6	1998	9999	7	80
50059	1	15	38	1997	2003	8	80
50061	1	15	5	2000	9999	7	80
50061	2	25	6	1996	9999	6	80
50064	1	4	5	2000	9999	7	80
50065	1	4	38	2002	2006	5	1
50068	1	1	5	1998	9999	5	80
50070	1	4	38	1997	9999	6	1
50072	1	4	38	20	2003	6	2
50074	1	25	6	2000	9999	7	80
50074	2	4	5	1999	9999	9	80
50075	1	15	38	1999	9999	8	80
50077	1	3	5	2001	99	9	80
50077	2	1	5	2004	9999	7	80
50077	3	5	13	2005	9999	1	80
50081	1	1	5	1999	9999	6	80
50087	1	1	5	1991	9999	6	80
50089	1	1	5	1998	9999	5	80
50095	1	1	5	2003	9999	6	80
50096	1	1	5	2002	2006	1	1
50098	1	1	5	2000	9999	6	80
50100	1	1	5	1996	9999	6	80
60002	1	1	5	2002	9999	2	1
60002	2	5	13	2002	9999	1	1
60003	1	1	5	1989	9999	7	80
60003	2	5	13	2005	9999	5	16
60004	1	1	5	2001	9999	7	1
60004	2	3	38	2000	2005	2	70
60004	4	5	13	1995	9999	1	2
60004	5	13	5	2003	2003	1	1
60005	1	1	5	1996	9999	7	1
60005	2	3	38	1990	9999	6	80
60005	3	5	13	2004	9999	1	1
60006	1	1	5	2002	9999	7	1
60006	2	5	13	1997	9999	1	1
60006	3	13	5	2002	9999	1	1
60007	1	1	5	2002	9999	7	1
60007	2	5	13	1996	9999	5	1
60008	1	1	5	1989	9999	7	80
60009	1	1	5	1994	9999	8	80
