PLACEID	RTYLIDR5	TRNSYLR4	HWLGYLR4
10	1	4	10
14	1	 	 
18	1	 	 
18	2	 	 
18	3	 	 
24	1	 	 
24	2	 	 
24	3	 	 
28	1	4	2
28	2	3	5
28	3	6	2
29	1	 	 
