PLACEID	DWAGIDR5	MAVWG	FAVWG
1	1	200	-11
1	2	200	200
1	3	250	-11
1	4	250	200
2	1	180	150
2	2	120	80
2	3	220	200
2	4	150	120
3	1	300	-11
3	2	250	150
3	3	300	-11
3	4	300	150
4	1	180	150
4	2	100	70
4	3	300	250
4	4	250	200
5	1	300	-77
5	2	150	120
5	3	300	-77
5	4	300	200
6	1	170	150
6	2	120	100
6	3	250	170
6	4	140	80
7	1	200	-11
7	2	180	160
7	3	220	-11
7	4	200	160
8	1	300	-11
8	2	200	200
8	3	250	250
8	4	250	200
9	1	200	150
9	2	200	150
9	3	220	180
9	4	220	180
10	1	240	-11
10	2	200	120
10	3	220	-11
10	4	120	140
11	1	210	-11
11	2	200	120
11	3	240	-11
11	4	150	150
12	1	200	180
12	2	150	150
12	3	200	-11
12	4	200	180
13	1	250	250
13	2	200	200
13	3	300	270
13	4	200	200
14	1	270	-11
14	2	180	150
14	3	230	-11
14	4	220	180
15	1	200	-11
15	2	150	150
15	3	-11	-11
15	4	180	-11
16	1	250	-11
16	2	200	200
16	3	250	250
16	4	250	200
17	1	230	200
17	2	200	200
17	3	300	300
17	4	200	300
18	1	300	200
18	2	120	120
18	3	200	200
18	4	200	200
19	1	-11	-11
19	2	200	150
19	3	200	-11
19	4	200	200
20	1	200	-11
20	2	150	150
20	3	250	-11
20	4	250	100
21	1	250	-11
21	2	150	150
21	3	200	-11
21	4	200	200
22	1	400	300
22	2	250	200
22	3	300	250
22	4	180	150
23	1	300	300
23	2	200	150
23	3	250	-11
23	4	180	170
24	1	320	-77
24	2	150	140
24	3	400	200
24	4	180	150
25	1	200	-11
25	2	100	100
25	3	220	-11
25	4	150	140
26	1	250	-22
26	2	180	180
26	3	350	-22
26	4	150	150
27	1	230	-22
27	2	180	180
27	3	250	-22
27	4	170	170
28	1	0	0
28	2	0	0
28	3	370	350
28	4	150	150
29	1	-77	-77
29	2	-77	-77
29	3	300	-11
29	4	300	200
32	1	0	0
32	2	0	0
32	3	250	200
32	4	220	200
33	1	0	0
33	2	0	0
33	3	250	250
33	4	200	200
34	1	100	100
34	2	100	100
34	3	160	160
34	4	120	120
35	1	150	130
35	2	150	150
35	3	250	-11
35	4	250	200
36	1	200	-11
36	2	200	200
36	3	300	-11
36	4	200	200
