PLACEID	RSID	AGERES	SEXRES	CAPAC	YRSRES
1	1	55	1	7	55
1	2	56	1	4	56
1	3	37	2	3	38
2	1	35	1	7	35
2	2	30	2	1	30
2	3	48	1	3	3
3	1	32	2	2	32
3	2	35	2	7	35
3	3	44	2	3	22
4	1	39	1	7	39
4	2	37	1	1	37
4	3	54	2	3	54
5	1	40	1	7	40
5	2	32	2	2	32
5	3	36	2	1	10
5	4	47	2	3	47
6	1	38	1	1	38
6	2	37	1	7	37
6	3	26	2	3	26
7	1	33	1	2	33
7	2	33	1	2	33
7	3	33	1	2	33
7	4	33	1	2	33
7	5	33	1	2	33
7	6	33	1	2	33
7	7	33	1	2	33
7	8	33	1	2	33
7	9	33	1	2	33
7	10	33	1	2	33
7	11	33	1	2	33
7	12	27	2	2	27
7	13	33	1	2	33
7	14	42	1	3	42
7	15	42	1	3	42
7	16	42	1	3	42
7	17	42	1	3	42
7	18	42	1	2	33
8	1	48	1	7	48
8	2	48	1	7	48
8	3	48	1	7	48
8	4	48	1	7	48
8	5	49	1	4	5
8	6	46	1	3	46
9	1	42	1	7	42
9	2	58	1	4	7
9	3	47	2	3	47
10	1	50	1	2	41
10	2	32	1	1	32
10	3	50	2	2	41
10	4	50	1	2	41
10	5	50	1	2	41
10	6	50	1	2	41
10	7	50	1	2	41
10	8	50	1	2	41
10	9	50	1	2	41
10	10	50	1	2	41
10	11	50	1	2	41
10	12	50	1	2	41
10	13	50	1	2	41
10	14	51	2	3	28
10	15	51	2	3	28
10	16	51	2	3	28
10	17	51	2	3	28
10	18	51	2	3	28
11	1	35	1	1	35
11	2	35	1	1	35
11	3	35	1	1	35
11	4	35	1	1	35
11	5	35	1	1	35
11	6	35	1	1	35
11	7	35	1	1	35
11	8	35	1	1	35
11	9	35	1	1	35
11	10	35	1	1	35
11	11	35	1	1	35
11	12	35	1	1	35
11	13	47	2	3	47
11	14	47	2	3	47
11	15	47	2	3	47
11	16	47	2	3	47
11	17	47	2	3	47
12	1	37	1	7	37
12	2	37	1	7	37
12	3	37	1	7	37
12	4	37	1	7	37
12	5	56	1	4	4
12	6	48	1	3	48
13	1	52	1	7	52
13	2	52	1	7	52
13	3	52	1	7	52
13	4	52	1	7	52
13	5	40	2	4	40
13	6	26	1	3	4
14	1	47	1	1	47
14	2	25	2	2	25
14	3	25	2	2	25
14	4	31	2	2	31
14	5	47	1	1	47
14	6	47	1	1	47
14	7	47	1	1	47
14	8	47	1	1	47
14	9	47	1	1	47
14	10	47	1	1	47
14	11	25	2	2	25
14	12	31	2	2	31
14	13	47	1	1	47
14	14	54	2	3	54
14	15	54	2	3	54
14	16	54	2	3	54
14	17	54	2	3	54
14	18	54	2	3	54
15	1	44	1	1	20
16	1	35	1	1	35
17	1	46	1	7	40
17	2	27	1	3	27
17	3	30	1	3	30
18	1	51	1	7	40
18	2	57	1	3	50
19	1	37	1	1	37
19	2	40	2	4	16
19	3	30	2	3	30
20	1	33	1	1	33
21	1	33	2	1	33
21	2	46	1	3	23
22	1	55	1	7	55
22	2	43	1	7	43
22	3	43	2	8	19
23	1	49	1	7	49
23	2	46	1	7	46
23	3	57	1	8	57
23	4	52	2	8	55
24	1	45	1	7	45
24	2	56	2	6	56
24	3	36	2	8	12
25	1	52	1	7	52
25	2	50	1	3	50
25	3	34	1	8	34
26	1	54	1	7	54
26	2	49	1	8	49
26	3	61	1	8	61
27	1	51	1	7	25
27	2	69	1	3	69
27	3	47	1	8	47
28	1	34	2	8	34
29	1	38	2	8	38
32	1	60	2	8	53
33	1	40	2	8	12
34	1	43	2	8	43
35	1	37	2	8	37
36	1	39	2	8	13
36	2	52	1	8	3
