PLACEID	STRTDINT	CHRINF1	CHRINF2	CHRINF3	POPSIZE	FAMLOC	PAVEDN	UNPAVEDN	TRACKSN	OTTRANN	MAINRTR4	MONTHS	CMNTRNR4	PAVEDNYL	UNPAVEYL	TRACKSYL	OTTRANYL	OTRASPYL	MAINRTYL	FACTORY	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	GRBMTH1	GRBMTH2	GRBMTH3	PRGINF1	PRGINF2	PRGINF3	POLINF1	POLINF2	POLINF3	RCVCRD16	RCVCRD15	RCVCRD14	ECNINF1	ECNINF2	ECNINF3	POVINF1	POVINF2	POVINF3	COMNDIFF	COMNPOOR	EDCNINF1	EDCNINF2	EDCNINF3	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	AUXILIAR	NURSE	VILHTHWK	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	PHCINF2	PHCINF3	TYPESTB	CATHLTH	CHPRINF1	CHPRINF2	CHPRINF3	CHORGACC	CHPOLICE	CHUBND	CHSCHOOL	CHNGO	CHOTHOR1	CHOTHOR2	WMORGACC	WMPOLICE	WMPEOPLE	WMSCHOOL	WMWMUON	WMYTHUN	WMNGOOTH	WMOTHOR1	WMOTHOR2	FRSTHELP	COMMSUPP	TYPSUPP1	TYPSUPP2	TYPSUPP3	ENDDINT
23	23/11/2016 14:15:40	2	4	88	7865	2165	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	0	1	2	88	1	2	88	1	6	88	1	2	88	2	3	88	45	43	56	2	4	88	1	2	88	0	0	2	88	 	2	3	88	1	0	0	0	1	1	1	1	0	0	0	3	2	88	1	1	1	4	88	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	3	1	1	4	88	23/11/2016 15:37:24
24	04/11/2016 13:28:54	1	3	88	8068	1802	1	0	0	0	1	0	1	 	 	 	 	 	 	1	4	2200	2500	2400	1	1	2	3	2	3	1	1	4	88	1	3	88	1	88	 	154	179	179	1	3	88	2	3	88	0	0	1	1	88	2	88	 	1	0	0	0	1	1	1	0	0	0	0	3	88	 	1	1	2	88	 	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	5	0	 	 	 	11/11/2016 16:13:55
25	19/12/2016 12:57:38	1	88	 	5600	1360	1	0	0	0	1	0	1	 	 	 	 	 	 	1	6	12	4	8	1	1	2	88	1	88	 	1	6	8	1	2	3	1	3	88	170	91	110	1	3	2	1	3	88	0	0	2	3	88	2	3	88	0	0	1	0	1	1	0	0	0	0	77	2	88	 	1	3	1	3	2	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	 	 	 	19/12/2016 20:21:29
26	08/12/2016 08:51:48	1	88	 	12224	3278	1	0	0	0	1	0	1	 	 	 	 	 	 	1	4	160	240	0	1	1	2	88	2	88	 	1	4	9	1	88	 	1	88	 	155	240	94	1	2	3	1	88	 	0	0	1	2	88	1	88	 	1	0	0	1	1	1	0	0	0	0	0	1	3	88	1	3	2	1	3	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	3	88	08/12/2016 14:15:08
27	28/11/2016 08:47:07	1	3	88	8176	2357	1	0	0	0	1	0	1	 	 	 	 	 	 	1	4	30	40	-77	1	1	3	88	1	88	 	1	9	6	1	3	88	1	88	 	162	178	189	1	3	2	1	3	88	0	0	1	3	2	2	3	88	0	0	1	1	1	1	0	0	0	0	0	2	3	1	1	3	2	1	3	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	3	88	30/11/2016 07:47:43
28	15/12/2016 15:10:39	1	88	 	21787	4323	1	0	0	0	1	0	0	1	0	0	0	 	1	0	 	 	 	 	0	1	88	 	1	88	 	1	88	 	1	88	 	1	88	 	143	44	82	1	88	 	1	88	 	0	0	1	88	 	1	88	 	0	0	0	1	1	1	1	0	0	0	0	1	88	 	1	1	1	88	 	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	 	 	 	15/12/2016 16:20:14
29	08/11/2016 07:49:15	1	88	 	13947	2784	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	0	1	88	 	1	88	 	1	88	 	1	88	 	1	88	 	43	0	0	1	88	 	1	88	 	0	0	1	88	 	1	88	 	0	0	0	1	1	1	1	1	1	1	0	1	88	 	1	2	1	88	 	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	4	1	3	1	88	10/11/2016 15:11:01
32	18/11/2016 15:18:46	1	88	 	15078	3358	1	0	0	0	1	0	1	 	 	 	 	 	 	2	4	70	200	0	0	1	88	 	1	88	 	1	3	88	1	88	 	1	88	 	171	88	215	1	88	 	1	88	 	0	0	1	88	 	1	88	 	1	0	0	1	1	1	1	0	0	0	0	1	88	 	1	3	1	88	 	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	3	1	1	3	2	18/11/2016 16:22:08
33	28/12/2016 16:02:16	1	88	 	20264	4710	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	1	1	88	 	1	88	 	1	88	 	1	88	 	1	88	 	268	455	90	1	88	 	1	88	 	0	0	1	88	 	1	88	 	1	0	0	1	1	1	1	1	1	1	0	1	88	 	1	3	1	88	 	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	3	1	3	1	2	28/12/2016 16:39:54
34	10/11/2016 15:10:30	1	88	 	19000	3900	1	0	0	0	1	0	1	 	 	 	 	 	 	1	4	20	80	0	0	1	88	 	1	88	 	1	88	 	1	88	 	1	88	 	237	46	106	1	88	 	1	88	 	0	0	1	88	 	1	88	 	0	0	0	0	1	1	1	0	0	0	0	1	88	 	1	1	1	88	 	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	2	1	4	4	4	10/11/2016 16:15:12
35	15/12/2016 07:54:31	1	88	 	21507	4880	1	1	0	0	1	0	1	 	 	 	 	 	 	1	4	220	190	0	1	1	88	 	1	88	 	1	88	 	1	88	 	1	88	 	884	433	697	1	88	 	1	88	 	0	0	1	88	 	1	88	 	0	0	0	1	1	1	1	1	0	0	0	1	88	 	1	3	1	88	 	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	3	1	2	1	77	15/12/2016 16:55:00
36	30/11/2016 07:51:39	1	88	 	12020	3020	1	0	0	0	1	0	1	 	 	 	 	 	 	1	4	215	120	0	1	1	88	 	1	88	 	1	9	8	1	88	 	1	88	 	619	141	255	1	88	 	1	88	 	0	0	1	88	 	2	88	 	0	0	0	0	1	1	1	1	0	0	1	2	88	 	1	3	1	88	 	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	4	1	3	2	88	30/11/2016 15:52:12
