PLACEID	HLTHIDR5	CURHFAC	TIMHFAC	TRNHFAC
1	1	3	 	 
1	2	2	15	4
1	3	1	 	 
1	4	3	 	 
1	5	1	 	 
1	6	3	 	 
1	7	1	 	 
1	8	1	 	 
1	9	1	 	 
1	10	3	 	 
1	11	1	 	 
1	12	1	 	 
1	13	88	 	 
2	1	2	30	4
2	2	2	30	4
2	3	1	 	 
2	4	3	 	 
2	5	1	 	 
2	6	3	 	 
2	7	3	 	 
2	8	1	 	 
2	9	2	30	4
2	10	3	 	 
2	11	1	 	 
2	12	3	 	 
2	13	3	 	 
3	1	3	 	 
3	2	3	 	 
3	3	1	 	 
3	4	3	 	 
3	5	1	 	 
3	6	3	 	 
3	7	3	 	 
3	8	1	 	 
3	9	1	 	 
3	10	3	 	 
3	11	1	 	 
3	12	3	 	 
3	13	88	 	 
4	1	3	 	 
4	2	3	 	 
4	3	1	 	 
4	4	3	 	 
4	5	2	15	4
4	6	3	 	 
4	7	3	 	 
4	8	1	 	 
4	9	3	 	 
4	10	3	 	 
4	11	1	 	 
4	12	3	 	 
4	13	3	 	 
5	1	2	30	4
5	2	2	30	4
5	3	1	 	 
5	4	3	 	 
5	5	3	 	 
5	6	3	 	 
5	7	3	 	 
5	8	1	 	 
5	9	1	 	 
5	10	3	 	 
5	11	1	 	 
5	12	3	 	 
5	13	3	 	 
6	1	3	 	 
6	2	3	 	 
6	3	1	 	 
6	4	3	 	 
6	5	1	 	 
6	6	3	 	 
6	7	3	 	 
6	8	1	 	 
6	9	3	 	 
6	10	3	 	 
6	11	1	 	 
6	12	3	 	 
6	13	3	 	 
7	1	2	7	4
7	2	3	 	 
7	3	1	 	 
7	4	3	 	 
7	5	1	 	 
7	6	3	 	 
7	7	1	 	 
7	8	1	 	 
7	9	3	 	 
7	10	3	 	 
7	11	1	 	 
7	12	1	 	 
7	13	3	 	 
8	1	2	15	4
8	2	3	 	 
8	3	1	 	 
8	4	3	 	 
8	5	1	 	 
8	6	3	 	 
8	7	1	 	 
8	8	1	 	 
8	9	1	 	 
8	10	3	 	 
8	11	1	 	 
8	12	3	 	 
8	13	88	 	 
9	1	3	 	 
9	2	3	 	 
9	3	1	 	 
9	4	3	 	 
9	5	1	 	 
9	6	3	 	 
9	7	3	 	 
9	8	1	 	 
9	9	3	 	 
9	10	3	 	 
9	11	3	 	 
9	12	3	 	 
9	13	3	 	 
10	1	3	 	 
10	2	3	 	 
