PLACEID	EDUCIDR5	SCHFUNC	NUMSCH	SCHLOC	SCHDES	SCHLOW	SCHHIGH
1	1	Y	141	1	3	6	9
1	2	Y	189	2	3	10	12
1	3	Y	182	2	3	10	12
1	4	Y	191	2	3	10	12
2	1	Y	998	2	3	10	12
2	2	Y	136	1	3	6	9
2	3	Y	137	1	3	6	9
3	1	Y	196	2	3	10	12
3	2	Y	998	2	3	6	9
3	3	Y	133	1	3	6	9
3	4	Y	78	1	3	1	9
3	5	Y	79	1	3	1	5
3	6	Y	78	1	3	1	5
4	1	Y	83	1	3	1	5
4	2	Y	135	1	3	6	9
4	3	Y	998	2	3	10	12
5	1	Y	76	1	3	1	5
5	2	Y	77	1	3	6	9
5	3	Y	132	1	3	6	9
5	4	Y	998	2	3	10	12
5	5	Y	197	2	3	10	12
6	1	Y	998	1	3	6	12
7	1	Y	998	1	3	1	5
7	2	Y	104	1	3	6	9
7	3	Y	142	1	3	10	12
8	1	Y	143	2	3	10	12
8	2	Y	105	1	3	6	9
8	3	Y	1	1	3	1	5
9	1	Y	99	1	3	6	9
9	2	Y	9	1	3	1	5
9	3	Y	12	1	3	1	5
10	1	Y	7	1	3	1	5
10	2	Y	98	1	3	6	9
10	3	Y	998	2	3	10	12
10	4	Y	998	2	3	10	12
10	5	Y	998	2	8	10	12
11	1	Y	3	1	3	1	5
11	2	Y	96	1	3	6	9
11	3	Y	147	1	3	10	12
12	1	Y	5	1	3	1	5
12	2	Y	102	1	3	6	9
13	1	Y	6	1	3	1	5
13	2	Y	97	1	3	6	9
13	3	Y	149	1	3	10	12
14	1	Y	13	1	3	1	5
14	2	Y	101	1	3	6	9
14	3	Y	998	2	3	10	12
14	4	Y	14	1	3	1	5
14	5	Y	998	2	3	10	12
15	1	Y	70	1	3	1	5
15	2	Y	131	1	3	6	9
15	3	Y	71	1	3	1	5
15	4	Y	75	1	3	1	5
15	5	Y	73	1	3	1	5
15	6	Y	74	1	3	1	5
15	7	Y	72	1	3	1	5
15	8	Y	998	2	3	6	12
15	9	Y	169	2	3	10	12
15	10	Y	175	1	3	10	12
16	1	Y	38	1	3	1	5
16	2	Y	39	1	3	1	5
16	3	Y	40	1	3	1	5
16	4	Y	41	1	3	1	5
16	5	Y	42	1	3	1	5
16	6	Y	43	1	3	1	5
16	7	Y	44	1	3	1	5
16	8	Y	120	1	3	6	9
16	9	Y	180	1	3	10	12
17	1	Y	59	1	3	1	5
17	2	Y	61	1	3	1	5
17	3	Y	63	1	3	1	5
17	4	Y	66	1	3	1	5
17	5	Y	126	1	3	6	9
17	6	Y	127	1	3	6	9
17	7	Y	128	1	3	6	9
17	8	Y	166	1	3	10	12
17	9	Y	172	1	3	10	12
17	10	Y	177	1	3	10	12
17	12	Y	998	1	3	5	12
17	13	Y	60	1	3	1	5
17	14	Y	64	1	3	1	5
17	15	Y	67	1	3	1	5
17	16	Y	62	1	3	1	5
17	17	Y	65	1	3	1	5
18	1	Y	167	2	3	10	12
18	2	Y	173	2	3	10	12
18	3	Y	998	2	3	10	12
18	4	Y	122	1	3	6	9
18	5	Y	998	1	3	6	9
18	6	Y	47	1	3	1	5
18	7	Y	49	1	3	1	5
18	8	Y	48	1	3	1	5
18	9	Y	50	1	3	1	5
18	10	Y	998	1	3	1	5
18	11	Y	51	1	3	1	5
18	12	Y	998	2	3	6	12
19	1	Y	68	1	3	1	9
19	2	Y	68	1	3	1	3
19	3	Y	68	1	3	1	3
19	4	Y	68	1	3	1	3
19	5	Y	69	1	3	1	3
19	6	Y	170	2	3	10	12
19	7	Y	176	2	3	10	12
19	8	Y	998	2	3	6	12
20	1	Y	45	1	3	1	5
20	2	Y	121	1	3	6	6
20	3	Y	46	1	3	1	5
20	4	Y	130	2	3	6	9
20	5	Y	181	2	3	10	12
21	1	Y	123	1	3	1	5
21	2	Y	53	1	3	1	5
21	3	Y	54	1	3	1	5
21	4	Y	55	1	3	1	5
21	5	Y	56	1	3	1	5
21	6	Y	57	1	3	1	5
21	8	Y	123	1	3	6	9
21	9	Y	124	1	3	6	9
21	10	Y	125	1	3	6	9
21	12	Y	998	1	3	1	5
21	16	Y	58	1	3	1	5
21	17	Y	998	1	3	1	5
21	20	Y	168	1	3	10	12
