CHILDID	planid	plan
VN010001	1	4
VN010001	2	7
VN010002	1	8
VN010002	2	4
VN010003	1	8
VN010003	2	4
VN010004	1	4
VN010005	1	4
VN010006	1	1
VN010007	1	4
VN010007	2	7
VN010008	1	4
VN010009	1	4
VN010009	2	8
VN010010	1	10
VN010011	1	3
VN010011	2	4
VN010012	1	2
VN010012	2	4
VN010013	1	4
VN010013	2	7
VN010014	1	2
VN010015	1	5
VN010015	2	2
VN010016	1	2
VN010017	1	1
VN010018	1	2
VN010018	2	4
VN010019	1	4
VN010019	2	2
VN010020	1	2
VN010021	1	9
VN010022	1	4
VN010022	2	2
VN010024	1	1
VN010025	1	8
VN010026	1	2
VN010026	2	4
VN010027	1	7
VN010027	2	3
VN010029	1	8
VN010029	2	4
VN010030	1	7
VN010031	1	3
VN010031	2	8
VN010032	1	1
VN010033	1	4
VN010034	1	7
VN010034	2	4
VN010035	1	1
VN010036	1	8
VN010036	2	4
VN010037	1	8
VN010038	1	10
VN010039	1	1
VN010040	1	2
VN010040	2	4
VN010041	1	2
VN010041	2	10
VN010042	1	4
VN010042	2	3
VN010043	1	2
VN010043	2	4
VN010044	1	2
VN010044	2	3
VN010045	1	4
VN010045	2	2
VN010046	1	1
VN010047	1	10
VN010047	2	7
VN010048	1	7
VN010048	2	2
VN010049	1	4
VN010050	1	8
VN010050	2	4
VN010051	1	2
VN010051	2	9
VN010052	1	4
VN010053	1	2
VN010054	1	4
VN010054	2	2
VN010055	1	3
VN010056	1	1
VN010057	1	4
VN010058	1	8
VN010058	2	2
VN010059	1	1
VN010060	1	4
VN010060	2	10
VN010061	1	2
VN010061	2	4
VN010062	1	4
VN010063	1	2
VN010063	2	4
VN010064	1	4
VN010064	2	7
VN010065	1	4
VN010067	1	1
VN010068	1	8
VN010069	1	2
VN010069	2	7
VN010070	1	8
VN010070	2	4
VN010071	1	1
VN010072	1	4
VN010072	2	2
VN010073	1	7
VN010073	2	4
VN010074	1	4
VN010075	1	4
VN010076	1	10
VN010077	1	2
VN010077	2	4
VN010078	1	7
VN010079	1	4
VN010080	1	4
VN010081	1	4
VN010082	1	2
VN010083	1	4
VN010084	1	8
VN010086	1	4
VN010087	1	4
VN010087	2	10
VN010088	1	4
VN010088	2	2
VN010089	1	1
VN010091	1	4
VN010092	1	8
VN010093	1	4
VN010093	2	8
VN010094	1	2
VN010095	1	1
VN010096	1	2
VN010097	1	4
VN010097	2	7
VN010100	1	2
VN010100	2	7
VN010104	1	7
VN010109	1	4
VN010118	1	7
VN010118	2	10
VN010121	1	4
VN010122	1	7
VN010122	2	4
VN010124	1	2
VN010124	2	4
VN010140	1	2
VN010140	2	4
VN020001	1	2
VN020002	1	4
VN020002	2	8
VN020003	1	10
VN020004	1	10
VN020005	1	4
VN020007	1	10
VN020008	1	7
VN020008	2	4
VN020009	1	3
VN020010	1	7
VN020011	1	8
VN020011	2	4
VN020012	1	10
VN020013	1	7
VN020015	1	1
VN020016	1	1
VN020017	1	4
VN020018	1	4
VN020019	1	1
VN020020	1	4
VN020021	1	7
VN020022	1	1
VN020023	1	3
VN020023	2	7
VN020024	1	4
VN020025	1	2
VN020026	1	2
VN020026	2	10
VN020027	1	7
VN020027	2	4
VN020028	1	4
VN020029	1	2
VN020029	2	10
VN020032	1	1
VN020033	1	4
VN020033	2	8
VN020034	1	4
VN020035	1	1
VN020036	1	4
VN020037	1	7
VN020037	2	10
VN020038	1	4
VN020039	1	8
VN020041	1	8
VN020041	2	4
VN020043	1	4
VN020044	1	4
VN020046	1	1
VN020047	1	2
VN020048	1	4
VN020048	2	2
VN020050	1	2
VN020050	2	4
VN020052	1	2
VN020052	2	7
VN020053	1	4
VN020054	1	4
VN020055	1	3
VN020056	1	2
VN020057	1	2
VN020060	1	4
VN020061	1	1
VN020062	1	8
VN020062	2	10
VN020063	1	2
VN020063	2	3
VN020064	1	1
VN020065	1	3
VN020065	2	4
VN020066	1	10
VN020067	1	1
VN020068	1	4
VN020068	2	8
VN020069	1	4
VN020070	1	1
VN020073	1	10
VN020073	2	8
VN020075	1	4
VN020077	1	2
VN020077	2	3
VN020078	1	2
VN020078	2	4
VN020079	1	7
VN020080	1	10
VN020080	2	3
VN020081	1	4
VN020081	2	10
VN020083	1	2
