CHILDID	PLOT	LAREA	LOWN	LUSE
VN010001	1	1000	4	1
VN010002	1	2500	4	1
VN010003	1	1000	4	1
VN010003	2	500	1	1
VN010004	1	1050	4	1
VN010005	1	2330	4	1
VN010006	1	2350	4	6
VN010007	1	445	4	1
VN010007	2	800	4	1
VN010008	1	1350	4	1
VN010009	1	1140	4	1
VN010010	1	1445	4	1
VN010010	2	1113	1	1
VN010010	3	3500	1	1
VN010011	1	1600	4	1
VN010011	2	470	1	1
VN010012	1	1000	4	1
VN010013	1	1000	1	1
VN010014	1	1500	4	1
VN010015	1	2000	4	1
VN010016	1	1000	4	1
VN010017	1	500	4	1
VN010018	1	1330	4	1
VN010019	1	470	4	1
VN010020	1	470	4	1
VN010021	2	900	4	6
VN010022	1	1000	4	1
VN010024	1	1750	4	1
VN010025	1	900	4	1
VN010025	2	1000	1	1
VN010026	1	1000	4	1
VN010026	2	2000	1	1
VN010027	1	3000	4	1
VN010027	2	1000	1	1
VN010029	1	1400	4	1
VN010029	2	1000	1	1
VN010030	1	1500	4	1
VN010031	1	2750	4	1
VN010032	1	1066	4	1
VN010033	1	482	4	1
VN010034	1	1000	4	1
VN010035	1	1000	4	1
VN010036	1	1750	4	1
VN010037	1	2000	4	1
VN010038	1	1000	4	1
VN010039	1	1000	4	1
VN010040	1	1500	4	1
VN010040	2	1000	1	1
VN010041	1	2250	4	1
VN010042	1	1000	4	1
VN010043	1	1000	4	1
VN010044	1	1000	4	1
VN010044	2	750	4	6
VN010045	1	1000	4	1
VN010045	2	5000	1	1
VN010046	1	3650	4	1
VN010047	1	900	4	1
VN010048	1	940	4	1
VN010049	1	1500	4	1
VN010050	1	940	4	1
VN010051	1	2000	4	1
VN010052	1	1231	4	1
VN010053	1	466	4	1
VN010054	1	500	4	1
VN010055	1	2000	4	1
VN010055	2	1500	1	1
VN010056	2	2000	2	1
VN010056	3	1500	4	1
VN010057	1	1410	1	1
VN010057	2	940	4	1
VN010058	1	470	4	1
VN010059	1	100	4	1
VN010060	1	1098	4	1
VN010061	1	1830	4	1
VN010061	2	330	4	6
VN010062	1	1000	4	1
VN010063	1	9320	4	1
VN010063	2	932	1	1
VN010064	1	1731	4	1
VN010065	1	1000	4	1
VN010067	1	1000	4	1
VN010068	1	1150	4	1
VN010069	1	2500	4	1
VN010070	1	1000	4	1
VN010071	1	1500	2	1
VN010071	2	700	4	1
VN010072	1	940	4	1
VN010073	1	940	4	1
VN010074	1	2632	4	1
VN010075	1	1750	4	1
VN010075	2	1000	1	1
VN010076	1	2000	4	1
VN010077	1	1250	4	1
VN010078	1	1500	4	1
VN010079	1	940	4	1
VN010080	1	1880	2	1
VN010080	2	940	4	1
VN010081	1	1880	4	1
VN010082	1	900	4	1
VN010082	2	15000	4	2
VN010082	3	500	4	4
VN010083	1	1500	4	1
VN010083	2	750	1	1
VN010084	1	940	4	1
VN010086	1	950	4	1
VN010087	1	1000	4	1
VN010088	1	932	4	1
VN010089	1	466	4	1
VN010091	1	1400	4	1
VN010092	1	950	4	1
VN010093	1	1000	4	1
VN010094	1	510	4	1
VN010095	1	1000	4	1
VN010096	1	500	4	1
VN010097	1	700	4	1
VN010097	2	1500	1	1
VN010100	1	1800	4	1
VN010100	2	200	1	1
VN010100	3	3000	4	9
VN010104	1	3500	4	1
VN010109	1	250	4	1
VN010118	1	1750	4	1
VN010121	1	1000	4	1
VN010122	1	2330	4	1
VN010124	1	1000	4	1
VN010140	1	1500	4	1
VN020001	1	1000	4	8
VN020001	2	1000	2	8
VN020001	3	500	4	1
VN020002	1	1500	4	8
VN020002	2	500	4	1
VN020003	1	3500	2	8
VN020003	2	2000	4	1
VN020005	1	2000	2	1
VN020005	2	1500	4	1
VN020010	1	1200	4	1
VN020013	1	120	4	7
VN020015	1	320	4	5
VN020016	1	6500	4	6
VN020017	1	500	4	1
VN020019	1	2000	4	1
VN020020	1	600	4	1
VN020023	1	266	4	4
VN020028	1	750	4	4
VN020028	2	2250	4	8
VN020028	3	3000	4	6
VN020029	1	2500	4	1
VN020029	2	160	4	4
VN020034	1	200	4	4
VN020041	1	500	4	1
VN020041	2	300	4	8
VN020043	1	1000	4	8
VN020043	2	1500	4	1
VN020043	3	1000	1	8
VN020044	1	1000	4	8
VN020044	2	1000	4	1
VN020044	3	1000	2	1
VN020044	4	500	1	8
VN020046	1	2000	4	8
VN020046	2	1500	1	1
VN020047	1	4000	4	1
VN020047	2	3500	4	8
VN020048	1	1000	4	8
VN020050	1	1000	4	6
VN020052	1	900	4	8
VN020053	1	3650	4	8
VN020053	2	3650	4	1
VN020054	1	850	4	1
VN020055	1	1000	4	4
VN020057	1	1500	4	7
VN020063	1	1250	4	1
VN020063	2	2500	2	1
VN020064	1	1250	1	1
VN020064	2	1000	4	1
VN020065	1	2300	4	1
VN020066	1	6000	4	1
VN020067	1	3500	4	1
VN020068	1	2700	4	1
VN020069	1	1050	4	1
VN020070	1	3000	4	1
VN020073	1	2500	4	1
VN020075	1	3500	4	1
VN020075	2	500	4	4
VN020077	1	1250	4	1
VN020078	1	2000	4	1
VN020078	2	1000	4	8
VN020078	3	1000	2	8
VN020079	1	3000	4	8
VN020079	2	500	4	1
VN020080	1	1000	4	8
VN020081	1	2000	4	1
VN020081	2	1000	4	8
VN020081	3	400	2	1
VN020083	1	1700	4	1
VN020084	1	1000	4	1
VN020084	2	1000	1	1
VN020086	1	1500	4	1
VN020086	2	1500	2	8
VN020087	1	3000	4	1
VN020088	1	10000	1	9
VN020088	2	2000	4	1
VN020088	3	4000	2	1
VN020089	1	4000	4	1
VN020090	1	2000	4	6
VN020090	2	2000	4	6
VN020091	1	1500	4	1
VN020092	1	1000	4	1
VN020094	1	3000	4	1
VN020095	1	2500	4	1
VN020096	1	2000	4	1
VN020097	1	2000	4	1
VN020097	2	1000	1	1
VN020098	1	1150	4	1
VN020099	1	2000	4	1
VN020099	2	1000	4	7
VN020100	1	5000	1	9
VN020100	2	2480	4	1
VN020100	3	1500	4	6
VN020106	1	1500	4	1
VN020110	1	5000	4	1
VN020112	1	1000	4	1
VN020112	2	4000	4	8
VN020112	3	1000	1	1
VN020113	1	6500	4	1
VN020118	1	1000	1	8
VN020118	2	4500	4	8
VN020118	3	1000	2	1
VN020119	1	1000	4	1
VN020119	2	1000	1	8
VN020122	1	1500	4	1
VN020125	1	750	4	6
VN020129	1	3000	4	1
VN020131	1	2500	4	8
VN020131	2	1500	4	1
VN020133	1	140	4	4
VN020136	1	3265	4	1
VN030001	1	5000	4	1
VN030002	1	5000	4	1
VN030002	2	5000	4	8
VN030003	1	10000	4	8
VN030003	2	4000	4	1
VN030004	1	30000	4	8
VN030004	2	10000	4	1
VN030005	1	20000	4	8
VN030005	2	8000	4	1
VN030006	1	16000	4	8
VN030006	2	11000	4	1
VN030007	1	5000	4	8
VN030008	1	20000	4	3
VN030008	2	4000	4	1
VN030009	1	10000	4	8
VN030010	1	5000	4	1
VN030010	2	5000	4	8
VN030011	1	20000	4	1
VN030011	2	10000	4	7
VN030012	1	25000	4	8
VN030012	2	14000	4	1
VN030012	3	7000	4	6
VN030013	1	20000	4	1
VN030014	1	20000	4	8
VN030014	2	25000	4	1
VN030015	1	10000	4	1
VN030015	2	8000	4	8
VN030016	1	16000	4	8
VN030016	2	5000	4	1
VN030017	1	8000	4	1
VN030017	2	10000	2	8
VN030018	1	8000	4	1
VN030019	2	10000	4	7
VN030019	3	30000	4	1
VN030020	1	6000	4	1
VN030020	2	4000	4	8
VN030021	1	20000	4	8
VN030021	2	10000	4	1
VN030022	1	14000	4	1
VN030022	2	6000	4	8
VN030023	1	7000	4	8
VN030023	2	1000	4	1
VN030024	1	30000	4	8
VN030024	2	13000	4	1
