CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
VN010001	1	1	2	10	2	1
VN010001	2	1	1	12	2	0
VN010001	3	1	2	12	2	0
VN010001	4	2	2	7	2	1
VN010001	5	2	2	12	1	1
VN010002	1	1	2	11	2	1
VN010002	2	1	2	10	1	1
VN010002	3	2	2	10	2	1
VN010002	4	2	2	12	1	1
VN010002	5	3	1	12	2	60
VN010002	6	4	1	1	1	80
VN010002	7	5	1	12	2	60
VN010002	8	6	2	10	2	1
VN010002	9	6	2	5	3	1
VN010003	1	1	2	10	2	1
VN010003	2	1	1	3	2	93
VN010003	3	1	2	10	2	1
VN010003	4	2	2	10	2	1
VN010003	5	2	2	12	1	1
VN010004	1	1	2	12	3	1
VN010004	2	1	1	1	1	20
VN010004	3	1	2	12	1	1
VN010004	4	2	2	8	4	1
VN010004	5	2	2	6	3	1
VN010004	6	2	2	12	1	1
VN010004	7	3	2	1	3	1
VN010005	1	1	2	7	2	1
VN010005	2	1	1	10	1	93
VN010005	3	2	2	3	2	1
VN010005	4	2	2	12	1	1
VN010006	1	1	1	8	1	52
VN010006	2	1	2	12	1	74
VN010006	4	2	1	4	1	93
VN010006	5	3	1	4	1	93
VN010006	6	4	1	8	1	52
VN010006	7	5	1	8	1	52
VN010007	1	1	2	12	1	52
VN010007	2	1	2	12	1	1
VN010007	3	1	2	8	2	1
VN010007	4	2	2	12	1	1
VN010007	5	2	2	8	2	1
VN010007	6	2	2	12	2	52
VN010008	1	1	2	7	4	1
VN010008	2	1	1	12	2	93
VN010008	3	2	2	7	2	1
VN010008	4	2	2	12	1	1
VN010009	1	1	2	6	3	1
VN010009	2	2	2	5	4	1
VN010009	3	2	1	5	1	45
VN010009	4	3	2	6	2	1
VN010010	1	1	2	6	2	1
VN010010	2	1	2	12	2	1
VN010010	3	1	2	12	3	1
VN010010	4	2	2	6	3	1
VN010010	5	2	2	12	2	1
VN010010	6	2	2	3	3	1
VN010011	1	1	1	3	1	93
VN010011	2	1	1	3	2	74
VN010011	3	1	2	3	3	1
VN010011	4	2	2	9	2	1
VN010011	5	2	1	2	1	20
VN010012	1	1	1	3	1	93
VN010012	2	1	1	3	1	20
VN010012	3	1	2	3	2	1
VN010012	4	2	2	6	1	1
VN010012	5	2	2	3	2	1
VN010013	1	1	1	12	2	80
VN010013	2	2	2	8	1	1
VN010013	3	3	1	12	2	67
VN010013	4	4	1	12	2	66
VN010013	5	2	1	10	1	20
VN010014	1	2	2	6	2	1
VN010014	2	2	2	12	1	1
VN010014	3	3	1	12	1	60
VN010015	1	1	1	7	1	20
VN010015	2	1	2	10	2	1
VN010015	3	1	2	12	3	5
VN010015	4	2	2	5	3	1
VN010015	5	2	2	10	1	1
VN010015	6	2	2	7	3	52
VN010015	7	3	2	3	3	1
VN010015	8	3	2	3	3	52
VN010015	9	3	2	12	1	1
VN010016	1	1	2	12	2	1
VN010016	2	1	1	6	2	93
VN010016	3	2	2	12	2	1
VN010016	4	2	2	7	2	1
VN010016	5	2	2	12	1	1
VN010016	6	1	2	7	1	1
VN010017	1	1	2	8	3	1
VN010017	2	1	2	6	2	1
VN010017	3	1	2	12	1	1
VN010017	4	2	2	6	2	1
VN010017	5	2	2	3	2	1
VN010017	6	2	2	6	2	1
