PLACEID	SERVIDR4	SERVAVLB	TIM2PLCE	CMNTRNSP
402	18	0	60	7
402	19	0	150	7
402	20	0	150	7
402	21	0	150	7
402	22	0	150	7
402	23	0	150	7
402	24	1	 	 
402	25	0	 	 
402	27	0	150	7
402	28	88	 	 
402	29	0	150	7
402	30	1	 	 
402	31	0	150	7
402	32	1	 	 
402	33	1	 	 
402	34	1	 	 
402	35	1	 	 
404	1	0	 	 
404	2	1	 	 
404	3	0	 	 
404	4	0	 	 
404	5	0	 	 
404	6	0	 	 
404	7	0	 	 
404	8	0	 	 
404	9	1	 	 
404	10	0	120	1
404	11	0	 	 
404	12	0	120	1
404	13	1	 	 
404	14	1	 	 
404	15	0	 	 
404	16	0	120	1
404	17	0	120	1
404	18	0	120	1
404	19	0	120	1
404	20	0	120	1
404	21	0	120	1
404	22	0	120	7
404	23	0	150	7
404	24	0	 	 
404	25	0	 	 
404	27	0	150	7
404	28	88	 	 
404	29	0	120	1
404	30	1	 	 
404	31	0	150	7
404	32	1	 	 
404	33	1	 	 
404	34	0	150	1
404	35	0	60	1
405	1	1	 	 
405	2	1	 	 
405	3	0	 	 
405	4	0	 	 
405	5	0	 	 
405	6	0	 	 
405	7	0	 	 
405	8	0	 	 
405	9	1	 	 
405	10	1	 	 
405	11	0	 	 
405	12	0	60	1
405	13	1	 	 
405	14	1	 	 
405	15	1	 	 
405	16	0	20	7
405	17	0	120	1
405	18	0	60	7
405	19	0	60	7
405	20	0	60	7
405	21	0	60	7
405	22	0	60	7
405	23	0	60	7
405	24	1	 	 
405	25	0	 	 
405	27	0	60	7
405	28	88	 	 
405	29	0	60	7
405	30	1	 	 
405	31	0	30	7
405	32	1	 	 
405	33	1	 	 
405	34	0	30	7
405	35	0	30	7
406	1	0	 	 
406	2	0	 	 
406	3	0	 	 
406	4	0	 	 
406	5	0	 	 
406	6	0	 	 
406	7	0	 	 
406	8	0	 	 
406	9	1	 	 
406	10	1	 	 
406	11	0	 	 
406	12	0	30	1
406	13	1	 	 
406	14	1	 	 
406	15	0	 	 
406	16	0	40	1
406	17	0	40	1
406	18	0	180	7
406	19	0	180	7
406	20	0	180	7
406	21	0	180	7
406	22	0	40	1
406	23	0	40	1
406	24	0	 	 
406	25	0	 	 
406	27	0	180	7
406	28	88	 	 
406	29	0	180	7
406	30	1	 	 
406	31	0	180	7
406	32	1	 	 
406	33	1	 	 
406	34	0	40	1
406	35	0	40	1
407	1	0	 	 
407	2	1	 	 
407	3	0	 	 
407	4	0	 	 
407	5	0	 	 
407	6	0	 	 
407	7	0	 	 
407	8	0	 	 
407	9	1	 	 
407	10	0	40	1
407	11	0	 	 
407	12	0	120	6
407	13	1	 	 
407	14	0	 	 
407	15	0	 	 
407	16	0	60	6
407	17	0	40	1
407	18	0	120	6
407	19	0	120	6
407	20	0	120	6
407	21	0	120	6
407	22	0	120	6
407	23	0	120	6
407	24	0	 	 
407	25	0	 	 
407	27	0	120	6
407	28	88	 	 
407	29	0	120	6
407	30	1	 	 
407	31	0	120	6
407	32	0	 	 
407	33	0	10	1
407	34	0	40	1
407	35	0	10	1
408	1	0	 	 
408	2	1	 	 
408	3	0	 	 
408	4	0	 	 
408	5	0	 	 
408	6	0	 	 
408	7	0	 	 
408	8	0	 	 
408	9	1	 	 
408	10	1	 	 
408	11	0	 	 
408	12	0	15	6
408	13	1	 	 
408	14	1	 	 
408	15	0	 	 
408	16	0	90	6
408	17	1	 	 
408	18	0	60	6
408	19	0	60	6
408	20	0	60	6
408	21	0	60	6
408	22	0	60	6
408	23	0	60	6
408	24	0	 	 
408	25	0	 	 
408	27	0	60	6
408	28	88	 	 
408	29	0	60	6
408	30	0	5	6
408	31	0	60	6
408	32	1	 	 
408	33	1	 	 
408	34	0	15	6
408	35	0	15	6
502	1	0	 	 
502	2	1	 	 
502	3	0	 	 
502	4	0	 	 
502	5	0	 	 
502	6	0	 	 
502	7	0	 	 
502	8	0	 	 
502	9	1	 	 
502	10	0	135	1
502	11	0	 	 
502	12	0	135	1
502	13	0	 	 
502	14	1	 	 
502	15	0	 	 
502	16	0	150	1
502	17	0	150	6
502	18	0	150	6
502	19	0	150	6
502	20	0	180	6
502	21	0	180	6
502	22	0	150	6
502	23	0	150	6
502	24	0	 	 
502	25	0	 	 
502	27	0	150	6
502	28	88	 	 
502	29	0	150	6
502	30	0	135	1
502	31	0	135	1
502	32	0	 	 
502	33	1	 	 
502	34	0	120	1
502	35	0	135	1
503	1	0	 	 
503	2	1	 	 
503	3	0	 	 
503	4	0	 	 
503	5	0	 	 
503	6	0	 	 
503	7	0	 	 
503	8	0	 	 
503	9	0	5	5
503	10	0	5	5
503	11	0	 	 
503	12	0	10	5
503	13	1	 	 
503	14	1	 	 
503	15	0	 	 
503	16	0	5	5
503	17	0	30	1
503	18	0	10	5
503	19	0	10	5
503	20	0	40	6
503	21	0	40	6
503	22	0	40	6
503	23	0	10	6
503	24	1	 	 
503	25	0	 	 
503	27	0	70	6
503	28	88	 	 
503	29	0	10	6
503	30	1	 	 
503	31	0	40	6
503	32	1	 	 
503	33	0	5	5
503	34	0	5	5
503	35	0	5	5
505	1	0	 	 
505	2	1	 	 
505	3	0	 	 
505	4	0	 	 
505	5	0	 	 
505	6	0	 	 
505	7	1	 	 
505	8	0	 	 
505	9	1	 	 
505	10	0	10	6
505	11	0	 	 
505	12	0	15	6
505	13	1	 	 
505	14	1	 	 
505	15	0	 	 
505	16	0	10	6
505	17	0	10	6
505	18	0	50	6
505	19	0	15	6
505	20	0	70	6
505	21	0	15	6
505	22	0	70	6
505	23	0	15	6
505	24	1	 	 
505	25	0	 	 
505	27	0	90	6
505	28	88	 	 
505	29	0	15	6
505	30	1	 	 
505	31	0	50	6
505	32	0	 	 
505	33	1	 	 
505	34	0	8	6
505	35	0	10	6
506	1	0	 	 
506	2	1	 	 
506	3	0	 	 
506	4	0	 	 
506	5	0	 	 
506	6	0	 	 
506	7	0	 	 
506	8	0	 	 
506	9	1	 	 
506	10	1	 	 
506	11	0	 	 
506	12	0	20	5
506	13	1	 	 
506	14	1	 	 
506	15	0	 	 
506	16	0	20	5
506	17	1	 	 
506	18	0	50	6
506	19	0	20	5
506	20	0	50	6
506	21	0	50	6
506	22	0	50	6
506	23	0	20	5
506	24	1	 	 
506	25	0	 	 
506	27	0	80	6
506	28	88	 	 
506	29	0	20	5
506	30	0	20	5
506	31	0	20	5
506	32	1	 	 
506	33	1	 	 
506	34	1	 	 
506	35	1	 	 
601	1	0	 	 
601	2	1	 	 
601	3	0	 	 
601	4	0	 	 
601	5	0	 	 
601	6	1	 	 
601	7	1	 	 
601	8	0	 	 
601	9	1	 	 
601	10	0	10	5
601	11	1	 	 
601	12	0	15	5
601	13	1	 	 
601	14	1	 	 
601	15	0	 	 
601	16	0	15	5
601	17	1	 	 
601	18	0	15	5
601	19	0	15	5
601	20	0	15	5
601	21	0	15	5
601	22	0	15	5
601	23	0	15	5
601	24	1	 	 
601	25	0	 	 
601	27	0	15	5
601	28	88	 	 
601	29	0	15	5
601	30	1	 	 
601	31	0	15	5
601	32	1	 	 
601	33	1	 	 
601	34	1	 	 
601	35	1	 	 
701	1	0	 	 
701	2	1	 	 
701	3	0	 	 
701	4	0	 	 
701	5	0	 	 
701	6	0	 	 
701	7	0	 	 
701	8	0	 	 
701	9	1	 	 
701	10	1	 	 
701	11	1	 	 
701	12	1	 	 
701	13	1	 	 
701	14	1	 	 
701	15	0	 	 
701	16	0	10	6
701	17	0	-88	88
701	18	0	10	6
701	19	0	10	6
701	20	0	10	6
701	21	0	10	6
701	22	1	 	 
701	23	0	10	6
701	24	1	 	 
701	25	0	 	 
701	27	0	15	7
701	28	88	 	 
701	29	1	 	 
701	30	1	 	 
701	31	0	10	6
701	32	1	 	 
701	33	1	 	 
701	34	1	 	 
701	35	0	10	5
702	1	1	 	 
702	2	1	 	 
702	3	0	 	 
702	4	0	 	 
702	5	1	 	 
702	6	0	 	 
702	7	0	 	 
702	8	1	 	 
702	9	1	 	 
702	10	1	 	 
702	11	1	 	 
702	12	1	 	 
702	13	1	 	 
702	14	1	 	 
702	15	1	 	 
702	16	0	10	7
702	17	0	10	7
702	18	0	10	7
702	19	0	10	7
702	20	0	10	7
702	21	0	10	7
702	22	0	10	7
702	23	0	10	7
702	24	1	 	 
702	25	0	 	 
702	27	0	15	7
702	28	88	 	 
702	29	1	 	 
702	30	0	10	7
702	31	1	 	 
702	32	1	 	 
702	33	1	 	 
702	34	1	 	 
702	35	1	 	 
703	1	0	 	 
703	2	0	 	 
703	3	0	 	 
703	4	0	 	 
703	5	0	 	 
703	6	0	 	 
703	7	0	 	 
703	8	0	 	 
703	9	1	 	 
703	10	0	5	1
703	11	0	 	 
703	12	0	5	1
703	13	1	 	 
703	14	1	 	 
703	15	1	 	 
703	16	0	20	7
703	17	0	30	7
703	18	0	20	7
703	19	0	20	7
703	20	0	20	7
703	21	0	20	7
703	22	0	20	7
703	23	0	25	7
703	24	0	 	 
703	25	0	 	 
703	27	0	25	7
703	28	88	 	 
703	29	0	20	7
703	30	0	25	7
703	31	0	25	7
703	32	1	 	 
703	33	0	10	1
703	34	0	25	7
703	35	0	10	1
707	1	0	 	 
707	2	0	 	 
707	3	0	 	 
707	4	0	 	 
707	5	0	 	 
707	6	0	 	 
707	7	0	 	 
707	8	0	 	 
707	9	0	5	1
707	10	0	10	1
707	11	0	 	 
707	12	0	10	1
707	13	1	 	 
707	14	1	 	 
707	15	1	 	 
707	16	0	30	1
707	17	0	-77	88
707	18	0	30	1
707	19	0	30	1
707	20	0	30	1
707	21	0	30	1
707	22	0	20	1
707	23	0	30	1
707	24	1	 	 
707	25	0	 	 
707	27	0	30	1
707	28	88	 	 
707	29	0	20	1
707	30	1	 	 
707	31	0	20	1
707	32	1	 	 
707	33	0	20	1
707	34	0	20	7
707	35	0	20	7
708	1	1	 	 
708	2	1	 	 
708	3	0	 	 
708	4	0	 	 
708	5	0	 	 
708	6	0	 	 
708	7	0	 	 
708	8	0	 	 
708	9	0	2	1
708	10	1	 	 
708	11	1	 	 
708	12	0	5	1
708	13	1	 	 
708	14	1	 	 
708	15	1	 	 
708	16	0	5	1
708	17	0	30	7
708	18	0	5	7
708	19	0	5	7
708	20	0	5	7
708	21	0	5	7
708	22	0	5	7
708	23	0	5	7
708	24	1	 	 
708	25	0	 	 
708	27	0	5	7
708	28	0	-88	88
708	29	1	 	 
708	30	0	2	1
708	31	1	 	 
708	32	1	 	 
708	33	0	5	1
708	34	0	5	1
708	35	0	10	1
709	1	0	 	 
709	2	0	 	 
709	3	0	 	 
709	4	0	 	 
709	5	1	 	 
709	6	0	 	 
709	7	1	 	 
709	8	1	 	 
709	9	1	 	 
709	10	1	 	 
709	11	1	 	 
709	12	1	 	 
709	13	1	 	 
709	14	1	 	 
709	15	1	 	 
709	16	0	25	5
709	17	0	-77	88
709	18	0	10	5
709	19	0	10	5
709	20	0	5	5
709	21	0	10	5
709	22	1	 	 
709	23	0	10	5
709	24	1	 	 
709	25	0	 	 
709	27	0	10	5
709	28	88	 	 
709	29	0	5	5
709	30	1	 	 
709	31	1	 	 
709	32	1	 	 
709	33	0	10	1
709	34	0	7	5
709	35	1	 	 
710	1	1	 	 
710	2	1	 	 
710	3	0	 	 
710	4	0	 	 
710	5	0	 	 
710	6	0	 	 
710	7	0	 	 
710	8	0	 	 
710	9	1	 	 
710	10	1	 	 
710	11	1	 	 
710	12	1	 	 
710	13	1	 	 
710	14	1	 	 
710	15	1	 	 
710	16	0	10	5
710	17	0	15	7
710	18	0	15	6
710	19	0	15	6
710	20	0	15	6
710	21	0	15	6
710	22	0	15	6
710	23	0	15	6
710	24	1	 	 
710	25	0	 	 
710	27	0	15	6
710	28	88	 	 
710	29	0	10	5
710	30	0	10	5
710	31	0	10	5
710	32	1	 	 
710	33	0	10	5
710	34	0	15	5
710	35	1	 	 
711	1	0	 	 
711	2	1	 	 
711	3	0	 	 
711	4	0	 	 
711	5	0	 	 
711	6	0	 	 
711	7	0	 	 
711	8	0	 	 
711	9	1	 	 
711	10	0	20	7
711	11	0	 	 
711	12	1	 	 
711	13	1	 	 
711	14	0	 	 
711	15	0	 	 
711	16	0	10	7
711	17	1	 	 
711	18	0	40	7
711	19	0	40	7
711	20	0	40	7
711	21	0	40	7
711	22	0	40	7
711	23	0	40	7
711	24	0	 	 
711	25	0	 	 
711	27	0	40	7
711	28	88	 	 
711	29	0	40	7
711	30	0	40	7
711	31	0	40	7
711	32	1	 	 
711	33	1	 	 
711	34	0	10	7
711	35	1	 	 
712	1	1	 	 
712	2	1	 	 
712	3	0	 	 
712	4	0	 	 
712	5	0	 	 
712	6	0	 	 
712	7	0	 	 
712	8	0	 	 
712	9	1	 	 
712	10	1	 	 
712	11	1	 	 
712	12	1	 	 
712	13	1	 	 
712	14	1	 	 
712	15	1	 	 
712	16	0	25	6
712	17	0	-88	88
712	18	0	25	6
712	19	0	25	6
712	20	0	25	6
712	21	0	20	6
712	22	0	10	6
712	23	0	20	6
712	24	1	 	 
712	25	0	 	 
712	27	0	20	6
712	28	88	 	 
712	29	1	 	 
712	30	0	10	6
712	31	0	20	6
712	32	1	 	 
712	33	0	10	6
712	34	0	10	6
712	35	0	25	6
713	1	0	 	 
713	2	1	 	 
713	3	0	 	 
713	4	0	 	 
713	5	1	 	 
713	6	0	 	 
713	7	0	 	 
713	8	0	 	 
713	9	1	 	 
713	10	1	 	 
713	11	1	 	 
713	12	1	 	 
713	13	1	 	 
713	14	1	 	 
713	15	1	 	 
713	16	0	10	7
713	17	0	15	7
713	18	0	10	6
713	19	0	10	7
713	20	0	10	7
713	21	0	10	7
713	22	1	 	 
713	23	0	10	7
713	24	1	 	 
713	25	0	 	 
713	27	0	10	7
713	28	88	 	 
713	29	1	 	 
713	30	1	 	 
713	31	1	 	 
713	32	1	 	 
713	33	1	 	 
713	34	1	 	 
713	35	0	15	7
714	1	1	 	 
714	2	1	 	 
714	3	1	 	 
714	4	0	 	 
714	5	1	 	 
714	6	0	 	 
714	7	1	 	 
714	8	0	 	 
714	9	1	 	 
714	10	1	 	 
714	11	1	 	 
714	12	1	 	 
714	13	1	 	 
714	14	1	 	 
714	15	1	 	 
714	16	0	5	1
714	17	0	-77	88
714	18	0	10	1
714	19	0	10	1
714	20	0	2	1
714	21	0	10	1
714	22	1	 	 
714	23	0	10	1
714	24	1	 	 
714	25	0	 	 
714	27	0	10	1
714	28	1	 	 
714	29	1	 	 
714	30	1	 	 
714	31	1	 	 
714	32	1	 	 
714	33	1	 	 
714	34	1	 	 
714	35	1	 	 
715	1	1	 	 
715	2	1	 	 
715	3	0	 	 
715	4	0	 	 
715	5	1	 	 
715	6	0	 	 
715	7	0	 	 
715	8	0	 	 
715	9	1	 	 
715	10	1	 	 
715	11	1	 	 
715	12	1	 	 
715	13	1	 	 
715	14	1	 	 
715	15	1	 	 
715	16	0	15	7
715	17	0	-77	88
715	18	0	15	7
715	19	0	15	7
715	20	0	15	7
715	21	0	15	7
715	22	1	 	 
715	23	0	15	7
715	24	1	 	 
715	25	0	 	 
715	27	0	15	7
715	28	1	 	 
715	29	1	 	 
715	30	0	10	1
715	31	0	10	1
715	32	1	 	 
715	33	1	 	 
715	34	1	 	 
715	35	1	 	 
716	1	0	 	 
716	2	1	 	 
716	3	0	 	 
716	4	0	 	 
716	5	1	 	 
716	6	0	 	 
716	7	0	 	 
716	8	0	 	 
716	9	1	 	 
716	10	1	 	 
716	11	1	 	 
716	12	1	 	 
716	13	1	 	 
716	14	1	 	 
716	15	1	 	 
716	16	0	10	7
716	17	0	30	7
716	18	0	10	7
716	19	0	10	7
716	20	0	10	7
716	21	0	10	7
716	22	0	10	7
716	23	0	10	6
716	24	1	 	 
716	25	0	 	 
716	27	0	10	7
716	28	88	 	 
716	29	1	 	 
716	30	1	 	 
716	31	0	10	7
716	32	1	 	 
716	33	0	10	1
716	34	0	10	1
716	35	0	15	7
717	1	0	 	 
717	2	1	 	 
717	3	0	 	 
717	4	1	 	 
717	5	0	 	 
717	6	0	 	 
717	7	0	 	 
717	8	0	 	 
717	9	0	10	7
717	10	1	 	 
717	11	1	 	 
717	12	0	2	1
717	13	1	 	 
717	14	1	 	 
717	15	1	 	 
717	16	0	15	1
717	17	0	5	7
717	18	0	15	7
717	19	0	15	7
717	20	0	15	7
717	21	0	15	7
717	22	1	 	 
717	23	0	15	7
717	24	1	 	 
717	25	0	 	 
717	27	1	 	 
717	28	88	 	 
717	29	1	 	 
717	30	0	10	7
717	31	1	 	 
717	32	1	 	 
717	33	0	10	7
717	34	0	10	7
717	35	0	10	7
718	1	1	 	 
718	2	1	 	 
718	3	0	 	 
718	4	0	 	 
718	5	0	 	 
718	6	0	 	 
718	7	0	 	 
718	8	0	 	 
718	9	1	 	 
718	10	1	 	 
718	11	1	 	 
718	12	1	 	 
718	13	1	 	 
718	14	1	 	 
718	15	1	 	 
718	16	0	20	7
718	17	0	40	7
718	18	0	20	7
718	19	0	20	7
718	20	0	20	7
718	21	0	20	7
718	22	0	20	6
718	23	0	20	7
718	24	1	 	 
718	25	0	 	 
718	27	0	40	7
718	28	88	 	 
718	29	0	20	4
718	30	0	5	1
718	31	0	5	1
718	32	1	 	 
718	33	0	15	7
718	34	0	15	7
718	35	0	10	5
719	1	1	 	 
719	2	0	 	 
719	3	0	 	 
719	4	0	 	 
719	5	0	 	 
719	6	0	 	 
719	7	0	 	 
719	8	0	 	 
719	9	1	 	 
719	10	1	 	 
719	11	1	 	 
719	12	1	 	 
719	13	1	 	 
719	14	1	 	 
719	15	1	 	 
719	16	1	 	 
719	17	0	-77	88
719	18	0	10	6
719	19	0	10	6
719	20	0	10	6
719	21	0	10	6
719	22	0	10	6
719	23	0	10	6
719	24	1	 	 
719	25	0	 	 
719	27	0	10	6
719	28	1	 	 
719	29	1	 	 
719	30	1	 	 
719	31	1	 	 
719	32	1	 	 
719	33	1	 	 
719	34	1	 	 
719	35	1	 	 
801	1	1	 	 
801	2	1	 	 
801	3	0	 	 
801	4	0	 	 
801	5	1	 	 
801	6	0	 	 
801	7	1	 	 
801	8	0	 	 
801	9	1	 	 
801	10	1	 	 
801	11	1	 	 
801	12	1	 	 
801	13	1	 	 
801	14	1	 	 
801	15	1	 	 
801	16	1	 	 
801	17	1	 	 
801	18	1	 	 
801	19	0	60	7
801	20	0	20	7
801	21	0	20	7
801	22	1	 	 
801	23	0	40	7
801	24	1	 	 
801	25	0	 	 
801	27	0	60	7
801	28	1	 	 
801	29	1	 	 
801	30	1	 	 
801	31	1	 	 
801	32	1	 	 
801	33	1	 	 
801	34	1	 	 
801	35	1	 	 
802	1	1	 	 
802	2	1	 	 
802	3	0	 	 
802	4	0	 	 
802	5	1	 	 
802	6	0	 	 
802	7	0	 	 
802	8	0	 	 
802	9	1	 	 
802	10	1	 	 
802	11	1	 	 
802	12	1	 	 
802	13	1	 	 
802	14	1	 	 
802	15	1	 	 
802	16	0	10	5
802	17	0	-77	88
802	18	0	5	5
802	19	0	30	7
802	20	0	20	7
802	21	0	20	7
802	22	1	 	 
802	23	0	20	7
802	24	1	 	 
802	25	0	 	 
802	27	0	30	7
802	28	0	-88	88
802	29	0	10	1
802	30	1	 	 
802	31	0	10	1
802	32	1	 	 
802	33	1	 	 
802	34	0	5	5
802	35	0	5	5
803	1	1	 	 
803	2	1	 	 
803	3	0	 	 
803	4	0	 	 
803	5	1	 	 
803	6	0	 	 
803	7	1	 	 
803	8	0	 	 
803	9	1	 	 
803	10	1	 	 
803	11	1	 	 
803	12	1	 	 
803	13	1	 	 
803	14	1	 	 
803	15	1	 	 
803	16	1	 	 
803	17	0	-77	88
803	18	1	 	 
803	19	0	30	7
803	20	0	20	7
803	21	1	 	 
803	22	1	 	 
803	23	0	10	7
803	24	1	 	 
803	25	0	 	 
803	27	0	30	7
