PLACEID	ANFDIDR4	ITEM	PRICE	ACCOUNT
710	1	POLLO	8,5	1
710	2	PESCADO	6	1
710	3	CARNE DE RES	14	1
711	1	POLLO	8,5	1
711	2	PESCADO	8	1
711	3	CARNE DE RES	12	1
712	1	POLLO	8	1
712	2	PESCADO	7	1
712	3	CARNE DE RES	16	1
713	1	POLLO	8,5	1
713	2	PESCADO	8	1
713	3	HUEVOS	5,5	1
714	1	POLLO	7	1
714	2	CARNE DE RES	13	1
714	3	HUEVOS	5,2	1
715	1	POLLO	6,5	1
715	2	CARNE DE RES	14	1
715	3	PESCADO	7	1
716	1	POLLO	7,5	1
716	2	PESCADO	7	1
716	3	HUEVO	5,5	1
717	1	POLLO	8	1
717	2	PESCADO	7	1
717	3	CARNE DE RES	15	1
718	1	POLLO	8,5	1
718	2	PESCADO	7	1
718	3	CARNE DE RES	15	1
719	1	POLLO	8,5	1
719	2	PESCADO	7	1
801	1	PESCADO	6,5	1
801	2	HUEVOS	5	1
801	3	POLLO	8	1
802	1	POLLO	8,5	1
802	2	PESCADO	7	1
802	3	HUEVOS	5,2	1
803	1	POLLO	8,5	1
803	2	HUEVOS	5,6	1
803	3	PESCADO	7	1
804	1	PESCADO	7	1
804	2	POLLO	8,5	1
804	3	CARNE DE RES	13	1
901	1	CUY	12	2
901	2	POLLO	8	1
901	3	HUEVOS	5,5	1
1103	1	CARNERO	8	1
1103	2	CUY	12	2
1103	3	GALLINA O POLLO	25	1
1201	1	ARROZ	2,6	1
1201	2	PAPA	1,4	1
1201	3	POLLO	8	1
1202	1	POLLO	8	1
1202	2	PESCADO	9	1
1202	3	LECHE	2,8	2
1203	1	POLLO	7,8	1
1203	2	LECHE	2,4	2
1203	3	HUEVOS	4	1
1204	1	POLLO	6,5	1
1204	2	PESCADO	4	1
1204	3	LECHE	2,2	2
1205	1	POLLO	7,5	1
1205	2	PESCADO	6	1
1205	3	HUEVOS	4,5	1
1206	1	POLLO	7,3	1
1206	2	PESCADO	5	1
1206	3	HUEVOS	4,5	1
1207	1	PAPA	1,2	1
1207	2	LENTEJAS	4	1
1207	3	POLLO	8	1
1208	1	POLLO	8	1
1208	2	PESCADO	8	1
1208	3	LECHE	2,5	2
1209	1	POLO	8	1
1209	2	HUEVO	4,5	1
1209	3	CARNE	12	1
1210	1	POLLO	7,5	1
1210	2	PESCADO	7	1
1210	3	LECHE	3,2	2
1211	1	POLLO	8	1
1211	2	PESCADO	6	1
1211	3	LECHE	3	2
1212	1	POLLO	7,5	1
1212	2	HUEVO	5	1
1212	3	PESCADO	5	1
1213	1	LECHE	2,8	4
1213	2	CARNE	15	1
1213	3	POLLO	8	1
1215	1	POLLO	7,5	1
1215	2	HUEVOS	5,2	1
1215	3	CARNE DE RES	16	1
1216	1	POLLO	8	1
1216	2	CARNE DE RES	15	1
1216	3	HUEVOS	4,5	1
1217	1	POLLO	7,5	1
1217	2	HUEVOS	4,8	1
1217	3	PESCADO	6	1
1218	1	POLLO	7,5	1
1218	2	CARNE DE RES	15	1
1218	3	PESCADO	7	1
1219	1	POLLO	7,5	1
1219	2	HUEVOS	4,8	1
1219	3	CARNE DE RES	16	1
1220	1	POLLO	8	1
1220	2	HUEVOS	4,8	1
1220	3	PESCADO	5	1
1221	1	POLLO	7,5	1
1221	2	HUEVOS	4,5	1
1221	3	PESCADO	7	1
1222	1	POLLO	7,4	1
1222	2	HUEVOS	4,5	1
1222	3	PESCADO	8	1
1223	1	POLLO	7,7	1
1223	2	PESCADO	7	1
1223	3	HUEVO	4,5	1
1224	1	POLLO	7,5	1
1224	2	PESCADO	7	1
1224	3	HUEVOS	4,8	1
1225	1	POLLO	8	1
1225	2	PAPA	1,2	1
1225	3	ARROZ	2,7	1
1226	1	POLLO	7,8	1
1226	2	MENUDENCIA	6	1
1226	3	HUEVOS	5,5	1
1227	1	POLLO	6,2	1
1227	2	MENUDENCIA DE POLLO	5	1
1227	3	PESCADO	6	1
1228	1	POLLO	8	1
1228	2	CARNE DE RES	11	1
1228	3	PESCADO	7	1
1301	1	POLLO	7,8	1
1301	2	PESCADO	7	1
1301	3	HIGADO DE RES	10	1
1303	1	POLLO	8	1
1303	2	PESCADO	7	1
1303	3	CARNE DE RES	10	1
1304	1	POLLO	7,9	1
1304	2	CARNE DE RES	15	1
1304	3	CARNE DE CARNERO	10	1
1305	1	POLLO	6	1
1305	2	LECHE	3	4
1305	3	HUEVO	4,5	1
1306	1	POLLO	6,8	1
1306	2	RES	12	1
1306	3	HUEVOS	5,2	1
1307	1	POLLO	6,5	1
1307	2	RES	15	1
1307	3	LECHE	2,9	4
1401	1	POLLO	6,8	1
1401	2	PESCADO	7	1
1401	3	LECHE	2,9	4
1402	1	POLLO	7	1
1402	2	LECHE	2,9	4
1402	3	HUEVO	5,4	1
1403	1	POLLO	8	1
1403	2	PESCADO	6	1
1403	3	HUEVO	5,6	1
1404	1	PESCADO	7	1
1404	2	POLLO	7,5	1
1404	3	HUEVOS	5,2	1
1405	1	POLLO	7,5	1
1405	2	PESCADO	7	1
1405	3	LECHE	2,9	4
1406	1	POLLO	7	1
1406	2	LECHE	2,8	4
1406	3	HUEVO	5	1
1407	1	POLLO	7	1
1407	2	PESCADO	6	1
1407	3	CARNE	14	1
1408	1	POLLO	7	1
1408	2	LECHE	2,8	4
1408	3	HUEVO	5,8	1
1409	1	POLLO	7,5	1
1409	2	LECHE	3	4
1409	3	HUEVO	5	1
1501	1	POLLO	7,5	1
1501	2	PESCADO	6,3	1
1501	3	SAMANI	7	1
1502	1	GALLINA	30	2
1502	2	CUY	20	2
1502	3	HUEVO	5,7	1
1503	1	CUY	25	2
1503	2	HUEVO	0,5	2
1503	3	POLLO	18	1
1504	1	POLLO	8,5	1
1504	2	LECHE	3,2	2
1504	3	HUEVO	5,8	1
1505	1	GALLINA	15	1
1505	2	SAMANI	25	1
1505	3	PESCADO	8	1
1507	1	POLLO	14	1
1507	2	HUEVO	6	1
1507	3	GALLINA	14	1
1508	1	LECHE	2,8	4
1508	2	POLLO	9	1
1508	3	HUEVOS	6	1
1509	1	GALLINA	30	2
1509	2	CUY	20	2
1509	3	CARNE DE RES	12	1
1510	1	POLLO	9,5	1
1510	2	PESCADO	8	1
1510	3	HUEVO	5,5	1
1601	1	CARNE DE CARNERO	7	1
1601	2	HUEVO	5	1
1601	3	TRUCHA	12	1
1603	1	CARNE	9	1
1603	2	HUEVO	5	1
1603	3	POLLO	8	1
1604	1	CARNE CORDERO	10	1
1604	2	LECHE	1,2	3
1604	3	QUESO	10	1
1701	1	CARNE DE RES	8	1
1701	2	GALLINA	25	2
1701	3	LECHE FRESCA	1,5	3
1702	1	HUEVOS	7,5	1
1702	2	QUESO	12	1
1702	3	LECHE	2	3
