PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
202	1	3	2011	7	10	88	1	0	 	 
202	2	13	2009	1	6	88	1	1	88	 
202	3	13	2010	1	6	88	1	1	88	 
302	1	4	2012	4	6	7	2	0	 	 
302	2	4	2012	4	6	7	2	0	 	 
302	3	10	2011	5	6	7	1	0	 	 
302	4	12	2012	7	6	7	1	1	88	 
304	1	11	2009	3	8	88	1	0	 	 
304	2	4	2009	3	4	88	1	0	 	 
305	1	11	2009	3	10	88	1	0	 	 
305	2	11	2012	3	10	88	1	0	 	 
309	1	4	2011	3	4	88	1	0	 	 
309	2	11	2012	3	9	88	1	0	 	 
310	1	4	2012	2	6	7	3	1	88	 
310	2	7	2010	6	6	88	3	0	 	 
311	1	4	2012	3	6	7	1	0	 	 
311	2	7	2011	4	6	88	3	0	 	 
311	3	10	2010	6	6	88	1	0	 	 
311	4	12	2013	8	6	88	2	0	 	 
312	1	11	2010	3	10	6	3	0	 	 
312	2	10	2011	5	10	7	88	0	 	 
313	1	11	2012	5	10	6	3	0	 	 
313	2	10	2011	4	10	6	3	0	 	 
313	3	12	2012	8	5	6	1	0	 	 
314	1	13	2011	8	15	88	3	1	0	 
314	2	10	2012	4	14	88	4	0	 	 
401	1	7	2011	8	10	6	3	0	 	 
401	2	12	2012	9	5	88	1	0	 	 
402	1	2	2009	2	8	88	1	0	 	 
402	2	7	2009	2	10	88	2	0	 	 
405	1	13	2011	6	6	88	1	1	88	 
405	2	10	2010	11	10	6	1	88	 	 
406	1	16	 	 	 	 	 	 	 	 
406	2	4	2009	3	10	6	1	0	 	 
406	3	10	2012	1	10	6	1	0	 	 
406	4	12	2012	8	15	7	1	1	88	 
407	1	10	2010	5	10	4	4	0	 	 
407	2	13	2012	2	11	88	3	88	 	 
408	1	13	2012	5	6	88	1	1	88	 
502	1	16	 	 	 	 	 	 	 	 
502	2	16	 	 	 	 	 	 	 	 
502	3	10	2009	3	14	88	2	0	 	 
502	4	11	2010	5	15	88	2	0	 	 
503	1	11	2012	11	8	88	1	0	 	 
503	2	10	2010	10	10	6	4	0	 	 
