PLACEID	DWAGIDR4	EARNMALE	MMON	EARNFMLE	FMON	EARNCHLD	CMON
202	1	20	0	-11	88	-11	88
202	2	-11	88	-11	88	-11	88
202	3	-88	88	-88	88	-88	88
302	1	10	6	10	6	8	6
302	2	-88	88	-88	88	-88	88
302	3	-88	88	-88	88	-88	88
304	1	10	6	10	6	11	88
304	2	-11	88	-11	88	-11	88
304	3	-88	88	-88	88	-88	88
305	1	20	88	20	88	-11	88
305	2	-11	88	-11	88	-11	88
305	3	-88	88	-88	88	-88	88
309	1	10	6	10	6	-11	88
309	2	-11	88	-11	88	-11	88
309	3	-88	88	-88	88	-88	88
310	1	-22	0	-22	0	-11	88
310	2	-11	88	-11	88	-11	88
310	3	-88	88	-88	88	-88	88
311	1	10	2	-11	88	5	2
311	2	-11	88	-11	88	-11	88
311	3	-88	88	-88	88	-88	88
312	1	10	88	10	88	-11	88
312	2	-88	88	-88	88	-88	88
312	3	-88	88	-88	88	-88	88
313	1	10	6	10	6	-11	88
313	2	-88	88	-88	88	-88	88
313	3	-88	88	-88	88	-88	88
314	1	15	6	-11	88	-11	88
314	2	15	6	-11	88	-11	88
314	3	-88	88	-88	88	-88	88
401	1	25	6	20	6	-11	88
401	2	-88	88	-11	88	-11	88
401	3	-88	88	-88	88	-11	88
402	1	25	0	25	0	-11	88
402	2	25	0	-11	88	-11	88
402	3	-88	88	-88	88	-88	88
404	1	20	6	15	6	-11	88
404	2	-11	88	-11	88	-11	88
404	3	-88	88	-88	88	-88	88
405	1	35	0	35	0	-11	88
405	2	-11	88	-11	88	-11	88
405	3	-88	88	-88	88	-88	88
406	1	20	2	15	2	-11	88
406	2	-11	88	-11	88	-11	88
406	3	-88	88	-88	88	-88	88
407	1	20	2	20	2	-11	88
407	2	20	2	20	2	-11	88
407	3	-88	88	-88	88	-88	88
408	1	20	6	15	6	-11	88
408	2	-11	88	-11	88	-11	88
408	3	-88	88	-88	88	-88	88
502	1	25	6	20	6	10	6
502	2	-11	88	-11	88	-11	88
502	3	-88	88	-88	88	-88	88
503	1	15	0	15	0	-11	88
503	2	-11	88	-11	88	-11	88
503	3	-88	88	-88	88	-88	88
505	1	20	0	20	0	6	0
505	2	-11	88	-11	88	-11	88
505	3	-88	88	-88	88	-88	88
506	1	20	0	20	0	-11	88
506	2	-11	88	-11	88	-11	88
506	3	-88	88	-88	88	-88	88
601	1	20	2	20	2	20	0
601	2	12	0	12	0	-11	88
601	3	-88	88	-88	88	-88	88
701	1	-11	88	-11	88	-11	88
701	2	-11	88	-11	88	-11	88
701	3	-88	88	-88	88	-88	88
702	1	-11	88	-11	6	-11	88
702	2	-11	88	-11	88	-11	88
702	3	-88	88	-88	88	-88	88
703	1	-11	88	-11	88	-11	88
703	2	-11	88	-11	88	-11	88
703	3	-88	88	-88	88	-88	88
707	1	15	0	-11	88	-11	88
707	2	-11	88	-11	88	-11	88
707	3	-11	88	-11	88	-11	88
708	1	-88	88	-88	88	-88	88
708	2	-88	88	-88	88	-88	88
708	3	-88	88	-88	88	-88	88
709	1	-88	88	-88	88	-88	88
709	2	-88	88	-88	88	-88	88
709	3	-88	88	-88	88	-88	88
710	1	-11	88	-11	88	-11	88
710	2	-11	88	-11	88	-11	88
710	3	-88	88	-88	88	-88	88
711	1	25	2	20	2	-11	88
711	2	-11	88	-11	88	-11	88
711	3	-88	88	-88	88	-88	88
712	1	-11	88	-11	88	-11	88
712	2	-11	88	-11	88	-11	88
712	3	-88	88	-88	88	-88	88
713	1	35	88	-11	88	-11	88
713	2	-11	88	-11	88	-11	88
713	3	-88	88	-88	88	-88	88
714	1	-11	88	-11	88	-11	88
714	2	-11	88	-11	88	-11	88
714	3	-88	88	-88	88	-88	88
715	1	-11	88	-11	88	-11	88
